Time	BodyY	BodyZ	BodyX	
0.403	0.06048458	-0.1166466	-9.833166E-09	
0.404	0.06031839	-0.1166551	-1.023994E-08	
0.405	0.06014886	-0.1166631	-1.062585E-08	
0.406	0.05997628	-0.1166706	-1.099087E-08	
0.407	0.05980093	-0.1166778	-1.133509E-08	
0.408	0.05962313	-0.1166847	-1.165862E-08	
0.409	0.05944315	-0.1166915	-1.196157E-08	
0.41	0.05926127	-0.1166982	-1.224407E-08	
0.411	0.05907778	-0.1167051	-1.250632E-08	
0.412	0.05889295	-0.1167121	-1.274849E-08	
0.413	0.05870706	-0.1167195	-1.297075E-08	
0.414	0.05852037	-0.1167273	-1.317335E-08	
0.415	0.05833312	-0.1167356	-1.335654E-08	
0.416	0.05814558	-0.1167445	-1.352066E-08	
0.417	0.05795799	-0.1167542	-1.366599E-08	
0.418	0.05777058	-0.1167647	-1.379288E-08	
0.419	0.05758358	-0.1167761	-1.390171E-08	
0.42	0.05739722	-0.1167886	-1.399291E-08	
0.421	0.05721169	-0.1168022	-1.406669E-08	
0.422	0.0570272	-0.116817	-1.412345E-08	
0.423	0.05684396	-0.1168331	-1.416354E-08	
0.424	0.05672869	-0.1168533	-1.369765E-08	
0.425	0.05665801	-0.1168713	-1.263093E-08	
0.426	0.05661638	-0.1168861	-1.10095E-08	
0.427	0.05659372	-0.1168979	-8.941945E-09	
0.428	0.05658346	-0.1169075	-6.518046E-09	
0.429	0.05658135	-0.1169155	-3.834672E-09	
0.43	0.05658457	-0.1169224	-9.794382E-10	
0.431	0.05659128	-0.1169287	1.998172E-09	
0.432	0.05660025	-0.1169346	5.041708E-09	
0.433	0.05661064	-0.1169405	8.124431E-09	
0.434	0.05662191	-0.1169465	1.120673E-08	
0.435	0.05663368	-0.1169527	1.42474E-08	
0.436	0.05664568	-0.1169592	1.723605E-08	
0.437	0.05665775	-0.1169661	2.014818E-08	
0.438	0.05666977	-0.1169734	2.298409E-08	
0.439	0.05668165	-0.1169811	2.572573E-08	
0.44	0.05669335	-0.1169892	2.837829E-08	
0.441	0.05670483	-0.1169977	3.092348E-08	
0.442	0.05671607	-0.1170066	3.336587E-08	
0.443	0.05672706	-0.1170158	3.571694E-08	
0.444	0.05673778	-0.1170254	3.796358E-08	
0.445	0.05674824	-0.1170352	4.011251E-08	
0.446	0.05675844	-0.1170454	4.217614E-08	
0.447	0.05676838	-0.1170558	4.414139E-08	
0.448	0.05677805	-0.1170665	4.601181E-08	
0.449	0.05678747	-0.1170773	4.77967E-08	
0.45	0.05679665	-0.1170884	4.948148E-08	
0.451	0.05680558	-0.1170996	5.107182E-08	
0.452	0.05681426	-0.1171109	5.257918E-08	
0.453	0.05682272	-0.1171224	5.401515E-08	
0.454	0.05683094	-0.117134	5.536526E-08	
0.455	0.05683894	-0.1171456	5.663145E-08	
0.456	0.05684671	-0.1171573	5.782134E-08	
0.457	0.05685427	-0.117169	5.894386E-08	
0.458	0.05686161	-0.1171807	6.000781E-08	
0.459	0.05686874	-0.1171925	6.099577E-08	
0.46	0.05687568	-0.1172042	6.191058E-08	
0.461	0.05688241	-0.1172158	6.276081E-08	
0.462	0.05688893	-0.1172274	6.355574E-08	
0.463	0.05689527	-0.117239	6.430407E-08	
0.464	0.05690141	-0.1172504	6.501301E-08	
