Time	Fy	Fx	Fz	Vz	Vx	Vy	Pz	Px	Py	
0.177	-0.7704508	0	0	0	0	-0.1458037	0	0	1.486506	
0.178	-0.7684133	0	0	0	0	-0.1465022	0	0	1.486359	
0.179	-0.7663711	0	0	0	0	-0.1471989	0	0	1.486212	
0.18	-0.764325	0	0	0	0	-0.1478938	0	0	1.486064	
0.181	-0.7622743	0	0	0	0	-0.1485868	0	0	1.485916	
0.182	-0.7602196	0	0	0	0	-0.1492779	0	0	1.485766	
0.183	-0.758161	0	0	0	0	-0.1499671	0	0	1.485616	
0.184	-0.7560985	0	0	0	0	-0.1506545	0	0	1.485466	
0.185	-0.7540321	0	0	0	0	-0.1513399	0	0	1.485314	
0.186	-0.7519625	0	0	0	0	-0.1520236	0	0	1.485162	
0.187	-0.7498884	0	0	0	0	-0.1527053	0	0	1.48501	
0.188	-0.747811	0	0	0	0	-0.1533851	0	0	1.484856	
0.189	-0.7457305	0	0	0	0	-0.154063	0	0	1.484702	
0.19	-0.7436461	0	0	0	0	-0.1547391	0	0	1.484547	
0.191	-0.7415578	0	0	0	0	-0.1554132	0	0	1.484392	
0.192	-0.7394673	0	0	0	0	-0.1560855	0	0	1.484236	
0.193	-0.7373735	0	0	0	0	-0.1567558	0	0	1.484079	
0.194	-0.7352759	0	0	0	0	-0.1574242	0	0	1.483922	
0.195	-0.7331758	0	0	0	0	-0.1580908	0	0	1.483763	
0.196	-0.7310734	0	0	0	0	-0.1587554	0	0	1.483605	
0.197	-0.7289672	0	0	0	0	-0.1594181	0	0	1.483445	
0.198	-0.7268586	0	0	0	0	-0.1600789	0	0	1.483285	
0.199	-0.7247477	0	0	0	0	-0.1607377	0	0	1.483124	
0.2	-0.7226337	0	0	0	0	-0.1613946	0	0	1.482963	
0.201	-0.7205181	0	0	0	0	-0.1620497	0	0	1.482801	
0.202	-0.7183993	0	0	0	0	-0.1627028	0	0	1.482638	
0.203	-0.7162782	0	0	0	0	-0.1633539	0	0	1.482475	
0.204	-0.7141548	0	0	0	0	-0.1640031	0	0	1.482311	
0.205	-0.7120298	0	0	0	0	-0.1646504	0	0	1.482146	
0.206	-0.7099024	0	0	0	0	-0.1652958	0	0	1.481981	
0.207	-0.7077727	0	0	0	0	-0.1659392	0	0	1.481815	
0.208	-0.7056414	0	0	0	0	-0.1665807	0	0	1.481648	
0.209	-0.7035086	0	0	0	0	-0.1672203	0	0	1.481481	
0.21	-0.7013742	0	0	0	0	-0.1678579	0	0	1.481313	
0.211	-0.6992375	0	0	0	0	-0.1684936	0	0	1.481145	
0.212	-0.6970993	0	0	0	0	-0.1691273	0	0	1.480976	
0.213	-0.6949595	0	0	0	0	-0.1697591	0	0	1.480806	
