Time	Body_3X	Body_3Z	Body_3Y	Body_4X	Body_4Y	Body_4Z	
0.234	-2.899676	0	1.577659	-4.24165	2.247828	0	
0.235	-2.900496	0	1.576152	-4.242818	2.245623	0	
0.236	-2.901319	0	1.574637	-4.24399	2.243407	0	
0.237	-2.902144	0	1.573115	-4.245166	2.241181	0	
0.238	-2.902972	0	1.571586	-4.246346	2.238945	0	
0.239	-2.903803	0	1.570051	-4.247529	2.236699	0	
0.24	-2.904637	0	1.568508	-4.248717	2.234442	0	
0.241	-2.905473	0	1.566958	-4.249908	2.232175	0	
0.242	-2.906312	0	1.565401	-4.251104	2.229898	0	
0.243	-2.907154	0	1.563837	-4.252303	2.22761	0	
0.244	-2.907999	0	1.562266	-4.253506	2.225312	0	
0.245	-2.908846	0	1.560688	-4.254713	2.223004	0	
0.246	-2.909696	0	1.559103	-4.255923	2.220686	0	
0.247	-2.910548	0	1.557511	-4.257137	2.218357	0	
0.248	-2.911404	0	1.555912	-4.258355	2.216018	0	
0.249	-2.912261	0	1.554305	-4.259577	2.213668	0	
0.25	-2.913122	0	1.552692	-4.260802	2.211308	0	
0.251	-2.913985	0	1.551071	-4.262032	2.208938	0	
0.252	-2.914851	0	1.549444	-4.263265	2.206557	0	
0.253	-2.915719	0	1.547809	-4.264501	2.204166	0	
0.254	-2.91659	0	1.546167	-4.265741	2.201765	0	
0.255	-2.917464	0	1.544518	-4.266985	2.199353	0	
0.256	-2.91834	0	1.542862	-4.268233	2.196931	0	
0.257	-2.919219	0	1.541198	-4.269484	2.194498	0	
0.258	-2.9201	0	1.539528	-4.270739	2.192055	0	
0.259	-2.920984	0	1.53785	-4.271997	2.189601	0	
0.26	-2.92187	0	1.536165	-4.273259	2.187137	0	
0.261	-2.922759	0	1.534473	-4.274524	2.184663	0	
0.262	-2.92365	0	1.532774	-4.275793	2.182178	0	
0.263	-2.924544	0	1.531068	-4.277066	2.179682	0	
0.264	-2.925441	0	1.529354	-4.278342	2.177176	0	
0.265	-2.926339	0	1.527633	-4.279621	2.174659	0	
0.266	-2.927241	0	1.525905	-4.280904	2.172132	0	
0.267	-2.928144	0	1.52417	-4.282191	2.169594	0	
0.268	-2.929051	0	1.522428	-4.283481	2.167046	0	
0.269	-2.929959	0	1.520678	-4.284774	2.164487	0	
0.27	-2.93087	0	1.518921	-4.286071	2.161918	0	
0.271	-2.931784	0	1.517156	-4.287371	2.159338	0	
0.272	-2.9327	0	1.515385	-4.288675	2.156747	0	
0.273	-2.933618	0	1.513606	-4.289982	2.154146	0	
0.274	-2.934539	0	1.51182	-4.291292	2.151534	0	
0.275	-2.935462	0	1.510027	-4.292606	2.148912	0	
0.276	-2.936388	0	1.508226	-4.293923	2.146279	0	
0.277	-2.937316	0	1.506418	-4.295243	2.143635	0	
0.278	-2.938246	0	1.504603	-4.296567	2.140981	0	
0.279	-2.939178	0	1.50278	-4.297894	2.138316	0	
0.28	-2.940113	0	1.500951	-4.299224	2.13564	0	
0.281	-2.94105	0	1.499113	-4.300557	2.132953	0	
0.282	-2.941989	0	1.497269	-4.301894	2.130256	0	
0.283	-2.942931	0	1.495417	-4.303234	2.127548	0	
0.284	-2.943875	0	1.493558	-4.304576	2.12483	0	
0.285	-2.944821	0	1.491691	-4.305923	2.1221	0	
0.286	-2.94577	0	1.489817	-4.307271	2.11936	0	
0.287	-2.94672	0	1.487936	-4.308624	2.116609	0	
0.288	-2.947673	0	1.486047	-4.309979	2.113847	0	
0.289	-2.948628	0	1.484151	-4.311338	2.111075	0	
0.29	-2.949586	0	1.482247	-4.312699	2.108292	0	
0.291	-2.950545	0	1.480336	-4.314064	2.105498	0	
0.292	-2.951507	0	1.478418	-4.315432	2.102693	0	
0.293	-2.952471	0	1.476492	-4.316803	2.099877	0	
0.294	-2.953437	0	1.474559	-4.318176	2.09705	0	
0.295	-2.954405	0	1.472618	-4.319553	2.094213	0	
0.296	-2.955375	0	1.47067	-4.320932	2.091364	0	
0.297	-2.956347	0	1.468714	-4.322315	2.088505	0	
0.298	-2.957321	0	1.466751	-4.323701	2.085635	0	
0.299	-2.958298	0	1.464781	-4.325089	2.082754	0	
0.3	-2.959276	0	1.462803	-4.326481	2.079862	0	
0.301	-2.960257	0	1.460817	-4.327875	2.076959	0	
0.302	-2.96124	0	1.458824	-4.329272	2.074046	0	
0.303	-2.962224	0	1.456823	-4.330672	2.071121	0	
0.304	-2.963211	0	1.454815	-4.332075	2.068185	0	
0.305	-2.9642	0	1.4528	-4.33348	2.065239	0	
0.306	-2.965191	0	1.450777	-4.334888	2.062281	0	
0.307	-2.966183	0	1.448746	-4.336299	2.059313	0	
0.308	-2.967178	0	1.446708	-4.337713	2.056333	0	
0.309	-2.968175	0	1.444662	-4.33913	2.053342	0	
0.31	-2.969173	0	1.442608	-4.340549	2.05034	0	
0.311	-2.970174	0	1.440548	-4.341971	2.047328	0	
0.312	-2.971176	0	1.438479	-4.343395	2.044304	0	
0.313	-2.97218	0	1.436403	-4.344822	2.041269	0	
0.314	-2.973186	0	1.434319	-4.346252	2.038223	0	
0.315	-2.974194	0	1.432228	-4.347684	2.035166	0	
0.316	-2.975204	0	1.430129	-4.349119	2.032098	0	
0.317	-2.976216	0	1.428023	-4.350557	2.029018	0	
0.318	-2.977229	0	1.425908	-4.351997	2.025928	0	
0.319	-2.978245	0	1.423787	-4.353439	2.022826	0	
0.32	-2.979262	0	1.421657	-4.354884	2.019713	0	
0.321	-2.980281	0	1.41952	-4.356331	2.016589	0	
0.322	-2.981301	0	1.417375	-4.357781	2.013454	0	
0.323	-2.982324	0	1.415223	-4.359234	2.010308	0	
0.324	-2.983348	0	1.413062	-4.360689	2.007151	0	
0.325	-2.984374	0	1.410895	-4.362146	2.003982	0	
0.326	-2.985401	0	1.408719	-4.363605	2.000803	0	
0.327	-2.986431	0	1.406536	-4.365067	1.997611	0	
0.328	-2.987462	0	1.404345	-4.366531	1.994409	0	
0.329	-2.988494	0	1.402146	-4.367998	1.991195	0	
0.33	-2.989528	0	1.39994	-4.369466	1.98797	0	
0.331	-2.990564	0	1.397725	-4.370937	1.984734	0	
0.332	-2.991602	0	1.395504	-4.37241	1.981487	0	
0.333	-2.992641	0	1.393274	-4.373886	1.978228	0	
0.334	-2.993682	0	1.391036	-4.375363	1.974958	0	
0.335	-2.994724	0	1.388791	-4.376843	1.971676	0	
0.336	-2.995768	0	1.386538	-4.378325	1.968383	0	
0.337	-2.996813	0	1.384277	-4.379809	1.965079	0	
0.338	-2.99786	0	1.382009	-4.381295	1.961764	0	
0.339	-2.998909	0	1.379732	-4.382783	1.958437	0	
0.34	-2.999959	0	1.377448	-4.384274	1.955099	0	
0.341	-3.00101	0	1.375156	-4.385766	1.951749	0	
0.342	-3.002063	0	1.372856	-4.38726	1.948388	0	
0.343	-3.003117	0	1.370548	-4.388757	1.945015	0	
0.344	-3.004173	0	1.368233	-4.390255	1.941631	0	
0.345	-3.00523	0	1.365909	-4.391755	1.938236	0	
0.346	-3.006289	0	1.363578	-4.393257	1.934829	0	
0.347	-3.007349	0	1.361239	-4.394761	1.931411	0	
0.348	-3.00841	0	1.358892	-4.396267	1.927981	0	
0.349	-3.009473	0	1.356537	-4.397775	1.92454	0	
0.35	-3.010537	0	1.354174	-4.399284	1.921087	0	
0.351	-3.011603	0	1.351803	-4.400796	1.917622	0	
0.352	-3.012669	0	1.349424	-4.402309	1.914147	0	
0.353	-3.013737	0	1.347038	-4.403824	1.910659	0	
0.354	-3.014807	0	1.344643	-4.405341	1.90716	0	
0.355	-3.015877	0	1.342241	-4.406859	1.903649	0	
0.356	-3.016949	0	1.33983	-4.408379	1.900127	0	
0.357	-3.018022	0	1.337412	-4.409901	1.896593	0	
0.358	-3.019097	0	1.334985	-4.411424	1.893048	0	
0.359	-3.020172	0	1.332551	-4.412949	1.889491	0	
0.36	-3.021249	0	1.330109	-4.414475	1.885922	0	
0.361	-3.022327	0	1.327658	-4.416004	1.882342	0	
0.362	-3.023406	0	1.3252	-4.417533	1.87875	0	
0.363	-3.024486	0	1.322734	-4.419065	1.875146	0	
0.364	-3.025567	0	1.320259	-4.420597	1.871531	0	
0.365	-3.026649	0	1.317777	-4.422131	1.867904	0	
0.366	-3.027732	0	1.315286	-4.423666	1.864265	0	
0.367	-3.028817	0	1.312788	-4.425203	1.860615	0	
0.368	-3.029902	0	1.310281	-4.426742	1.856952	0	
0.369	-3.030989	0	1.307766	-4.428281	1.853279	0	
0.37	-3.032076	0	1.305244	-4.429822	1.849593	0	
0.371	-3.033165	0	1.302713	-4.431365	1.845895	0	
0.372	-3.034254	0	1.300174	-4.432908	1.842186	0	
0.373	-3.035344	0	1.297627	-4.434453	1.838465	0	
0.374	-3.036435	0	1.295072	-4.435999	1.834732	0	
0.375	-3.037528	0	1.292508	-4.437546	1.830988	0	
0.376	-3.038621	0	1.289937	-4.439095	1.827231	0	
0.377	-3.039715	0	1.287358	-4.440644	1.823463	0	
0.378	-3.04081	0	1.28477	-4.442195	1.819682	0	
0.379	-3.041905	0	1.282174	-4.443747	1.81589	0	
0.38	-3.043002	0	1.27957	-4.4453	1.812086	0	
0.381	-3.044099	0	1.276958	-4.446854	1.808271	0	
0.382	-3.045197	0	1.274338	-4.448409	1.804443	0	
0.383	-3.046296	0	1.271709	-4.449965	1.800603	0	
0.384	-3.047396	0	1.269072	-4.451521	1.796751	0	
0.385	-3.048496	0	1.266427	-4.453079	1.792888	0	
0.386	-3.049597	0	1.263774	-4.454638	1.789012	0	
0.387	-3.050699	0	1.261113	-4.456197	1.785125	0	
0.388	-3.051801	0	1.258443	-4.457757	1.781225	0	
0.389	-3.052904	0	1.255765	-4.459319	1.777314	0	
0.39	-3.054008	0	1.253079	-4.460881	1.77339	0	
0.391	-3.055112	0	1.250385	-4.462443	1.769455	0	
0.392	-3.056217	0	1.247682	-4.464007	1.765507	0	
0.393	-3.057322	0	1.244971	-4.465571	1.761548	0	
0.394	-3.058428	0	1.242252	-4.467136	1.757576	0	
0.395	-3.059535	0	1.239525	-4.468701	1.753592	0	
0.396	-3.060642	0	1.236789	-4.470267	1.749596	0	
0.397	-3.061749	0	1.234045	-4.471834	1.745589	0	
0.398	-3.062857	0	1.231292	-4.473402	1.741569	0	
0.399	-3.063966	0	1.228532	-4.474969	1.737537	0	
0.4	-3.065074	0	1.225763	-4.476538	1.733492	0	
0.401	-3.066184	0	1.222985	-4.478106	1.729436	0	
0.402	-3.067294	0	1.2202	-4.479676	1.725368	0	
0.403	-3.068404	0	1.217405	-4.481246	1.721287	0	
0.404	-3.069514	0	1.214603	-4.482816	1.717194	0	
0.405	-3.070625	0	1.211792	-4.484386	1.713089	0	
0.406	-3.071736	0	1.208973	-4.485957	1.708972	0	
0.407	-3.072848	0	1.206145	-4.487528	1.704843	0	
0.408	-3.07396	0	1.203309	-4.489099	1.700701	0	
0.409	-3.075072	0	1.200465	-4.490671	1.696547	0	
0.41	-3.076184	0	1.197612	-4.492242	1.692381	0	
0.411	-3.077296	0	1.194751	-4.493814	1.688203	0	
0.412	-3.078409	0	1.191881	-4.495387	1.684012	0	
0.413	-3.079522	0	1.189003	-4.496959	1.67981	0	
0.414	-3.080635	0	1.186117	-4.498531	1.675594	0	
0.415	-3.081748	0	1.183222	-4.500104	1.671367	0	
0.416	-3.082861	0	1.180318	-4.501677	1.667127	0	
0.417	-3.083975	0	1.177406	-4.503249	1.662875	0	
0.418	-3.085088	0	1.174486	-4.504822	1.658611	0	
0.419	-3.086202	0	1.171557	-4.506394	1.654334	0	
0.42	-3.087316	0	1.16862	-4.507967	1.650045	0	
0.421	-3.088429	0	1.165674	-4.509539	1.645744	0	
0.422	-3.089543	0	1.162719	-4.511111	1.64143	0	
0.423	-3.090657	0	1.159756	-4.512683	1.637104	0	
0.424	-3.09177	0	1.156785	-4.514255	1.632765	0	
0.425	-3.092883	0	1.153805	-4.515826	1.628414	0	
0.426	-3.093997	0	1.150816	-4.517397	1.624051	0	
0.427	-3.09511	0	1.147819	-4.518968	1.619675	0	
0.428	-3.096223	0	1.144814	-4.520539	1.615287	0	
0.429	-3.097336	0	1.141799	-4.522109	1.610886	0	
0.43	-3.098449	0	1.138777	-4.523679	1.606473	0	
0.431	-3.099561	0	1.135745	-4.525248	1.602047	0	
0.432	-3.100674	0	1.132705	-4.526817	1.597609	0	
0.433	-3.101786	0	1.129657	-4.528385	1.593158	0	
0.434	-3.102898	0	1.1266	-4.529953	1.588695	0	
0.435	-3.104009	0	1.123534	-4.53152	1.584219	0	
0.436	-3.105121	0	1.120459	-4.533087	1.579731	0	
0.437	-3.106232	0	1.117376	-4.534654	1.57523	0	
0.438	-3.107342	0	1.114285	-4.536219	1.570717	0	
0.439	-3.108452	0	1.111184	-4.537784	1.566191	0	
0.44	-3.109562	0	1.108075	-4.539348	1.561653	0	
0.441	-3.110672	0	1.104958	-4.540912	1.557102	0	
0.442	-3.11178	0	1.101832	-4.542474	1.552538	0	
0.443	-3.112889	0	1.098697	-4.544036	1.547962	0	
0.444	-3.113997	0	1.095553	-4.545597	1.543373	0	
