Time	10FF	11FF	12FF	13FF	14FF	15FF	16FF	17FF	18FF	19FF	1FF	20FF	21FF	22FF	23FF	24FF	25FF	2FF	3FF	4FF	5FF	6FF	7FF	8FF	9FF	
0.152	0.05316846	0.05305987	0.0538305	0.05308561	0.0538403	0.05323992	0.05306656	0.05374238	0.05386706	0.05363233	0.05395765	0.0537083	0.05335687	0.05347224	0.05423386	0.0538514	0.05355874	0.05333895	0.05400589	0.053957	0.05425401	0.05348631	0.05330123	0.05323454	0.05322658	
0.154	0.05320434	0.05310923	0.05387482	0.05311157	0.05376467	0.05329155	0.05308518	0.0536819	0.05393845	0.05372431	0.05406119	0.05378962	0.05332481	0.05343405	0.05415651	0.05395121	0.05360334	0.05340578	0.05405586	0.05389576	0.05429316	0.05354366	0.05337464	0.05324969	0.053168	
0.156	0.05321307	0.05304557	0.05395882	0.05319	0.05369956	0.05337746	0.05301286	0.05371854	0.05402254	0.05376121	0.05413659	0.05377872	0.0532778	0.05342923	0.05409286	0.0538712	0.05360132	0.05337476	0.05405743	0.05385865	0.05438355	0.0536072	0.05345386	0.05334005	0.05318997	
0.158	0.05318049	0.05297882	0.05386505	0.05315095	0.05362086	0.05345622	0.05304342	0.05372252	0.05394858	0.05373645	0.05419824	0.05379051	0.0533084	0.05352678	0.05402051	0.05383351	0.05368533	0.05337512	0.05407006	0.05392423	0.05443575	0.05356077	0.05354445	0.05331083	0.05312719	
0.16	0.05328409	0.05305707	0.05393226	0.05310215	0.05352191	0.05352545	0.05302188	0.05380465	0.05387403	0.05372122	0.05416473	0.05371363	0.05338315	0.05359935	0.05408367	0.05385697	0.05373601	0.05332263	0.05407627	0.05391211	0.05436819	0.05353958	0.05353516	0.05337115	0.05319334	
0.162	0.05336891	0.05299602	0.05389474	0.05313333	0.05352293	0.05354253	0.05296236	0.05386508	0.05396962	0.05366608	0.05421461	0.05373201	0.05346026	0.05361673	0.05410257	0.05387839	0.05384056	0.05342202	0.05403772	0.0539531	0.05434442	0.05354	0.05362938	0.05330685	0.05329226	
0.164	0.05339491	0.05301609	0.05396802	0.05322857	0.05359036	0.05349801	0.05304374	0.05384527	0.05398468	0.0535818	0.05427747	0.05371548	0.05342259	0.05355335	0.05417027	0.05396794	0.05384732	0.05342245	0.05412684	0.05388045	0.05441223	0.0535801	0.05368365	0.0533048	0.05336454	
0.166	0.05334244	0.05300724	0.05389716	0.05319462	0.0535295	0.05357433	0.05309434	0.05391474	0.05400842	0.05358114	0.05422819	0.05368549	0.05342517	0.0535858	0.05419167	0.05405203	0.05376922	0.05341805	0.05420933	0.05397161	0.05443653	0.05361351	0.05364123	0.05325645	0.05343641	
0.168	0.05325039	0.05305096	0.05392078	0.05324472	0.05358571	0.05355982	0.05316289	0.05394619	0.053983	0.05367571	0.05419597	0.05373015	0.05339226	0.05357391	0.05425274	0.05411849	0.05384514	0.05337317	0.0542527	0.05398122	0.05450597	0.05360976	0.05357862	0.053207	0.05344066	
0.17	0.05329497	0.05302235	0.05385083	0.05332752	0.05358394	0.05345909	0.05315795	0.05394145	0.05396932	0.05360273	0.05429656	0.05368337	0.0534001	0.0536458	0.05426865	0.05403809	0.05388246	0.05346582	0.05428351	0.0538887	0.05444583	0.05368115	0.05361215	0.05322944	0.05334838	
