Time	CylinderSensor	BoxSensor	BoxSensorX	CylinderSensorX	CylinderSensorY	BoxSensorY	BoxContact	CylinderContact	
0.0968	1	0	0.01265294	0.1119991	-0.3486097	-0.3566974	-0.07	0.02907766	
0.0972	1	0	0.01316738	0.1125029	-0.3484874	-0.3566404	-0.07	0.02907766	
0.0976	1	0	0.01368375	0.1130084	-0.3483644	-0.356583	-0.07	0.02926213	
0.098	1	0	0.01420207	0.1135158	-0.3482406	-0.356525	-0.07	0.02926213	
0.0984	1	0	0.01472233	0.114025	-0.3481162	-0.3564666	-0.07	0.02926213	
0.0988	1	0	0.01524453	0.114536	-0.3479909	-0.3564076	-0.07	0.02926213	
0.0992	1	0	0.01576866	0.1150489	-0.347865	-0.3563482	-0.07	0.02926213	
0.09959999	1	0	0.01629472	0.1155635	-0.3477384	-0.3562884	-0.07	0.0294097	
0.09999999	1	0	0.01682273	0.1160799	-0.347611	-0.3562281	-0.07	0.0294097	
0.1004	1	0	0.01735265	0.1165981	-0.3474831	-0.3561674	-0.07	0.0294097	
0.1008	1	0	0.0178845	0.1171181	-0.3473544	-0.3561062	-0.07	0.0294097	
0.1012	1	0	0.01841827	0.1176399	-0.3472252	-0.3560446	-0.07	0.0294097	
0.1016	1	0	0.01895396	0.1181635	-0.3470952	-0.3559826	-0.07	0.02952776	
0.102	1	0	0.01949157	0.1186888	-0.3469647	-0.3559203	-0.07	0.02952776	
0.1024	1	0	0.02003109	0.119216	-0.3468335	-0.3558576	-0.07	0.02952776	
0.1028	1	0	0.02057252	0.1197449	-0.3467018	-0.3557945	-0.07	0.02952776	
0.1032	1	0	0.02111586	0.1202755	-0.3465695	-0.3557311	-0.07	0.02952776	
0.1036	1	0	0.02166109	0.1208079	-0.3464366	-0.3556674	-0.07	0.0296222	
0.104	1	0	0.02220824	0.1213421	-0.3463032	-0.3556033	-0.07	0.0296222	
0.1044	1	0	0.02275728	0.1218781	-0.3461693	-0.355539	-0.07	0.0296222	
0.1048	1	0	0.02330822	0.1224157	-0.3460347	-0.3554743	-0.07	0.0296222	
0.1052	1	0	0.02386105	0.1229552	-0.3458998	-0.3554094	-0.07	0.0296222	
0.1056	1	0	0.02441576	0.1234964	-0.3457642	-0.3553441	-0.07	0.02969776	
0.106	1	0	0.02497237	0.1240393	-0.3456283	-0.3552787	-0.07	0.02969776	
0.1064	1	0	0.02553085	0.124584	-0.3454917	-0.355213	-0.07	0.02969776	
0.1068	1	0	0.02609122	0.1251303	-0.3453548	-0.355147	-0.07	0.02969776	
0.1072	1	0	0.02665346	0.1256785	-0.3452173	-0.3550808	-0.07	0.02969776	
0.1076	1	0	0.02721757	0.1262283	-0.3450794	-0.3550143	-0.07	0.02975821	
0.108	1	0	0.02778356	0.1267798	-0.3449411	-0.3549477	-0.07	0.02975821	
0.1084	1	0	0.02835141	0.1273331	-0.3448023	-0.3548808	-0.07	0.02975821	
0.1088	1	0	0.02892113	0.1278881	-0.3446631	-0.3548137	-0.07	0.02975821	
0.1092	1	0	0.02949272	0.1284448	-0.3445235	-0.3547465	-0.07	0.02975821	
0.1096	1	0	0.03006616	0.1290032	-0.3443835	-0.3546791	-0.07	0.02980656	
0.11	1	0	0.03064145	0.1295633	-0.3442431	-0.3546115	-0.07	0.02980656	
0.1104	1	0	0.03121859	0.130125	-0.3441023	-0.3545438	-0.07	0.02980656	
