Time	Tension	Length	Ia	II	
2.206	31.54606	0.3343609	65.08008	26.92809	
2.207	31.53661	0.3343604	65.07063	26.92897	
2.208	31.5142	0.3343599	65.04822	26.93116	
2.209	31.47862	0.3343593	65.01263	26.93467	
2.21	31.44118	0.3343588	64.9752	26.93836	
2.211	31.4376	0.3343583	64.97163	26.93867	
2.212	31.45444	0.3343578	64.98846	26.93694	
2.213	31.48067	0.3343573	65.01469	26.93426	
2.214	31.50804	0.3343568	65.04206	26.93148	
2.215	31.53074	0.3343563	65.06476	26.92916	
2.216	31.54486	0.3343558	65.07888	26.92769	
2.217	31.54799	0.3343553	65.08201	26.92733	
2.218	31.53872	0.3343548	65.07275	26.92821	
2.219	31.51643	0.3343544	65.05045	26.93039	
2.22	31.481	0.3343539	65.01501	26.93389	
2.221	31.44367	0.3343534	64.97769	26.93757	
2.222	31.44027	0.334353	64.9743	26.93787	
2.223	31.45721	0.3343525	64.99123	26.93613	
2.224	31.48361	0.3343521	65.01763	26.93345	
2.225	31.51112	0.3343516	65.04514	26.93065	
2.226	31.53396	0.3343512	65.06799	26.92832	
2.227	31.54825	0.3343508	65.08227	26.92685	
2.228	31.55149	0.3343503	65.0855	26.92648	
2.229	31.54238	0.3343499	65.0764	26.92735	
2.23	31.52022	0.3343495	65.05424	26.92953	
2.231	31.48492	0.3343491	65.01894	26.93302	
2.232	31.44771	0.3343487	64.98173	26.9367	
2.233	31.44441	0.3343483	64.97843	26.93699	
2.234	31.4615	0.3343479	64.99552	26.93524	
2.235	31.48801	0.3343475	65.02202	26.93255	
2.236	31.51569	0.3343472	65.04971	26.92975	
2.237	31.53866	0.3343468	65.07269	26.92741	
2.238	31.55307	0.3343464	65.08709	26.92594	
2.239	31.55647	0.3343461	65.09049	26.92556	
2.24	31.54745	0.3343458	65.08146	26.92643	
2.241	31.52538	0.3343454	65.0594	26.9286	
2.242	31.49018	0.3343451	65.0242	26.93209	
2.243	31.45306	0.3343447	64.98708	26.93576	
2.244	31.44991	0.3343444	64.98393	26.93605	
2.245	31.46708	0.3343441	65.0011	26.9343	
2.246	31.49372	0.3343438	65.02773	26.9316	
2.247	31.52154	0.3343435	65.05556	26.9288	
2.248	31.54464	0.3343432	65.07866	26.92646	
2.249	31.55914	0.3343429	65.09316	26.92498	
2.25	31.56263	0.3343427	65.09666	26.9246	
2.251	31.55375	0.3343424	65.08777	26.92546	
2.252	31.53176	0.3343421	65.06579	26.92763	
2.253	31.49664	0.3343419	65.03065	26.93112	
2.254	31.45964	0.3343416	64.99367	26.9348	
2.255	31.45658	0.3343414	64.99059	26.93508	
2.256	31.47392	0.3343412	65.00794	26.93332	
2.257	31.50064	0.334341	65.03466	26.93063	
2.258	31.52855	0.3343408	65.06257	26.92782	
2.259	31.55175	0.3343405	65.08577	26.92548	
2.26	31.56633	0.3343403	65.10035	26.924	
2.261	31.56989	0.3343401	65.10392	26.92362	
2.262	31.56105	0.3343399	65.09507	26.92448	
2.263	31.53918	0.3343397	65.0732	26.92665	
2.264	31.50414	0.3343395	65.03816	26.93014	
2.265	31.46717	0.3343393	65.00119	26.93381	
2.266	31.46414	0.3343391	64.99816	26.9341	
2.267	31.48155	0.334339	65.01557	26.93234	
2.268	31.50834	0.3343388	65.04236	26.92965	
2.269	31.53628	0.3343386	65.0703	26.92683	
2.27	31.55955	0.3343385	65.09357	26.92449	
2.271	31.57419	0.3343383	65.10821	26.92301	
2.272	31.57781	0.3343382	65.11183	26.92263	
2.273	31.56902	0.334338	65.10304	26.9235	
2.274	31.54717	0.3343379	65.08119	26.92566	
2.275	31.51215	0.3343377	65.04616	26.92916	
2.276	31.47525	0.3343376	65.00928	26.93283	
2.277	31.47224	0.3343374	65.00626	26.93312	
2.278	31.48967	0.3343373	65.02369	26.93136	
2.279	31.51648	0.3343372	65.05051	26.92867	
2.28	31.54448	0.3343371	65.0785	26.92586	
2.281	31.56777	0.3343369	65.10178	26.92351	
2.282	31.58243	0.3343368	65.11645	26.92204	
2.283	31.58607	0.3343367	65.12009	26.92166	
2.284	31.57728	0.3343365	65.11131	26.92252	
2.285	31.55544	0.3343364	65.08946	26.9247	
2.286	31.52043	0.3343363	65.05444	26.92819	
2.287	31.48354	0.3343362	65.01756	26.93187	
2.288	31.4805	0.3343361	65.01453	26.93216	
2.289	31.49795	0.334336	65.03197	26.9304	
2.29	31.52481	0.3343359	65.05883	26.92771	
2.291	31.55279	0.3343358	65.08681	26.9249	
2.292	31.57609	0.3343357	65.11012	26.92256	
2.293	31.59079	0.3343356	65.12481	26.92108	
2.294	31.59441	0.3343355	65.12843	26.92071	
2.295	31.58563	0.3343354	65.11965	26.92157	
2.296	31.56377	0.3343353	65.09779	26.92375	
2.297	31.52875	0.3343352	65.06277	26.92724	
2.298	31.4918	0.3343351	65.02582	26.93092	
2.299	31.4888	0.334335	65.02282	26.93121	
2.3	31.50625	0.3343349	65.04028	26.92946	
2.301	31.53309	0.3343348	65.06712	26.92677	
2.302	31.56108	0.3343347	65.0951	26.92396	
2.303	31.58442	0.3343347	65.11845	26.92162	
2.304	31.59907	0.3343346	65.13309	26.92015	
2.305	31.60272	0.3343345	65.13674	26.91978	
2.306	31.59391	0.3343344	65.12793	26.92065	
2.307	31.57204	0.3343343	65.10606	26.92283	
2.308	31.53699	0.3343343	65.07101	26.92632	
2.309	31.5001	0.3343342	65.03411	26.93001	
2.31	31.49704	0.3343341	65.03106	26.93031	
2.311	31.51449	0.3343341	65.04852	26.92856	
2.312	31.54134	0.334334	65.07536	26.92587	
2.313	31.56933	0.334334	65.10336	26.92306	
2.314	31.59258	0.3343339	65.12659	26.92073	
2.315	31.60726	0.3343338	65.14127	26.91925	
2.316	31.61088	0.3343337	65.1449	26.91888	
2.317	31.60207	0.3343337	65.13609	26.91976	
2.318	31.58019	0.3343336	65.11421	26.92194	
2.319	31.5451	0.3343335	65.07912	26.92544	
2.32	31.50817	0.3343335	65.04218	26.92913	
2.321	31.50513	0.3343334	65.03915	26.92943	
2.322	31.52253	0.3343334	65.05655	26.92768	
2.323	31.54937	0.3343334	65.08338	26.925	
2.324	31.57733	0.3343333	65.11135	26.9222	
2.325	31.60061	0.3343333	65.13463	26.91986	
2.326	31.61526	0.3343332	65.14928	26.91839	
2.327	31.61884	0.3343332	65.15286	26.91803	
2.328	31.61002	0.3343331	65.14405	26.91891	
2.329	31.58811	0.3343331	65.12213	26.92109	
2.33	31.55304	0.334333	65.08707	26.9246	
2.331	31.51606	0.334333	65.05008	26.92829	
