Time	Y	
0.701	-0.6086538	
0.702	-0.6100344	
0.703	-0.6114151	
0.7040001	-0.612796	
0.705	-0.614177	
0.706	-0.6155581	
0.707	-0.6169395	
0.708	-0.6183209	
0.7090001	-0.6197024	
0.71	-0.6210841	
0.711	-0.6224659	
0.712	-0.6238479	
0.7130001	-0.62523	
0.714	-0.6266121	
0.715	-0.6279945	
0.716	-0.6293769	
0.717	-0.6307595	
0.7180001	-0.6321422	
0.719	-0.6335251	
0.72	-0.6349081	
0.721	-0.6362912	
0.7220001	-0.6376744	
0.723	-0.6390578	
0.724	-0.6404412	
0.725	-0.6418248	
0.726	-0.6432084	
0.7270001	-0.6445923	
0.728	-0.6459762	
0.729	-0.6473603	
0.73	-0.6487445	
0.731	-0.6501287	
0.7320001	-0.6515131	
0.733	-0.6528976	
0.734	-0.6542823	
0.735	-0.655667	
0.7360001	-0.6570518	
0.737	-0.6584368	
0.738	-0.6598219	
0.739	-0.661207	
0.74	-0.6625923	
0.7410001	-0.6639777	
0.742	-0.6653632	
0.743	-0.6667488	
0.744	-0.6681345	
0.7450001	-0.6695203	
0.7460001	-0.6709062	
0.747	-0.6722922	
0.748	-0.6736783	
0.749	-0.6750646	
0.7500001	-0.6764509	
0.751	-0.6778373	
0.752	-0.6792238	
0.753	-0.6806104	
0.754	-0.6819972	
0.7550001	-0.683384	
0.756	-0.6847709	
0.757	-0.6861579	
0.758	-0.6875451	
0.7590001	-0.6889323	
0.7600001	-0.6903196	
0.761	-0.691707	
0.762	-0.6930945	
0.763	-0.6944821	
0.7640001	-0.6958697	
0.765	-0.6972575	
0.766	-0.6986453	
0.767	-0.7000332	
0.768	-0.7014213	
0.7690001	-0.7028094	
0.77	-0.7041976	
0.771	-0.7055859	
0.772	-0.7069743	
0.7730001	-0.7083628	
0.774	-0.7097513	
0.775	-0.7111399	
0.776	-0.7125286	
0.777	-0.7139174	
0.7780001	-0.7153063	
0.779	-0.7166952	
0.78	-0.7180843	
0.781	-0.7194734	
0.7820001	-0.7208626	
0.7830001	-0.722252	
0.784	-0.7236413	
0.785	-0.7250308	
0.786	-0.7264203	
0.7870001	-0.7278098	
0.788	-0.7291996	
0.789	-0.7305893	
0.79	-0.7319791	
0.791	-0.7333691	
0.7920001	-0.734759	
0.793	-0.7361491	
0.794	-0.7375392	
0.795	-0.7389295	
0.7960001	-0.7403197	
0.7970001	-0.7417101	
0.798	-0.7431005	
0.799	-0.744491	
0.8	-0.7458816	
0.8010001	-0.7472722	
0.802	-0.7486629	
0.803	-0.7500537	
0.804	-0.7514445	
0.8050001	-0.7528355	
0.8060001	-0.7542264	
0.807	-0.7556176	
0.808	-0.7570087	
0.809	-0.7583998	
0.8100001	-0.7597911	
0.811	-0.7611824	
0.812	-0.7625738	
0.813	-0.7639653	
0.814	-0.7653568	
0.8150001	-0.7667484	
0.816	-0.76814	
0.817	-0.7695317	
0.818	-0.7709236	
0.8190001	-0.7723154	
0.8200001	-0.7737073	
0.821	-0.7750992	
0.822	-0.7764912	
0.823	-0.7778833	
0.8240001	-0.7792754	
0.825	-0.7806677	
0.826	-0.7820599	
0.827	-0.7834522	
0.8280001	-0.7848446	
0.8290001	-0.786237	
0.83	-0.7876295	
0.831	-0.7890221	
0.832	-0.7904147	
0.8330001	-0.7918074	
0.8340001	-0.7932	
0.835	-0.7945928	
0.836	-0.7959856	
0.837	-0.7973785	
0.8380001	-0.7987715	
0.839	-0.8001645	
0.84	-0.8015575	
0.841	-0.8029507	
0.8420001	-0.8043438	
0.8430001	-0.805737	
0.844	-0.8071303	
0.845	-0.8085236	
0.846	-0.8099169	
0.8470001	-0.8113103	
0.848	-0.8127038	
0.849	-0.8140973	
0.85	-0.8154909	
0.851	-0.8168845	
0.8520001	-0.8182783	
0.853	-0.8196719	
0.854	-0.8210657	
0.855	-0.8224595	
0.8560001	-0.8238534	
0.8570001	-0.8252473	
0.858	-0.8266413	
0.859	-0.8280353	
0.86	-0.8294293	
