Time	A1	A2	A3	A4	A5	A6	
38.406	0	0	0	0	0.05499977	8.950959E-06	
38.408	0	0	0	0	0.05492646	8.939027E-06	
38.41	0	0	0	0	0.05485326	8.927105E-06	
38.412	0	0	0	0	0.05478019	8.915202E-06	
38.414	0	0	0	0	0.05470717	8.903327E-06	
38.416	0	0	0	0	0.05463427	8.891468E-06	
38.418	0	0	0	0	0.0545615	8.879604E-06	
38.42	0	0	0	0	0.05448878	8.867759E-06	
38.422	0	0	0	0	0.05441624	8.855943E-06	
38.424	0	0	0	0	0.0543437	8.844137E-06	
38.426	0	0	0	0	0.05427128	8.832369E-06	
38.428	0	0	0	0	0.05419892	8.820596E-06	
38.43	0	0	0	0	0.05412674	8.808853E-06	
38.432	0	0	0	0	0.05405462	8.797109E-06	
38.434	0	0	0	0	0.05398256	8.78538E-06	
38.436	0	0	0	0	0.05391067	8.773681E-06	
38.438	0	0	0	0	0.05383885	8.761996E-06	
38.44	0	0	0	0	0.05376714	8.750329E-06	
38.442	0	0	0	0	0.05369544	8.738672E-06	
38.444	0	0	0	0	0.05362391	8.727031E-06	
38.446	0	0	0	0	0.05355245	8.715389E-06	
38.448	0	0	0	0	0.0534811	8.703777E-06	
38.45	0	0	0	0	0.05340987	8.692194E-06	
38.452	0	0	0	0	0.05333871	8.68061E-06	
38.454	0	0	0	0	0.05326766	8.669042E-06	
38.456	0	0	0	0	0.05319661	8.657487E-06	
38.458	0	0	0	0	0.0531258	8.645962E-06	
38.46	0	0	0	0	0.05305499	8.634437E-06	
38.462	0	0	0	0	0.0529843	8.622908E-06	
38.464	0	0	0	0	0.05291367	8.611427E-06	
38.466	0	0	0	0	0.05284315	8.599964E-06	
38.468	0	0	0	0	0.05277276	8.588497E-06	
38.47	0	0	0	0	0.05270243	8.577059E-06	
38.472	0	0	0	0	0.05263215	8.565636E-06	
38.474	0	0	0	0	0.05256206	8.554194E-06	
38.476	0	0	0	0	0.05249202	8.5428E-06	
38.478	0	0	0	0	0.05242205	8.53142E-06	
38.48	0	0	0	0	0.05235219	8.520041E-06	
38.482	0	0	0	0	0.05228245	8.50869E-06	
38.484	0	0	0	0	0.05221277	8.497354E-06	
38.486	0	0	0	0	0.05214316	8.486033E-06	
38.488	0	0	0	0	0.05207366	8.474726E-06	
38.49	0	0	0	0	0.05200428	8.463452E-06	
38.492	0	0	0	0	0.05193502	8.452174E-06	
38.494	0	0	0	0	0.05186582	8.440911E-06	
38.496	0	0	0	0	0.05179667	8.429681E-06	
38.498	0	0	0	0	0.05172765	8.418447E-06	
38.5	0	0	0	0	0.05165875	8.407209E-06	
38.502	0	0	0	0	0.05158991	8.396022E-06	
38.504	0	0	0	0	0.05152112	8.384864E-06	
38.506	0	0	0	0	0.05145252	8.37367E-06	
38.508	0	0	0	0	0.05138397	8.362509E-06	
38.51	0	0	0	0	0.05131549	8.351395E-06	
38.512	0	0	0	0	0.05124712	8.340281E-06	
38.514	0	0	0	0	0.05117875	8.329163E-06	
38.516	0	0	0	0	0.05111063	8.318078E-06	
38.518	0	0	0	0	0.0510425	8.30699E-06	
38.52	0	0	0	0	0.05097449	8.295949E-06	
38.522	0	0	0	0	0.05090654	8.284907E-06	
38.524	0	0	0	0	0.05083877	8.273877E-06	
38.526	0	0	0	0	0.050771	8.262828E-06	
38.528	0	0	0	0	0.05070335	8.251813E-06	
38.53	0	0	0	0	0.05063576	8.240826E-06	
38.532	0	0	0	0	0.05056828	8.229839E-06	
38.534	0	0	0	0	0.05050093	8.218882E-06	
38.536	0	0	0	0	0.05043364	8.207924E-06	
38.538	0	0	0	0	0.05036646	8.196981E-06	
38.54	0	0	0	0	0.05029935	8.186085E-06	
38.542	0	0	0	0	0.05023223	8.17519E-06	
38.544	0	0	0	0	0.05016536	8.16429E-06	
38.546	0	0	0	0	0.05009854	8.15342E-06	
38.548	0	0	0	0	0.05003178	8.142568E-06	
38.55	0	0	0	0	0.04996508	8.131712E-06	
38.552	0	0	0	0	0.04989845	8.120867E-06	
38.554	0	0	0	0	0.04983205	8.110059E-06	
38.556	0	0	0	0	0.04976565	8.09928E-06	
38.558	0	0	0	0	0.04969931	8.088482E-06	
38.56	0	0	0	0	0.04963309	8.077717E-06	
38.562	0	0	0	0	0.04956692	8.066982E-06	
38.564	0	0	0	0	0.04950088	8.056228E-06	
38.566	0	0	0	0	0.04943496	8.045521E-06	
38.568	0	0	0	0	0.0493691	8.034796E-06	
38.57	0	0	0	0	0.04930335	8.024086E-06	
38.572	0	0	0	0	0.04923761	8.013409E-06	
38.574	0	0	0	0	0.04917198	8.002728E-06	
38.576	0	0	0	0	0.04910648	7.992076E-06	
38.578	0	0	0	0	0.04904109	7.981442E-06	
38.58	0	0	0	0	0.04897571	7.970837E-06	
38.582	0	0	0	0	0.04891044	7.960214E-06	
38.584	0	0	0	0	0.04884523	7.949624E-06	
38.586	0	0	0	0	0.04878014	7.939048E-06	
38.588	0	0	0	0	0.04871517	7.928469E-06	
38.59	0	0	0	0	0.04865026	7.917923E-06	
38.592	0	0	0	0	0.04858547	7.907376E-06	
38.594	0	0	0	0	0.04852074	7.896873E-06	
38.596	0	0	0	0	0.04845601	7.886352E-06	
38.598	0	0	0	0	0.04839146	7.875864E-06	
38.6	0	0	0	0	0.04832703	7.865376E-06	
38.602	0	0	0	0	0.04826266	7.854898E-06	
38.604	0	0	0	0	0.04819834	7.844435E-06	
38.606	0	0	0	0	0.04813409	7.833987E-06	
38.608	0	0	0	0	0.04806995	7.823553E-06	
38.61	0	0	0	0	0.04800588	7.81312E-06	
38.612	0	0	0	0	0.04794186	7.802733E-06	
38.614	0	0	0	0	0.04787803	7.792329E-06	
38.616	0	0	0	0	0.04781425	7.781953E-06	
38.618	0	0	0	0	0.04775053	7.771578E-06	
38.62	0	0	0	0	0.04768693	7.761217E-06	
38.622	0	0	0	0	0.04762334	7.75087E-06	
38.624	0	0	0	0	0.04755992	7.740538E-06	
38.626	0	0	0	0	0.0474965	7.730217E-06	
38.628	0	0	0	0	0.0474332	7.719915E-06	
38.63	0	0	0	0	0.04737002	7.709627E-06	
38.632	0	0	0	0	0.04730695	7.699338E-06	
38.634	0	0	0	0	0.04724389	7.689094E-06	
38.636	0	0	0	0	0.04718095	7.678849E-06	
38.638	0	0	0	0	0.04711807	7.668619E-06	
38.64	0	0	0	0	0.04705524	7.658404E-06	
38.642	0	0	0	0	0.04699254	7.648221E-06	
38.644	0	0	0	0	0.04692996	7.63802E-06	
38.646	0	0	0	0	0.04686743	7.627848E-06	
38.648	0	0	0	0	0.04680496	7.617677E-06	
38.65	0	0	0	0	0.04674262	7.607519E-06	
38.652	0	0	0	0	0.04668033	7.597377E-06	
38.654	0	0	0	0	0.04661816	7.587281E-06	
38.656	0	0	0	0	0.046556	7.577168E-06	
38.658	0	0	0	0	0.04649395	7.56705E-06	
38.66	0	0	0	0	0.04643202	7.556984E-06	
38.662	0	0	0	0	0.04637021	7.546914E-06	
38.664	0	0	0	0	0.0463084	7.536859E-06	
38.666	0	0	0	0	0.04624671	7.526818E-06	
38.668	0	0	0	0	0.04618508	7.516777E-06	
38.67	0	0	0	0	0.04612356	7.506747E-06	
38.672	0	0	0	0	0.04606211	7.49675E-06	
38.674	0	0	0	0	0.04600072	7.486771E-06	
38.676	0	0	0	0	0.04593939	7.476803E-06	
38.678	0	0	0	0	0.04587811	7.466835E-06	
38.68	0	0	0	0	0.04581708	7.456896E-06	
38.682	0	0	0	0	0.04575604	7.446957E-06	
38.684	0	0	0	0	0.04569507	7.437033E-06	
38.686	0	0	0	0	0.04563421	7.427123E-06	
38.688	0	0	0	0	0.04557341	7.417209E-06	
38.69	0	0	0	0	0.04551268	7.407329E-06	
38.692	0	0	0	0	0.04545206	7.397462E-06	
38.694	0	0	0	0	0.0453915	7.387614E-06	
38.696	0	0	0	0	0.04533094	7.377777E-06	
38.698	0	0	0	0	0.04527056	7.367958E-06	
38.7	0	0	0	0	0.04521018	7.35815E-06	
38.702	0	0	0	0	0.04514992	7.348342E-06	
38.704	0	0	0	0	0.04508978	7.338549E-06	
38.706	0	0	0	0	0.04502976	7.32877E-06	
38.708	0	0	0	0	0.04496974	7.319006E-06	
38.71	0	0	0	0	0.04490989	7.309256E-06	
38.712	0	0	0	0	0.04485005	7.299524E-06	
38.714	0	0	0	0	0.04479027	7.289804E-06	
38.716	0	0	0	0	0.0447306	7.280116E-06	
38.718	0	0	0	0	0.044671	7.27041E-06	
38.72	0	0	0	0	0.04461145	7.260718E-06	
38.722	0	0	0	0	0.04455203	7.251041E-06	
38.724	0	0	0	0	0.04449266	7.241393E-06	
38.726	0	0	0	0	0.0444333	7.231713E-06	
38.728	0	0	0	0	0.04437411	7.222094E-06	
38.73	0	0	0	0	0.04431492	7.21246E-06	
38.732	0	0	0	0	0.04425585	7.202838E-06	
38.734	0	0	0	0	0.0441969	7.193234E-06	
38.736	0	0	0	0	0.04413807	7.183658E-06	
38.738	0	0	0	0	0.04407924	7.174083E-06	
38.74	0	0	0	0	0.04402059	7.164523E-06	
38.742	0	0	0	0	0.04396194	7.154977E-06	
