Time	II	Ia	Length	
0.684	153.3961	81.28961	0.5	
0.685	153.3895	81.30972	0.5	
0.686	153.383	81.32974	0.5	
0.687	153.3765	81.34968	0.5	
0.688	153.37	81.36955	0.5	
0.689	153.3635	81.38936	0.5	
0.69	153.357	81.40907	0.5	
0.691	153.3506	81.42872	0.5	
0.692	153.3442	81.4483	0.5	
0.693	153.3378	81.4678	0.5	
0.694	153.3315	81.48723	0.5	
0.695	153.3251	81.50658	0.5	
0.696	153.3188	81.52586	0.5	
0.697	153.3125	81.54507	0.5	
0.698	153.3063	81.56421	0.5	
0.699	153.3	81.58327	0.5	
0.7	153.2938	81.60226	0.5	
0.701	153.2876	81.62119	0.5	
0.702	153.2814	81.64004	0.5	
0.703	153.2753	81.65881	0.5	
0.704	153.2692	81.67751	0.5	
0.705	153.2631	81.69615	0.5	
0.706	153.257	81.71471	0.5	
0.707	153.2509	81.73321	0.5	
0.708	153.2449	81.75163	0.5	
0.709	153.2389	81.77	0.5	
0.71	153.2329	81.78828	0.5	
0.711	153.227	81.80649	0.5	
0.712	153.221	81.82464	0.5	
0.713	153.2151	81.84272	0.5	
0.714	153.2092	81.86073	0.5	
0.715	153.2034	81.87867	0.5	
0.716	153.1975	81.89655	0.5	
0.717	153.1917	81.91435	0.5	
0.718	153.1859	81.93208	0.5	
0.719	153.1801	81.94975	0.5	
0.72	153.1743	81.96736	0.5	
0.721	153.1686	81.9849	0.5	
0.722	153.1629	82.00237	0.5	
0.723	153.1572	82.01978	0.5	
0.724	153.1515	82.0371	0.5	
0.725	153.1458	82.05438	0.5	
0.726	153.1402	82.07159	0.5	
0.727	153.1346	82.08872	0.5	
0.728	153.129	82.1058	0.5	
0.729	153.1234	82.12281	0.5	
0.73	153.1179	82.13976	0.5	
0.731	153.1124	82.15663	0.5	
0.732	153.1069	82.17345	0.5	
0.733	153.1014	82.1902	0.5	
0.734	153.0959	82.20689	0.5	
0.735	153.0905	82.22351	0.5	
0.736	153.0851	82.24007	0.5	
