Time	Angle	
1.683	0.9720241	
1.684	0.9717682	
1.685	0.9715106	
1.686	0.9712515	
1.687	0.9709907	
1.688	0.9707283	
1.689	0.9704643	
1.69	0.9701987	
1.691	0.9699315	
1.692	0.9696627	
1.693	0.9693922	
1.694	0.9691203	
1.695	0.9688466	
1.696	0.9685714	
1.697	0.9682944	
1.698	0.968016	
1.699	0.9677357	
1.7	0.967454	
1.701	0.9671705	
1.702	0.9668856	
1.703	0.9665989	
1.704	0.9663108	
1.705	0.9660211	
1.706	0.9657297	
1.707	0.9654366	
1.708	0.965142	
1.709	0.9648457	
1.71	0.9645478	
1.711	0.9642484	
1.712	0.9639472	
1.713	0.9636445	
1.714	0.9633402	
1.715	0.9630343	
1.716	0.9627267	
1.717	0.9624173	
1.718	0.9621065	
1.719	0.9617942	
1.72	0.9614801	
1.721	0.9611646	
1.722	0.9608473	
1.723	0.9605285	
1.724	0.960208	
1.725	0.9598861	
1.726	0.9595624	
1.727	0.9592373	
1.728	0.9589105	
1.729	0.958582	
1.73	0.9582518	
1.731	0.9579203	
1.732	0.9575871	
1.733	0.9572522	
1.734	0.9569158	
1.735	0.9565778	
1.736	0.9562382	
1.737	0.9558971	
1.738	0.9555542	
1.739	0.9552098	
1.74	0.9548637	
1.741	0.9545161	
1.742	0.9541668	
1.743	0.953816	
1.744	0.9534637	
1.745	0.9531096	
1.746	0.952754	
1.747	0.9523968	
1.748	0.952038	
1.749	0.9516776	
1.75	0.9513156	
1.751	0.9509521	
1.752	0.9505869	
1.753	0.95022	
1.754	0.9498516	
1.755	0.9494818	
1.756	0.9491101	
1.757	0.948737	
1.758	0.9483623	
1.759	0.947986	
1.76	0.9476081	
1.761	0.9472287	
1.762	0.9468476	
1.763	0.946465	
1.764	0.9460807	
1.765	0.9456947	
1.766	0.9453073	
1.767	0.9449183	
1.768	0.9445277	
1.769	0.9441354	
1.77	0.9437417	
1.771	0.9433464	
1.772	0.9429494	
1.773	0.942551	
1.774	0.9421507	
1.775	0.9417489	
1.776	0.9413456	
1.777	0.9409406	
1.778	0.9405342	
1.779	0.9401261	
1.78	0.9397165	
1.781	0.9393052	
1.782	0.9388925	
