Time	Angle	
1.549	1.277787	
1.55	1.277795	
1.551	1.2778	
1.552	1.277803	
1.553	1.277805	
1.554	1.277805	
1.555	1.277803	
1.556	1.277799	
1.557	1.277793	
1.558	1.277785	
1.559	1.277775	
1.56	1.277764	
1.561	1.27775	
1.562	1.277735	
1.563	1.277718	
1.564	1.277699	
1.565	1.277678	
1.566	1.277655	
1.567	1.277631	
1.568	1.277604	
1.569	1.277576	
1.57	1.277545	
1.571	1.277513	
1.572	1.277479	
1.573	1.277443	
1.574	1.277406	
1.575	1.277366	
1.576	1.277324	
1.577	1.277281	
1.578	1.277236	
1.579	1.277188	
1.58	1.277139	
1.581	1.277088	
1.582	1.277035	
1.583	1.276981	
1.584	1.276924	
1.585	1.276866	
1.586	1.276806	
1.587	1.276743	
1.588	1.276679	
1.589	1.276613	
1.59	1.276545	
1.591	1.276476	
1.592	1.276404	
1.593	1.276331	
1.594	1.276255	
1.595	1.276178	
1.596	1.276099	
1.597	1.276018	
1.598	1.275935	
1.599	1.275851	
1.6	1.275764	
1.601	1.275675	
1.602	1.275585	
1.603	1.275493	
1.604	1.275399	
1.605	1.275303	
1.606	1.275205	
1.607	1.275105	
1.608	1.275004	
1.609	1.2749	
1.61	1.274795	
1.611	1.274688	
1.612	1.274578	
1.613	1.274467	
1.614	1.274355	
1.615	1.27424	
1.616	1.274123	
1.617	1.274005	
1.618	1.273884	
1.619	1.273762	
1.62	1.273638	
1.621	1.273512	
1.622	1.273384	
1.623	1.273255	
1.624	1.273123	
1.625	1.272989	
1.626	1.272854	
1.627	1.272717	
1.628	1.272578	
1.629	1.272437	
1.63	1.272294	
1.631	1.272149	
1.632	1.272003	
1.633	1.271854	
1.634	1.271704	
1.635	1.271552	
1.636	1.271397	
1.637	1.271241	
1.638	1.271084	
1.639	1.270924	
1.64	1.270762	
1.641	1.270599	
1.642	1.270434	
1.643	1.270266	
1.644	1.270097	
1.645	1.269926	
1.646	1.269754	
1.647	1.269579	
1.648	1.269402	
1.649	1.269224	
1.65	1.269044	
1.651	1.268861	
1.652	1.268677	
1.653	1.268491	
1.654	1.268304	
1.655	1.268114	
1.656	1.267922	
1.657	1.267729	
1.658	1.267534	
1.659	1.267336	
1.66	1.267137	
1.661	1.266937	
1.662	1.266734	
1.663	1.266529	
1.664	1.266323	
1.665	1.266114	
1.666	1.265904	
1.667	1.265692	
1.668	1.265478	
1.669	1.265262	
1.67	1.265044	
1.671	1.264825	
1.672	1.264603	
1.673	1.26438	
1.674	1.264155	
1.675	1.263928	
1.676	1.263699	
1.677	1.263468	
1.678	1.263235	
1.679	1.263001	
1.68	1.262764	
1.681	1.262526	
1.682	1.262286	
1.683	1.262044	
1.684	1.2618	
1.685	1.261554	
1.686	1.261306	
1.687	1.261057	
1.688	1.260805	
1.689	1.260552	
1.69	1.260297	
1.691	1.26004	
1.692	1.259781	
1.693	1.259521	
1.694	1.259258	
1.695	1.258994	
1.696	1.258727	
1.697	1.258459	
1.698	1.258189	
1.699	1.257917	
1.7	1.257644	
1.701	1.257368	
1.702	1.25709	
1.703	1.256811	
1.704	1.25653	
1.705	1.256247	
1.706	1.255962	
1.707	1.255675	
1.708	1.255386	
1.709	1.255096	
1.71	1.254803	
1.711	1.254509	
1.712	1.254213	
1.713	1.253915	
1.714	1.253615	
1.715	1.253313	
1.716	1.25301	
1.717	1.252704	
1.718	1.252397	
1.719	1.252088	
1.72	1.251777	
1.721	1.251464	
1.722	1.251149	
1.723	1.250833	
1.724	1.250514	
1.725	1.250194	
1.726	1.249871	
1.727	1.249547	
1.728	1.249221	
1.729	1.248893	
1.73	1.248564	
1.731	1.248232	
1.732	1.247899	
1.733	1.247564	
1.734	1.247227	
1.735	1.246888	
1.736	1.246547	
1.737	1.246204	
1.738	1.24586	
1.739	1.245514	
1.74	1.245165	
1.741	1.244815	
1.742	1.244463	
1.743	1.244109	
1.744	1.243754	
1.745	1.243396	
1.746	1.243037	
1.747	1.242675	
1.748	1.242312	
1.749	1.241947	
1.75	1.24158	
1.751	1.241212	
1.752	1.240841	
1.753	1.240469	
1.754	1.240095	
1.755	1.239719	
1.756	1.239341	
1.757	1.238961	
1.758	1.238579	
1.759	1.238196	
1.76	1.23781	
1.761	1.237423	
1.762	1.237034	
1.763	1.236643	
1.764	1.23625	
1.765	1.235856	
1.766	1.235459	
1.767	1.235061	
1.768	1.234661	
1.769	1.234259	
1.77	1.233855	
1.771	1.233449	
1.772	1.233042	
1.773	1.232632	
1.774	1.232221	
1.775	1.231808	
1.776	1.231393	
1.777	1.230976	
1.778	1.230557	
1.779	1.230137	
1.78	1.229714	
1.781	1.22929	
1.782	1.228864	
