Time	FF	Vm	Ie	
0.606	0.2703702	-0.03849545	0	
0.608	0.2364889	-0.04059576	0	
0.61	0.2050241	-0.04255604	0	
0.612	0.1758132	-0.04438564	0	
0.614	0.1487043	-0.04609326	0	
0.6160001	0.1235558	-0.04768705	0	
0.618	0.1002355	-0.04917458	0	
0.62	0.0786199	-0.05056294	0	
0.622	0.05859394	-0.05185875	0	
0.624	0.04005019	-0.05306816	0	
0.626	0.02288832	-0.05419695	0	
0.628	0.007014781	-0.05525049	0	
0.6300001	0	-0.05623379	0	
0.632	0	-0.05715154	0	
0.634	0	-0.0580081	0	
0.636	0	-0.05880756	0	
0.638	0	-0.05955372	0	
0.64	0	-0.06025014	0	
0.642	0	-0.06090013	0	
0.6440001	0	-0.06150679	0	
0.646	0	-0.06207301	0	
0.648	0	-0.06260147	0	
0.65	0	-0.06309471	0	
0.652	0	-0.06355506	0	
0.654	0	-0.06398472	0	
0.656	0	-0.06438574	0	
0.6580001	0	-0.06476003	0	
0.66	0	-0.06510936	0	
0.6620001	0	-0.0654354	0	
0.664	0	-0.06573971	0	
0.666	0	-0.06602373	0	
0.668	0	-0.06628881	0	
0.67	0	-0.06653623	0	
0.6720001	0	-0.06676714	0	
0.674	0	-0.06698266	0	
0.6760001	0	-0.06718382	0	
0.678	0	-0.06737157	0	
0.68	0	-0.0675468	0	
0.682	0	-0.06771034	0	
0.684	0	-0.06786299	0	
0.686	0	-0.06800546	0	
0.688	0	-0.06813842	0	
0.6900001	0	-0.06826253	0	
0.692	0	-0.06837836	0	
0.694	0	-0.06848647	0	
0.696	0	-0.06858737	0	
0.698	0	-0.06868155	0	
0.7	0	-0.06876945	6E-09	
0.702	0	-0.06485148	6E-09	
0.7040001	0	-0.06119471	6E-09	
0.706	0.01275723	-0.05778173	6E-09	
0.708	0.05993658	-0.05459628	6E-09	
0.71	0.1034928	-0.0516232	6E-09	
0.712	0.143672	-0.04884832	6E-09	
0.714	0.1807042	-0.04625843	6E-09	
0.716	0.2148038	-0.0438412	6E-09	
0.7180001	0.246171	-0.04158512	6E-09	
0.72	0.2749924	-0.03947945	6E-09	
0.7220001	0.3014423	-0.03751415	6E-09	
0.724	0.3256833	-0.03567987	6E-09	
0.726	0.347867	-0.03396788	6E-09	
0.728	0.3681351	-0.03237002	6E-09	
0.73	0.3866195	-0.03087869	6E-09	
0.7320001	0.4034436	-0.02948678	6E-09	
0.734	0.4187222	-0.02818765	6E-09	
0.7360001	0.4325625	-0.02697514	6E-09	
0.738	0.4450647	-0.02584347	6E-09	
0.74	0.456322	-0.02478724	6E-09	
0.742	0.4664216	-0.02380142	6E-09	
0.744	0.4754448	-0.02288133	6E-09	
0.7460001	0.4834672	-0.02202257	6E-09	
0.748	0.4905595	-0.02122107	6E-09	
0.7500001	0.4967878	-0.020473	6E-09	
0.752	0.5022135	-0.01977479	6E-09	
0.754	0.5068939	-0.01912314	6E-09	
0.756	0.5108826	-0.01851493	6E-09	
0.758	0.5142295	-0.01794727	6E-09	
0.7600001	0.516981	-0.01741745	6E-09	
0.762	0.5191807	-0.01692295	6E-09	
0.7640001	0.5208688	-0.01646142	6E-09	
0.766	0.5220832	-0.01603066	6E-09	
0.768	0.522859	-0.01562862	6E-09	
0.77	0.523229	-0.01525338	6E-09	
0.772	0.5232239	-0.01490315	6E-09	
0.774	0.5228721	-0.01457627	6E-09	
0.776	0.5222002	-0.01427119	6E-09	
0.7780001	0.5212328	-0.01398644	6E-09	
0.78	0.5199933	-0.01372068	6E-09	
0.7820001	0.518503	-0.01347264	6E-09	
0.784	0.5167818	-0.01324113	6E-09	
0.786	0.5148487	-0.01302505	6E-09	
0.788	0.5127208	-0.01282338	6E-09	
0.79	0.5104144	-0.01263516	6E-09	
0.7920001	0.5079446	-0.01245948	6E-09	
0.794	0.5053254	-0.01229552	6E-09	
0.7960001	0.50257	-0.01214248	6E-09	
0.798	0.4996906	-0.01199965	6E-09	
0.8	0.4966983	-0.01186634	0	
0.802	0.4342009	-0.01574192	0	
0.804	0.3761623	-0.01935912	0	
0.8060001	0.3222824	-0.02273518	0	
0.808	0.2722812	-0.02588617	0	
0.8100001	0.225897	-0.02882709	0	
0.812	0.182886	-0.03157195	0	
0.814	0.1430206	-0.03413383	0	
0.816	0.1060882	-0.0365249	0	
0.818	0.07189062	-0.03875658	0	
0.8200001	0.04024273	-0.04083947	0	
0.822	0.0109719	-0.04278351	0	
0.8240001	0	-0.04459794	0	
0.826	0	-0.04629141	0	
0.8280001	0	-0.04787198	0	
0.83	0	-0.04934718	0	
0.832	0	-0.05072404	0	
0.8340001	0	-0.05200911	0	
0.836	0	-0.0532085	0	
0.8380001	0	-0.05432793	0	
0.84	0	-0.05537274	0	
0.8420001	0	-0.05634789	0	
0.844	0	-0.05725803	0	
0.846	0	-0.0581075	0	
0.848	0	-0.05890033	0	
0.85	0	-0.05964031	0	
0.8520001	0	-0.06033095	0	
0.854	0	-0.06097556	0	
0.8560001	0	-0.06157719	0	
0.858	0	-0.06213871	0	
0.86	0	-0.0626628	0	
0.862	0	-0.06315194	0	
0.864	0	-0.06360848	0	
0.8660001	0	-0.06403458	0	
0.868	0	-0.06443227	0	
0.8700001	0	-0.06480346	0	
0.872	0	-0.06514989	0	
0.874	0	-0.06547324	0	
0.876	0	-0.06577501	0	
0.878	0	-0.06605668	0	
0.8800001	0	-0.06631957	0	
0.882	0	-0.06656493	0	
0.8840001	0	-0.06679393	0	
0.886	0	-0.06700768	0	
0.8880001	0	-0.06720717	0	
0.89	0	-0.06739336	0	
0.892	0	-0.06756713	0	
0.8940001	0	-0.06772932	0	
0.896	0	-0.0678807	0	
0.8980001	0	-0.06802198	0	
0.9	0	-0.06815385	8E-09	
0.9020001	0	-0.06294359	8E-09	
0.904	0	-0.05808069	8E-09	
0.906	0	-0.05354198	8E-09	
0.9080001	0.00456664	-0.04930585	8E-09	
0.91	0.06323695	-0.04535212	8E-09	
0.9120001	0.1174091	-0.04166198	8E-09	
0.914	0.1673888	-0.03821785	8E-09	
0.9160001	0.2134613	-0.03500332	8E-09	
0.918	0.2558929	-0.0320031	8E-09	
0.92	0.2949319	-0.02920289	8E-09	
0.9220001	0.3308101	-0.02658937	8E-09	
0.924	0.3637438	-0.02415008	8E-09	
0.9260001	0.3939347	-0.02187341	8E-09	
0.928	0.4215713	-0.01974851	8E-09	
0.9300001	0.4468291	-0.01776528	8E-09	
0.932	0.4698721	-0.01591426	8E-09	
0.934	0.4908532	-0.01418664	8E-09	
0.936	0.5099151	-0.0125742	8E-09	
0.938	0.527191	-0.01106925	8E-09	
0.9400001	0.542805	-0.009664636	8E-09	
0.942	0.5568728	-0.008353662	8E-09	
0.9440001	0.5695029	-0.007130086	8E-09	
0.946	0.5807959	-0.005988084	8E-09	
0.9480001	0.5908459	-0.004922211	8E-09	
0.95	0.5997406	-0.003927395	8E-09	
0.952	0.6075619	-0.002998903	8E-09	
0.9540001	0.6143861	-0.002132311	8E-09	
0.956	0.6202844	-0.001323491	8E-09	
0.9580001	0.6253234	-0.0005685911	8E-09	
0.96	0.6295648	0.0001359805	8E-09	
0.9620001	0.6330663	0.0007935837	8E-09	
0.964	0.6358821	0.001407348	8E-09	
0.966	0.6380621	0.001980193	8E-09	
0.9680001	0.6396533	0.002514847	8E-09	
0.97	0.6406993	0.003013857	8E-09	
0.9720001	0.6412408	0.0034796	8E-09	
0.974	0.6413161	0.003914297	8E-09	
0.9760001	0.64096	0.004320011	8E-09	
0.978	0.6402059	0.004698679	8E-09	
0.98	0.6390842	0.005052097	8E-09	
0.9820001	0.6376239	0.005381957	8E-09	
0.984	0.6358516	0.00568983	8E-09	
0.9860001	0.6337921	0.005977176	8E-09	
0.988	0.6314687	0.006245367	8E-09	
0.9900001	0.6289027	0.006495677	8E-09	
0.992	0.6261145	0.006729297	8E-09	
0.994	0.6231227	0.006947346	8E-09	
0.9960001	0.6199449	0.007150859	8E-09	
0.998	0.6165971	0.007340804	8E-09	
1	0.6130946	0.007518083	0	
1.002	0.5302474	0.002350211	0	
1.004	0.4533411	-0.002473138	0	
1.006	0.3819753	-0.006974928	0	
1.008	0.3157766	-0.0111766	0	
1.01	0.2543964	-0.01509816	0	
1.012	0.1975096	-0.01875829	0	
1.014	0.1448125	-0.0221744	0	
1.016	0.09602189	-0.02536277	0	
1.018	0.0508734	-0.02833859	0	
1.02	0.009120286	-0.03111602	0	
1.022	0	-0.03370828	0	
1.024	0	-0.03612773	0	
1.026	0	-0.03838588	0	
1.028	0	-0.04049349	0	
1.03	0	-0.04246059	0	
1.032	0	-0.04429656	0	
1.034	0	-0.04601011	0	
1.036	0	-0.04760944	0	
1.038	0	-0.04910215	0	
1.04	0	-0.05049533	0	
1.042	0	-0.05179565	0	
1.044	0	-0.05300927	0	
1.046	0	-0.05414198	0	
1.048	0	-0.05519919	0	
1.05	0	-0.05618591	0	
1.052	0	-0.05710685	0	
1.054	0	-0.05796639	0	
1.056	0	-0.05876863	0	
1.058	0	-0.05951739	0	
1.06	0	-0.06021623	0	
1.062	0	-0.06086848	0	
1.064	0	-0.06147725	0	
1.066	0	-0.06204543	0	
1.068	0	-0.06257574	0	
1.07	0	-0.06307069	0	
1.072	0	-0.06353264	0	
