Time	Rotation	PendulumY	PendulumX	PendulumZ	
0.442	-0.5426672	-0.5999634	0.3632472	0	
0.443	-0.5444911	-0.5993	0.3643402	0	
0.444	-0.5463139	-0.5986351	0.3654311	0	
0.445	-0.5481356	-0.5979686	0.3665201	0	
0.446	-0.549956	-0.5973006	0.3676072	0	
0.447	-0.5517752	-0.5966311	0.3686923	0	
0.448	-0.5535932	-0.5959601	0.3697754	0	
0.449	-0.5554098	-0.5952875	0.3708566	0	
0.45	-0.5572252	-0.5946135	0.3719356	0	
0.451	-0.5590392	-0.5939381	0.3730127	0	
0.452	-0.5608519	-0.5932612	0.3740877	0	
0.453	-0.5626631	-0.5925829	0.3751605	0	
0.454	-0.5644729	-0.5919032	0.3762313	0	
0.455	-0.5662813	-0.591222	0.3773	0	
0.456	-0.5680882	-0.5905396	0.3783666	0	
0.457	-0.5698935	-0.5898558	0.3794309	0	
0.458	-0.5716974	-0.5891706	0.3804932	0	
0.459	-0.5734996	-0.5884842	0.3815533	0	
0.46	-0.5753002	-0.5877964	0.3826111	0	
0.461	-0.5770992	-0.5871074	0.3836668	0	
0.462	-0.5788966	-0.586417	0.3847202	0	
0.463	-0.5806923	-0.5857255	0.3857713	0	
0.464	-0.5824863	-0.5850327	0.3868202	0	
0.465	-0.5842785	-0.5843387	0.3878669	0	
0.466	-0.586069	-0.5836436	0.3889112	0	
0.467	-0.5878578	-0.5829472	0.3899532	0	
0.468	-0.5896447	-0.5822498	0.3909929	0	
0.469	-0.5914298	-0.5815511	0.3920302	0	
0.47	-0.5932129	-0.5808514	0.3930652	0	
0.471	-0.5949942	-0.5801506	0.3940979	0	
0.472	-0.5967735	-0.5794487	0.3951281	0	
0.473	-0.5985509	-0.5787458	0.3961559	0	
0.474	-0.6003264	-0.5780418	0.3971813	0	
0.475	-0.6020998	-0.5773368	0.3982043	0	
0.476	-0.6038711	-0.5766308	0.3992248	0	
0.477	-0.6056404	-0.5759239	0.4002429	0	
0.478	-0.6074076	-0.5752159	0.4012585	0	
0.479	-0.6091726	-0.5745071	0.4022716	0	
0.48	-0.6109356	-0.5737973	0.4032822	0	
0.481	-0.6126963	-0.5730866	0.4042903	0	
0.482	-0.6144549	-0.5723751	0.4052958	0	
0.483	-0.6162111	-0.5716627	0.4062988	0	
0.484	-0.6179652	-0.5709494	0.4072992	0	
0.485	-0.6197169	-0.5702354	0.408297	0	
0.486	-0.6214664	-0.5695205	0.4092923	0	
0.487	-0.6232135	-0.5688049	0.410285	0	
0.488	-0.6249582	-0.5680885	0.411275	0	
0.489	-0.6267005	-0.5673713	0.4122624	0	
0.49	-0.6284405	-0.5666535	0.4132472	0	
0.491	-0.630178	-0.565935	0.4142294	0	
0.492	-0.631913	-0.5652158	0.4152088	0	
0.493	-0.6336455	-0.5644959	0.4161856	0	
0.494	-0.6353756	-0.5637754	0.4171597	0	
0.495	-0.637103	-0.5630543	0.4181311	0	
0.496	-0.6388279	-0.5623326	0.4190997	0	
0.497	-0.6405502	-0.5616104	0.4200656	0	
0.498	-0.6422697	-0.5608876	0.4210289	0	
0.499	-0.6439868	-0.5601643	0.4219893	0	
0.5	-0.645701	-0.5594404	0.422947	0	
0.501	-0.6474126	-0.5587161	0.4239019	0	
0.502	-0.6491215	-0.5579917	0.4248493	0	
0.503	-0.650822	-0.5572677	0.4257896	0	
0.504	-0.652514	-0.5565444	0.4267229	0	
0.505	-0.6541976	-0.555822	0.4276495	0	
0.506	-0.6558727	-0.5551008	0.4285694	0	
0.507	-0.6575394	-0.5543811	0.4294829	0	
0.508	-0.6591974	-0.553663	0.4303902	0	
0.509	-0.660847	-0.5529467	0.4312912	0	
0.5100001	-0.6624881	-0.5522324	0.4321861	0	
0.511	-0.6641206	-0.5515202	0.433075	0	
0.512	-0.6657446	-0.5508103	0.4339581	0	
0.513	-0.6673599	-0.5501026	0.4348352	0	
0.514	-0.6689667	-0.5493973	0.4357065	0	
0.515	-0.6705649	-0.5486946	0.436572	0	
