Time	A2	A3	A4	A5	A1	
0.426	0.002175157	1.203049E-06	1.210798E-06	0.002189168	0.02649883	
0.428	0.002172981	1.201845E-06	1.209586E-06	0.002186978	0.02647232	
0.43	0.002170793	1.200635E-06	1.208368E-06	0.002184776	0.02644566	
0.432	0.002168593	1.199419E-06	1.207144E-06	0.002182563	0.02641887	
0.434	0.002166383	1.198197E-06	1.205914E-06	0.002180339	0.02639195	
0.436	0.002164162	1.196968E-06	1.204678E-06	0.002178104	0.02636489	
0.438	0.002161931	1.195734E-06	1.203436E-06	0.002175858	0.02633771	
0.44	0.00215969	1.194495E-06	1.202188E-06	0.002173603	0.02631041	
0.442	0.002157439	1.19325E-06	1.200935E-06	0.002171337	0.02628298	
0.444	0.002155178	1.191999E-06	1.199677E-06	0.002169062	0.02625545	
0.446	0.002152909	1.190744E-06	1.198413E-06	0.002166778	0.02622779	
0.448	0.00215063	1.189484E-06	1.197145E-06	0.002164484	0.02620003	
0.45	0.002148342	1.188218E-06	1.195871E-06	0.002162182	0.02617216	
0.452	0.002146046	1.186949E-06	1.194593E-06	0.002159871	0.02614419	
0.454	0.002143742	1.185674E-06	1.193311E-06	0.002157552	0.02611612	
0.456	0.002141429	1.184395E-06	1.192024E-06	0.002155224	0.02608794	
0.458	0.002139109	1.183112E-06	1.190732E-06	0.002152889	0.02605968	
0.46	0.002136781	1.181824E-06	1.189436E-06	0.002150546	0.02603132	
0.462	0.002134446	1.180533E-06	1.188136E-06	0.002148196	0.02600287	
0.464	0.002132104	1.179237E-06	1.186832E-06	0.002145839	0.02597434	
0.466	0.002129755	1.177938E-06	1.185525E-06	0.002143475	0.02594572	
0.468	0.002127399	1.176635E-06	1.184213E-06	0.002141104	0.02591702	
0.47	0.002125036	1.175329E-06	1.182898E-06	0.002138726	0.02588824	
0.472	0.002122668	1.174019E-06	1.18158E-06	0.002136342	0.02585939	
0.474	0.002120293	1.172705E-06	1.180258E-06	0.002133952	0.02583046	
0.476	0.002117912	1.171388E-06	1.178933E-06	0.002131556	0.02580146	
0.478	0.002115526	1.170068E-06	1.177604E-06	0.002129154	0.02577238	
0.48	0.002113134	1.168746E-06	1.176273E-06	0.002126747	0.02574324	
0.482	0.002110736	1.16742E-06	1.174938E-06	0.002124334	0.02571404	
0.484	0.002108334	1.166091E-06	1.173601E-06	0.002121916	0.02568477	
0.486	0.002105926	1.164759E-06	1.172261E-06	0.002119493	0.02565544	
0.488	0.002103514	1.163425E-06	1.170918E-06	0.002117065	0.02562605	
0.49	0.002101097	1.162088E-06	1.169573E-06	0.002114633	0.02559661	
0.492	0.002098676	1.160749E-06	1.168225E-06	0.002112196	0.02556711	
0.494	0.00209625	1.159407E-06	1.166875E-06	0.002109754	0.02553755	
0.496	0.00209382	1.158063E-06	1.165522E-06	0.002107309	0.02550795	
0.498	0.002091386	1.156717E-06	1.164167E-06	0.002104859	0.0254783	
0.5	0.002088948	1.155369E-06	1.16281E-06	0.002102406	0.0254486	
0.502	0.002086507	1.154018E-06	1.161451E-06	0.002099949	0.02541886	
0.504	0.002084062	1.152666E-06	1.16009E-06	0.002097488	0.02538907	
0.506	0.002081613	1.151312E-06	1.158727E-06	0.002095023	0.02535924	
0.508	0.002079161	1.149956E-06	1.157362E-06	0.002092556	0.02532937	
0.5100001	0.002076706	1.148598E-06	1.155996E-06	0.002090085	0.02529946	
0.512	0.002074248	1.147238E-06	1.154627E-06	0.002087611	0.02526951	
0.514	0.002071787	1.145877E-06	1.153257E-06	0.002085134	0.02523953	
0.516	0.002069323	1.144514E-06	1.151886E-06	0.002082654	0.02520952	
0.518	0.002066856	1.14315E-06	1.150513E-06	0.002080172	0.02517947	
0.52	0.002064387	1.141784E-06	1.149139E-06	0.002077687	0.02514939	
0.522	0.002061916	1.140418E-06	1.147763E-06	0.0020752	0.02511928	
0.524	0.002059442	1.139049E-06	1.146386E-06	0.00207271	0.02508914	
0.526	0.002056967	1.13768E-06	1.145008E-06	0.002070218	0.02505898	
0.528	0.002054489	1.13631E-06	1.143628E-06	0.002067724	0.0250288	
0.53	0.002052009	1.134938E-06	1.142248E-06	0.002065229	0.02499858	
0.532	0.002049527	1.133565E-06	1.140867E-06	0.002062731	0.02496835	
0.534	0.002047043	1.132192E-06	1.139484E-06	0.002060231	0.02493809	
0.536	0.002044558	1.130817E-06	1.138101E-06	0.00205773	0.02490782	
0.538	0.002042071	1.129442E-06	1.136717E-06	0.002055228	0.02487752	
0.54	0.002039583	1.128066E-06	1.135332E-06	0.002052723	0.02484721	
0.5420001	0.002037094	1.126689E-06	1.133946E-06	0.002050218	0.02481689	
0.544	0.002034603	1.125311E-06	1.132559E-06	0.002047711	0.02478654	
0.546	0.002032111	1.123933E-06	1.131172E-06	0.002045203	0.02475619	
0.548	0.002029618	1.122554E-06	1.129785E-06	0.002042694	0.02472581	
0.55	0.002027124	1.121175E-06	1.128397E-06	0.002040184	0.02469543	
0.552	0.002024629	1.119795E-06	1.127008E-06	0.002037673	0.02466504	
0.554	0.002022134	1.118415E-06	1.125619E-06	0.002035162	0.02463464	
0.5560001	0.002019638	1.117034E-06	1.124229E-06	0.002032649	0.02460423	
0.558	0.002017141	1.115653E-06	1.122839E-06	0.002030136	0.02457381	
