Time	AVm	BVm	BIa	Arm	JointPos	
1.7566	0.09995365	-0.05	6.792773E-17	-0.0004904997	6.792773E-10	
1.7568	0.09995365	-0.05	6.792773E-17	-0.0004904997	6.792773E-10	
1.757	0.09995365	-0.05	6.797534E-17	-0.0004904997	6.797534E-10	
1.7572	0.09995365	-0.05	6.797534E-17	-0.0004904997	6.797534E-10	
1.7574	0.09995365	-0.05	6.797534E-17	-0.0004904997	6.797534E-10	
1.7576	0.09995365	-0.05	6.797534E-17	-0.0004904997	6.797534E-10	
1.7578	0.09995365	-0.05	6.797534E-17	-0.0004904997	6.797534E-10	
1.758	0.09995365	-0.05	6.802295E-17	-0.0004904997	6.802294E-10	
1.7582	0.09995365	-0.05	6.802295E-17	-0.0004904997	6.802294E-10	
1.7584	0.09995365	-0.05	6.802295E-17	-0.0004904997	6.802294E-10	
1.7586	0.09995365	-0.05	6.802295E-17	-0.0004904997	6.802294E-10	
1.7588	0.09995365	-0.05	6.802295E-17	-0.0004904997	6.802294E-10	
1.759	0.09995476	-0.05	6.807055E-17	-0.0004904997	6.807055E-10	
1.7592	0.09995476	-0.05	6.807055E-17	-0.0004904997	6.807055E-10	
1.7594	0.09995476	-0.05	6.807055E-17	-0.0004904997	6.807055E-10	
1.7596	0.09995476	-0.05	6.807055E-17	-0.0004904997	6.807055E-10	
1.7598	0.09995476	-0.05	6.807055E-17	-0.0004904997	6.807055E-10	
1.76	0.09995476	-0.05	6.811815E-17	-0.0004904997	6.811816E-10	
1.7602	0.09995476	-0.05	6.811815E-17	-0.0004904997	6.811816E-10	
1.7604	0.09995476	-0.05	6.811815E-17	-0.0004904997	6.811816E-10	
1.7606	0.09995476	-0.05	6.811815E-17	-0.0004904997	6.811816E-10	
1.7608	0.09995476	-0.05	6.811815E-17	-0.0004904997	6.811816E-10	
1.761	0.09995476	-0.05	6.816576E-17	-0.0004904997	6.816576E-10	
1.7612	0.09995476	-0.05	6.816576E-17	-0.0004904997	6.816576E-10	
1.7614	0.09995585	-0.05	6.816576E-17	-0.0004904997	6.816576E-10	
1.7616	0.09995585	-0.05	6.816576E-17	-0.0004904997	6.816576E-10	
1.7618	0.09995585	-0.05	6.816576E-17	-0.0004904997	6.816576E-10	
1.762	0.09995585	-0.05	6.821337E-17	-0.0004904997	6.821337E-10	
1.7622	0.09995585	-0.05	6.821337E-17	-0.0004904997	6.821337E-10	
1.7624	0.09995585	-0.05	6.821337E-17	-0.0004904997	6.821337E-10	
1.7626	0.09995585	-0.05	6.821337E-17	-0.0004904997	6.821337E-10	
1.7628	0.09995585	-0.05	6.821337E-17	-0.0004904997	6.821337E-10	
1.763	0.09995585	-0.05	6.826098E-17	-0.0004904997	6.826097E-10	
1.7632	0.09995585	-0.05	6.826098E-17	-0.0004904997	6.826097E-10	
1.7634	0.09995585	-0.05	6.826098E-17	-0.0004904997	6.826097E-10	
1.7636	0.09995585	-0.05	6.826098E-17	-0.0004904997	6.826097E-10	
1.7638	0.09995691	-0.05	6.826098E-17	-0.0004904997	6.826097E-10	
1.764	0.09995691	-0.05	6.830858E-17	-0.0004904997	6.830858E-10	
1.7642	0.09995691	-0.05	6.830858E-17	-0.0004904997	6.830858E-10	
1.7644	0.09995691	-0.05	6.830858E-17	-0.0004904997	6.830858E-10	
1.7646	0.09995691	-0.05	6.830858E-17	-0.0004904997	6.830858E-10	
1.7648	0.09995691	-0.05	6.830858E-17	-0.0004904997	6.830858E-10	
1.765	0.09995691	-0.05	6.835619E-17	-0.0004904997	6.835619E-10	
1.7652	0.09995691	-0.05	6.835619E-17	-0.0004904997	6.835619E-10	
1.7654	0.09995691	-0.05	6.835619E-17	-0.0004904997	6.835619E-10	
1.7656	0.09995691	-0.05	6.835619E-17	-0.0004904997	6.835619E-10	
1.7658	0.09995691	-0.05	6.835619E-17	-0.0004904997	6.835619E-10	
1.766	0.09995691	-0.05	6.840379E-17	-0.0004904997	6.840379E-10	
1.7662	0.09995794	-0.05	6.840379E-17	-0.0004904997	6.840379E-10	
1.7664	0.09995794	-0.05	6.840379E-17	-0.0004904997	6.840379E-10	
1.7666	0.09995794	-0.05	6.840379E-17	-0.0004904997	6.840379E-10	
1.7668	0.09995794	-0.05	6.840379E-17	-0.0004904997	6.840379E-10	
1.767	0.09995794	-0.05	6.84514E-17	-0.0004904997	6.84514E-10	
1.7672	0.09995794	-0.05	6.84514E-17	-0.0004904997	6.84514E-10	
1.7674	0.09995794	-0.05	6.84514E-17	-0.0004904997	6.84514E-10	
1.7676	0.09995794	-0.05	6.84514E-17	-0.0004904997	6.84514E-10	
1.7678	0.09995794	-0.05	6.84514E-17	-0.0004904997	6.84514E-10	
1.768	0.09995794	-0.05	6.849901E-17	-0.0004904997	6.849901E-10	
1.7682	0.09995794	-0.05	6.849901E-17	-0.0004904997	6.849901E-10	
1.7684	0.09995794	-0.05	6.849901E-17	-0.0004904997	6.849901E-10	
1.7686	0.09995895	-0.05	6.849901E-17	-0.0004904997	6.849901E-10	
1.7688	0.09995895	-0.05	6.849901E-17	-0.0004904997	6.849901E-10	
