Time	Body_2 X	Body_2 Z	Body_2 Y	
2.555	0.01354867	-0.2	-0.1664774	
2.556	0.01384291	-0.2	-0.1682409	
2.557	0.01414191	-0.2	-0.1700134	
2.558	0.01444572	-0.2	-0.1717949	
2.559	0.01475439	-0.2	-0.1735853	
2.56	0.01506798	-0.2	-0.1753846	
2.561	0.01538653	-0.2	-0.1771928	
2.562	0.01571009	-0.2	-0.1790099	
2.563	0.01603871	-0.2	-0.1808359	
2.564	0.01637246	-0.2	-0.1826708	
2.565	0.01671136	-0.2	-0.1845144	
2.566	0.01705548	-0.2	-0.1863669	
2.567	0.01740487	-0.2	-0.1882282	
2.568	0.01775958	-0.2	-0.1900983	
2.569	0.01811966	-0.2	-0.1919771	
2.57	0.01848517	-0.2	-0.1938647	
2.571	0.01885615	-0.2	-0.1957609	
2.572	0.01923267	-0.2	-0.1976659	
2.573	0.01961476	-0.2	-0.1995795	
2.574	0.02000249	-0.2	-0.2015018	
2.575	0.02039591	-0.2	-0.2034327	
2.576	0.02079507	-0.2	-0.2053722	
2.577	0.02120002	-0.2	-0.2073202	
2.578	0.02161082	-0.2	-0.2092769	
2.579	0.02202753	-0.2	-0.211242	
2.58	0.02245019	-0.2	-0.2132157	
2.581	0.02287886	-0.2	-0.2151978	
2.582	0.0233136	-0.2	-0.2171885	
2.583	0.02375445	-0.2	-0.2191875	
2.584	0.02420148	-0.2	-0.2211949	
2.585	0.02465473	-0.2	-0.2232108	
2.586	0.02511427	-0.2	-0.225235	
2.587	0.02558015	-0.2	-0.2272675	
2.588	0.02605242	-0.2	-0.2293083	
2.589	0.02653113	-0.2	-0.2313574	
2.59	0.02701635	-0.2	-0.2334147	
2.591	0.02750812	-0.2	-0.2354803	
2.592	0.02800651	-0.2	-0.2375541	
2.593	0.02851156	-0.2	-0.239636	
2.594	0.02902334	-0.2	-0.241726	
2.595	0.02954189	-0.2	-0.2438242	
2.596	0.03006729	-0.2	-0.2459304	
2.597	0.03059958	-0.2	-0.2480447	
2.598	0.03113881	-0.2	-0.250167	
2.599	0.03168506	-0.2	-0.2522973	
2.6	0.03223836	-0.2	-0.2544355	
2.601	0.03279879	-0.2	-0.2565816	
2.602	0.03336638	-0.2	-0.2587357	
2.603	0.03394121	-0.2	-0.2608976	
2.604	0.03452333	-0.2	-0.2630673	
2.605	0.03511279	-0.2	-0.2652448	
2.606	0.03570965	-0.2	-0.2674301	
2.607	0.03631397	-0.2	-0.2696231	
2.608	0.03692582	-0.2	-0.2718238	
2.609	0.03754523	-0.2	-0.2740322	
2.61	0.03817227	-0.2	-0.2762482	
2.611	0.03880701	-0.2	-0.2784717	
2.612	0.03944949	-0.2	-0.2807028	
2.613	0.04009978	-0.2	-0.2829414	
2.614	0.04075794	-0.2	-0.2851875	
2.615	0.041424	-0.2	-0.287441	
2.616	0.04209805	-0.2	-0.289702	
2.617	0.04278013	-0.2	-0.2919703	
2.618	0.0434703	-0.2	-0.2942459	
2.619	0.04416863	-0.2	-0.2965288	
2.62	0.04487516	-0.2	-0.298819	
2.621	0.04558996	-0.2	-0.3011163	
2.622	0.04631309	-0.2	-0.3034209	
2.623	0.04704461	-0.2	-0.3057325	
2.624	0.04778456	-0.2	-0.3080513	
2.625	0.04853301	-0.2	-0.310377	
2.626	0.04929002	-0.2	-0.3127098	
2.627	0.05005564	-0.2	-0.3150496	
2.628	0.05082994	-0.2	-0.3173962	
2.629	0.05161297	-0.2	-0.3197497	
2.63	0.0524048	-0.2	-0.3221101	
2.631	0.05320547	-0.2	-0.3244773	
2.632	0.05401504	-0.2	-0.3268512	
2.633	0.05483358	-0.2	-0.3292317	
2.634	0.05566114	-0.2	-0.331619	
2.635	0.05649778	-0.2	-0.3340128	
2.636	0.05734356	-0.2	-0.3364132	
2.637	0.05819854	-0.2	-0.3388201	
2.638	0.05906276	-0.2	-0.3412335	
2.639	0.0599363	-0.2	-0.3436533	
2.64	0.0608192	-0.2	-0.3460795	
2.641	0.06171154	-0.2	-0.348512	
2.642	0.06261336	-0.2	-0.3509507	
2.643	0.06352472	-0.2	-0.3533957	
2.644	0.06444568	-0.2	-0.3558469	
2.645	0.0653763	-0.2	-0.3583041	
2.646	0.06631663	-0.2	-0.3607675	
2.647	0.06726675	-0.2	-0.3632368	
2.648	0.06822669	-0.2	-0.3657121	
2.649	0.06919651	-0.2	-0.3681933	
2.65	0.07017629	-0.2	-0.3706804	
2.651	0.07116606	-0.2	-0.3731733	
2.652	0.0721659	-0.2	-0.375672	
2.653	0.07317586	-0.2	-0.3781763	
2.654	0.07419599	-0.2	-0.3806863	
2.655	0.07522635	-0.2	-0.3832018	
2.656	0.076267	-0.2	-0.385723	
2.657	0.07731799	-0.2	-0.3882495	
2.658	0.07837939	-0.2	-0.3907815	
2.659	0.07945123	-0.2	-0.3933189	
2.66	0.08053359	-0.2	-0.3958615	
2.661	0.08162653	-0.2	-0.3984094	
2.662	0.08273008	-0.2	-0.4009624	
2.663	0.08384433	-0.2	-0.4035206	
2.664	0.0849693	-0.2	-0.4060839	
2.665	0.08610506	-0.2	-0.4086522	
2.666	0.08725168	-0.2	-0.4112254	
2.667	0.08840919	-0.2	-0.4138035	
2.668	0.08957767	-0.2	-0.4163865	
2.669	0.09075715	-0.2	-0.4189741	
2.67	0.0919477	-0.2	-0.4215665	
2.671	0.09314938	-0.2	-0.4241635	
2.672	0.09436222	-0.2	-0.4267651	
2.673	0.0955863	-0.2	-0.4293711	
2.674	0.09682166	-0.2	-0.4319816	
2.675	0.09806835	-0.2	-0.4345965	
2.676	0.09932643	-0.2	-0.4372157	
2.677	0.100596	-0.2	-0.4398391	
2.678	0.101877	-0.2	-0.4424666	
2.679	0.1031696	-0.2	-0.4450983	
2.68	0.1044737	-0.2	-0.447734	
2.681	0.1057895	-0.2	-0.4503737	
2.682	0.1071171	-0.2	-0.4530173	
2.683	0.1084564	-0.2	-0.4556647	
2.684	0.1098074	-0.2	-0.4583158	
2.685	0.1111704	-0.2	-0.4609707	
2.686	0.1125452	-0.2	-0.4636292	
2.687	0.113932	-0.2	-0.4662912	
2.688	0.1153309	-0.2	-0.4689568	
2.689	0.1167417	-0.2	-0.4716257	
2.69	0.1181647	-0.2	-0.4742979	
2.691	0.1195998	-0.2	-0.4769734	
2.692	0.1210472	-0.2	-0.4796521	
2.693	0.1225067	-0.2	-0.4823339	
2.694	0.1239786	-0.2	-0.4850186	
2.695	0.1254629	-0.2	-0.4877064	
2.696	0.1269595	-0.2	-0.490397	
2.697	0.1284686	-0.2	-0.4930905	
2.698	0.1299902	-0.2	-0.4957867	
2.699	0.1315243	-0.2	-0.4984855	
2.7	0.133071	-0.2	-0.5011868	
2.701	0.1346303	-0.2	-0.5038907	
2.702	0.1362023	-0.2	-0.506597	
2.703	0.137787	-0.2	-0.5093057	
2.704	0.1393845	-0.2	-0.5120165	
2.705	0.1409948	-0.2	-0.5147295	
2.706	0.142618	-0.2	-0.5174446	
2.707	0.144254	-0.2	-0.5201617	
2.708	0.145903	-0.2	-0.5228808	
2.709	0.147565	-0.2	-0.5256017	
2.71	0.1492401	-0.2	-0.5283243	
2.711	0.1509281	-0.2	-0.5310487	
2.712	0.1526293	-0.2	-0.5337746	
2.713	0.1543437	-0.2	-0.536502	
2.714	0.1560712	-0.2	-0.5392308	
2.715	0.157812	-0.2	-0.541961	
2.716	0.1595661	-0.2	-0.5446925	
2.717	0.1613334	-0.2	-0.5474251	
2.718	0.1631141	-0.2	-0.5501587	
2.719	0.1649082	-0.2	-0.5528934	
2.72	0.1667158	-0.2	-0.555629	
2.721	0.1685368	-0.2	-0.5583653	
2.722	0.1703713	-0.2	-0.5611024	
2.723	0.1722194	-0.2	-0.5638402	
2.724	0.174081	-0.2	-0.5665785	
2.725	0.1759562	-0.2	-0.5693173	
2.726	0.1778451	-0.2	-0.5720564	
2.727	0.1797477	-0.2	-0.5747957	
2.728	0.1816639	-0.2	-0.5775353	
2.729	0.183594	-0.2	-0.580275	
2.73	0.1855378	-0.2	-0.5830146	
2.731	0.1874954	-0.2	-0.5857541	
2.732	0.1894669	-0.2	-0.5884935	
2.733	0.1914522	-0.2	-0.5912325	
2.734	0.1934515	-0.2	-0.5939712	
2.735	0.1954647	-0.2	-0.5967094	
2.736	0.1974919	-0.2	-0.5994471	
2.737	0.199533	-0.2	-0.6021841	
2.738	0.2015882	-0.2	-0.6049203	
2.739	0.2036574	-0.2	-0.6076557	
2.74	0.2057407	-0.2	-0.6103901	
2.741	0.2078382	-0.2	-0.6131235	
2.742	0.2099497	-0.2	-0.6158558	
2.743	0.2120754	-0.2	-0.6185867	
2.744	0.2142153	-0.2	-0.6213164	
2.745	0.2163694	-0.2	-0.6240446	
2.746	0.2185377	-0.2	-0.6267713	
2.747	0.2207203	-0.2	-0.6294963	
2.748	0.2229171	-0.2	-0.6322196	
2.749	0.2251283	-0.2	-0.634941	
2.75	0.2273537	-0.2	-0.6376605	
2.751	0.2295935	-0.2	-0.6403779	
2.752	0.2318477	-0.2	-0.6430933	
2.753	0.2341162	-0.2	-0.6458064	
2.754	0.2363991	-0.2	-0.6485171	
2.755	0.2386964	-0.2	-0.6512254	
2.756	0.2410081	-0.2	-0.6539312	
2.757	0.2433343	-0.2	-0.6566343	
2.758	0.2456749	-0.2	-0.6593346	
2.759	0.24803	-0.2	-0.6620321	
2.76	0.2503996	-0.2	-0.6647267	
2.761	0.2527837	-0.2	-0.6674181	
2.762	0.2551822	-0.2	-0.6701064	
2.763	0.2575954	-0.2	-0.6727914	
2.764	0.260023	-0.2	-0.6754731	
2.765	0.2624652	-0.2	-0.6781512	
2.766	0.2649219	-0.2	-0.6808258	
2.767	0.2673932	-0.2	-0.6834967	
2.768	0.2698791	-0.2	-0.6861638	
2.769	0.2723795	-0.2	-0.688827	
2.77	0.2748945	-0.2	-0.6914861	
2.771	0.2774242	-0.2	-0.6941411	
2.772	0.2799684	-0.2	-0.6967919	
2.773	0.2825272	-0.2	-0.6994384	
2.774	0.2851005	-0.2	-0.7020804	
2.775	0.2876886	-0.2	-0.7047179	
2.776	0.2902912	-0.2	-0.7073507	
2.777	0.2929084	-0.2	-0.7099788	
2.778	0.2955402	-0.2	-0.7126019	
2.779	0.2981867	-0.2	-0.7152201	
2.78	0.3008477	-0.2	-0.7178332	
2.781	0.3035234	-0.2	-0.720441	
2.782	0.3062136	-0.2	-0.7230436	
2.783	0.3089184	-0.2	-0.7256407	
2.784	0.3116378	-0.2	-0.7282323	
2.785	0.3143719	-0.2	-0.7308183	
2.786	0.3171205	-0.2	-0.7333986	
2.787	0.3198837	-0.2	-0.7359729	
2.788	0.3226614	-0.2	-0.7385413	
2.789	0.3254537	-0.2	-0.7411036	
2.79	0.3282606	-0.2	-0.7436597	
2.791	0.331082	-0.2	-0.7462094	
2.792	0.3339178	-0.2	-0.7487528	
2.793	0.3367682	-0.2	-0.7512897	
2.794	0.3396332	-0.2	-0.7538199	
2.795	0.3425126	-0.2	-0.7563434	
2.796	0.3454064	-0.2	-0.7588601	
2.797	0.3483147	-0.2	-0.7613697	
2.798	0.3512375	-0.2	-0.7638723	
2.799	0.3541747	-0.2	-0.7663677	
2.8	0.3571262	-0.2	-0.7688558	
2.801	0.3600922	-0.2	-0.7713365	
2.802	0.3630725	-0.2	-0.7738096	
2.803	0.3660671	-0.2	-0.7762752	
2.804	0.3690761	-0.2	-0.778733	
2.805	0.3720994	-0.2	-0.7811829	
2.806	0.3751369	-0.2	-0.7836249	
2.807	0.3781887	-0.2	-0.7860588	
2.808	0.3812547	-0.2	-0.7884845	
2.809	0.3843349	-0.2	-0.7909018	
2.81	0.3874292	-0.2	-0.7933108	
2.811	0.3905377	-0.2	-0.7957113	
2.812	0.3936604	-0.2	-0.7981031	
2.813	0.396797	-0.2	-0.8004862	
2.814	0.3999478	-0.2	-0.8028604	
2.815	0.4031126	-0.2	-0.8052258	
2.816	0.4062913	-0.2	-0.8075819	
2.817	0.409484	-0.2	-0.8099289	
2.818	0.4126906	-0.2	-0.8122666	
2.819	0.415911	-0.2	-0.8145949	
2.82	0.4191454	-0.2	-0.8169137	
2.821	0.4223935	-0.2	-0.8192229	
2.822	0.4256554	-0.2	-0.8215222	
2.823	0.4289311	-0.2	-0.8238118	
2.824	0.4322204	-0.2	-0.8260914	
2.825	0.4355233	-0.2	-0.828361	
2.826	0.4388399	-0.2	-0.8306203	
2.827	0.44217	-0.2	-0.8328694	
2.828	0.4455136	-0.2	-0.835108	
2.829	0.4488707	-0.2	-0.8373362	
2.83	0.4522412	-0.2	-0.8395538	
2.831	0.4556251	-0.2	-0.8417606	
2.832	0.4590223	-0.2	-0.8439566	
2.833	0.4624328	-0.2	-0.8461418	
2.834	0.4658565	-0.2	-0.8483158	
2.835	0.4692934	-0.2	-0.8504788	
2.836	0.4727435	-0.2	-0.8526304	
2.837	0.4762066	-0.2	-0.8547708	
2.838	0.4796827	-0.2	-0.8568996	
2.839	0.4831719	-0.2	-0.8590168	
2.84	0.4866739	-0.2	-0.8611223	
2.841	0.4901888	-0.2	-0.8632161	
2.842	0.4937165	-0.2	-0.865298	
2.843	0.4972569	-0.2	-0.8673679	
2.844	0.50081	-0.2	-0.8694257	
2.845	0.5043758	-0.2	-0.8714713	
2.846	0.5079541	-0.2	-0.8735046	
2.847	0.5115449	-0.2	-0.8755255	
2.848	0.5151481	-0.2	-0.8775339	
2.849	0.5187637	-0.2	-0.8795296	
2.85	0.5223916	-0.2	-0.8815126	
2.851	0.5260318	-0.2	-0.8834829	
2.852	0.5296841	-0.2	-0.8854402	
2.853	0.5333486	-0.2	-0.8873844	
2.854	0.5370251	-0.2	-0.8893156	
2.855	0.5407135	-0.2	-0.8912336	
2.856	0.544414	-0.2	-0.8931382	
2.857	0.5481262	-0.2	-0.8950295	
2.858	0.5518501	-0.2	-0.8969072	
2.859	0.5555858	-0.2	-0.8987712	
2.86	0.5593331	-0.2	-0.9006216	
2.861	0.5630919	-0.2	-0.9024582	
2.862	0.5668622	-0.2	-0.9042808	
2.863	0.5706438	-0.2	-0.9060895	
2.864	0.5744368	-0.2	-0.9078841	
2.865	0.5782411	-0.2	-0.9096646	
2.866	0.5820565	-0.2	-0.9114307	
2.867	0.5858829	-0.2	-0.9131824	
2.868	0.5897204	-0.2	-0.9149197	
2.869	0.5935687	-0.2	-0.9166424	
2.87	0.5974279	-0.2	-0.9183504	
2.871	0.6012979	-0.2	-0.9200438	
2.872	0.6051785	-0.2	-0.9217222	
2.873	0.6090696	-0.2	-0.9233858	
2.874	0.6129713	-0.2	-0.9250343	
2.875	0.6168835	-0.2	-0.9266678	
2.876	0.6208059	-0.2	-0.9282861	
2.877	0.6247385	-0.2	-0.929889	
2.878	0.6286814	-0.2	-0.9314766	
2.879	0.6326342	-0.2	-0.9330487	
2.88	0.636597	-0.2	-0.9346053	
2.881	0.6405697	-0.2	-0.9361464	
2.882	0.6445522	-0.2	-0.9376717	
2.883	0.6485444	-0.2	-0.9391813	
2.884	0.6525461	-0.2	-0.9406749	
2.885	0.6565574	-0.2	-0.9421526	
2.886	0.6605781	-0.2	-0.9436143	
2.887	0.6646081	-0.2	-0.9450599	
2.888	0.6686472	-0.2	-0.9464893	
2.889	0.6726956	-0.2	-0.9479024	
2.89	0.6767529	-0.2	-0.9492992	
2.891	0.6808191	-0.2	-0.9506795	
2.892	0.6848941	-0.2	-0.9520434	
2.893	0.6889779	-0.2	-0.9533906	
2.894	0.6930704	-0.2	-0.9547213	
2.895	0.6971713	-0.2	-0.9560353	
2.896	0.7012806	-0.2	-0.9573323	
2.897	0.7053983	-0.2	-0.9586126	
2.898	0.7095241	-0.2	-0.959876	
2.899	0.713658	-0.2	-0.9611223	
2.9	0.7178	-0.2	-0.9623516	
2.901	0.7219499	-0.2	-0.9635637	
2.902	0.7261075	-0.2	-0.9647586	
2.903	0.7302728	-0.2	-0.9659362	
2.904	0.7344458	-0.2	-0.9670964	
2.905	0.7386261	-0.2	-0.9682393	
2.906	0.7428138	-0.2	-0.9693646	
2.907	0.7470087	-0.2	-0.9704725	
2.908	0.7512108	-0.2	-0.9715628	
2.909	0.7554199	-0.2	-0.9726354	
2.91	0.7596359	-0.2	-0.9736902	
2.911	0.7638587	-0.2	-0.9747273	
2.912	0.7680882	-0.2	-0.9757466	
2.913	0.7723243	-0.2	-0.9767479	
2.914	0.7765668	-0.2	-0.9777313	
2.915	0.7808157	-0.2	-0.9786968	
2.916	0.7850708	-0.2	-0.979644	
2.917	0.7893321	-0.2	-0.9805732	
2.918	0.7935993	-0.2	-0.9814842	
2.919	0.7978724	-0.2	-0.9823771	
2.92	0.8021513	-0.2	-0.9832516	
2.921	0.8064359	-0.2	-0.9841078	
2.922	0.810726	-0.2	-0.9849456	
2.923	0.8150215	-0.2	-0.985765	
2.924	0.8193222	-0.2	-0.9865659	
2.925	0.8236281	-0.2	-0.9873483	
2.926	0.8279392	-0.2	-0.9881122	
2.927	0.8322551	-0.2	-0.9888574	
2.928	0.8365759	-0.2	-0.9895841	
2.929	0.8409014	-0.2	-0.990292	
2.93	0.8452315	-0.2	-0.9909812	
2.931	0.8495659	-0.2	-0.9916517	
2.932	0.8539047	-0.2	-0.9923033	
2.933	0.8582478	-0.2	-0.9929361	
2.934	0.8625949	-0.2	-0.9935499	
2.935	0.8669459	-0.2	-0.9941449	
2.936	0.8713009	-0.2	-0.9947209	
2.937	0.8756596	-0.2	-0.995278	
2.938	0.8800218	-0.2	-0.9958161	
2.939	0.8843875	-0.2	-0.996335	
2.94	0.8887566	-0.2	-0.9968349	
2.941	0.8931288	-0.2	-0.9973158	
2.942	0.8975042	-0.2	-0.9977776	
2.943	0.9018825	-0.2	-0.9982201	
2.944	0.9062636	-0.2	-0.9986436	
2.945	0.9106475	-0.2	-0.9990478	
2.946	0.9150339	-0.2	-0.9994327	
