Time	Length	Position	2	
0.55	4.010032	0.9899797	0	
0.551	4.007633	0.992378	0	
0.552	4.005238	0.9947739	0	
0.553	4.002844	0.9971675	0	
0.554	4.000453	0.9995586	0	
0.555	3.998064	1.001947	0	
0.5560001	3.995678	1.004334	0	
0.557	3.993294	1.006718	0	
0.558	3.990913	1.009099	0	
0.559	3.988534	1.011478	0	
0.56	3.986157	1.013855	0	
0.561	3.983784	1.016228	0	
0.562	3.981413	1.0186	0	
0.563	3.979044	1.020968	0	
0.564	3.976678	1.023335	0	
0.565	3.974314	1.025698	0	
0.566	3.971953	1.028059	0	
0.567	3.969595	1.030417	0	
0.568	3.96724	1.032773	0	
0.569	3.964887	1.035125	0	
0.5700001	3.962537	1.037476	0	
0.571	3.960189	1.039823	0	
0.572	3.957845	1.042168	0	
0.573	3.955503	1.044509	0	
0.574	3.953164	1.046848	0	
0.575	3.950828	1.049184	0	
0.576	3.948495	1.051518	0	
0.577	3.946165	1.053848	0	
0.578	3.943837	1.056176	0	
0.5790001	3.941513	1.0585	0	
0.58	3.939191	1.060822	0	
0.581	3.936872	1.063141	0	
0.582	3.934556	1.065457	0	
0.583	3.932243	1.067769	0	
0.5840001	3.929934	1.070079	0	
0.585	3.927627	1.072386	0	
0.586	3.925323	1.07469	0	
0.587	3.923023	1.07699	0	
0.588	3.920725	1.079288	0	
0.589	3.918431	1.081582	0	
0.59	3.91614	1.083874	0	
0.591	3.913851	1.086162	0	
0.592	3.911566	1.088447	0	
0.5930001	3.909285	1.090729	0	
0.594	3.907006	1.093007	0	
0.595	3.904731	1.095283	0	
0.596	3.902459	1.097555	0	
0.597	3.90019	1.099824	0	
0.598	3.897925	1.102089	0	
0.599	3.895662	1.104351	0	
0.6	3.893404	1.10661	0	
0.601	3.891148	1.108866	0	
0.6020001	3.888896	1.111118	0	
0.603	3.886647	1.113367	0	
0.604	3.884401	1.115612	0	
0.605	3.882159	1.117854	0	
0.606	3.879921	1.120093	0	
0.6070001	3.877686	1.122328	0	
0.608	3.875454	1.12456	0	
0.609	3.873226	1.126788	0	
0.61	3.871001	1.129013	0	
0.611	3.86878	1.131234	0	
0.612	3.866562	1.133451	0	
0.613	3.864349	1.135665	0	
0.614	3.862139	1.137876	0	
0.615	3.859932	1.140083	0	
0.6160001	3.857729	1.142286	0	
0.617	3.855529	1.144485	0	
0.618	3.853333	1.146681	0	
0.619	3.851141	1.148873	0	
0.62	3.848953	1.151062	0	
0.6210001	3.846768	1.153247	0	
0.622	3.844587	1.155428	0	
0.623	3.84241	1.157605	0	
0.624	3.840236	1.159778	0	
0.625	3.838067	1.161948	0	
0.626	3.835901	1.164114	0	
0.627	3.833739	1.166276	0	
0.628	3.83158	1.168434	0	
0.629	3.829426	1.170589	0	
0.6300001	3.827276	1.172739	0	
0.631	3.825129	1.174886	0	
0.632	3.822986	1.177029	0	
0.633	3.820848	1.179167	0	
0.634	3.818713	1.181302	0	
0.6350001	3.816582	1.183433	0	
0.636	3.814455	1.18556	0	
0.637	3.812333	1.187683	0	
0.638	3.810214	1.189802	0	
0.6390001	3.808099	1.191916	0	
0.64	3.805988	1.194027	0	
0.641	3.803881	1.196134	0	
0.642	3.801779	1.198237	0	
0.643	3.799681	1.200335	0	
0.6440001	3.797586	1.20243	0	
0.645	3.795496	1.20452	0	
0.646	3.79341	1.206606	0	
0.647	3.791328	1.208688	0	
0.648	3.78925	1.210766	0	
0.649	3.787176	1.212839	0	
0.65	3.785107	1.214909	0	
0.651	3.783042	1.216974	0	
0.652	3.780981	1.219035	0	
0.6530001	3.778924	1.221091	0	
0.654	3.776872	1.223144	0	
0.655	3.774824	1.225192	0	
