Time	Length	Position	Length2	2	
0.236	0	0.01297383	4.987005	0	
0.237	0	0.01703136	4.982947	0	
0.238	0	0.02110165	4.978878	0	
0.239	0	0.02518464	4.974794	0	
0.24	0	0.02928029	4.970699	0	
0.241	0	0.03338855	4.96659	0	
0.242	0	0.03750938	4.96247	0	
0.243	0	0.04164272	4.958336	0	
0.244	0	0.04578853	4.95419	0	
0.245	0	0.04994677	4.950032	0	
0.246	0	0.05411737	4.945862	0	
0.247	0	0.05830031	4.941679	0	
0.248	0	0.06249551	4.937484	0	
0.249	0	0.06670295	4.933277	0	
0.25	0	0.07092258	4.929058	0	
0.251	0	0.07515433	4.924826	0	
0.252	0	0.07939816	4.920582	0	
0.253	0	0.08365403	4.916326	0	
0.254	0	0.08792189	4.912058	0	
0.255	0	0.09220169	4.907779	0	
0.256	0	0.09649337	4.903488	0	
0.257	0	0.1007969	4.899184	0	
0.258	0	0.1051122	4.894869	0	
0.259	0	0.1094393	4.890542	0	
0.26	0	0.113778	4.886203	0	
0.261	0	0.1181284	4.881853	0	
0.262	0	0.1224904	4.877491	0	
0.263	0	0.1268639	4.873117	0	
0.264	0	0.131249	4.868733	0	
0.265	0	0.1356454	4.864336	0	
0.266	0	0.1400533	4.859929	0	
0.267	0	0.1444725	4.855509	0	
0.268	0	0.148903	4.851079	0	
0.269	0	0.1533448	4.846637	0	
0.27	0	0.1577977	4.842184	0	
0.271	0	0.1622618	4.83772	0	
0.272	0	0.166737	4.833245	0	
0.273	0	0.1712233	4.82876	0	
0.274	0	0.1757205	4.824262	0	
0.275	0	0.1802287	4.819754	0	
0.276	0	0.1847477	4.815235	0	
0.277	0	0.1892776	4.810705	0	
0.278	0	0.1938183	4.806165	0	
0.279	0	0.1983698	4.801613	0	
0.28	0	0.2029319	4.797051	0	
0.281	0	0.2075047	4.792479	0	
0.282	0	0.212088	4.787896	0	
0.283	0	0.2166819	4.783302	0	
0.284	0	0.2212863	4.778697	0	
0.285	0	0.2259011	4.774083	0	
0.286	0	0.2305263	4.769457	0	
0.287	0	0.2351618	4.764822	0	
0.288	0	0.2398076	4.760177	0	
0.289	0	0.2444637	4.755521	0	
0.29	0	0.2491299	4.750854	0	
0.291	0	0.2538062	4.746179	0	
0.292	0	0.2584926	4.741492	0	
0.293	0	0.263189	4.736796	0	
0.294	0	0.2678954	4.73209	0	
0.295	0	0.2726117	4.727374	0	
0.296	0	0.2773379	4.722647	0	
0.297	0	0.2820739	4.717911	0	
0.298	0	0.2868196	4.713166	0	
0.299	0	0.2915751	4.70841	0	
0.3	0	0.2963402	4.703646	0	
0.301	0	0.3011149	4.698871	0	
0.302	0	0.3058991	4.694087	0	
0.303	0	0.3106928	4.689293	0	
0.304	0	0.315496	4.68449	0	
0.305	0	0.3203086	4.679677	0	
0.306	0	0.3251305	4.674856	0	
0.307	0	0.3299617	4.670024	0	
0.308	0	0.3348022	4.665184	0	
0.309	0	0.3396518	4.660335	0	
0.31	0	0.3445105	4.655477	0	
0.311	0	0.3493783	4.650609	0	
0.312	0	0.3542551	4.645732	0	
0.313	0	0.3591409	4.640846	0	
0.314	0	0.3640356	4.635952	0	
0.315	0	0.3689392	4.631048	0	
0.316	0	0.3738516	4.626135	0	
0.317	0	0.3787727	4.621215	0	
0.318	0	0.3837025	4.616285	0	
0.319	0	0.388641	4.611347	0	
0.32	0	0.393588	4.6064	0	
0.321	0	0.3985436	4.601444	0	
0.322	0	0.4035077	4.59648	0	
0.323	0	0.4084802	4.591508	0	
0.324	0	0.4134611	4.586527	0	
0.325	0	0.4184503	4.581538	0	
0.326	0	0.4234478	4.576541	0	
0.327	0	0.4284535	4.571536	0	
0.328	0	0.4334673	4.566522	0	
0.329	0	0.4384893	4.5615	0	
0.33	0	0.4435193	4.55647	0	
0.331	0	0.4485573	4.551432	0	
0.332	0	0.4536032	4.546386	0	
0.333	0	0.458657	4.541333	0	
0.334	0	0.4637187	4.536271	0	
0.335	0	0.4687881	4.531202	0	
0.336	0	0.4738652	4.526125	0	
0.337	0	0.4789501	4.52104	0	
0.338	0	0.4840425	4.515947	0	
0.339	0	0.4891425	4.510848	0	
0.34	0	0.49425	4.505741	0	
0.341	0	0.4993649	4.500626	0	
0.342	0	0.5044873	4.495503	0	
0.343	0	0.509617	4.490374	0	
0.344	0	0.5147539	4.485237	0	
0.345	0	0.5198981	4.480093	0	
0.346	0	0.5250495	4.474942	0	
0.347	0	0.530208	4.469783	0	
0.348	0	0.5353735	4.464618	0	
0.349	0	0.5405461	4.459445	0	
0.35	0	0.5457256	4.454266	0	
0.351	0	0.550912	4.44908	0	
0.352	0	0.5561052	4.443887	0	
0.353	0	0.5613052	4.438687	0	
0.354	0	0.566512	4.43348	0	
0.355	0	0.5717254	4.428267	0	
0.356	0	0.5769455	4.423047	0	
0.357	0	0.5821721	4.41782	0	
0.358	0	0.5874052	4.412587	0	
0.359	0	0.5926448	4.407348	0	
0.36	0	0.5978908	4.402102	0	
0.361	0	0.6031431	4.39685	0	
0.362	0	0.6084017	4.391592	0	
0.363	0	0.6136665	4.386327	0	
0.364	0	0.6189376	4.381056	0	
0.365	0	0.6242147	4.375779	0	
0.366	0	0.6294979	4.370495	0	
0.367	0	0.6347871	4.365207	0	
0.368	0	0.6400822	4.359912	0	
0.369	0	0.6453833	4.354611	0	
0.37	0	0.6506902	4.349304	0	
0.371	0	0.6560029	4.343991	0	
0.372	0	0.6613213	4.338673	0	
0.373	0	0.6666453	4.333349	0	
0.374	0	0.671975	4.32802	0	
0.375	0	0.6773103	4.322684	0	
0.376	0	0.682651	4.317344	0	
0.377	0	0.6879972	4.311998	0	
0.378	0	0.6933488	4.306646	0	
0.379	0	0.6987057	4.30129	0	
0.38	0	0.7040679	4.295927	0	
0.381	0	0.7094354	4.29056	0	
0.382	0	0.714808	4.285188	0	
0.383	0	0.7201857	4.27981	0	
0.384	0	0.7255685	4.274427	0	
0.385	0	0.7309563	4.26904	0	
0.386	0	0.7363489	4.263647	0	
0.387	0	0.7417465	4.25825	0	
0.388	0	0.7471489	4.252848	0	
0.389	0	0.752556	4.247441	0	
0.39	0	0.7579679	4.242029	0	
0.391	0	0.7633845	4.236612	0	
0.392	0	0.7688057	4.231191	0	
0.393	0	0.7742314	4.225765	0	
0.394	0	0.7796615	4.220335	0	
0.395	0	0.7850962	4.214901	0	
0.396	0	0.7905352	4.209463	0	
0.397	0	0.7959785	4.204019	0	
0.398	0	0.8014261	4.198572	0	
0.399	0	0.8068779	4.19312	0	
0.4	0	0.8123338	4.187664	0	
0.401	0	0.8177938	4.182204	0	
0.402	0	0.8232579	4.17674	0	
0.403	0	0.8287259	4.171273	0	
0.404	0	0.8341978	4.165801	0	
0.405	0	0.8396736	4.160325	0	
0.406	0	0.8451533	4.154845	0	
0.407	0	0.8506367	4.149362	0	
0.408	0	0.8561237	4.143875	0	
0.409	0	0.8616145	4.138385	0	
0.41	0	0.8671088	4.132891	0	
0.411	0	0.8726066	4.127393	0	
0.412	0	0.8781078	4.121891	0	
0.413	0	0.8836126	4.116387	0	
0.414	0	0.8891206	4.110879	0	
0.415	0	0.894632	4.105368	0	
0.416	0	0.9001466	4.099854	0	
0.417	0	0.9056644	4.094336	0	
0.418	0	0.9111853	4.088815	0	
0.419	0	0.9167093	4.083291	0	
0.42	0	0.9222363	4.077764	0	
0.421	0	0.9277663	4.072234	0	
0.422	0	0.9332991	4.066701	0	
0.423	0	0.9388348	4.061166	0	
0.424	0	0.9443733	4.055628	0	
0.425	0	0.9499145	4.050086	0	
0.426	0	0.9554584	4.044542	0	
0.427	0	0.9610049	4.038997	0	
0.428	0	0.966554	4.033447	0	
0.429	0	0.9721056	4.027896	0	
0.43	0	0.9776596	4.022342	0	
0.431	0	0.983216	4.016786	0	
0.432	0	0.9887747	4.011227	0	
0.433	0	0.9943357	4.005666	0	
0.434	0	0.999899	4.000103	0	
0.435	0	1.005464	3.994538	0	
0.436	0	1.011032	3.988971	0	
0.437	0	1.016601	3.983401	0	
0.438	0	1.022173	3.97783	0	
0.439	0	1.027747	3.972256	0	
0.44	0	1.033322	3.966681	0	
0.441	0	1.038899	3.961104	0	
0.442	0	1.044478	3.955525	0	
0.443	0	1.050059	3.949944	0	
0.444	0	1.055641	3.944362	0	
0.445	0	1.061225	3.938779	0	
0.446	0	1.06681	3.933193	0	
0.447	0	1.072397	3.927606	0	
0.448	0	1.077986	3.922018	0	
0.449	0	1.083576	3.916428	0	
0.45	0	1.089167	3.910837	0	
0.451	0	1.094759	3.905245	0	
0.452	0	1.100353	3.899652	0	
0.453	0	1.105947	3.894058	0	
0.454	0	1.111543	3.888462	0	
0.455	0	1.11714	3.882865	0	
0.456	0	1.122737	3.877267	0	
0.457	0	1.128336	3.871669	0	
0.458	0	1.133935	3.86607	0	
0.459	0	1.139536	3.860469	0	
0.46	0	1.145137	3.854868	0	
0.461	0	1.150739	3.849267	0	
0.462	0	1.156341	3.843665	0	
0.463	0	1.161944	3.838062	0	
0.464	0	1.167547	3.832458	0	
0.465	0	1.173151	3.826855	0	
0.466	0	1.178756	3.82125	0	
0.467	0	1.18436	3.815646	0	
0.468	0	1.189965	3.810041	0	
0.469	0	1.195571	3.804436	0	
0.47	0	1.201176	3.798831	0	
0.471	0	1.206782	3.793225	0	
0.472	0	1.212387	3.78762	0	
0.473	0	1.217993	3.782014	0	
0.474	0	1.223599	3.776409	0	
0.475	0	1.229204	3.770803	0	
0.476	0	1.23481	3.765198	0	
0.477	0	1.240415	3.759593	0	
0.478	0	1.24602	3.753988	0	
0.479	0	1.251624	3.748384	0	
0.48	0	1.257228	3.74278	0	
0.481	0	1.262832	3.737176	0	
0.482	0	1.268436	3.731573	0	
0.483	0	1.274038	3.72597	0	
0.484	0	1.27964	3.720368	0	
0.485	0	1.285242	3.714766	0	
0.486	0	1.290843	3.709166	0	
0.487	0	1.296443	3.703566	0	
0.488	0	1.302042	3.697967	0	
0.489	0	1.30764	3.692369	0	
0.49	0	1.313238	3.686771	0	
0.491	0	1.318834	3.681175	0	
0.492	0	1.32443	3.675579	0	
0.493	0	1.330024	3.669986	0	
0.494	0	1.335617	3.664392	0	
0.495	0	1.341209	3.658801	0	
0.496	0	1.3468	3.65321	0	
0.497	0	1.352389	3.647621	0	
0.498	0	1.357977	3.642033	0	
0.499	0	1.363564	3.636446	0	
0.5	0	1.369149	3.630862	0	
0.501	0	1.374732	3.625278	0	
0.502	0	1.380314	3.619696	0	
0.503	0	1.385895	3.614116	0	
0.504	0	1.391473	3.608538	0	
0.505	0	1.39705	3.602961	0	
0.506	0	1.402625	3.597386	0	
0.507	0	1.408198	3.591813	0	
0.508	0	1.413769	3.586242	0	
0.509	0	1.419339	3.580673	0	
0.5100001	0	1.424906	3.575106	0	
0.511	0	1.430471	3.569541	0	
0.512	0	1.436034	3.563977	0	
0.513	0	1.441595	3.558417	0	
0.514	0	1.447153	3.552859	0	
0.515	0	1.452709	3.547303	0	
0.516	0	1.458263	3.541749	0	
0.517	0	1.463815	3.536198	0	
0.518	0	1.469364	3.530649	0	
0.5190001	0	1.47491	3.525102	0	
0.52	0	1.480454	3.519558	0	
0.521	0	1.485995	3.514017	0	
0.522	0	1.491534	3.508479	0	
0.523	0	1.49707	3.502944	0	
0.524	0	1.502603	3.497411	0	
0.525	0	1.508133	3.49188	0	
0.526	0	1.51366	3.486353	0	
0.527	0	1.519184	3.480829	0	
0.528	0	1.524706	3.475307	0	
0.529	0	1.530224	3.46979	0	
0.53	0	1.535739	3.464275	0	
0.531	0	1.541251	3.458763	0	
0.532	0	1.54676	3.453254	0	
0.5330001	0	1.552265	3.447749	0	
0.534	0	1.557768	3.442247	0	
0.535	0	1.563266	3.436748	0	
0.536	0	1.568762	3.431253	0	
0.537	0	1.574253	3.425761	0	
0.538	0	1.579742	3.420273	0	
0.539	0	1.585226	3.414788	0	
0.54	0	1.590708	3.409308	0	
0.541	0	1.596185	3.40383	0	
0.5420001	0	1.601659	3.398357	0	
0.543	0	1.607128	3.392887	0	
0.544	0	1.612594	3.387421	0	
0.545	0	1.618056	3.381959	0	
0.546	0	1.623515	3.376501	0	
0.5470001	0	1.628969	3.371047	0	
0.548	0	1.634419	3.365597	0	
0.549	0	1.639864	3.360151	0	
0.55	0	1.645306	3.35471	0	
0.551	0	1.650744	3.349273	0	
0.552	0	1.656177	3.34384	0	
0.553	0	1.661606	3.338411	0	
0.554	0	1.66703	3.332986	0	
0.555	0	1.67245	3.327566	0	
0.5560001	0	1.677866	3.322151	0	
0.557	0	1.683277	3.31674	0	
0.558	0	1.688683	3.311333	0	
0.559	0	1.694085	3.305932	0	
0.56	0	1.699482	3.300535	0	
0.561	0	1.704875	3.295143	0	
0.562	0	1.710262	3.289756	0	
0.563	0	1.715645	3.284373	0	
0.564	0	1.721022	3.278995	0	
0.565	0	1.726395	3.273622	0	
0.566	0	1.731763	3.268255	0	
0.567	0	1.737126	3.262892	0	
0.568	0	1.742484	3.257534	0	
0.569	0	1.747836	3.252182	0	
0.5700001	0	1.753184	3.246835	0	
0.571	0	1.758526	3.241493	0	
0.572	0	1.763863	3.236156	0	
0.573	0	1.769194	3.230824	0	
0.574	0	1.77452	3.225499	0	
0.575	0	1.779841	3.220179	0	
0.576	0	1.785156	3.214863	0	
0.577	0	1.790465	3.209554	0	
0.578	0	1.795769	3.20425	0	
0.5790001	0	1.801067	3.198952	0	
0.58	0	1.80636	3.19366	0	
0.581	0	1.811647	3.188373	0	
0.582	0	1.816928	3.183093	0	
0.583	0	1.822203	3.177817	0	
0.5840001	0	1.827472	3.172548	0	
0.585	0	1.832735	3.167285	0	
0.586	0	1.837992	3.162028	0	
0.587	0	1.843243	3.156776	0	
0.588	0	1.848489	3.151531	0	
0.589	0	1.853727	3.146293	0	
0.59	0	1.85896	3.141061	0	
0.591	0	1.864187	3.135834	0	
0.592	0	1.869407	3.130614	0	
0.5930001	0	1.87462	3.125401	0	
0.594	0	1.879828	3.120193	0	
0.595	0	1.885029	3.114992	0	
0.596	0	1.890223	3.109798	0	
0.597	0	1.895411	3.10461	0	
0.598	0	1.900592	3.099429	0	
0.599	0	1.905767	3.094255	0	
0.6	0	1.910935	3.089087	0	
0.601	0	1.916096	3.083926	0	
0.6020001	0	1.92125	3.078772	0	
0.603	0	1.926398	3.073624	0	
0.604	0	1.931539	3.068483	0	
0.605	0	1.936672	3.063349	0	
0.606	0	1.941799	3.058223	0	
0.6070001	0	1.946919	3.053103	0	
0.608	0	1.952032	3.047991	0	
0.609	0	1.957137	3.042886	0	
0.61	0	1.962235	3.037787	0	
0.611	0	1.967327	3.032696	0	
0.612	0	1.972411	3.027612	0	
0.613	0	1.977487	3.022536	0	
0.614	0	1.982556	3.017467	0	
0.615	0	1.987618	3.012405	0	
0.6160001	0	1.992673	3.007351	0	
0.617	0	1.997719	3.002304	0	
0.618	0	2.002759	2.997265	0	
0.619	0	2.007791	2.992233	0	
0.62	0	2.012815	2.987209	0	
0.6210001	0	2.017831	2.982193	0	
0.622	0	2.02284	2.977185	0	
0.623	0	2.02784	2.972184	0	
0.624	0	2.032833	2.967191	0	
0.625	0	2.037818	2.962206	0	
0.626	0	2.042796	2.957229	0	
0.627	0	2.047765	2.952259	0	
0.628	0	2.052726	2.947298	0	
0.629	0	2.057679	2.942345	0	
0.6300001	0	2.062624	2.9374	0	
0.631	0	2.067561	2.932463	0	
0.632	0	2.07249	2.927535	0	
0.633	0	2.077411	2.922615	0	
0.634	0	2.082323	2.917702	0	
0.6350001	0	2.087227	2.912798	0	
0.636	0	2.092123	2.907902	0	
0.637	0	2.09701	2.903015	0	
0.638	0	2.101889	2.898137	0	
0.6390001	0	2.106759	2.893267	0	
0.64	0	2.11162	2.888405	0	
0.641	0	2.116473	2.883552	0	
0.642	0	2.121318	2.878708	0	
0.643	0	2.126154	2.873873	0	
0.6440001	0	2.130981	2.869045	0	
0.645	0	2.135799	2.864227	0	
0.646	0	2.140608	2.859418	0	
0.647	0	2.145409	2.854617	0	
0.648	0	2.150201	2.849826	0	
0.649	0	2.154983	2.845043	0	
0.65	0	2.159757	2.84027	0	
0.651	0	2.164522	2.835505	0	
0.652	0	2.169278	2.830749	0	
0.6530001	0	2.174024	2.826002	0	
0.654	0	2.178762	2.821265	0	
0.655	0	2.18349	2.816537	0	
0.656	0	2.188209	2.811818	0	
0.657	0	2.192919	2.807109	0	
0.6580001	0	2.197619	2.802408	0	
0.659	0	2.20231	2.797717	0	
0.66	0	2.206992	2.793036	0	
0.661	0	2.211664	2.788364	0	
0.6620001	0	2.216327	2.783701	0	
