Time	Rotation	
1.094	0.3798034	
1.0944	0.380136	
1.0948	0.3804256	
1.0952	0.3806722	
1.0956	0.3808757	
1.096	0.3810363	
1.0964	0.3811537	
1.0968	0.3812282	
1.0972	0.3812598	
1.0976	0.3812484	
1.098	0.3811942	
1.0984	0.3810973	
1.0988	0.3809577	
1.0992	0.3807757	
1.0996	0.3805512	
1.1	0.3802845	
1.1004	0.3799758	
1.1008	0.3796253	
1.1012	0.3792331	
1.1016	0.3787994	
1.102	0.3783247	
1.1024	0.377809	
1.1028	0.3772526	
1.1032	0.3766558	
1.1036	0.3760189	
1.104	0.3753423	
1.1044	0.3746261	
1.1048	0.3738708	
1.1052	0.3730768	
1.1056	0.3722444	
1.106	0.371374	
1.1064	0.3704659	
1.1068	0.3695206	
1.1072	0.3685384	
1.1076	0.3675199	
1.108	0.3664654	
1.1084	0.3653755	
1.1088	0.3642504	
1.1092	0.3630909	
1.1096	0.3618972	
1.11	0.3606699	
1.1104	0.3594096	
1.1108	0.3581166	
1.1112	0.3567916	
1.1116	0.3554351	
1.112	0.3540476	
1.1124	0.3526296	
1.1128	0.3511817	
1.1132	0.3497045	
1.1136	0.3481986	
1.114	0.3466644	
1.1144	0.3451027	
1.1148	0.3435139	
1.1152	0.3418986	
1.1156	0.3402575	
1.116	0.3385911	
1.1164	0.3369001	
1.1168	0.335185	
1.1172	0.3334465	
1.1176	0.3316851	
1.118	0.3299015	
1.1184	0.3280963	
1.1188	0.3262702	
1.1192	0.3244237	
1.1196	0.3225574	
1.12	0.320672	
1.1204	0.3187682	
1.1208	0.3168465	
1.1212	0.3149075	
1.1216	0.3129519	
1.122	0.3109803	
1.1224	0.3089932	
1.1228	0.3069914	
1.1232	0.3049754	
1.1236	0.3029459	
1.124	0.3009035	
1.1244	0.2988487	
1.1248	0.2967821	
1.1252	0.2947046	
1.1256	0.2926164	
1.126	0.2905183	
1.1264	0.2884109	
1.1268	0.2862948	
1.1272	0.2841704	
1.1276	0.2820386	
1.128	0.2798996	
1.1284	0.2777542	
1.1288	0.275603	
1.1292	0.2734464	
1.1296	0.2712851	
1.13	0.2691195	
1.1304	0.2669503	
1.1308	0.2647779	
1.1312	0.2626029	
1.1316	0.2604257	
1.132	0.258247	
1.1324	0.2560673	
1.1328	0.253887	
1.1332	0.2517065	
1.1336	0.2495265	
1.134	0.2473474	
1.1344	0.2451697	
1.1348	0.2429938	
1.1352	0.2408203	
1.1356	0.2386495	
1.136	0.2364819	
1.1364	0.234318	
1.1368	0.2321582	
1.1372	0.2300029	
1.1376	0.2278525	
1.138	0.2257075	
1.1384	0.2235682	
1.1388	0.2214351	
1.1392	0.2193085	
1.1396	0.2171888	
1.14	0.2150765	
1.1404	0.2129718	
1.1408	0.2108752	
1.1412	0.2087869	
1.1416	0.2067074	
1.142	0.204637	
1.1424	0.202576	
1.1428	0.2005247	
1.1432	0.1984835	
1.1436	0.1964526	
1.144	0.1944325	
1.1444	0.1924233	
1.1448	0.1904254	
1.1452	0.1884391	
1.1456	0.1864646	
1.146	0.1845022	
1.1464	0.1825522	
1.1468	0.1806149	
1.1472	0.1786906	
1.1476	0.1767793	
1.148	0.1748815	
1.1484	0.1729973	
1.1488	0.171127	
1.1492	0.1692708	
1.1496	0.1674289	
1.15	0.1656016	
1.1504	0.163789	
1.1508	0.1619913	
1.1512	0.1602089	
1.1516	0.1584418	
1.152	0.1566902	
1.1524	0.1549544	
1.1528	0.1532345	
1.1532	0.1515307	
1.1536	0.1498432	
1.154	0.1481721	
1.1544	0.1465176	
1.1548	0.1448798	
1.1552	0.143259	
1.1556	0.1416552	
1.156	0.1400686	
1.1564	0.1384993	
1.1568	0.1369475	
1.1572	0.1354134	
1.1576	0.133897	
1.158	0.1323985	
1.1584	0.1309179	
1.1588	0.1294555	
1.1592	0.1280113	
1.1596	0.1265855	
1.16	0.1251782	
1.1604	0.1237894	
1.1608	0.1224192	
1.1612	0.1210679	
1.1616	0.1197354	
1.162	0.1184218	
1.1624	0.1171274	
1.1628	0.1158521	
1.1632	0.114596	
1.1636	0.1133592	
1.164	0.1121418	
1.1644	0.1109439	
1.1648	0.1097656	
1.1652	0.1086068	
1.1656	0.1074678	
1.166	0.1063486	
1.1664	0.1052492	
1.1668	0.1041697	
1.1672	0.1031101	
1.1676	0.1020706	
1.168	0.1010512	
1.1684	0.1000519	
1.1688	0.09907283	
1.1692	0.09811403	
1.1696	0.09717553	
1.17	0.0962574	
1.1704	0.09535967	
1.1708	0.09448239	
1.1712	0.09362561	
1.1716	0.0927894	
1.172	0.09197376	
1.1724	0.09117875	
1.1728	0.09040441	
1.1732	0.08965077	
1.1736	0.08891787	
1.174	0.08820575	
1.1744	0.08751444	
1.1748	0.08684397	
1.1752	0.08619439	
1.1756	0.08556569	
1.176	0.08495794	
1.1764	0.08437116	
1.1768	0.08380535	
1.1772	0.08326055	
1.1776	0.08273677	
1.178	0.08223406	
1.1784	0.08175243	
1.1788	0.08129188	
1.1792	0.08085245	
1.1796	0.08043417	
1.18	0.08003701	
1.1804	0.07966101	
1.1808	0.0793062	
1.1812	0.07897257	
1.1816	0.07866015	
1.182	0.07836894	
1.1824	0.07809895	
1.1828	0.0778502	
1.1832	0.07762269	
1.1836	0.07741643	
1.184	0.07723141	
1.1844	0.07706766	
1.1848	0.07692517	
1.1852	0.07680394	
1.1856	0.07670397	
1.186	0.07662526	
1.1864	0.07656781	
1.1868	0.07653163	
1.1872	0.07651669	
1.1876	0.07652301	
1.188	0.0765506	
1.1884	0.07659943	
1.1888	0.07666951	
1.1892	0.07676082	
1.1896	0.07687334	
1.19	0.07700709	
1.1904	0.07716203	
1.1908	0.07733815	
1.1912	0.07753546	
1.1916	0.07775392	
1.192	0.07799354	
1.1924	0.07825428	
1.1928	0.07853614	
1.1932	0.07883909	
1.1936	0.07916312	
1.194	0.07950822	
1.1944	0.07987433	
1.1948	0.08026146	
1.1952	0.08066956	
1.1956	0.08109865	
1.196	0.08154865	
1.1964	0.08201957	
1.1968	0.08251134	
1.1972	0.08302395	
1.1976	0.0835574	
1.198	0.0841116	
1.1984	0.08468658	
1.1988	0.08528224	
1.1992	0.08589858	
1.1996	0.08653556	
1.2	0.08719313	
1.2004	0.08787127	
1.2008	0.08856989	
1.2012	0.08928899	
1.2016	0.09002851	
1.202	0.09078839	
1.2024	0.09156859	
1.2028	0.09236906	
1.2032	0.09318977	
1.2036	0.09403061	
1.204	0.09489156	
1.2044	0.09577258	
