Time	Bottom_A	Bottom_FF	Bottom_Length	Bottom_Tension	Top_A	Top_Length	Top_MN	Top_Tension	
1.1484	0	0	0	0	0.423996	0.0514706	0.423996	1.184549	
1.1488	0	0	0	0	0.423996	0.05143949	0.423996	1.169579	
1.1492	0	0	0	0	0.423996	0.05140893	0.423996	1.154911	
1.1496	0	0	0	0	0.423996	0.05137891	0.4239961	1.140543	
1.15	0	0	0	0	0.4239961	0.05134943	0.4239961	1.126476	
1.1504	0	0	0	0	0.4239961	0.05132049	0.4239961	1.112709	
1.1508	0	0	0	0	0.4239961	0.05129209	0.4239961	1.099234	
1.1512	0	0	0	0	0.4239961	0.05126422	0.4239961	1.086052	
1.1516	0	0	0	0	0.4239961	0.05123687	0.4239962	1.073159	
1.152	0	0	0	0	0.4239962	0.05121005	0.4239962	1.060554	
1.1524	0	0	0	0	0.4239962	0.05118375	0.4239962	1.048236	
1.1528	0	0	0	0	0.4239962	0.05115796	0.4239962	1.036196	
1.1532	0	0	0	0	0.4239962	0.05113268	0.4239962	1.024435	
1.1536	0	0	0	0	0.4239962	0.05110791	0.4239962	1.012953	
1.154	0	0	0	0	0.4239962	0.05108364	0.4239962	1.00174	
1.1544	0	0	0	0	0.4239962	0.05105987	0.4239962	0.9908035	
1.1548	0	0	0	0	0.4239962	0.05103658	0.4239962	0.9801267	
1.1552	0	0	0	0	0.4239962	0.05101379	0.4239962	0.9697205	
1.1556	0	0	0	0	0.4239962	0.05099146	0.4239963	0.9595694	
1.156	0	0	0	0	0.4239963	0.05096963	0.4239963	0.9496822	
1.1564	0	0	0	0	0.4239963	0.05094826	0.4239963	0.9400454	
1.1568	0	0	0	0	0.4239963	0.05092735	0.4239963	0.9306584	
1.1572	0	0	0	0	0.4239963	0.0509069	0.4239963	0.9215226	
1.1576	0	0	0	0	0.4239963	0.05088691	0.4239964	0.91263	
1.158	0	0	0	0	0.4239964	0.05086737	0.4239964	0.9039802	
1.1584	0	0	0	0	0.4239964	0.05084826	0.4239964	0.895567	
1.1588	0	0	0	0	0.4239964	0.0508296	0.4239964	0.88739	
1.1592	0	0	0	0	0.4239964	0.05081137	0.4239964	0.8794449	
1.1596	0	0	0	0	0.4239964	0.05079356	0.4239964	0.8717257	
1.16	0	0	0	0	0.4239964	0.05077617	0.4239964	0.8642338	
1.1604	0	0	0	0	0.4239964	0.0507592	0.4239964	0.8569613	
1.1608	0	0	0	0	0.4239964	0.05074262	0.4239964	0.8499039	
1.1612	0	0	0	0	0.4239964	0.05072645	0.4239964	0.8430632	
1.1616	0	0	0	0	0.4239964	0.05071069	0.4239965	0.836435	
1.162	0	0	0	0	0.4239965	0.0506953	0.4239965	0.8300114	
1.1624	0	0	0	0	0.4239965	0.05068031	0.4239965	0.8237956	
1.1628	0	0	0	0	0.4239965	0.05066569	0.4239965	0.8177799	
1.1632	0	0	0	0	0.4239965	0.05065144	0.4239965	0.8119619	
1.1636	0	0	0	0	0.4239965	0.05063756	0.4239966	0.8063375	
1.164	0	0	0	0	0.4239966	0.05062404	0.4239966	0.8009045	
1.1644	0	0	0	0	0.4239966	0.05061087	0.4239966	0.795655	
1.1648	0	0	0	0	0.4239966	0.05059805	0.4239966	0.7905924	
1.1652	0	0	0	0	0.4239966	0.05058558	0.4239966	0.7857125	
1.1656	0	0	0	0	0.4239966	0.05057345	0.4239967	0.7810113	
1.166	0	0	0	0	0.4239967	0.05056164	0.4239967	0.7764847	
1.1664	0	0	0	0	0.4239967	0.05055017	0.4239967	0.7721305	
1.1668	0	0	0	0	0.4239967	0.05053901	0.4239967	0.7679389	
1.1672	0	0	0	0	0.4239967	0.05052817	0.4239967	0.7639191	
1.1676	0	0	0	0	0.4239967	0.05051764	0.4239967	0.7600594	
1.168	0	0	0	0	0.4239967	0.05050742	0.4239967	0.7563613	
1.1684	0	0	0	0	0.4239967	0.05049749	0.4239967	0.7528191	
1.1688	0	0	0	0	0.4239967	0.05048786	0.4239967	0.7494286	
1.1692	0	0	0	0	0.4239967	0.05047851	0.4239967	0.7461895	
1.1696	0	0	0	0	0.4239967	0.05046946	0.4239968	0.7430996	
1.17	0	0	0	0	0.4239968	0.05046067	0.4239968	0.7401513	
1.1704	0	0	0	0	0.4239968	0.05045217	0.4239968	0.7373497	
1.1708	0	0	0	0	0.4239968	0.05044394	0.4239968	0.7346854	
1.1712	0	0	0	0	0.4239968	0.05043597	0.4239968	0.7321599	
1.1716	0	0	0	0	0.4239968	0.05042825	0.4239969	0.7297654	
1.172	0	0	0	0	0.4239969	0.0504208	0.4239969	0.7275054	
1.1724	0	0	0	0	0.4239969	0.0504136	0.4239969	0.7253759	
1.1728	0	0	0	0	0.4239969	0.05040663	0.4239969	0.7233692	
1.1732	0	0	0	0	0.4239969	0.05039992	0.4239969	0.7214888	
1.1736	0	0	0	0	0.4239969	0.05039343	0.423997	0.7197269	
1.174	0	0	0	0	0.423997	0.05038719	0.423997	0.7180871	
1.1744	0	0	0	0	0.423997	0.05038117	0.423997	0.7165673	
1.1748	0	0	0	0	0.423997	0.05037538	0.423997	0.7151616	
1.1752	0	0	0	0	0.423997	0.05036982	0.423997	0.7138697	
1.1756	0	0	0	0	0.423997	0.05036446	0.423997	0.7126859	
1.176	0	0	0	0	0.423997	0.05035933	0.423997	0.7116155	
1.1764	0	0	0	0	0.423997	0.05035441	0.423997	0.710649	
1.1768	0	0	0	0	0.423997	0.05034969	0.423997	0.7097862	
1.1772	0	0	0	0	0.423997	0.05034518	0.423997	0.7090306	
1.1776	0	0	0	0	0.423997	0.05034087	0.4239971	0.7083727	
1.178	0	0	0	0	0.4239971	0.05033676	0.4239971	0.7078179	
1.1784	0	0	0	0	0.4239971	0.05033284	0.4239971	0.7073603	
1.1788	0	0	0	0	0.4239971	0.05032912	0.4239971	0.7069979	
1.1792	0	0	0	0	0.4239971	0.05032559	0.4239971	0.7067342	
1.1796	0	0	0	0	0.4239971	0.05032225	0.4239972	0.7065617	
1.18	0	0	0	0	0.4239972	0.05031908	0.4239972	0.7064801	
1.1804	0	0	0	0	0.4239972	0.05031611	0.4239972	0.7064911	
1.1808	0	0	0	0	0.4239972	0.05031331	0.4239972	0.7065889	
1.1812	0	0	0	0	0.4239972	0.05031069	0.4239972	0.7067789	
1.1816	0	0	0	0	0.4239972	0.05030825	0.4239972	0.7070535	
1.182	0	0	0	0	0.4239972	0.05030598	0.4239972	0.7074162	
1.1824	0	0	0	0	0.4239972	0.05030388	0.4239972	0.7078614	
1.1828	0	0	0	0	0.4239972	0.05030197	0.4239972	0.7083943	
1.1832	0	0	0	0	0.4239972	0.05030021	0.4239972	0.7090057	
1.1836	0	0	0	0	0.4239972	0.05029861	0.4239973	0.7096969	
1.184	0	0	0	0	0.4239973	0.0502972	0.4239973	0.7104756	
1.1844	0	0	0	0	0.4239973	0.05029595	0.4239973	0.7113358	
1.1848	0	0	0	0	0.4239973	0.05029486	0.4239973	0.7122719	
1.1852	0	0	0	0	0.4239973	0.05029393	0.4239973	0.7132891	
1.1856	0	0	0	0	0.4239973	0.05029317	0.4239973	0.7143856	
1.186	0	0	0	0	0.4239973	0.05029258	0.4239973	0.7155612	
1.1864	0	0	0	0	0.4239973	0.05029213	0.4239973	0.7168101	
1.1868	0	0	0	0	0.4239973	0.05029187	0.4239973	0.7181433	
1.1872	0	0	0	0	0.4239973	0.05029175	0.4239973	0.7195514	
1.1876	0	0	0	0	0.4239973	0.0502918	0.4239973	0.7210361	
1.188	0	0	0	0	0.4239973	0.05029201	0.4239973	0.7225972	
1.1884	0	0	0	0	0.4239973	0.05029238	0.4239973	0.7242365	
1.1888	0	0	0	0	0.4239973	0.05029292	0.4239973	0.7259519	
1.1892	0	0	0	0	0.4239973	0.05029361	0.4239973	0.7277452	
1.1896	0	0	0	0	0.4239973	0.05029447	0.4239974	0.7296143	
1.19	0	0	0	0	0.4239974	0.05029549	0.4239974	0.7315609	
1.1904	0	0	0	0	0.4239974	0.05029668	0.4239974	0.7335849	
1.1908	0	0	0	0	0.4239974	0.05029802	0.4239974	0.7356861	
1.1912	0	0	0	0	0.4239974	0.05029954	0.4239974	0.7378681	
1.1916	0	0	0	0	0.4239974	0.05030123	0.4239974	0.7401289	
1.192	0	0	0	0	0.4239974	0.05030308	0.4239974	0.7424647	
1.1924	0	0	0	0	0.4239974	0.05030511	0.4239974	0.7448844	
1.1928	0	0	0	0	0.4239974	0.0503073	0.4239974	0.7473825	
1.1932	0	0	0	0	0.4239974	0.05030967	0.4239974	0.7499607	
1.1936	0	0	0	0	0.4239974	0.0503122	0.4239975	0.7526168	
1.194	0	0	0	0	0.4239975	0.05031491	0.4239975	0.7553583	
1.1944	0	0	0	0	0.4239975	0.05031781	0.4239975	0.7581849	
1.1948	0	0	0	0	0.4239975	0.05032089	0.4239975	0.7610946	
1.1952	0	0	0	0	0.4239975	0.05032415	0.4239975	0.7640891	
1.1956	0	0	0	0	0.4239975	0.05032759	0.4239975	0.7671664	
1.196	0	0	0	0	0.4239975	0.05033121	0.4239975	0.77033	
1.1964	0	0	0	0	0.4239975	0.05033503	0.4239975	0.7735835	
1.1968	0	0	0	0	0.4239975	0.05033904	0.4239975	0.7769268	
1.1972	0	0	0	0	0.4239975	0.05034325	0.4239975	0.7803615	
1.1976	0	0	0	0	0.4239975	0.05034766	0.4239975	0.7838855	
1.198	0	0	0	0	0.4239975	0.05035226	0.4239975	0.7875044	
1.1984	0	0	0	0	0.4239975	0.05035707	0.4239975	0.791216	
1.1988	0	0	0	0	0.4239975	0.05036209	0.4239975	0.7950238	
1.1992	0	0	0	0	0.4239975	0.05036733	0.4239975	0.7989315	
1.1996	0	0	0	0	0.4239975	0.05037277	0.4239976	0.8029351	
1.2	0	0	0	0	0.4239976	0.05037842	0.4239976	0.8070362	
1.2004	0	0	0	0	0.4239976	0.05038431	0.4239976	0.8112441	
1.2008	0	0	0	0	0.4239976	0.05039042	0.4239976	0.8155547	
1.2012	0	0	0	0	0.4239976	0.05039675	0.4239976	0.819966	
1.2016	0	0	0	0	0.4239976	0.05040332	0.4239976	0.8244871	
1.202	0	0	0	0	0.4239976	0.05041012	0.4239976	0.829116	
1.2024	0	0	0	0	0.4239976	0.05041716	0.4239976	0.8338525	
1.2028	0	0	0	0	0.4239976	0.05042444	0.4239976	0.8387018	
1.2032	0	0	0	0	0.4239976	0.05043197	0.4239976	0.8436676	
1.2036	0	0	0	0	0.4239976	0.05043977	0.4239976	0.8487533	
1.204	0	0	0	0	0.4239976	0.05044781	0.4239976	0.8539494	
1.2044	0	0	0	0	0.4239976	0.05045611	0.4239976	0.8592668	
1.2048	0	0	0	0	0.4239976	0.05046469	0.4239976	0.8647071	
1.2052	0	0	0	0	0.4239976	0.05047354	0.4239976	0.8702758	
1.2056	0	0	0	0	0.4239976	0.05048266	0.4239977	0.8759669	
1.206	0	0	0	0	0.4239977	0.05049206	0.4239977	0.8817859	
1.2064	0	0	0	0	0.4239977	0.05050174	0.4239977	0.8877361	
1.2068	0	0	0	0	0.4239977	0.05051171	0.4239977	0.8938174	
1.2072	0	0	0	0	0.4239977	0.05052198	0.4239977	0.9000332	
1.2076	0	0	0	0	0.4239977	0.05053255	0.4239977	0.906387	
1.208	0	0	0	0	0.4239977	0.05054343	0.4239977	0.9128821	
1.2084	0	0	0	0	0.4239977	0.05055461	0.4239977	0.9195166	
1.2088	0	0	0	0	0.4239977	0.05056611	0.4239977	0.9262938	
1.2092	0	0	0	0	0.4239977	0.05057793	0.4239977	0.9332191	
1.2096	0	0	0	0	0.4239977	0.05059007	0.4239978	0.9402903	
1.21	0	0	0	0	0.4239978	0.05060254	0.4239978	0.9475147	
1.2104	0	0	0	0	0.4239978	0.05061535	0.4239978	0.9548898	
1.2108	0	0	0	0	0.4239978	0.05062851	0.4239978	0.962425	
1.2112	0	0	0	0	0.4239978	0.05064201	0.4239978	0.970116	
1.2116	0	0	0	0	0.4239978	0.05065585	0.4239978	0.9779627	
1.212	0	0	0	0	0.4239978	0.05067006	0.4239978	0.9859776	
