Time	Top_MN	Bottom_FF	Top_A	Bottom_A	Top_Tension	Bottom_Tension	Top_Length	
1.708	0.3899991	0	0.3899991	0	0.9985719	0	0.05001336	
1.7084	0.3899991	0	0.3899991	0	0.9985426	0	0.05001329	
1.7088	0.3899991	0	0.3899991	0	0.9985172	0	0.05001323	
1.7092	0.3899991	0	0.3899991	0	0.9984918	0	0.05001317	
1.7096	0.3899991	0	0.3899991	0	0.9984701	0	0.05001312	
1.71	0.3899991	0	0.3899991	0	0.9984448	0	0.05001306	
1.7104	0.3899991	0	0.3899991	0	0.9984214	0	0.05001301	
1.7108	0.3899991	0	0.3899991	0	0.9984017	0	0.05001296	
1.7112	0.3899991	0	0.3899991	0	0.9983802	0	0.05001291	
1.7116	0.3899991	0	0.3899991	0	0.9983607	0	0.05001286	
1.712	0.3899991	0	0.3899991	0	0.9983411	0	0.05001281	
1.7124	0.3899991	0	0.3899991	0	0.9983253	0	0.05001277	
1.7128	0.3899991	0	0.3899991	0	0.9983096	0	0.05001273	
1.7132	0.3899991	0	0.3899991	0	0.9982939	0	0.05001269	
1.7136	0.3899991	0	0.3899991	0	0.99828	0	0.05001265	
1.714	0.3899991	0	0.3899991	0	0.9982681	0	0.05001261	
1.7144	0.3899991	0	0.3899991	0	0.9982544	0	0.05001258	
1.7148	0.3899991	0	0.3899991	0	0.9982443	0	0.05001255	
1.7152	0.3899991	0	0.3899991	0	0.9982343	0	0.05001252	
1.7156	0.3899991	0	0.3899991	0	0.9982244	0	0.05001249	
1.716	0.3899991	0	0.3899991	0	0.9982181	0	0.05001247	
1.7164	0.3899991	0	0.3899991	0	0.99821	0	0.05001244	
1.7168	0.3899991	0	0.3899991	0	0.9982038	0	0.05001242	
1.7172	0.3899991	0	0.3899991	0	0.9981995	0	0.0500124	
1.7176	0.3899991	0	0.3899991	0	0.9981951	0	0.05001238	
1.718	0.3899991	0	0.3899991	0	0.9981945	0	0.05001237	
1.7184	0.3899991	0	0.3899991	0	0.9981902	0	0.05001235	
1.7188	0.3899991	0	0.3899991	0	0.9981933	0	0.05001235	
1.7192	0.3899991	0	0.3899991	0	0.9981909	0	0.05001233	
1.7196	0.3899991	0	0.3899991	0	0.998194	0	0.05001233	
1.72	0.3899991	0	0.3899991	0	0.998199	0	0.05001233	
1.7204	0.3899991	0	0.3899991	0	0.9982002	0	0.05001232	
1.7208	0.3899991	0	0.3899991	0	0.9982052	0	0.05001232	
1.7212	0.3899991	0	0.3899991	0	0.9982139	0	0.05001233	
1.7216	0.3899991	0	0.3899991	0	0.9982188	0	0.05001233	
1.722	0.3899991	0	0.3899991	0	0.9982293	0	0.05001234	
1.7224	0.3899991	0	0.3899991	0	0.998238	0	0.05001235	
1.7228	0.3899991	0	0.3899991	0	0.9982485	0	0.05001236	
1.7232	0.3899991	0	0.3899991	0	0.9982589	0	0.05001237	
1.7236	0.3899991	0	0.3899991	0	0.998273	0	0.05001239	
1.724	0.3899991	0	0.3899991	0	0.9982871	0	0.05001241	
1.7244	0.3899991	0	0.3899991	0	0.9982994	0	0.05001242	
1.7248	0.3899991	0	0.3899991	0	0.9983134	0	0.05001244	
1.7252	0.3899991	0	0.3899991	0	0.9983312	0	0.05001247	
1.7256	0.3899991	0	0.3899991	0	0.998347	0	0.05001249	
1.726	0.3899991	0	0.3899991	0	0.9983666	0	0.05001252	
1.7264	0.3899991	0	0.3899991	0	0.9983861	0	0.05001255	
1.7268	0.3899991	0	0.3899991	0	0.9984056	0	0.05001258	
1.7272	0.3899991	0	0.3899991	0	0.9984287	0	0.05001261	
1.7276	0.3899991	0	0.3899991	0	0.9984481	0	0.05001264	
1.728	0.3899991	0	0.3899991	0	0.998473	0	0.05001269	
1.7284	0.3899991	0	0.3899991	0	0.9984941	0	0.05001272	
1.7288	0.3899991	0	0.3899991	0	0.9985209	0	0.05001276	
1.7292	0.3899991	0	0.3899991	0	0.9985456	0	0.0500128	
1.7296	0.3899991	0	0.3899991	0	0.9985704	0	0.05001285	
1.73	0.3899991	0	0.3899991	0	0.9985988	0	0.05001289	
1.7304	0.3899991	0	0.3899991	0	0.9986271	0	0.05001294	
1.7308	0.3899991	0	0.3899991	0	0.9986535	0	0.05001299	
1.7312	0.3899991	0	0.3899991	0	0.9986854	0	0.05001304	
1.7316	0.3899991	0	0.3899991	0	0.9987136	0	0.05001309	
1.732	0.3899991	0	0.3899991	0	0.9987435	0	0.05001314	
1.7324	0.3899991	0	0.3899991	0	0.9987772	0	0.0500132	
1.7328	0.3899991	0	0.3899991	0	0.998807	0	0.05001326	
1.7332	0.3899991	0	0.3899991	0	0.9988405	0	0.05001331	
1.7336	0.3899991	0	0.3899991	0	0.9988739	0	0.05001337	
1.734	0.3899991	0	0.3899991	0	0.9989073	0	0.05001343	
1.7344	0.3899991	0	0.3899991	0	0.9989406	0	0.05001349	
1.7348	0.3899991	0	0.3899991	0	0.9989775	0	0.05001356	
1.7352	0.3899991	0	0.3899991	0	0.9990144	0	0.05001363	
1.7356	0.3899991	0	0.3899991	0	0.9990494	0	0.05001369	
