Time	FF_1	FF_2	Vm_2	Vm_1	Ie_1	Ii_2	
0.354	0.2989855	0.2071013	0.02071013	0.01993237	2E-09	5E-09	
0.355	0.299087	0.2064926	0.02064926	0.01993913	2E-09	5E-09	
0.356	0.2991783	0.2059346	0.02059346	0.01994522	2E-09	5E-09	
0.357	0.2992604	0.2054233	0.02054233	0.0199507	2E-09	5E-09	
0.358	0.2993344	0.204955	0.02049549	0.01995563	2E-09	5E-09	
0.359	0.2994009	0.204526	0.0204526	0.01996006	2E-09	5E-09	
0.36	0.2994608	0.2041333	0.02041333	0.01996406	2E-09	5E-09	
0.361	0.2995148	0.2037739	0.02037739	0.01996765	2E-09	5E-09	
0.362	0.2995633	0.203445	0.0203445	0.01997089	2E-09	5E-09	
0.363	0.299607	0.2031442	0.02031442	0.0199738	2E-09	5E-09	
0.364	0.2996463	0.2028691	0.02028691	0.01997642	2E-09	5E-09	
0.365	0.2996817	0.2026176	0.02026176	0.01997878	2E-09	5E-09	
0.366	0.2997135	0.2023876	0.02023876	0.0199809	2E-09	5E-09	
0.367	0.2997421	0.2021775	0.02021775	0.01998281	2E-09	5E-09	
0.368	0.2997679	0.2019856	0.02019856	0.01998453	2E-09	5E-09	
0.369	0.2997911	0.2018102	0.02018102	0.01998607	2E-09	5E-09	
0.37	0.299812	0.2016501	0.02016501	0.01998747	2E-09	5E-09	
0.371	0.2998308	0.2015039	0.02015039	0.01998872	2E-09	5E-09	
0.372	0.2998477	0.2013704	0.02013704	0.01998985	2E-09	5E-09	
0.373	0.299863	0.2012486	0.02012486	0.01999086	2E-09	5E-09	
0.374	0.2998766	0.2011374	0.02011374	0.01999178	2E-09	5E-09	
0.375	0.299889	0.201036	0.0201036	0.0199926	2E-09	5E-09	
0.376	0.2999001	0.2009435	0.02009435	0.01999334	2E-09	5E-09	
0.377	0.2999101	0.2008592	0.02008592	0.019994	2E-09	5E-09	
0.378	0.299919	0.2007822	0.02007822	0.0199946	2E-09	5E-09	
0.379	0.2999271	0.2007121	0.02007121	0.01999514	2E-09	5E-09	
0.38	0.2999344	0.2006482	0.02006482	0.01999563	2E-09	5E-09	
0.381	0.299941	0.2005899	0.02005899	0.01999607	2E-09	5E-09	
0.382	0.2999469	0.2005368	0.02005368	0.01999646	2E-09	5E-09	
0.383	0.2999522	0.2004884	0.02004885	0.01999681	2E-09	5E-09	
0.384	0.299957	0.2004444	0.02004444	0.01999713	2E-09	5E-09	
0.385	0.2999613	0.2004042	0.02004042	0.01999742	2E-09	5E-09	
0.386	0.2999652	0.2003677	0.02003677	0.01999768	2E-09	5E-09	
0.387	0.2999687	0.2003344	0.02003344	0.01999791	2E-09	5E-09	
0.388	0.2999718	0.2003041	0.02003041	0.01999812	2E-09	5E-09	
0.389	0.2999746	0.2002765	0.02002765	0.01999831	2E-09	5E-09	
0.39	0.2999772	0.2002514	0.02002514	0.01999848	2E-09	5E-09	
0.391	0.2999794	0.2002285	0.02002285	0.01999863	2E-09	5E-09	
0.392	0.2999815	0.2002077	0.02002077	0.01999877	2E-09	5E-09	
0.393	0.2999834	0.2001888	0.02001888	0.01999889	2E-09	5E-09	
0.394	0.299985	0.2001716	0.02001716	0.019999	2E-09	5E-09	
0.395	0.2999865	0.2001559	0.02001559	0.0199991	2E-09	5E-09	
0.396	0.2999879	0.2001417	0.02001417	0.01999919	2E-09	5E-09	
0.397	0.2999891	0.2001287	0.02001287	0.01999927	2E-09	5E-09	
0.398	0.2999901	0.2001169	0.0200117	0.01999934	2E-09	5E-09	
0.399	0.2999911	0.2001062	0.02001062	0.01999941	2E-09	5E-09	
0.4	0.299992	0.2000965	0.02000965	0.01999947	0	5E-09	
0.401	0.2699928	0.2000877	0.02000877	0.01799952	0	5E-09	
