Time	Fy	Fx	Fz	Vz	Vx	Vy	Pz	Px	Py	
0.138	0.192486	0	0	0	0	0.02745233	0	0	0.101914	
0.139	0.192432	0	0	0	0	0.02764869	0	0	0.1019416	
0.14	0.1923781	0	0	0	0	0.02784499	0	0	0.1019695	
0.141	0.1923234	0	0	0	0	0.02804124	0	0	0.1019975	
0.142	0.1922688	0	0	0	0	0.02823744	0	0	0.1020258	
0.143	0.1922133	0	0	0	0	0.02843357	0	0	0.1020542	
0.144	0.1921578	0	0	0	0	0.02862965	0	0	0.1020828	
0.145	0.1921016	0	0	0	0	0.02882568	0	0	0.1021117	
0.146	0.1920453	0	0	0	0	0.02902164	0	0	0.1021407	
0.147	0.1919891	0	0	0	0	0.02921755	0	0	0.1021699	
0.148	0.1919321	0	0	0	0	0.0294134	0	0	0.1021993	
0.149	0.1918742	0	0	0	0	0.02960919	0	0	0.1022289	
0.15	0.1918164	0	0	0	0	0.02980492	0	0	0.1022587	
0.151	0.1917586	0	0	0	0	0.0300006	0	0	0.1022887	
0.152	0.1917	0	0	0	0	0.03019621	0	0	0.1023189	
0.153	0.1916406	0	0	0	0	0.03039177	0	0	0.1023493	
0.154	0.191582	0	0	0	0	0.03058726	0	0	0.1023799	
0.155	0.1915219	0	0	0	0	0.03078269	0	0	0.1024107	
0.156	0.1914625	0	0	0	0	0.03097806	0	0	0.1024417	
0.157	0.1914016	0	0	0	0	0.03117337	0	0	0.1024728	
0.158	0.1913414	0	0	0	0	0.03136862	0	0	0.1025042	
0.159	0.1912797	0	0	0	0	0.0315638	0	0	0.1025358	
0.16	0.1912188	0	0	0	0	0.03175892	0	0	0.1025675	
0.161	0.191157	0	0	0	0	0.03195398	0	0	0.1025995	
0.162	0.1910945	0	0	0	0	0.03214898	0	0	0.1026316	
0.163	0.191032	0	0	0	0	0.03234391	0	0	0.102664	
0.164	0.1909695	0	0	0	0	0.03253878	0	0	0.1026965	
0.165	0.1909063	0	0	0	0	0.03273358	0	0	0.1027293	
0.166	0.1908422	0	0	0	0	0.03292832	0	0	0.1027622	
0.167	0.1907789	0	0	0	0	0.03312299	0	0	0.1027953	
0.168	0.1907141	0	0	0	0	0.0333176	0	0	0.1028286	
0.169	0.19065	0	0	0	0	0.03351214	0	0	0.1028621	
0.17	0.1905844	0	0	0	0	0.03370661	0	0	0.1028958	
0.171	0.1905195	0	0	0	0	0.03390102	0	0	0.1029297	
0.172	0.1904539	0	0	0	0	0.03409536	0	0	0.1029638	
0.173	0.1903875	0	0	0	0	0.03428964	0	0	0.1029981	
0.174	0.1903211	0	0	0	0	0.03448384	0	0	0.1030326	
0.175	0.1902547	0	0	0	0	0.03467798	0	0	0.1030673	
0.176	0.1901875	0	0	0	0	0.03487205	0	0	0.1031022	
0.177	0.1901195	0	0	0	0	0.03506605	0	0	0.1031372	
0.178	0.1900516	0	0	0	0	0.03525997	0	0	0.1031725	
0.179	0.1899836	0	0	0	0	0.03545384	0	0	0.1032079	
0.18	0.1899149	0	0	0	0	0.03564763	0	0	0.1032436	
0.181	0.1898461	0	0	0	0	0.03584135	0	0	0.1032794	
0.182	0.1897774	0	0	0	0	0.036035	0	0	0.1033155	
0.183	0.189707	0	0	0	0	0.03622857	0	0	0.1033517	
0.184	0.1896375	0	0	0	0	0.03642208	0	0	0.1033881	
0.185	0.1895672	0	0	0	0	0.03661552	0	0	0.1034247	
0.186	0.1894969	0	0	0	0	0.03680888	0	0	0.1034616	
0.187	0.1894258	0	0	0	0	0.03700217	0	0	0.1034986	
0.188	0.1893539	0	0	0	0	0.03719539	0	0	0.1035357	
0.189	0.1892828	0	0	0	0	0.03738854	0	0	0.1035731	
0.19	0.1892102	0	0	0	0	0.03758161	0	0	0.1036107	
0.191	0.1891383	0	0	0	0	0.0377746	0	0	0.1036485	
0.192	0.1890656	0	0	0	0	0.03796753	0	0	0.1036865	
