TimeSlice	Time	FB	P	Input	Analog	D	A	Analog_Ie	Analog_Vm
225	0.05625	0.346554	0	0	0	0	-0.0596527	0	-0.07
226	0.0565	0.346554	0	0	0	0	-0.059652	0	-0.07
227	0.05675	0.346554	0	0	0	0	-0.0596515	0	-0.07
228	0.057	0.346554	0	0	0	0	-0.0596509	0	-0.07
229	0.05725	0.358453	0	0	0	0	-0.0596504	0	-0.07
230	0.0575	0.358453	0	0	0	0	-0.0596499	0	-0.07
231	0.05775	0.358453	0	0	0	0	-0.0596494	0	-0.07
232	0.058	0.358453	0	0	0	0	-0.0596489	0	-0.07
233	0.05825	0.358453	0	0	0	0	-0.0596485	0	-0.07
234	0.0585	0.358453	0	0	0	0	-0.0596481	0	-0.07
235	0.05875	0.358453	0	0	0	0	-0.0596477	0	-0.07
236	0.059	0.358453	0	0	0	0	-0.0596473	0	-0.07
237	0.05925	0.358453	0	0	0	0	-0.0596469	0	-0.07
238	0.0595	0.358453	0	0	0	0	-0.0596466	0	-0.07
239	0.05975	0.370054	0	0	0	0	-0.0596463	0	-0.07
240	0.06	0.370054	0	0	0	0	-0.0596401	0	-0.07
241	0.06025	0.370054	0	0	0	0	-0.0596343	0	-0.07
242	0.0605	0.370054	0	0	0	0	-0.0596287	0	-0.07
243	0.06075	0.370054	0	0	0	0	-0.0596234	0	-0.07
244	0.061	0.370054	0	0	0	0	-0.0596184	0	-0.07
245	0.06125	0.370054	0	0	0	0	-0.0596136	0	-0.07
246	0.0615	0.370054	0	0	0	0	-0.059609	0	-0.07
247	0.06175	0.370054	0	0	0	0	-0.0596047	0	-0.07
248	0.062	0.370054	0	0	0	0	-0.0596005	0	-0.07
249	0.06225	0.381553	0	0	0	0	-0.0595966	0	-0.07
250	0.0625	0.381553	0	0	0	0	-0.0595929	0	-0.07
251	0.06275	0.381553	0	0	0	0	-0.0595893	0	-0.07
252	0.063	0.381553	0	0	0	0	-0.0595859	0	-0.07
253	0.06325	0.381553	0	0	0	0	-0.0595827	0	-0.07
254	0.0635	0.381553	0	0	0	0	-0.0595797	0	-0.07
255	0.06375	0.381553	0	0	0	0	-0.0595767	0	-0.07
256	0.064	0.381553	0	0	0	0	-0.059574	0	-0.07
257	0.06425	0.381553	0	0	0	0	-0.0595713	0	-0.07
258	0.0645	0.381553	0	0	0	0	-0.0595688	0	-0.07
259	0.06475	0.392764	0	0	0	0	-0.0595665	0	-0.07
260	0.065	0.392764	0	0	0	0	-0.0595642	0	-0.07
261	0.06525	0.392764	0	0	0	0	-0.059562	0	-0.07
262	0.0655	0.392764	0	0	0	0	-0.05956	0	-0.07
263	0.06575	0.392764	0	0	0	0	-0.059558	0	-0.07
264	0.066	0.392764	0	0	0	0	-0.0595562	0	-0.07
265	0.06625	0.392764	0	0	0	0	-0.0595544	0	-0.07
266	0.0665	0.392764	0	0	0	0	-0.0595527	0	-0.07
267	0.06675	0.392764	0	0	0	0	-0.0595511	0	-0.07
268	0.067	0.392764	0	0	0	0	-0.0595496	0	-0.07
269	0.06725	0.403695	0	0	0	0	-0.0595482	0	-0.07
270	0.0675	0.403695	0	0	0	0	-0.0595468	0	-0.07
271	0.06775	0.403695	0	0	0	0	-0.0595455	0	-0.07
272	0.068	0.403695	0	0	0	0	-0.0595443	0	-0.07
273	0.06825	0.403695	0	0	0	0	-0.0595431	0	-0.07
274	0.0685	0.403695	0	0	0	0	-0.0595419	0	-0.07
275	0.06875	0.403695	0	0	0	0	-0.0595409	0	-0.07
276	0.069	0.403695	0	0	0	0	-0.0595399	0	-0.07
277	0.06925	0.403695	0	0	0	0	-0.0595389	0	-0.07
278	0.0695	0.403695	0	0	0	0	-0.059538	0	-0.07
279	0.06975	0.414352	0	0	0	0	-0.0595371	0	-0.07
280	0.07	0.414352	0	0	0	0	-0.0595363	0	-0.07
281	0.07025	0.414352	0	0	0	0	-0.0595355	0	-0.07
282	0.0705	0.414352	0	0	0	0	-0.0595347	0	-0.07
283	0.07075	0.414352	0	0	0	0	-0.059534	0	-0.07
284	0.071	0.414352	0	0	0	0	-0.0595333	0	-0.07
285	0.07125	0.414352	0	0	0	0	-0.0595327	0	-0.07
286	0.0715	0.414352	0	0	0	0	-0.059532	0	-0.07
287	0.07175	0.414352	0	0	0	0	-0.0595315	0	-0.07
288	0.072	0.414352	0	0	0	0	-0.0595309	0	-0.07
289	0.07225	0.424743	0	0	0	0	-0.0595304	0	-0.07
290	0.0725	0.424743	0	0	0	0	-0.0595299	0	-0.07
291	0.07275	0.424743	0	0	0	0	-0.0595294	0	-0.07
292	0.073	0.424743	0	0	0	0	-0.0595289	0	-0.07
293	0.07325	0.424743	0	0	0	0	-0.0595285	0	-0.07
294	0.0735	0.424743	0	0	0	0	-0.0595281	0	-0.07
295	0.07375	0.424743	0	0	0	0	-0.0595277	0	-0.07
296	0.074	0.424743	0	0	0	0	-0.0595273	0	-0.07
297	0.07425	0.424743	0	0	0	0	-0.059527	0	-0.07
298	0.0745	0.424743	0	0	0	0	-0.0595266	0	-0.07
299	0.07475	0.434875	0	0	0.0242795	0	-0.0595263	9.7118e-009	-0.067572
300	0.075	0.434875	0	0	0.0242795	0	-0.0595201	9.7118e-009	-0.067572
301	0.07525	0.434875	0	0	0.0242795	0	-0.0595143	9.7118e-009	-0.067572
302	0.0755	0.434875	0	0	0.0242795	0	-0.0595087	9.7118e-009	-0.067572
303	0.07575	0.434875	0	0	0.0242795	0	-0.0595034	9.7118e-009	-0.067572
304	0.076	0.434875	0	0	0.0242795	0	-0.0594984	9.7118e-009	-0.067572
305	0.07625	0.434875	0	0	0.0242795	0	-0.0594936	9.7118e-009	-0.067572
306	0.0765	0.434875	0	0	0.0242795	0	-0.059489	9.7118e-009	-0.067572
307	0.07675	0.434875	0	0	0.0242795	0	-0.0594847	9.7118e-009	-0.067572
308	0.077	0.434875	0	0	0.0242795	0	-0.0594805	9.7118e-009	-0.067572
309	0.07725	0.44494	0	0	0.047952	0	-0.0594766	9.7118e-009	-0.0652048
310	0.0775	0.44494	0	0	0.047952	0	-0.0594729	9.7118e-009	-0.0652048
311	0.07775	0.44494	0	0	0.047952	0	-0.0594693	9.7118e-009	-0.0652048
312	0.078	0.44494	0	0	0.047952	0	-0.0594659	9.7118e-009	-0.0652048
313	0.07825	0.44494	0	0	0.047952	0	-0.0594627	9.7118e-009	-0.0652048
314	0.0785	0.44494	0	0	0.047952	0	-0.0594597	9.7118e-009	-0.0652048
315	0.07875	0.44494	0	0	0.047952	0	-0.0594567	9.7118e-009	-0.0652048
316	0.079	0.44494	0	0	0.047952	0	-0.059454	9.7118e-009	-0.0652048
317	0.07925	0.44494	0	0	0.047952	0	-0.0594513	9.7118e-009	-0.0652048
318	0.0795	0.44494	0	0	0.047952	0	-0.0594488	9.7118e-009	-0.0652048
319	0.07975	0.454754	0	0	0.0710327	0	-0.0594465	9.7118e-009	-0.0628967
320	0.08	0.454754	0	0	0.0710327	0	-0.0594442	9.7118e-009	-0.0628967
321	0.08025	0.454754	0	0	0.0710327	0	-0.059442	9.7118e-009	-0.0628967
322	0.0805	0.454754	0	0	0.0710327	0	-0.05944	9.7118e-009	-0.0628967
323	0.08075	0.454754	0	0	0.0710327	0	-0.059438	9.7118e-009	-0.0628967
324	0.081	0.454754	0	0	0.0710327	0	-0.0594362	9.7118e-009	-0.0628967
325	0.08125	0.454754	0	0	0.0710327	0	-0.0594344	9.7118e-009	-0.0628967
326	0.0815	0.454754	0	0	0.0710327	0	-0.0594327	9.7118e-009	-0.0628967
327	0.08175	0.454754	0	0	0.0710327	0	-0.0594311	9.7118e-009	-0.0628967
328	0.082	0.454754	0	0	0.0710327	0	-0.0594296	9.7118e-009	-0.0628967
329	0.08225	0.464323	0	0	0.0935364	0	-0.0594282	9.7118e-009	-0.0606464
330	0.0825	0.464323	0	0	0.0935364	0	-0.0594268	9.7118e-009	-0.0606464
331	0.08275	0.464323	0	0	0.0935364	0	-0.0594255	9.7118e-009	-0.0606464
332	0.083	0.464323	0	0	0.0935364	0	-0.0594243	9.7118e-009	-0.0606464
333	0.08325	0.464323	0	0	0.0935364	0	-0.0594231	9.7118e-009	-0.0606464
334	0.0835	0.464323	0	0	0.0935364	0	-0.0594219	9.7118e-009	-0.0606464
335	0.08375	0.464323	0	0	0.0935364	0	-0.0594209	9.7118e-009	-0.0606464
336	0.084	0.464323	0	0	0.0935364	0	-0.0594199	9.7118e-009	-0.0606464
337	0.08425	0.464323	0	0	0.0935364	0	-0.0594189	9.7118e-009	-0.0606464
338	0.0845	0.464323	0	0	0.0935364	0	-0.059418	9.7118e-009	-0.0606464
339	0.08475	0.473653	0	0	0.115478	0	-0.0594171	9.7118e-009	-0.0584522
340	0.085	0.473653	0	0	0.115478	0	-0.0594163	9.7118e-009	-0.0584522
341	0.08525	0.473653	0	0	0.115478	0	-0.0594155	9.7118e-009	-0.0584522
342	0.0855	0.473653	0	0	0.115478	0	-0.0594147	9.7118e-009	-0.0584522
343	0.08575	0.473653	0	0	0.115478	0	-0.059414	9.7118e-009	-0.0584522
344	0.086	0.473653	0	0	0.115478	0	-0.0594133	9.7118e-009	-0.0584522
345	0.08625	0.473653	0	0	0.115478	0	-0.0594127	9.7118e-009	-0.0584522
346	0.0865	0.473653	0	0	0.115478	0	-0.059412	9.7118e-009	-0.0584522
347	0.08675	0.473653	0	0	0.115478	0	-0.0594115	9.7118e-009	-0.0584522
348	0.087	0.473653	0	0	0.115478	0	-0.0594109	9.7118e-009	-0.0584522
349	0.08725	0.482749	0	0	0.13687	0	-0.0594104	9.7118e-009	-0.056313
350	0.0875	0.482749	0	0	0.13687	0	-0.0594099	9.7118e-009	-0.056313
351	0.08775	0.482749	0	0	0.13687	0	-0.0594094	9.7118e-009	-0.056313
352	0.088	0.482749	0	0	0.13687	0	-0.0594089	9.7118e-009	-0.056313
353	0.08825	0.482749	0	0	0.13687	0	-0.0594085	9.7118e-009	-0.056313
354	0.0885	0.482749	0	0	0.13687	0	-0.0594081	9.7118e-009	-0.056313
355	0.08875	0.482749	0	0	0.13687	0	-0.0594077	9.7118e-009	-0.056313
356	0.089	0.482749	0	0	0.13687	0	-0.0594073	9.7118e-009	-0.056313
357	0.08925	0.482749	0	0	0.13687	0	-0.0594069	9.7118e-009	-0.056313
358	0.0895	0.482749	0	0	0.13687	0	-0.0594066	9.7118e-009	-0.056313
359	0.08975	0.491618	0	0	0.157115	0	-0.0594063	9.4668e-009	-0.0542885
360	0.09	0.491618	0	0	0.157115	0	-0.0594001	9.4668e-009	-0.0542885
361	0.09025	0.491618	0	0	0.157115	0	-0.0593943	9.4668e-009	-0.0542885
362	0.0905	0.491618	0	0	0.157115	0	-0.0593887	9.4668e-009	-0.0542885
363	0.09075	0.491618	0	0	0.157115	0	-0.0593834	9.4668e-009	-0.0542885
364	0.091	0.491618	0	0	0.157115	0	-0.0593784	9.4668e-009	-0.0542885
365	0.09125	0.491618	0	0	0.157115	0	-0.0593736	9.4668e-009	-0.0542885
366	0.0915	0.491618	0	0	0.157115	0	-0.059369	9.4668e-009	-0.0542885
367	0.09175	0.491618	0	0	0.157115	0	-0.0593647	9.4668e-009	-0.0542885
368	0.092	0.491618	0	0	0.157115	0	-0.0593605	9.4668e-009	-0.0542885
369	0.09225	0.500452	0	0	0.176854	0	-0.0593566	9.4668e-009	-0.0523146
370	0.0925	0.500452	0	0	0.176854	0	-0.0593529	9.4668e-009	-0.0523146
371	0.09275	0.500452	0	0	0.176854	0	-0.0593493	9.4668e-009	-0.0523146
372	0.093	0.500452	0	0	0.176854	0	-0.0593459	9.4668e-009	-0.0523146
373	0.09325	0.500452	0	0	0.176854	0	-0.0593427	9.4668e-009	-0.0523146
374	0.0935	0.500452	0	0	0.176854	0	-0.0593397	9.4668e-009	-0.0523146
375	0.09375	0.500452	0	0	0.176854	0	-0.0593367	9.4668e-009	-0.0523146
376	0.094	0.500452	0	0	0.176854	0	-0.059334	9.4668e-009	-0.0523146
377	0.09425	0.500452	0	0	0.176854	0	-0.0593313	9.4668e-009	-0.0523146
378	0.0945	0.500452	0	0	0.176854	0	-0.0593288	9.4668e-009	-0.0523146
379	0.09475	0.509066	0	0	0.1961	0	-0.0593265	9.4668e-009	-0.05039
380	0.095	0.509066	0	0	0.1961	0	-0.0593242	9.4668e-009	-0.05039
381	0.09525	0.509066	0	0	0.1961	0	-0.059322	9.4668e-009	-0.05039
