Time	A	D	ElbowActualVel	ElbowPos	ElbowSetVel	FB	P	PhysicsStep	RealVsSim	
0.035	-0.06	0	1.000166	0.0339903	1	0.2411883	0	0.000239	0.041207	
0.03525	-0.06	0	1.000173	0.03449038	1	0.2411883	0	0.000239	0.041207	
0.0355	-0.06	0	1.000173	0.03449038	1	0.2411883	0	0.000272	0.041711	
0.03575	-0.06	0	1.000166	0.03499047	1	0.2411883	0	0.000272	0.041711	
0.036	-0.06	0	1.000166	0.03499047	1	0.2411883	0	0.000259	0.042215	
0.03625	-0.06	0	1.000166	0.03549055	1	0.2411883	0	0.000259	0.042215	
0.0365	-0.06	0	1.000166	0.03549055	1	0.2411883	0	0.00024	0.042718	
0.03675	-0.06	0	1.000166	0.03599063	1	0.2411883	0	0.00024	0.042718	
0.037	-0.06	0	1.000166	0.03599063	1	0.2411883	0	0.000238	0.043223	
0.03725	-0.06	0	1.000166	0.03649072	1	0.2555834	0	0.000238	0.043223	
0.0375	-0.06	0	1.000166	0.03649072	1	0.2555834	0	0.000237	0.043726	
0.03775	-0.06	0	1.000173	0.0369908	1	0.2555834	0	0.000237	0.043726	
0.038	-0.06	0	1.000173	0.0369908	1	0.2555834	0	0.000269	0.04423	
0.03825	-0.06	0	1.000166	0.03749089	1	0.2555834	0	0.000269	0.04423	
0.0385	-0.06	0	1.000166	0.03749089	1	0.2555834	0	0.000238	0.044733	
0.03875	-0.06	0	1.000166	0.03799097	1	0.2555834	0	0.000238	0.044733	
0.039	-0.06	0	1.000166	0.03799097	1	0.2555834	0	0.000236	0.045237	
0.03925	-0.06	0	1.000166	0.03849105	1	0.2555834	0	0.000236	0.045237	
0.0395	-0.06	0	1.000166	0.03849105	1	0.2555834	0	0.000254	0.045741	
0.03975	-0.06	0	1.000166	0.03899113	1	0.26965	0	0.000254	0.045741	
0.04	-0.06	0	1.000166	0.03899113	1	0.26965	0	0.00024	0.046245	
0.04025	-0.06	0	1.000166	0.03949122	1	0.26965	0	0.00024	0.046245	
0.0405	-0.06	0	1.000166	0.03949122	1	0.26965	0	0.00024	0.046752	
0.04075	-0.06	0	1.000173	0.0399913	1	0.26965	0	0.00024	0.046752	
0.041	-0.06	0	1.000173	0.0399913	1	0.26965	0	0.000238	0.047256	
0.04125	-0.06	0	1.000166	0.04049139	1	0.26965	0	0.000238	0.047256	
0.0415	-0.06	0	1.000166	0.04049139	1	0.26965	0	0.000241	0.04776	
0.04175	-0.06	0	1.000166	0.04099147	1	0.26965	0	0.000241	0.04776	
