Time	X Force	Tension	Length	Velocity	Acceleration	Potential Energy	Damping Force	Spring Tension	
0.132	2.303115	-2.276903	4.941515	-0.7138252	-1.907349	4.432257	7.138252	-9.415154	
0.133	2.276904	-2.245899	4.940799	-0.7162094	-2.384186	4.425516	7.162094	-9.407992	
0.134	2.2459	-2.214871	4.940081	-0.7185935	-2.384186	4.418758	7.185935	-9.400806	
0.135	2.214872	-2.188592	4.93936	-0.7205009	-1.907349	4.411987	7.205009	-9.393601	
0.136	2.188593	-2.157522	4.938637	-0.7228851	-2.384186	4.4052	7.228851	-9.386373	
0.137	2.157523	-2.126427	4.937912	-0.7252693	-2.384186	4.398395	7.252693	-9.37912	
0.138	2.126428	-2.100082	4.937185	-0.7271766	-1.907349	4.391577	7.271766	-9.371848	
0.139	2.100083	-2.073718	4.936456	-0.729084	-1.907349	4.384747	7.29084	-9.364557	
0.14	2.073719	-2.042561	4.935724	-0.7314681	-2.384186	4.3779	7.314682	-9.357243	
0.141	2.042562	-2.016154	4.934991	-0.7333755	-1.907349	4.37104	7.333755	-9.349909	
0.142	2.016155	-1.989727	4.934256	-0.7352828	-1.907349	4.364168	7.352829	-9.342556	
0.143	1.989728	-1.958509	4.933518	-0.737667	-2.384186	4.357279	7.37667	-9.335179	
0.144	1.95851	-1.93204	4.932778	-0.7395744	-1.907349	4.350378	7.395744	-9.327784	
0.145	1.932041	-1.910325	4.932037	-0.7410049	-1.430511	4.343468	7.410049	-9.320374	
0.146	1.910325	-1.879049	4.931294	-0.7433891	-2.384186	4.336542	7.433891	-9.31294	
0.147	1.87905	-1.862069	4.93055	-0.7443427	-0.9536743	4.329613	7.443428	-9.305496	
0.148	1.862069	-1.83076	4.929803	-0.7467269	-2.384186	4.322667	7.467269	-9.298029	
0.149	1.83076	-1.8042	4.929054	-0.7486343	-1.907349	4.315709	7.486343	-9.290543	
0.15	1.804201	-1.772848	4.928303	-0.7510185	-2.384186	4.308734	7.510185	-9.283032	
0.151	1.772848	-1.755791	4.927551	-0.7519721	-0.9536743	4.301757	7.519722	-9.275513	
0.152	1.755792	-1.724406	4.926797	-0.7543563	-2.384186	4.294763	7.543563	-9.267969	
0.153	1.724407	-1.702543	4.926041	-0.7557868	-1.430511	4.287761	7.557868	-9.260411	
0.154	1.702544	-1.675892	4.925283	-0.7576942	-1.907349	4.280747	7.576942	-9.252834	
0.155	1.675893	-1.653996	4.924524	-0.7591247	-1.430511	4.273726	7.591247	-9.245243	
0.156	1.653997	-1.627312	4.923763	-0.761032	-1.907349	4.266693	7.610321	-9.237633	
0.157	1.627313	-1.605382	4.923001	-0.7624626	-1.430511	4.259653	7.624626	-9.230008	
0.158	1.605383	-1.578665	4.922236	-0.7643699	-1.907349	4.2526	7.643699	-9.222364	
0.159	1.578666	-1.561475	4.921471	-0.7653236	-0.9536743	4.245545	7.653236	-9.214711	
0.16	1.561476	-1.534729	4.920704	-0.7672309	-1.907349	4.238478	7.672309	-9.207039	
0.161	1.53473	-1.507965	4.919935	-0.7691383	-1.907349	4.2314	7.691383	-9.199347	
0.162	1.507965	-1.490727	4.919165	-0.770092	-0.9536743	4.224319	7.70092	-9.191647	
0.163	1.490728	-1.463933	4.918393	-0.7719993	-1.907349	4.217226	7.719993	-9.183927	
0.164	1.463934	-1.45144	4.91762	-0.7724761	-0.4768371	4.210134	7.724761	-9.176202	
0.165	1.451441	-1.41985	4.916845	-0.7748603	-2.384186	4.203027	7.748603	-9.168453	
0.166	1.419851	-1.397782	4.916069	-0.7762908	-1.430511	4.195912	7.762908	-9.16069	
0.167	1.397783	-1.380473	4.915292	-0.7772445	-0.9536743	4.188795	7.772445	-9.152918	
0.168	1.380473	-1.353608	4.914513	-0.7791519	-1.907349	4.181667	7.791519	-9.145126	
0.169	1.353608	-1.33627	4.913733	-0.7801055	-0.9536743	4.174536	7.801055	-9.137325	
0.17	1.336271	-1.314149	4.912951	-0.781536	-1.430511	4.167397	7.815361	-9.12951	
0.171	1.31415	-1.292015	4.912168	-0.7829666	-1.430511	4.160253	7.829666	-9.12168	
0.172	1.292015	-1.269866	4.911384	-0.7843971	-1.430511	4.1531	7.843971	-9.113836	
0.173	1.269866	-1.257248	4.910599	-0.7848739	-0.4768371	4.14595	7.848739	-9.105988	
0.174	1.257249	-1.230307	4.909812	-0.7867813	-1.907349	4.138789	7.867813	-9.09812	
0.175	1.230308	-1.20812	4.909024	-0.7882118	-1.430511	4.131621	7.882118	-9.090238	
0.176	1.208121	-1.190691	4.908235	-0.7891654	-0.9536743	4.12445	7.891654	-9.082346	
0.177	1.190692	-1.173254	4.907444	-0.7901191	-0.9536743	4.117278	7.901191	-9.074445	
0.178	1.173254	-1.151033	4.906653	-0.7915496	-1.430511	4.110098	7.915496	-9.066529	
0.179	1.151034	-1.128798	4.90586	-0.7929801	-1.430511	4.102911	7.929801	-9.058599	
0.18	1.128799	-1.116095	4.905066	-0.793457	-0.4768371	4.095727	7.93457	-9.050665	
0.181	1.116096	-1.089068	4.904271	-0.7953643	-1.907349	4.088531	7.953643	-9.042711	
0.182	1.089069	-1.081114	4.903476	-0.7953643	0	4.081342	7.953643	-9.034758	
0.183	1.081115	-1.054068	4.902678	-0.7972717	-1.907349	4.074142	7.972717	-9.026785	
0.184	1.054069	-1.041322	4.901881	-0.7977485	-0.4768371	4.066944	7.977485	-9.018807	
0.185	1.041323	-1.014252	4.901081	-0.7996559	-1.907349	4.059736	7.996559	-9.010811	
0.186	1.014253	-1.001483	4.900281	-0.8001327	-0.4768371	4.052529	8.001327	-9.00281	
0.187	1.001484	-0.9839354	4.89948	-0.8010864	-0.9536743	4.04532	8.010863	-8.994799	
0.188	0.9839362	-0.9663782	4.898678	-0.80204	-0.9536743	4.038109	8.0204	-8.986778	
0.189	0.966379	-0.9440384	4.897874	-0.8034706	-1.430511	4.030892	8.034705	-8.978744	
0.19	0.9440392	-0.9312305	4.89707	-0.8039474	-0.4768371	4.023676	8.039474	-8.970704	
0.191	0.9312314	-0.9136448	4.896266	-0.8049011	-0.9536743	4.016459	8.04901	-8.962655	
0.192	0.9136456	-0.8912764	4.895459	-0.8063316	-1.430511	4.009236	8.063315	-8.954592	
0.193	0.8912772	-0.8784399	4.894652	-0.8068084	-0.4768371	4.002014	8.068084	-8.946524	
0.194	0.8784407	-0.8608255	4.893845	-0.8077621	-0.9536743	3.994791	8.077621	-8.938446	
0.195	0.8608264	-0.8479748	4.893036	-0.8082389	-0.4768371	3.98757	8.082389	-8.930364	
0.196	0.8479756	-0.825573	4.892227	-0.8096694	-1.430511	3.980342	8.096694	-8.922267	
0.197	0.8255738	-0.8127031	4.891417	-0.8101463	-0.4768371	3.973117	8.101462	-8.914165	
0.198	0.812704	-0.7950554	4.890605	-0.8110999	-0.9536743	3.96589	8.110999	-8.906054	
0.199	0.7950562	-0.7773981	4.889793	-0.8120536	-0.9536743	3.958662	8.120536	-8.897934	
0.2	0.7773989	-0.7645044	4.888981	-0.8125305	-0.4768371	3.951435	8.125304	-8.889809	
0.201	0.7645053	-0.7468328	4.888167	-0.8134841	-0.9536743	3.944206	8.134841	-8.881674	
0.202	0.7468337	-0.7339249	4.887353	-0.813961	-0.4768371	3.93698	8.139609	-8.873534	
0.203	0.7339257	-0.7210121	4.886539	-0.8144378	-0.4768371	3.929757	8.144378	-8.86539	
0.204	0.7210129	-0.6985483	4.885723	-0.8158683	-1.430511	3.922527	8.158683	-8.857231	
0.205	0.6985492	-0.6856165	4.884907	-0.8163452	-0.4768371	3.9153	8.163451	-8.849068	
0.206	0.6856173	-0.6726799	4.88409	-0.816822	-0.4768371	3.908075	8.16822	-8.840899	
0.207	0.6726807	-0.6549654	4.883272	-0.8177757	-0.9536743	3.900849	8.177756	-8.832722	
0.208	0.6549662	-0.6420145	4.882454	-0.8182525	-0.4768371	3.893625	8.182525	-8.824539	
0.209	0.6420153	-0.633832	4.881636	-0.8182525	0	3.886407	8.182525	-8.816357	
0.21	0.6338328	-0.61133	4.880816	-0.819683	-1.430511	3.879184	8.19683	-8.80816	
0.211	0.6113309	-0.5983601	4.879996	-0.8201599	-0.4768371	3.871963	8.201598	-8.799958	
0.212	0.5983609	-0.5806122	4.879175	-0.8211135	-0.9536743	3.864741	8.211135	-8.791747	
0.213	0.580613	-0.572401	4.878354	-0.8211135	0	3.857525	8.211135	-8.783536	
0.214	0.5724019	-0.5546436	4.877532	-0.8220672	-0.9536743	3.850308	8.220672	-8.775315	
0.215	0.5546445	-0.5416498	4.876709	-0.822544	-0.4768371	3.843093	8.22544	-8.76709	
0.216	0.5416507	-0.5286512	4.875886	-0.8230209	-0.4768371	3.835881	8.230208	-8.75886	
0.217	0.5286521	-0.5156479	4.875062	-0.8234977	-0.4768371	3.828672	8.234977	-8.750625	
0.218	0.5156487	-0.4978666	4.874238	-0.8244514	-0.9536743	3.82146	8.244514	-8.74238	
