Time	Length	Velocity	Acceleration	Damping	Tension	2	
0.15	4.888921	1.443282	8.88921	4.888921	4.888921	0	
0.151	4.887469	1.452157	8.874687	4.887469	4.887469	0	
0.152	4.886008	1.461017	8.860078	4.886008	4.886008	0	
0.153	4.884538	1.469862	8.845381	4.884538	4.884538	0	
0.154	4.883059	1.478693	8.830591	4.883059	4.883059	0	
0.155	4.881572	1.487509	8.815716	4.881572	4.881572	0	
0.156	4.880075	1.496309	8.800756	4.880075	4.880075	0	
0.157	4.878571	1.505095	8.785705	4.878571	4.878571	0	
0.158	4.877057	1.513866	8.770567	4.877057	4.877057	0	
0.159	4.875534	1.522621	8.755342	4.875534	4.875534	0	
0.16	4.874002	1.531361	8.740027	4.874002	4.874002	0	
0.161	4.872462	1.540086	8.724625	4.872462	4.872462	0	
0.162	4.870914	1.548795	8.709136	4.870914	4.870914	0	
0.163	4.869356	1.557488	8.693561	4.869356	4.869356	0	
0.164	4.86779	1.566166	8.6779	4.86779	4.86779	0	
0.165	4.866215	1.574828	8.662149	4.866215	4.866215	0	
0.166	4.864632	1.583475	8.646318	4.864632	4.864632	0	
0.167	4.863039	1.592105	8.630396	4.863039	4.863039	0	
0.168	4.861439	1.60072	8.614388	4.861439	4.861439	0	
0.169	4.859829	1.609318	8.598294	4.859829	4.859829	0	
0.17	4.858212	1.6179	8.582115	4.858212	4.858212	0	
0.171	4.856585	1.626466	8.565852	4.856585	4.856585	0	
0.172	4.85495	1.635015	8.549501	4.85495	4.85495	0	
0.173	4.853307	1.643548	8.533065	4.853307	4.853307	0	
0.174	4.851655	1.652065	8.516548	4.851655	4.851655	0	
0.175	4.849994	1.660565	8.49994	4.849994	4.849994	0	
0.176	4.848325	1.669048	8.483252	4.848325	4.848325	0	
0.177	4.846647	1.677515	8.466474	4.846647	4.846647	0	
0.178	4.844962	1.685964	8.449615	4.844962	4.844962	0	
0.179	4.843267	1.694397	8.432674	4.843267	4.843267	0	
0.18	4.841564	1.702813	8.415643	4.841564	4.841564	0	
0.181	4.839853	1.711211	8.398531	4.839853	4.839853	0	
0.182	4.838133	1.719593	8.381332	4.838133	4.838133	0	
0.183	4.836405	1.727957	8.364056	4.836405	4.836405	0	
0.184	4.834669	1.736303	8.34669	4.834669	4.834669	0	
0.185	4.832924	1.744633	8.329246	4.832924	4.832924	0	
0.186	4.831172	1.752944	8.311714	4.831172	4.831172	0	
0.187	4.829411	1.761239	8.294105	4.829411	4.829411	0	
0.188	4.827641	1.769515	8.276411	4.827641	4.827641	0	
0.189	4.825863	1.777774	8.258634	4.825863	4.825863	0	
0.19	4.824077	1.786014	8.24077	4.824077	4.824077	0	
0.191	4.822283	1.794237	8.22283	4.822283	4.822283	0	
0.192	4.82048	1.802442	8.204805	4.82048	4.82048	0	
0.193	4.81867	1.810629	8.186698	4.81867	4.81867	0	
0.194	4.816851	1.818797	8.168511	4.816851	4.816851	0	
0.195	4.815024	1.826947	8.150243	4.815024	4.815024	0	
0.196	4.813189	1.835079	8.131889	4.813189	4.813189	0	
0.197	4.811346	1.843193	8.11346	4.811346	4.811346	0	
0.198	4.809494	1.851288	8.094945	4.809494	4.809494	0	
0.199	4.807635	1.859364	8.076352	4.807635	4.807635	0	
0.2	4.805768	1.867422	8.05768	4.805768	4.805768	0	
0.201	4.803892	1.875461	8.038921	4.803892	4.803892	0	
0.202	4.802009	1.883481	8.020089	4.802009	4.802009	0	
0.203	4.800117	1.891482	8.001172	4.800117	4.800117	0	
0.204	4.798218	1.899464	7.982182	4.798218	4.798218	0	
0.205	4.79631	1.907427	7.963106	4.79631	4.79631	0	
0.206	4.794395	1.915371	7.943952	4.794395	4.794395	0	
0.207	4.792472	1.923296	7.924718	4.792472	4.792472	0	
0.208	4.790541	1.931201	7.905408	4.790541	4.790541	0	
0.209	4.788601	1.939087	7.886018	4.788601	4.788601	0	
0.21	4.786654	1.946954	7.866546	4.786654	4.786654	0	
0.211	4.784699	1.954801	7.846998	4.784699	4.784699	0	
0.212	4.782737	1.962628	7.827369	4.782737	4.782737	0	
0.213	4.780766	1.970436	7.80767	4.780766	4.780766	0	
0.214	4.778789	1.978224	7.787884	4.778789	4.778789	0	
0.215	4.776803	1.985992	7.768027	4.776803	4.776803	0	
0.216	4.774808	1.99374	7.74809	4.774808	4.774808	0	
0.217	4.772807	2.001468	7.728071	4.772807	4.772807	0	
0.218	4.770798	2.009176	7.707982	4.770798	4.770798	0	
0.219	4.768781	2.016864	7.687815	4.768781	4.768781	0	
0.22	4.766757	2.024531	7.667568	4.766757	4.766757	0	
0.221	4.764724	2.032178	7.647245	4.764724	4.764724	0	
0.222	4.762685	2.039805	7.626847	4.762685	4.762685	0	
0.223	4.760637	2.047411	7.606376	4.760637	4.760637	0	
0.224	4.758582	2.054997	7.585824	4.758582	4.758582	0	
0.225	4.75652	2.062562	7.565197	4.75652	4.75652	0	
0.226	4.754449	2.070107	7.544499	4.754449	4.754449	0	
0.227	4.752372	2.077631	7.523719	4.752372	4.752372	0	
0.228	4.750287	2.085134	7.502869	4.750287	4.750287	0	
0.229	4.748194	2.092616	7.481942	4.748194	4.748194	0	
0.23	4.746094	2.100076	7.460943	4.746094	4.746094	0	
0.231	4.743987	2.107516	7.439869	4.743987	4.743987	0	
0.232	4.741872	2.114935	7.418719	4.741872	4.741872	0	
0.233	4.739749	2.122332	7.397497	4.739749	4.739749	0	
0.234	4.737619	2.129709	7.3762	4.737619	4.737619	0	
0.235	4.735483	2.137063	7.354827	4.735483	4.735483	0	
0.236	4.733338	2.144397	7.333386	4.733338	4.733338	0	
0.237	4.731186	2.151708	7.311869	4.731186	4.731186	0	
0.238	4.729027	2.158999	7.290277	4.729027	4.729027	0	
0.239	4.726861	2.166267	7.268613	4.726861	4.726861	0	
0.24	4.724688	2.173514	7.246878	4.724688	4.724688	0	
0.241	4.722507	2.180739	7.225071	4.722507	4.722507	0	
0.242	4.720319	2.187943	7.203193	4.720319	4.720319	0	
0.243	4.718124	2.195124	7.181239	4.718124	4.718124	0	
0.244	4.715921	2.202283	7.159219	4.715921	4.715921	0	
0.245	4.713712	2.20942	7.137122	4.713712	4.713712	0	
0.246	4.711495	2.216535	7.114959	4.711495	4.711495	0	
0.247	4.709272	2.223628	7.09272	4.709272	4.709272	0	
0.248	4.707041	2.230698	7.070414	4.707041	4.707041	0	
0.249	4.704803	2.237746	7.048038	4.704803	4.704803	0	
0.25	4.702559	2.244771	7.025589	4.702559	4.702559	0	
0.251	4.700307	2.251775	7.00307	4.700307	4.700307	0	
0.252	4.698048	2.258755	6.980483	4.698048	4.698048	0	
0.253	4.695783	2.265713	6.957826	4.695783	4.695783	0	
0.254	4.69351	2.272648	6.935102	4.69351	4.69351	0	
0.255	4.69123	2.27956	6.912308	4.69123	4.69123	0	
0.256	4.688944	2.286449	6.88944	4.688944	4.688944	0	
0.257	4.686651	2.293316	6.866508	4.686651	4.686651	0	
0.258	4.68435	2.300159	6.843509	4.68435	4.68435	0	
0.259	4.682044	2.30698	6.820436	4.682044	4.682044	0	
0.26	4.679729	2.313777	6.7973	4.679729	4.679729	0	
0.261	4.677409	2.320551	6.774093	4.677409	4.677409	0	
0.262	4.675082	2.327302	6.750821	4.675082	4.675082	0	
0.263	4.672748	2.33403	6.727479	4.672748	4.672748	0	
0.264	4.670407	2.340734	6.704072	4.670407	4.670407	0	
0.265	4.66806	2.347414	6.680597	4.66806	4.66806	0	
0.266	4.665706	2.354071	6.657061	4.665706	4.665706	0	
0.267	4.663345	2.360705	6.633453	4.663345	4.663345	0	
