Time	A	B	
1.3416	0.2936583	0.2326714	
1.3442	0.2935156	0.226848	
1.3468	0.2912066	0.228635	
1.3494	0.2898374	0.2248323	
1.352	0.287434	0.2236378	
1.3546	0.2895336	0.2233278	
1.3572	0.2941114	0.2215925	
1.3598	0.2917874	0.2212341	
1.3624	0.2927485	0.2225447	
1.365	0.2912991	0.223422	
1.3676	0.295281	0.2250869	
1.3702	0.295057	0.2202502	
1.3728	0.2961505	0.2220137	
1.3754	0.2976621	0.2186641	
1.378	0.2941476	0.2214504	
1.3806	0.2978762	0.2159679	
1.3832	0.2994909	0.2151314	
1.3858	0.3016374	0.2113363	
1.3884	0.3063993	0.2113976	
1.391	0.3079097	0.2095279	
1.3936	0.308946	0.2055664	
1.3962	0.3060578	0.2070978	
1.3988	0.3078391	0.2074541	
1.4014	0.3125894	0.207853	
1.404	0.3112079	0.2048734	
1.4066	0.3144192	0.2059325	
1.4092	0.3188471	0.2016612	
1.4118	0.3199694	0.2032838	
1.4144	0.3164098	0.2054529	
1.417	0.3201816	0.2006641	
1.4196	0.3227398	0.1975788	
1.4222	0.319586	0.1949012	
1.4248	0.3182705	0.1974567	
1.4274	0.3144934	0.1936648	
1.43	0.3171167	0.1927763	
1.4326	0.3211094	0.1959104	
1.4352	0.3237293	0.1956188	
1.4378	0.3269983	0.1985173	
1.4404	0.3228856	0.197343	
1.443	0.3227144	0.1977045	
1.4456	0.3256426	0.1985904	
1.4482	0.3259765	0.195856	
1.4508	0.3275159	0.195301	
1.4534	0.3231248	0.1936266	
1.456	0.3206888	0.1965609	
1.4586	0.3231352	0.1953203	
1.4612	0.3203855	0.1984598	
1.4638	0.3170679	0.1921152	
1.4664	0.3134601	0.1873097	
1.469	0.3123093	0.18932	
1.4716	0.314355	0.192745	
1.4742	0.3134097	0.1946461	
1.4768	0.3182007	0.1981126	
1.4794	0.3182012	0.1933434	
1.482	0.3155065	0.1961644	
1.4846	0.3160603	0.1984929	
1.4872	0.3117259	0.1926721	
1.4898	0.3084923	0.1884071	
1.4924	0.3115032	0.1905319	
1.495	0.3115728	0.1872365	
1.4976	0.3090722	0.1888098	
1.5002	0.3055085	0.18547	
1.5028	0.3013338	0.1806299	
1.5054	0.3015323	0.1764671	
1.508	0.2974533	0.1786964	
1.5106	0.2999753	0.1744982	
1.5132	0.3008093	0.1721568	
1.5158	0.3037979	0.1733707	
1.5184	0.3066483	0.1676944	
1.521	0.3109344	0.1652184	
1.5236	0.3121893	0.164952	
1.5262	0.3142078	0.1644658	
1.5288	0.3134402	0.1637351	
1.5314	0.3107978	0.1656415	
1.534	0.3066101	0.1630086	
1.5366	0.3110365	0.1640981	
1.5392	0.3073756	0.1633906	
1.5418	0.3120613	0.1589947	
1.5444	0.3132535	0.1600943	
1.547	0.3097195	0.1548762	
1.5496	0.3149189	0.1530556	
1.5522	0.3119912	0.1557815	
1.5548	0.3150452	0.1566622	
1.5574	0.3191801	0.1547111	
1.56	0.3202932	0.1506366	
1.5626	0.3210131	0.1473267	
1.5652	0.3209966	0.1455846	
1.5678	0.3214718	0.1445815	
1.5704	0.3193886	0.1468073	
1.573	0.3188601	0.1508037	
1.5756	0.3221103	0.1536939	
1.5782	0.3249691	0.1562176	
1.5808	0.3279596	0.158878	
1.5834	0.3259172	0.1567505	
1.586	0.3246636	0.1585241	
1.5886	0.3240018	0.155611	
1.5912	0.3210753	0.1572149	
1.5938	0.3239589	0.1589752	
1.5964	0.3212105	0.155969	
1.599	0.3238581	0.1598982	
1.6016	0.3233257	0.1596468	
1.6042	0.3269052	0.157327	
1.6068	0.328257	0.1519802	
1.6094	0.3266758	0.153965	
1.612	0.3309615	0.1516983	
1.6146	0.3266202	0.1473439	
1.6172	0.3255148	0.1508732	
1.6198	0.3301542	0.1490248	
1.6224	0.3342571	0.149354	
1.625	0.3296023	0.1449672	
1.6276	0.3286164	0.1453507	
1.6302	0.3264403	0.1398297	
1.6328	0.3271073	0.1381367	
1.6354	0.3310101	0.1378688	
1.638	0.3276926	0.1405771	
1.6406	0.327204	0.1383126	
1.6432	0.327302	0.1372071	
1.6458	0.3309494	0.1355723	
1.6484	0.333251	0.131155	
1.651	0.3375381	0.1330756	
1.6536	0.3366678	0.1306117	
1.6562	0.3351862	0.1287696	
1.6588	0.3361617	0.130927	
1.6614	0.3349864	0.127519	
1.664	0.3317673	0.1253085	
1.6666	0.3299655	0.1247305	
1.6692	0.3348271	0.126063	
1.6718	0.3363046	0.1231067	
1.6744	0.3410454	0.1213975	
1.677	0.344092	0.1229689	
1.6796	0.3469687	0.123098	
