Time	MV	Muscle2	Len	
0.0664	-0.06884698	4.489717	-0.04831148	
0.06659999	-0.06893562	4.489717	-0.04831154	
0.0668	-0.06902402	4.529754	-0.04831159	
0.067	-0.06911218	4.529754	-0.04831165	
0.0672	-0.06920011	4.529754	-0.04831171	
0.0674	-0.06928779	4.529754	-0.04831176	
0.0676	-0.06937524	4.529754	-0.04831181	
0.0678	-0.06946245	4.565215	-0.04831186	
0.068	-0.06954943	4.565215	-0.04831192	
0.0682	-0.06963615	4.565215	-0.04831197	
0.0684	-0.06972264	4.565215	-0.04831202	
0.0686	-0.06980891	4.565215	-0.04831207	
0.06879999	-0.06989492	4.59634	-0.04831212	
0.069	-0.06998071	4.59634	-0.04831216	
0.0692	-0.07006625	4.59634	-0.04831221	
0.0694	-0.07015156	4.59634	-0.04831225	
0.0696	-0.07023662	4.59634	-0.0483123	
0.0698	-0.07032146	4.623547	-0.04831234	
0.07	-0.07040605	4.623547	-0.04831238	
0.0702	-0.07049041	4.623547	-0.04831243	
0.0704	-0.07057453	4.623547	-0.04831247	
0.0706	-0.07065842	4.623547	-0.04831251	
0.0708	-0.07074206	4.647109	-0.04831254	
0.07099999	-0.07082549	4.647109	-0.04831259	
0.0712	-0.07090867	4.647109	-0.04831263	
0.0714	-0.07099161	4.647109	-0.04831266	
0.0716	-0.07107434	4.647109	-0.0483127	
0.0718	-0.07115681	4.667305	-0.04831273	
0.072	-0.07123907	4.667305	-0.04831277	
0.0722	-0.07132109	4.667305	-0.0483128	
0.0724	-0.07140287	4.667305	-0.04831284	
0.0726	-0.07148443	4.667305	-0.04831287	
0.0728	-0.07156575	4.684389	-0.04831289	
0.073	-0.07164684	4.684389	-0.04831293	
0.07319999	-0.07172771	4.684389	-0.04831296	
0.0734	-0.07180835	4.684389	-0.04831299	
0.0736	-0.07188874	4.684389	-0.04831302	
0.0738	-0.07196893	4.698597	-0.04831304	
0.074	-0.07204887	4.698597	-0.04831308	
0.0742	-0.0721286	4.698597	-0.0483131	
0.0744	-0.0722081	4.698597	-0.04831313	
0.0746	-0.07228737	4.698597	-0.04831316	
0.0748	-0.07236642	4.710145	-0.04831318	
0.075	-0.07244524	4.710145	-0.0483132	
0.0752	-0.07252384	4.710145	-0.04831323	
0.07539999	-0.07260222	4.710145	-0.04831325	
0.0756	-0.07268038	4.710145	-0.04831327	
0.0758	-0.07275831	4.71923	-0.0483133	
0.076	-0.07283602	4.71923	-0.04831332	
0.0762	-0.07291351	4.71923	-0.04831334	
0.0764	-0.07299078	4.71923	-0.04831336	
0.0766	-0.07306784	4.71923	-0.04831338	
0.0768	-0.07314467	4.726037	-0.0483134	
0.077	-0.07322128	4.726037	-0.04831342	
0.0772	-0.07329768	4.726037	-0.04831344	
0.0774	-0.07337385	4.726037	-0.04831346	
0.07759999	-0.07344981	4.726037	-0.04831347	
0.0778	-0.07352556	4.730793	-0.04831349	
0.078	-0.07360109	4.730793	-0.0483135	
0.0782	-0.0736764	4.730793	-0.04831352	
0.0784	-0.07375149	4.730793	-0.04831353	
0.0786	-0.07382638	4.730793	-0.04831355	
0.0788	-0.07390105	4.733534	-0.04831357	
0.079	-0.07397551	4.733534	-0.04831358	
0.0792	-0.07404976	4.733534	-0.04831359	
0.0794	-0.07412379	4.733534	-0.0483136	
0.0796	-0.07419762	4.733534	-0.04831361	
