Time	A	Length	MV	Tension	
6.4222	0.6220758	0.4622319	-0.08708688	0.1416374	
6.4224	0.6220758	0.4622319	-0.08708701	0.1416374	
6.4226	0.6220758	0.4622319	-0.08708712	0.1416374	
6.4228	0.6221522	0.4622584	-0.08708725	0.1335067	
6.423	0.6221522	0.4622584	-0.08708737	0.1335067	
6.4232	0.6221522	0.4622584	-0.08708749	0.1335067	
6.4234	0.6221522	0.4622584	-0.08708762	0.1335067	
6.4236	0.6221522	0.4622584	-0.08708774	0.1335067	
6.4238	0.6222609	0.4622907	-0.08708785	0.1283681	
6.424	0.6222609	0.4622907	-0.08708797	0.1283681	
6.4242	0.6222609	0.4622907	-0.08708809	0.1283681	
6.4244	0.6222609	0.4622907	-0.08708821	0.1283681	
6.4246	0.6222609	0.4622907	-0.08708833	0.1283681	
6.4248	0.6223999	0.4623284	-0.08708845	0.125983	
6.425	0.6223999	0.4623284	-0.08708857	0.125983	
6.4252	0.6223999	0.4623284	-0.08708869	0.125983	
6.4254	0.6223999	0.4623284	-0.08708881	0.125983	
6.4256	0.6223999	0.4623284	-0.08708893	0.125983	
6.4258	0.6225669	0.462371	-0.08708904	0.126099	
6.426	0.6225669	0.462371	-0.08708916	0.126099	
6.4262	0.6225669	0.462371	-0.08708928	0.126099	
6.4264	0.6225669	0.462371	-0.08708939	0.126099	
6.4266	0.6225669	0.462371	-0.08708951	0.126099	
6.4268	0.6227577	0.462418	-0.08708962	0.1284201	
6.427	0.6227577	0.462418	-0.08708974	0.1284201	
6.4272	0.6227577	0.462418	-0.08708985	0.1284201	
6.4274	0.6227577	0.462418	-0.08708997	0.1284201	
6.4276	0.6227577	0.462418	-0.08709008	0.1284201	
6.4278	0.6229701	0.4624687	-0.08709019	0.1326519	
6.428	0.6229701	0.4624687	-0.08709031	0.1326519	
6.4282	0.6229701	0.4624687	-0.08709043	0.1326519	
6.4284	0.6229701	0.4624687	-0.08709054	0.1326519	
6.4286	0.6229701	0.4624687	-0.08709065	0.1326519	
6.4288	0.6232004	0.4625227	-0.08709076	0.1384866	
6.429	0.6232004	0.4625227	-0.08709087	0.1384866	
6.4292	0.6232004	0.4625227	-0.08709098	0.1384866	
6.4294	0.6232004	0.4625227	-0.0870911	0.1384866	
6.4296	0.6232004	0.4625227	-0.08709121	0.1384866	
6.4298	0.6234451	0.4625793	-0.08709132	0.1456476	
6.43	0.6234451	0.4625793	-0.08709142	0.1456476	
6.4302	0.6234451	0.4625793	-0.08709154	0.1456476	
6.4304	0.6234451	0.4625793	-0.08709165	0.1456476	
6.4306	0.6234451	0.4625793	-0.08709176	0.1456476	
6.4308	0.6237017	0.4626379	-0.08709186	0.15383	
6.431	0.6237017	0.4626379	-0.08709197	0.15383	
6.4312	0.6237017	0.4626379	-0.08709208	0.15383	
6.4314	0.6237017	0.4626379	-0.08709219	0.15383	
6.4316	0.6237017	0.4626379	-0.0870923	0.15383	
6.4318	0.6239666	0.4626981	-0.08709241	0.16279	
6.432	0.6239666	0.4626981	-0.08709251	0.16279	
6.4322	0.6239666	0.4626981	-0.08709262	0.16279	
6.4324	0.6239666	0.4626981	-0.08709273	0.16279	
6.4326	0.6239666	0.4626981	-0.08709283	0.16279	
6.4328	0.6242387	0.4627594	-0.08709294	0.1722403	
6.433	0.6242387	0.4627594	-0.08709305	0.1722403	
