Time	Hinge	Srt	Mrt	Mlt	Slt	Srl	Mrl	Mll	Sll	Left	Right	
0.168	-0.06170247	0	2.684781	0.851079	0	0	1.905831	3.551681	0	0.8167726	0.8167726	
0.169	-0.06282155	0	2.685816	0.8472413	0	0	1.904139	3.550683	0	0.8204372	0.8204372	
0.17	-0.06395206	0	2.686607	0.843319	0	0	1.902429	3.549673	0	0.8204372	0.8204372	
0.171	-0.06509399	0	2.687165	0.8393223	0	0	1.900703	3.548652	0	0.8240285	0.8240285	
0.172	-0.06624734	0	2.687483	0.8352448	0	0	1.89896	3.54762	0	0.8240285	0.8240285	
0.173	-0.06741212	0	2.687568	0.8310921	0	0	1.8972	3.546577	0	0.8275479	0.8275479	
0.174	-0.0685883	0	2.687418	0.8268601	0	0	1.895424	3.545522	0	0.8275479	0.8275479	
0.175	-0.06977589	0	2.687034	0.8225518	0	0	1.89363	3.544457	0	0.8309969	0.8309969	
0.176	-0.07097487	0	2.686418	0.8181706	0	0	1.891819	3.54338	0	0.8309969	0.8309969	
0.177	-0.07218523	0	2.685574	0.8137122	0	0	1.889992	3.542292	0	0.8343769	0.8343769	
0.178	-0.07340697	0	2.684496	0.8091751	0	0	1.888147	3.541192	0	0.8343769	0.8343769	
0.179	-0.07464007	0	2.683195	0.804567	0	0	1.886286	3.540081	0	0.8376894	0.8376894	
0.18	-0.07588454	0	2.68166	0.7998816	0	0	1.884408	3.538959	0	0.8376894	0.8376894	
0.181	-0.07714033	0	2.679904	0.7951268	0	0	1.882514	3.537825	0	0.8409356	0.8409356	
0.182	-0.07840744	0	2.677917	0.790296	0	0	1.880603	3.53668	0	0.8409356	0.8409356	
0.183	-0.07968586	0	2.675709	0.7853947	0	0	1.878675	3.535524	0	0.8441169	0.8441169	
0.184	-0.08097557	0	2.673275	0.7804188	0	0	1.87673	3.534356	0	0.8441169	0.8441169	
0.185	-0.08227655	0	2.670619	0.7753689	0	0	1.874769	3.533176	0	0.8472347	0.8472347	
0.186	-0.08358878	0	2.667741	0.7702507	0	0	1.872791	3.531985	0	0.8472347	0.8472347	
0.187	-0.08491224	0	2.664643	0.7650623	0	0	1.870797	3.530783	0	0.85029	0.85029	
