Time	Hinge	Fy	Tz	
0.561	-0.001753933	-5.098432E-05	0.3999997	
0.562	-0.001812398	-4.856288E-05	0.3999997	
0.563	-0.001871822	-4.624203E-05	0.3999996	
0.564	-0.001932205	-4.404038E-05	0.3999996	
0.565	-0.001993545	-4.194677E-05	0.3999996	
0.566	-0.002055845	-3.994256E-05	0.3999995	
0.567	-0.002119103	-3.804639E-05	0.3999995	
0.568	-0.002183319	-3.622845E-05	0.3999994	
0.569	-0.002248493	-3.450736E-05	0.3999993	
0.5700001	-0.002314626	-3.286079E-05	0.3999992	
0.571	-0.002381718	-3.128871E-05	0.3999991	
0.572	-0.002449768	-2.980605E-05	0.3999991	
0.573	-0.002518777	-2.838671E-05	0.399999	
0.574	-0.002588744	-2.703071E-05	0.3999989	
0.575	-0.002659669	-2.574176E-05	0.3999988	
0.576	-0.002731553	-2.451986E-05	0.3999988	
0.577	-0.002804396	-2.334639E-05	0.3999986	
0.578	-0.002878197	-2.223998E-05	0.3999985	
0.5790001	-0.002952956	-2.117455E-05	0.3999985	
0.58	-0.003028674	-2.017245E-05	0.3999984	
0.581	-0.00310535	-1.92076E-05	0.3999983	
0.582	-0.003182985	-1.829118E-05	0.3999982	
0.583	-0.003261578	-1.741946E-05	0.3999981	
0.5840001	-0.00334113	-1.659244E-05	0.399998	
0.585	-0.00342164	-1.579896E-05	0.3999979	
0.586	-0.003503108	-1.504645E-05	0.3999978	
0.587	-0.003585535	-1.433492E-05	0.3999977	
0.588	-0.00366892	-1.364574E-05	0.3999976	
0.589	-0.003753264	-1.299754E-05	0.3999974	
0.59	-0.003838566	-1.238286E-05	0.3999973	
0.591	-0.003924827	-1.178682E-05	0.3999972	
0.592	-0.004012046	-1.122802E-05	0.3999971	
0.5930001	-0.004100224	-1.069158E-05	0.399997	
0.594	-0.00418936	-1.018122E-05	0.3999968	
0.595	-0.004279455	-9.700656E-06	0.3999966	
0.596	-0.004370508	-9.234995E-06	0.3999965	
0.597	-0.00446252	-8.79541E-06	0.3999963	
0.598	-0.00455549	-8.378178E-06	0.3999961	
0.599	-0.004649418	-7.975847E-06	0.3999959	
0.6	-0.004744305	-7.599592E-06	0.3999958	
0.601	-0.004840151	-7.238239E-06	0.3999956	
0.6020001	-0.004936954	-6.888062E-06	0.3999954	
0.603	-0.005034717	-6.563962E-06	0.3999952	
0.604	-0.005133438	-6.251037E-06	0.399995	
0.605	-0.005233117	-5.949289E-06	0.3999948	
0.606	-0.005333754	-5.669892E-06	0.3999946	
0.6070001	-0.00543535	-5.397946E-06	0.3999944	
0.608	-0.005537905	-5.144626E-06	0.3999942	
0.609	-0.005641418	-4.891306E-06	0.399994	
0.61	-0.005745889	-4.664063E-06	0.3999937	
0.611	-0.005851319	-4.444271E-06	0.3999935	
0.612	-0.005957707	-4.228204E-06	0.3999932	
0.613	-0.006065054	-4.027039E-06	0.3999929	
0.614	-0.00617336	-3.837049E-06	0.3999927	
0.615	-0.006282624	-3.65451E-06	0.3999924	
0.6160001	-0.006392846	-3.479421E-06	0.3999921	
0.617	-0.006504026	-3.315508E-06	0.3999918	
0.618	-0.006616165	-3.151596E-06	0.3999915	
0.619	-0.006729263	-3.006309E-06	0.3999912	
0.62	-0.006843318	-2.861023E-06	0.3999909	
0.6210001	-0.006958333	-2.726912E-06	0.3999906	
0.622	-0.007074305	-2.596527E-06	0.3999903	
0.623	-0.007191236	-2.473593E-06	0.39999	
0.624	-0.007309127	-2.350658E-06	0.3999897	
0.625	-0.007427975	-2.242625E-06	0.3999893	
0.626	-0.007547781	-2.134591E-06	0.3999889	
0.627	-0.007668546	-2.034009E-06	0.3999885	
