Time	A1	A2	A3	A4	A5	A6	
0.564	0.02448251	0.002009646	1.111509E-06	1.118668E-06	0.002022593	0.02464019	
0.566	0.02445207	0.002007147	1.110127E-06	1.117277E-06	0.002020078	0.02460955	
0.568	0.02442163	0.002004648	1.108745E-06	1.115886E-06	0.002017563	0.02457891	
0.5700001	0.02439119	0.002002149	1.107362E-06	1.114495E-06	0.002015048	0.02454827	
0.572	0.02436074	0.00199965	1.10598E-06	1.113104E-06	0.002012533	0.02451763	
0.574	0.02433029	0.001997151	1.104598E-06	1.111712E-06	0.002010018	0.02448698	
0.576	0.02429984	0.001994652	1.103215E-06	1.110321E-06	0.002007502	0.02445634	
0.578	0.02426939	0.001992152	1.101833E-06	1.10893E-06	0.002004987	0.0244257	
0.58	0.02423895	0.001989653	1.100451E-06	1.107539E-06	0.002002472	0.02439506	
0.582	0.02420851	0.001987155	1.099069E-06	1.106148E-06	0.001999957	0.02436442	
0.5840001	0.02417807	0.001984656	1.097687E-06	1.104757E-06	0.001997442	0.02433379	
0.586	0.02414764	0.001982158	1.096305E-06	1.103367E-06	0.001994928	0.02430316	
0.588	0.02411721	0.00197966	1.094924E-06	1.101976E-06	0.001992414	0.02427253	
0.59	0.02408678	0.001977162	1.093543E-06	1.100586E-06	0.001989901	0.02424191	
0.592	0.02405637	0.001974666	1.092162E-06	1.099196E-06	0.001987388	0.0242113	
0.594	0.02402596	0.00197217	1.090781E-06	1.097807E-06	0.001984876	0.0241807	
0.596	0.02399556	0.001969674	1.089401E-06	1.096418E-06	0.001982364	0.02415009	
0.598	0.02396516	0.001967179	1.088021E-06	1.095029E-06	0.001979853	0.0241195	
0.6	0.02393478	0.001964685	1.086642E-06	1.09364E-06	0.001977343	0.02408892	
0.6020001	0.0239044	0.001962191	1.085263E-06	1.092252E-06	0.001974833	0.02405835	
0.604	0.02387404	0.001959699	1.083884E-06	1.090865E-06	0.001972325	0.02402779	
0.606	0.02384368	0.001957207	1.082506E-06	1.089478E-06	0.001969817	0.02399724	
0.608	0.02381334	0.001954716	1.081128E-06	1.088091E-06	0.00196731	0.0239667	
0.61	0.02378301	0.001952227	1.079751E-06	1.086706E-06	0.001964804	0.02393617	
0.612	0.02375269	0.001949738	1.078375E-06	1.08532E-06	0.0019623	0.02390566	
0.614	0.02372238	0.00194725	1.076999E-06	1.083935E-06	0.001959796	0.02387515	
0.6160001	0.02369209	0.001944763	1.075623E-06	1.082551E-06	0.001957293	0.02384467	
0.618	0.02366181	0.001942278	1.074249E-06	1.081168E-06	0.001954792	0.02381419	
0.62	0.02363155	0.001939794	1.072875E-06	1.079785E-06	0.001952292	0.02378373	
0.622	0.0236013	0.001937311	1.071501E-06	1.078403E-06	0.001949793	0.02375329	
0.624	0.02357106	0.001934829	1.070129E-06	1.077021E-06	0.001947295	0.02372286	
0.626	0.02354085	0.001932349	1.068757E-06	1.075641E-06	0.001944799	0.02369245	
0.628	0.02351065	0.001929869	1.067386E-06	1.074261E-06	0.001942303	0.02366205	
0.6300001	0.02348047	0.001927392	1.066015E-06	1.072882E-06	0.00193981	0.02363168	
0.632	0.0234503	0.001924915	1.064646E-06	1.071503E-06	0.001937317	0.02360132	
0.634	0.02342015	0.001922441	1.063277E-06	1.070125E-06	0.001934827	0.02357097	
0.636	0.02339002	0.001919967	1.061909E-06	1.068749E-06	0.001932338	0.02354065	
0.638	0.02335991	0.001917496	1.060542E-06	1.067373E-06	0.00192985	0.02351034	
0.64	0.02332981	0.001915026	1.059176E-06	1.065998E-06	0.001927364	0.02348005	
0.642	0.02329974	0.001912557	1.057811E-06	1.064624E-06	0.001924879	0.02344978	
