Time	B	A	C	D	E	F	
0.0636	-0.05	-0.06	-0.05	-0.04428576	-0.05	-0.05	
0.0638	-0.05	-0.06	-0.05	-0.04428576	-0.05	-0.05	
0.064	-0.05	-0.06	-0.05	-0.04428576	-0.05	-0.05	
0.0642	-0.05	-0.06	-0.05	-0.04428576	-0.05	-0.05	
0.06439999	-0.05	-0.06	-0.05	-0.04428576	-0.05	-0.05	
0.0646	-0.05	-0.06	-0.05	-0.04428576	-0.05	-0.05	
0.0648	-0.05	-0.06	-0.05	-0.04428576	-0.05	-0.05	
0.065	-0.05	-0.06	-0.05	-0.04428576	-0.05	-0.05	
0.0652	-0.05	-0.06	-0.05	-0.04428576	-0.05	-0.05	
0.0654	-0.05	-0.06	-0.05	-0.04428576	-0.05	-0.05	
0.0656	-0.05	-0.06	-0.05	-0.04428576	-0.05	-0.05	
0.0658	-0.05	-0.06	-0.05	-0.04428576	-0.05	-0.05	
0.066	-0.05	-0.06	-0.05	-0.04428576	-0.05	-0.05	
0.0662	-0.05	-0.06	-0.05	-0.04428576	-0.05	-0.05	
0.0664	-0.05	-0.06	-0.05	-0.04428576	-0.05	-0.05	
0.06659999	-0.05	-0.06	-0.05	-0.04428576	-0.05	-0.05	
0.0668	-0.05	-0.06	-0.05	-0.04428576	-0.05	-0.05	
0.067	-0.05	-0.06	-0.05	-0.04428576	-0.05	-0.05	
0.0672	-0.05	-0.06	-0.05	-0.04428576	-0.05	-0.05	
0.0674	-0.05	-0.06	-0.05	-0.04428576	-0.05	-0.05	
0.0676	-0.05	-0.06	-0.05	-0.04428576	-0.05	-0.05	
0.0678	-0.05	-0.06	-0.05	-0.04428576	-0.05	-0.05	
0.068	-0.05	-0.06	-0.05	-0.04428576	-0.05	-0.05	
0.0682	-0.05	-0.06	-0.05	-0.04428576	-0.05	-0.05	
0.0684	-0.05	-0.06	-0.05	-0.04428576	-0.05	-0.05	
0.0686	-0.05	-0.06	-0.05	-0.04428576	-0.05	-0.05	
0.06879999	-0.05	-0.06	-0.05	-0.04428576	-0.05	-0.05	
0.069	-0.05	-0.06	-0.05	-0.04428576	-0.05	-0.05	
0.0692	-0.05	-0.06	-0.05	-0.04428576	-0.05	-0.05	
0.0694	-0.05	-0.06	-0.05	-0.04428576	-0.05	-0.05	
0.0696	-0.05	-0.06	-0.05	-0.04428576	-0.05	-0.05	
0.0698	-0.05	-0.06	-0.05	-0.04428576	-0.05	-0.05	
0.07	-0.05	-0.06	-0.05	-0.04428576	-0.05	-0.05	
0.0702	-0.05	-0.06	-0.05	-0.04428576	-0.05	-0.05	
0.0704	-0.05	-0.06	-0.05	-0.04428576	-0.05	-0.05	
0.0706	-0.05	-0.06	-0.05	-0.04428576	-0.05	-0.05	
0.0708	-0.05	-0.06	-0.05	-0.04428576	-0.05	-0.05	
0.07099999	-0.05	-0.06	-0.05	-0.04428576	-0.05	-0.05	
0.0712	-0.05	-0.06	-0.05	-0.04428576	-0.05	-0.05	
0.0714	-0.05	-0.06	-0.05	-0.04428576	-0.05	-0.05	
0.0716	-0.05	-0.06	-0.05	-0.04428576	-0.05	-0.05	
0.0718	-0.05	-0.06	-0.05	-0.04428576	-0.05	-0.05	
0.072	-0.05	-0.06	-0.05	-0.04428576	-0.05	-0.05	
0.0722	-0.05	-0.06	-0.05	-0.04428576	-0.05	-0.05	
0.0724	-0.05	-0.06	-0.05	-0.04428576	-0.05	-0.05	
0.0726	-0.05	-0.06	-0.05	-0.04428576	-0.05	-0.05	
0.0728	-0.05	-0.06	-0.05	-0.04428576	-0.05	-0.05	
0.073	-0.05	-0.06	-0.05	-0.04428576	-0.05	-0.05	
0.07319999	-0.05	-0.06	-0.05	-0.04428576	-0.05	-0.05	
0.0734	-0.05	-0.06	-0.05	-0.04428576	-0.05	-0.05	
