Time	1Vm	2Vm	
0.0626	-0.05970557	-0.06326082	
0.0628	-0.05957037	-0.06303454	
0.063	-0.05979253	-0.06316987	
0.0632	-0.05963578	-0.06327031	
0.0634	-0.05962588	-0.06340534	
0.0636	-0.05966345	-0.06345571	
0.0638	-0.05962925	-0.06352025	
0.064	-0.05974177	-0.06351729	
0.0642	-0.05960551	-0.06339014	
0.06439999	-0.05960204	-0.06340157	
0.0646	-0.0597772	-0.06319872	
0.0648	-0.05992536	-0.06321466	
0.065	-0.06002083	-0.06324118	
0.0652	-0.06004392	-0.06296916	
0.0654	-0.05984446	-0.06294691	
0.0656	-0.05978863	-0.0628637	
0.0658	-0.05985535	-0.06291026	
0.066	-0.05989848	-0.06289867	
0.0662	-0.05999831	-0.06290779	
0.0664	-0.0598504	-0.0627248	
0.06659999	-0.06001091	-0.06266632	
0.0668	-0.06000025	-0.06268068	
0.067	-0.05992386	-0.06277957	
0.0672	-0.05977723	-0.06269836	
0.0674	-0.05989369	-0.06265201	
0.0676	-0.0597143	-0.06258399	
0.0678	-0.05973601	-0.06252152	
0.068	-0.05986952	-0.0623194	
0.0682	-0.06001331	-0.062232	
0.0684	-0.05980429	-0.06202184	
0.0686	-0.0598355	-0.0620951	
0.06879999	-0.0599916	-0.06226093	
0.069	-0.0598717	-0.06206228	
0.0692	-0.05973642	-0.06209714	
0.0694	-0.05981043	-0.0620761	
0.0696	-0.05985194	-0.06203759	
0.0698	-0.05982979	-0.06220163	
0.07	-0.05969814	-0.0623118	
0.0702	-0.05961724	-0.06211403	
0.0704	-0.05952005	-0.06217877	
0.0706	-0.05956452	-0.06224279	
0.0708	-0.05943725	-0.06239399	
0.07099999	-0.05922649	-0.06243389	
0.0712	-0.05931098	-0.06243424	
0.0714	-0.05941523	-0.06220751	
0.0716	-0.05922085	-0.06222612	
0.0718	-0.05905614	-0.06219199	
0.072	-0.05902898	-0.0619847	
0.0722	-0.05920422	-0.06191615	
0.0724	-0.05930172	-0.06173069	
0.0726	-0.05934281	-0.06157655	
0.0728	-0.05926751	-0.06175294	
0.073	-0.05910832	-0.06173365	
0.07319999	-0.05898634	-0.06187371	
0.0734	-0.05890201	-0.06201755	
0.0736	-0.0590602	-0.06197687	
0.0738	-0.05918487	-0.06200627	
0.074	-0.05912655	-0.0619867	
0.0742	-0.05909199	-0.06211171	
0.0744	-0.05911934	-0.06188577	
0.0746	-0.05903849	-0.06175691	
0.0748	-0.05900479	-0.06170725	
0.075	-0.0590203	-0.06150609	
0.0752	-0.05886894	-0.06142714	
0.07539999	-0.05895509	-0.06125275	
0.0756	-0.0590361	-0.06111921	
0.0758	-0.0591705	-0.06112214	
0.076	-0.05914627	-0.0611947	
0.0762	-0.05967782	-0.06136533	
0.0764	-0.06014651	-0.06117073	
0.0766	-0.06045694	-0.06099991	
0.0768	-0.06064549	-0.06094564	
0.077	-0.06090114	-0.06095992	
0.0772	-0.06124486	-0.06101966	
0.0774	-0.0614976	-0.06097942	
0.07759999	-0.06174669	-0.06104589	
0.0778	-0.06182462	-0.06084575	
0.078	-0.06172041	-0.06102111	
0.0782	-0.06192933	-0.06091535	
0.0784	-0.06193791	-0.06093751	
0.0786	-0.06211656	-0.06109231	
0.0788	-0.06211942	-0.06116326	
0.079	-0.06207642	-0.06098983	
0.0792	-0.06224828	-0.06094358	
0.0794	-0.06225281	-0.060814	
0.0796	-0.06219809	-0.06066914	
0.07979999	-0.06212455	-0.06057365	
0.08	-0.06197574	-0.06042646	
0.0802	-0.0620282	-0.06040862	
0.0804	-0.061892	-0.06037711	
0.0806	-0.06214112	-0.06022937	
0.0808	-0.06212123	-0.06020238	
0.081	-0.06232125	-0.06005433	
0.0812	-0.06236472	-0.06022808	
0.0814	-0.06255347	-0.06032995	
0.0816	-0.06242717	-0.06021231	
0.0818	-0.06260119	-0.06017543	
0.08199999	-0.06240204	-0.06009093	
0.0822	-0.06226967	-0.06007233	
0.0824	-0.06229042	-0.05991586	
0.0826	-0.06235383	-0.0599466	
0.0828	-0.06246195	-0.06001506	
0.083	-0.06244961	-0.05999017	
0.0832	-0.06229372	-0.05984557	
0.0834	-0.06235587	-0.05987659	
0.0836	-0.06248336	-0.05970605	
0.0838	-0.06257811	-0.05975206	
0.084	-0.0624012	-0.05983612	
0.08419999	-0.06241735	-0.05973933	
0.0844	-0.06229234	-0.05978423	
0.0846	-0.06225453	-0.05964619	
0.0848	-0.06231343	-0.05985624	
0.085	-0.0624554	-0.05988033	
0.0852	-0.06232114	-0.05989333	
0.0854	-0.06212528	-0.05989435	
0.0856	-0.0619068	-0.059705	
0.0858	-0.06183125	-0.05977278	
0.086	-0.06178529	-0.05967432	
0.0862	-0.06183886	-0.05965028	
0.08639999	-0.06180877	-0.0594571	
0.0866	-0.06187771	-0.05933316	
0.08679999	-0.06183236	-0.05926366	
0.087	-0.06190167	-0.05938161	
0.0872	-0.06198155	-0.05953509	
0.0874	-0.06206898	-0.05957366	
0.0876	-0.06192388	-0.05974414	
0.0878	-0.06192932	-0.05985183	
0.088	-0.06173957	-0.05963182	
0.0882	-0.06166275	-0.05956021	
0.0884	-0.06169306	-0.05974137	
0.08859999	-0.06149037	-0.05989419	
0.0888	-0.0614109	-0.06003489	
0.08899999	-0.06154115	-0.0599995	
0.0892	-0.06156007	-0.05988982	
0.0894	-0.06171715	-0.05972981	
0.0896	-0.06160142	-0.05954341	
0.0898	-0.06171326	-0.05943234	
0.09	-0.06184398	-0.05953358	
0.0902	-0.06186084	-0.05958535	
0.0904	-0.06177143	-0.05936194	
