Time	PendulumX	PendulumY	PendulumZ	Rotation	
0.19	-2.198021	-6.64629	0.000447634	0.3194032	
0.191	-2.211214	-6.641918	0.0004503207	0.321389	
0.192	-2.224399	-6.637519	0.0004530058	0.3233748	
0.193	-2.237575	-6.633094	0.0004556891	0.3253606	
0.194	-2.250742	-6.628643	0.0004583706	0.3273464	
0.195	-2.2639	-6.624166	0.0004610504	0.3293322	
0.196	-2.27705	-6.619662	0.0004637283	0.3313181	
0.197	-2.29019	-6.615132	0.0004664044	0.3333039	
0.198	-2.303321	-6.610576	0.0004690787	0.3352897	
0.199	-2.316444	-6.605995	0.0004717511	0.3372756	
0.2	-2.329557	-6.601387	0.0004744217	0.3392614	
0.201	-2.342661	-6.596753	0.0004770903	0.3412473	
0.202	-2.355756	-6.592093	0.0004797571	0.3432331	
0.203	-2.368841	-6.587407	0.000482422	0.3452189	
0.204	-2.381917	-6.582695	0.000485085	0.3472047	
0.205	-2.394984	-6.577957	0.000487746	0.3491905	
0.206	-2.408041	-6.573194	0.0004904051	0.3511763	
0.207	-2.421088	-6.568404	0.0004930623	0.3531621	
0.208	-2.434126	-6.563589	0.0004957174	0.3551478	
0.209	-2.447154	-6.558747	0.0004983706	0.3571335	
0.21	-2.460172	-6.55388	0.0005010217	0.3591192	
0.211	-2.47318	-6.548987	0.0005036709	0.3611048	
0.212	-2.486178	-6.544069	0.0005063181	0.3630905	
0.213	-2.499166	-6.539124	0.0005089631	0.3650761	
0.214	-2.512145	-6.534154	0.0005116062	0.3670617	
0.215	-2.525113	-6.529159	0.0005142472	0.3690472	
0.216	-2.538071	-6.524137	0.0005168861	0.3710327	
0.217	-2.551018	-6.51909	0.0005195229	0.3730182	
0.218	-2.563956	-6.514018	0.0005221577	0.3750036	
0.219	-2.576883	-6.508919	0.0005247903	0.376989	
0.22	-2.589799	-6.503796	0.0005274208	0.3789743	
0.221	-2.602705	-6.498646	0.0005300492	0.3809597	
0.222	-2.615601	-6.493472	0.0005326754	0.3829449	
0.223	-2.628486	-6.488271	0.0005352995	0.3849302	
0.224	-2.641361	-6.483046	0.0005379214	0.3869153	
0.225	-2.654224	-6.477795	0.0005405411	0.3889005	
0.226	-2.667077	-6.472518	0.0005431586	0.3908856	
0.227	-2.679919	-6.467216	0.0005457739	0.3928706	
0.228	-2.69275	-6.461889	0.000548387	0.3948556	
0.229	-2.70557	-6.456536	0.0005509979	0.3968405	
0.23	-2.718379	-6.451159	0.0005536065	0.3988254	
0.231	-2.731178	-6.445755	0.0005562129	0.4008102	
0.232	-2.743964	-6.440327	0.000558817	0.402795	
0.233	-2.75674	-6.434874	0.0005614189	0.4047797	
0.234	-2.769505	-6.429395	0.0005640184	0.4067644	
0.235	-2.782259	-6.423891	0.0005666157	0.408749	
0.236	-2.795001	-6.418362	0.0005692107	0.4107335	
0.237	-2.807731	-6.412807	0.0005718033	0.412718	
0.238	-2.820451	-6.407228	0.0005743936	0.4147024	
0.239	-2.833158	-6.401624	0.0005769816	0.4166868	
0.24	-2.845855	-6.395994	0.0005795672	0.4186711	
0.241	-2.858539	-6.39034	0.0005821505	0.4206554	
0.242	-2.871212	-6.384661	0.0005847314	0.4226396	
0.243	-2.883873	-6.378956	0.0005873099	0.4246237	
0.244	-2.896523	-6.373227	0.000589886	0.4266078	
0.245	-2.909161	-6.367473	0.0005924597	0.4285918	
0.246	-2.921787	-6.361693	0.000595031	0.4305758	
0.247	-2.934401	-6.35589	0.0005975999	0.4325596	
0.248	-2.947003	-6.350061	0.0006001663	0.4345434	
0.249	-2.959593	-6.344207	0.0006027304	0.4365272	
0.25	-2.972171	-6.338329	0.0006052919	0.4385109	
0.251	-2.984736	-6.332426	0.000607851	0.4404945	
0.252	-2.99729	-6.326498	0.0006104076	0.4424781	
0.253	-3.009832	-6.320546	0.0006129617	0.4444616	
0.254	-3.022361	-6.314569	0.0006155133	0.446445	
0.255	-3.034878	-6.308567	0.0006180624	0.4484283	
0.256	-3.047382	-6.30254	0.000620609	0.4504116	
0.257	-3.059874	-6.29649	0.0006231531	0.4523948	
0.258	-3.072354	-6.290414	0.0006256946	0.454378	
0.259	-3.084821	-6.284314	0.0006282335	0.4563611	
0.26	-3.097276	-6.27819	0.0006307699	0.4583441	
0.261	-3.109718	-6.27204	0.0006333038	0.460327	
0.262	-3.122147	-6.265867	0.0006358351	0.4623099	
0.263	-3.134563	-6.259669	0.0006383637	0.4642927	
0.264	-3.146967	-6.253447	0.0006408898	0.4662754	
0.265	-3.159358	-6.2472	0.0006434133	0.4682581	
0.266	-3.171736	-6.240929	0.0006459341	0.4702407	
0.267	-3.184102	-6.234634	0.0006484523	0.4722232	
0.268	-3.196454	-6.228314	0.0006509679	0.4742056	
