Time	PendulumX	PendulumY	PendulumZ	Rotation	
0.18	0.159936	-6.998174	-3.256927E-05	-0.02285	
0.181	0.1617159	-6.998133	-3.293198E-05	-0.02310433	
0.182	0.1635054	-6.998091	-3.329667E-05	-0.02336005	
0.183	0.1653047	-6.998049	-3.366332E-05	-0.02361716	
0.184	0.1671137	-6.998006	-3.403193E-05	-0.02387566	
0.185	0.1689324	-6.997962	-3.44025E-05	-0.02413555	
0.186	0.1707609	-6.997918	-3.477503E-05	-0.02439683	
0.187	0.172599	-6.997873	-3.514951E-05	-0.0246595	
0.188	0.1744469	-6.997827	-3.5524E-05	-0.02492356	
0.189	0.1763044	-6.99778	-3.590239E-05	-0.02518901	
0.19	0.1781716	-6.997733	-3.628283E-05	-0.02545585	
0.191	0.1800486	-6.997685	-3.666527E-05	-0.02572407	
0.192	0.1819353	-6.997636	-3.704971E-05	-0.02599368	
0.193	0.1838316	-6.997587	-3.743612E-05	-0.02626467	
0.194	0.1857376	-6.997537	-3.78245E-05	-0.02653706	
0.195	0.1876533	-6.997486	-3.821484E-05	-0.02681083	
0.196	0.1895787	-6.997434	-3.860713E-05	-0.02708599	
0.197	0.1915138	-6.997381	-3.899942E-05	-0.02736253	
0.198	0.1934585	-6.997327	-3.93956E-05	-0.02764046	
0.199	0.1954129	-6.997273	-3.979382E-05	-0.02791977	
0.2	0.197377	-6.997218	-4.019405E-05	-0.02820046	
0.201	0.1993508	-6.997162	-4.059625E-05	-0.02848254	
0.202	0.2013342	-6.997105	-4.100042E-05	-0.028766	
0.203	0.2033273	-6.997047	-4.140655E-05	-0.02905085	
0.204	0.2053301	-6.996989	-4.181463E-05	-0.02933707	
0.205	0.2073425	-6.99693	-4.222466E-05	-0.02962469	
0.206	0.2093645	-6.99687	-4.263469E-05	-0.02991367	
0.207	0.2113962	-6.996809	-4.304859E-05	-0.03020404	
0.208	0.2134375	-6.996747	-4.346452E-05	-0.0304958	
0.209	0.2154885	-6.996684	-4.388244E-05	-0.03078893	
0.21	0.2175491	-6.99662	-4.430235E-05	-0.03108344	
0.211	0.2196194	-6.996555	-4.472421E-05	-0.03137933	
0.212	0.2216993	-6.99649	-4.514802E-05	-0.03167661	
0.213	0.2237888	-6.996423	-4.557378E-05	-0.03197526	
0.214	0.2258879	-6.996356	-4.600147E-05	-0.03227529	
0.215	0.2279966	-6.996287	-4.643111E-05	-0.0325767	
0.216	0.230115	-6.996218	-4.686268E-05	-0.03287949	
0.217	0.232243	-6.996148	-4.729619E-05	-0.03318365	
0.218	0.2343806	-6.996077	-4.77297E-05	-0.03348919	
0.219	0.2365278	-6.996005	-4.816708E-05	-0.03379611	
0.22	0.2386846	-6.995931	-4.860648E-05	-0.0341044	
0.221	0.240851	-6.995857	-4.904788E-05	-0.03441406	
0.222	0.2430269	-6.995781	-4.949124E-05	-0.0347251	
0.223	0.2452125	-6.995705	-4.993656E-05	-0.03503752	
0.224	0.2474077	-6.995628	-5.038382E-05	-0.03535131	
0.225	0.2496125	-6.99555	-5.083302E-05	-0.03566647	
0.226	0.2518268	-6.995471	-5.128415E-05	-0.03598301	
0.227	0.2540507	-6.99539	-5.173722E-05	-0.03630092	
0.228	0.2562842	-6.995309	-5.219222E-05	-0.0366202	
0.229	0.2585272	-6.995226	-5.264915E-05	-0.03694085	
0.23	0.2607798	-6.995143	-5.310801E-05	-0.03726287	
0.231	0.263042	-6.995058	-5.356685E-05	-0.03758626	
0.232	0.2653137	-6.994972	-5.402957E-05	-0.03791102	
0.233	0.267595	-6.994885	-5.449431E-05	-0.03823716	
0.234	0.2698859	-6.994797	-5.496103E-05	-0.03856466	
0.235	0.2721862	-6.994708	-5.54297E-05	-0.03889354	
0.236	0.2744962	-6.994618	-5.590033E-05	-0.03922378	
0.237	0.2768156	-6.994526	-5.637289E-05	-0.03955539	
0.238	0.2791446	-6.994434	-5.684738E-05	-0.03988836	
0.239	0.2814831	-6.99434	-5.732379E-05	-0.04022271	
0.24	0.2838312	-6.994245	-5.780213E-05	-0.04055842	
0.241	0.2861888	-6.994149	-5.82824E-05	-0.04089549	
0.242	0.2885558	-6.994052	-5.876458E-05	-0.04123393	
0.243	0.2909324	-6.993954	-5.924869E-05	-0.04157374	
0.244	0.2933185	-6.993854	-5.973472E-05	-0.0419149	
0.245	0.2957142	-6.993753	-6.022268E-05	-0.04225743	
0.246	0.2981193	-6.993651	-6.07106E-05	-0.04260133	
0.247	0.3005339	-6.993547	-6.120239E-05	-0.04294659	
0.248	0.302958	-6.993443	-6.16962E-05	-0.04329321	
0.249	0.3053916	-6.993337	-6.219198E-05	-0.04364119	
0.25	0.3078347	-6.99323	-6.26897E-05	-0.04399054	
0.251	0.3102872	-6.993122	-6.318936E-05	-0.04434125	
0.252	0.3127493	-6.993012	-6.369095E-05	-0.04469332	
0.253	0.3152208	-6.992901	-6.419446E-05	-0.04504675	
0.254	0.3177018	-6.992789	-6.469988E-05	-0.04540154	
0.255	0.3201922	-6.992675	-6.520722E-05	-0.04575769	
0.256	0.3226921	-6.99256	-6.571646E-05	-0.04611519	
0.257	0.3252014	-6.992444	-6.622761E-05	-0.04647407	
0.258	0.3277202	-6.992326	-6.674068E-05	-0.04683429	
0.259	0.3302485	-6.992208	-6.725565E-05	-0.04719586	
0.26	0.3327861	-6.992087	-6.777253E-05	-0.04755879	
0.261	0.3353333	-6.991966	-6.828937E-05	-0.04792308	
0.262	0.3378898	-6.991843	-6.881007E-05	-0.04828872	
0.263	0.3404558	-6.991718	-6.933276E-05	-0.04865571	
0.264	0.3430312	-6.991592	-6.985741E-05	-0.04902407	
0.265	0.345616	-6.991465	-7.038401E-05	-0.04939378	
0.266	0.3482102	-6.991336	-7.091252E-05	-0.04976484	
0.267	0.3508138	-6.991206	-7.144294E-05	-0.05013725	
0.268	0.3534269	-6.991075	-7.197526E-05	-0.05051101	
0.269	0.3560493	-6.990942	-7.250949E-05	-0.05088612	
0.27	0.3586811	-6.990807	-7.304562E-05	-0.05126258	
0.271	0.3613223	-6.990671	-7.358364E-05	-0.0516404	
0.272	0.3639729	-6.990534	-7.412356E-05	-0.05201956	
0.273	0.3666329	-6.990395	-7.466537E-05	-0.05240007	
0.274	0.3693022	-6.990254	-7.520713E-05	-0.05278194	
0.275	0.3719809	-6.990112	-7.575273E-05	-0.05316516	
0.276	0.374669	-6.989968	-7.63003E-05	-0.05354972	
0.277	0.3773665	-6.989823	-7.684982E-05	-0.05393563	
0.278	0.3800732	-6.989677	-7.740127E-05	-0.05432288	
0.279	0.3827894	-6.989529	-7.795462E-05	-0.05471148	
0.28	0.3855149	-6.989379	-7.850987E-05	-0.05510142	
0.281	0.3882497	-6.989227	-7.9067E-05	-0.0554927	
0.282	0.3909939	-6.989074	-7.962603E-05	-0.05588533	
0.283	0.3937474	-6.98892	-8.018694E-05	-0.05627931	
0.284	0.3965102	-6.988763	-8.074973E-05	-0.05667462	
0.285	0.3992823	-6.988605	-8.13144E-05	-0.05707128	
0.286	0.4020638	-6.988446	-8.1879E-05	-0.05746928	
0.287	0.4048545	-6.988285	-8.244743E-05	-0.05786862	
0.288	0.4076546	-6.988122	-8.301782E-05	-0.0582693	
0.289	0.4104639	-6.987958	-8.359014E-05	-0.05867132	
0.29	0.4132825	-6.987792	-8.416437E-05	-0.05907469	
0.291	0.4161105	-6.987624	-8.47405E-05	-0.05947939	
0.292	0.4189477	-6.987454	-8.53185E-05	-0.05988544	
0.293	0.4217942	-6.987283	-8.589839E-05	-0.06029281	
0.294	0.42465	-6.98711	-8.648016E-05	-0.06070152	
0.295	0.427515	-6.986936	-8.706379E-05	-0.06111158	
0.296	0.4303893	-6.986759	-8.764929E-05	-0.06152297	
0.297	0.4332729	-6.986581	-8.823666E-05	-0.06193569	
0.298	0.4361657	-6.986401	-8.882589E-05	-0.06234974	
0.299	0.4390677	-6.986219	-8.9417E-05	-0.06276514	
0.3	0.441979	-6.986036	-9.000802E-05	-0.06318187	
0.301	0.4448995	-6.98585	-9.060286E-05	-0.06359992	
0.302	0.4478293	-6.985663	-9.119965E-05	-0.06401931	
0.303	0.4507682	-6.985475	-9.179835E-05	-0.06444002	
0.304	0.4537164	-6.985284	-9.239894E-05	-0.06486207	
0.305	0.4566738	-6.985091	-9.300142E-05	-0.06528544	
0.306	0.4596404	-6.984897	-9.360577E-05	-0.06571016	
0.307	0.4626162	-6.9847	-9.421198E-05	-0.06613619	
0.308	0.4656012	-6.984502	-9.482005E-05	-0.06656355	
0.309	0.4685954	-6.984302	-9.542997E-05	-0.06699226	
0.31	0.4715988	-6.984099	-9.604175E-05	-0.06742229	
0.311	0.4746113	-6.983895	-9.665538E-05	-0.06785364	
0.312	0.477633	-6.983689	-9.727086E-05	-0.06828631	
0.313	0.4806639	-6.983481	-9.788819E-05	-0.06872031	
0.314	0.4837039	-6.983272	-9.850543E-05	-0.06915563	
0.315	0.4867531	-6.98306	-9.912646E-05	-0.06959228	
0.316	0.4898115	-6.982846	-9.974943E-05	-0.07003026	
0.317	0.4928789	-6.98263	-0.0001003743	-0.07046956	
0.318	0.4959555	-6.982412	-0.0001010011	-0.07091016	
0.319	0.4990413	-6.982192	-0.0001016297	-0.07135209	
0.32	0.5021361	-6.98197	-0.0001022601	-0.07179535	
0.321	0.5052401	-6.981747	-0.0001028925	-0.07223992	
0.322	0.5083532	-6.981521	-0.0001035266	-0.07268582	
0.323	0.5114754	-6.981293	-0.0001041626	-0.07313304	
0.324	0.5146067	-6.981062	-0.0001048004	-0.07358158	
0.325	0.517747	-6.98083	-0.0001054401	-0.07403143	
0.326	0.5208965	-6.980596	-0.0001060816	-0.0744826	
