Time	Length	Ia	II	
3.112	0.50998	56.73051	165.0265	
3.113	0.50998	56.72908	165.0269	
3.114	0.50998	56.72765	165.0274	
3.115	0.50998	56.72623	165.0279	
3.116	0.50998	56.72481	165.0283	
3.117	0.50998	56.7234	165.0288	
3.118	0.50998	56.722	165.0293	
3.119	0.50998	56.7206	165.0297	
3.12	0.50998	56.7192	165.0302	
3.121	0.50998	56.71782	165.0306	
3.122	0.50998	56.71643	165.0311	
3.123	0.50998	56.71506	165.0315	
3.124	0.50998	56.71369	165.032	
3.125	0.50998	56.71232	165.0324	
3.126	0.50998	56.71096	165.0329	
3.127	0.50998	56.70961	165.0333	
3.128	0.50998	56.70826	165.0338	
3.129	0.50998	56.70691	165.0342	
3.13	0.50998	56.70557	165.0346	
3.131	0.50998	56.70424	165.035	
3.132	0.50998	56.70291	165.0355	
3.133	0.50998	56.70159	165.0359	
3.134	0.50998	56.70027	165.0363	
3.135	0.50998	56.69896	165.0368	
3.136	0.50998	56.69765	165.0372	
3.137	0.50998	56.69635	165.0376	
3.138	0.50998	56.69506	165.0381	
3.139	0.50998	56.69376	165.0385	
3.14	0.50998	56.69248	165.0389	
3.141	0.50998	56.6912	165.0393	
3.142	0.50998	56.68992	165.0397	
3.143	0.50998	56.68865	165.0402	
3.144	0.50998	56.68739	165.0406	
3.145	0.50998	56.68613	165.041	
3.146	0.50998	56.68487	165.0414	
3.147	0.50998	56.68362	165.0418	
3.148	0.50998	56.68237	165.0422	
3.149	0.50998	56.68114	165.0426	
3.15	0.50998	56.6799	165.043	
3.151	0.50998	56.67867	165.0434	
3.152	0.50998	56.67744	165.0438	
3.153	0.50998	56.67622	165.0442	
3.154	0.50998	56.675	165.0446	
3.155	0.50998	56.6738	165.045	
3.156	0.50998	56.67259	165.0454	
3.157	0.50998	56.67139	165.0458	
3.158	0.50998	56.67019	165.0462	
3.159	0.50998	56.669	165.0466	
3.16	0.50998	56.66781	165.047	
3.161	0.50998	56.66663	165.0474	
3.162	0.50998	56.66545	165.0477	
3.163	0.50998	56.66428	165.0481	
3.164	0.50998	56.66311	165.0485	
3.165	0.50998	56.66195	165.0489	
3.166	0.50998	56.66079	165.0493	
3.167	0.50998	56.65963	165.0497	
3.168	0.50998	56.65849	165.05	
3.169	0.50998	56.65734	165.0504	
3.17	0.50998	56.6562	165.0508	
3.171	0.50998	56.65506	165.0511	
3.172	0.50998	56.65393	165.0515	
3.173	0.50998	56.65281	165.0519	
3.174	0.50998	56.65168	165.0522	
3.175	0.50998	56.65057	165.0526	
3.176	0.50998	56.64946	165.053	
3.177	0.50998	56.64835	165.0533	
3.178	0.50998	56.64724	165.0537	
3.179	0.50998	56.64614	165.0541	
3.18	0.50998	56.64505	165.0544	
3.181	0.50998	56.64396	165.0548	
3.182	0.50998	56.64287	165.0551	
3.183	0.50998	56.64178	165.0555	
3.184	0.50998	56.64071	165.0558	
3.185	0.50998	56.63963	165.0562	
3.186	0.50998	56.63856	165.0565	
3.187	0.50998	56.6375	165.0569	
3.188	0.50998	56.63644	165.0572	
3.189	0.50998	56.63538	165.0576	
3.19	0.50998	56.63433	165.0579	
3.191	0.50998	56.63328	165.0583	
3.192	0.50998	56.63224	165.0586	
3.193	0.50998	56.6312	165.059	
3.194	0.50998	56.63016	165.0593	
3.195	0.50998	56.62913	165.0596	
3.196	0.50998	56.6281	165.06	
3.197	0.50998	56.62708	165.0603	
3.198	0.50998	56.62606	165.0606	
3.199	0.50998	56.62505	165.061	
3.2	0.50998	56.62403	165.0613	
3.201	0.50998	56.62303	165.0616	
3.202	0.50998	56.62202	165.062	
3.203	0.50998	56.62103	165.0623	
3.204	0.50998	56.62003	165.0626	
3.205	0.50998	56.61904	165.0629	
3.206	0.50998	56.61805	165.0633	
3.207	0.50998	56.61707	165.0636	
3.208	0.50998	56.61609	165.0639	
3.209	0.50998	56.61511	165.0642	
3.21	0.50998	56.61414	165.0645	
3.211	0.50998	56.61317	165.0649	
3.212	0.50998	56.61221	165.0652	
3.213	0.50998	56.61125	165.0655	
3.214	0.50998	56.6103	165.0658	
3.215	0.50998	56.60934	165.0661	
3.216	0.50998	56.60839	165.0664	
3.217	0.50998	56.60745	165.0667	
3.218	0.50998	56.60651	165.067	
3.219	0.50998	56.60557	165.0674	
3.22	0.50998	56.60464	165.0676	
3.221	0.50998	56.60371	165.068	
3.222	0.50998	56.60278	165.0683	
3.223	0.50998	56.60186	165.0686	
3.224	0.50998	56.60094	165.0689	
3.225	0.50998	56.60003	165.0692	
