Time	Child_Y	Joint_Y	Root_Y	
0.4219981	2.124428	2.224428	0.1244279	
0.4229981	2.120278	2.220279	0.1202783	
0.4239981	2.116119	2.216119	0.1161189	
0.4249981	2.11195	2.21195	0.1119496	
0.4259981	2.107771	2.207771	0.1077706	
0.426998	2.103582	2.203582	0.1035817	
0.427998	2.099383	2.199383	0.099383	
0.428998	2.095943	2.195944	0.09913459	
0.429998	2.092591	2.192546	0.09925579	
0.430998	2.089251	2.189107	0.09942051	
0.431998	2.085909	2.185612	0.09957337	
0.432998	2.082563	2.182059	0.09971194	
0.433998	2.079215	2.178447	0.09983598	
0.4349979	2.075865	2.174776	0.09994524	
0.4359979	2.072513	2.171045	0.1000394	
0.4369979	2.069159	2.167253	0.1001182	
0.4379979	2.065807	2.1634	0.1001854	
0.4389979	2.062459	2.159488	0.1002448	
0.4399979	2.059117	2.155516	0.1002974	
0.4409979	2.055784	2.151484	0.1003442	
0.4419979	2.052459	2.147391	0.1003855	
0.4429978	2.049145	2.143236	0.100422	
0.4439978	2.045843	2.139019	0.1004545	
0.4449978	2.042554	2.134739	0.1004838	
0.4459978	2.039281	2.130396	0.1005102	
0.4469978	2.036024	2.125991	0.1005338	
0.4479978	2.032785	2.121523	0.1005548	
0.4489978	2.029566	2.116994	0.1005734	
0.4499978	2.026368	2.112405	0.1005897	
0.4509977	2.023193	2.107758	0.1006036	
0.4519977	2.020043	2.103055	0.1006155	
0.4529977	2.016919	2.098298	0.1006252	
0.4539977	2.013821	2.093492	0.1006329	
0.4549977	2.010752	2.088639	0.1006387	
0.4559977	2.007713	2.083745	0.1006428	
0.4569977	2.004703	2.078815	0.1006452	
0.4579976	2.001723	2.073852	0.1006462	
0.4589976	1.998774	2.068864	0.1006458	
0.4599976	1.995824	2.065741	0.1007035	
0.4609976	1.992853	2.06299	0.1007727	
0.4619976	1.989869	2.060224	0.1008393	
0.4629976	1.986877	2.05745	0.1009043	
0.4639976	1.983877	2.054668	0.1009684	
0.4649976	1.980869	2.051878	0.1010317	
0.4659975	1.977853	2.04908	0.1010943	
0.4669975	1.974827	2.046271	0.1011475	
0.4679975	1.971795	2.043458	0.1012093	
0.4689975	1.968756	2.040637	0.1012711	
0.4699975	1.96571	2.037808	0.1013322	
0.4709975	1.962655	2.034971	0.1013925	
0.4719975	1.959592	2.032125	0.101452	
0.4729975	1.956521	2.029272	0.1015108	
0.4739974	1.95344	2.026407	0.1015604	
0.4749974	1.950354	2.023537	0.1016185	
0.4759974	1.94726	2.020659	0.1016767	
0.4769974	1.944158	2.017773	0.1017342	
0.4779974	1.941048	2.014878	0.1017909	
0.4789974	1.93793	2.011975	0.1018469	
0.4799974	1.934801	2.009061	0.1018936	
0.4809974	1.931667	2.00614	0.1019489	
0.4819973	1.928525	2.003212	0.1020043	
0.4829973	1.925375	2.000275	0.1020589	
0.4839973	1.922216	1.997329	0.1021128	
0.4849973	1.91905	1.994374	0.102166	
