Time	BoxContact	BoxSensor	BoxSensorX	BoxSensorY	CylinderContact	CylinderSensor	CylinderSensorX	CylinderSensorY	
0.058	-0.07	0	-0.02809259	-0.551553	-0.07	0	0.06387639	-0.3477351	
0.0584	-0.07	0	-0.0277838	-0.5515686	-0.07	0	0.06407106	-0.3476993	
0.0588	-0.07	0	-0.02747288	-0.5515842	-0.07	0	0.06426704	-0.3476631	
0.0592	-0.07	0	-0.02715985	-0.5515997	-0.07	0	0.06446433	-0.3476266	
0.0596	-0.07	0	-0.0268447	-0.5516151	-0.07	0	0.06466293	-0.3475897	
0.06	-0.07	0	-0.02652743	-0.5516304	-0.07	0	0.06486284	-0.3475524	
0.0604	-0.07	0	-0.02620805	-0.5516457	-0.07	0	0.06506405	-0.3475148	
0.0608	-0.07	0	-0.02588654	-0.5516609	-0.07	0	0.06526657	-0.3474768	
0.0612	-0.07	0	-0.02556293	-0.551676	-0.07	0	0.06547039	-0.3474385	
0.0616	-0.07	0	-0.02523719	-0.5516909	-0.07	0	0.06567552	-0.3473998	
0.062	-0.07	0	-0.02490935	-0.5517058	-0.07	0	0.06588195	-0.3473607	
0.0624	-0.07	0	-0.0245794	-0.5517206	-0.07	0	0.06608968	-0.3473212	
0.0628	-0.07	0	-0.02424734	-0.5517353	-0.07	0	0.0662987	-0.3472814	
0.0632	-0.07	0	-0.02391318	-0.5517499	-0.07	0	0.06650902	-0.3472412	
0.0636	-0.07	0	-0.02357691	-0.5517644	-0.07	0	0.06672063	-0.3472006	
0.064	-0.07	0	-0.02323853	-0.5517787	-0.07	0	0.06693355	-0.3471596	
0.06439999	-0.07	0	-0.02289805	-0.551793	-0.07	0	0.06714775	-0.3471182	
0.0648	-0.07	0	-0.02255547	-0.551807	-0.07	0	0.06736324	-0.3470764	
0.0652	-0.07	0	-0.02221079	-0.5518211	-0.07	0	0.06758002	-0.3470343	
0.0656	-0.07	0	-0.021864	-0.5518349	-0.07	0	0.0677981	-0.3469917	
0.066	-0.07	0	-0.02151512	-0.5518486	-0.07	0	0.06801745	-0.3469488	
0.0664	-0.07	0	-0.02116414	-0.5518622	-0.07	0	0.0682381	-0.3469055	
0.0668	-0.07	0	-0.02081107	-0.5518756	-0.07	0	0.06846003	-0.3468617	
0.0672	-0.07	0	-0.0204559	-0.5518889	-0.07	0	0.06868324	-0.3468176	
0.0676	-0.07	0	-0.02009865	-0.551902	-0.07	0	0.06890773	-0.3467731	
0.068	-0.07	0	-0.01973931	-0.551915	-0.07	0	0.0691335	-0.3467281	
0.0684	-0.07	0	-0.01937786	-0.5519277	-0.07	0	0.06936055	-0.3466828	
0.06879999	-0.07	0	-0.01901434	-0.5519404	-0.07	1	0.06958887	-0.346637	
0.0692	-0.07	0	-0.01864873	-0.5519529	-0.07	1	0.06981847	-0.3465908	
0.0696	-0.07	0	-0.01828104	-0.5519652	-0.07	1	0.07004934	-0.3465443	
0.07	-0.07	0	-0.01791125	-0.5519773	-0.07	1	0.07028148	-0.3464973	
0.0704	-0.07	0	-0.01753939	-0.5519893	-0.07	1	0.0705149	-0.3464498	
0.0708	-0.07	0	-0.01716545	-0.5520009	-0.07	1	0.07074957	-0.346402	
0.0712	-0.07	0	-0.01678943	-0.5520126	-0.07	1	0.07098553	-0.3463537	
0.0716	-0.07	0	-0.01641133	-0.5520239	-0.05	1	0.07122274	-0.346305	
0.072	-0.07	0	-0.01603116	-0.552035	-0.05	1	0.07146122	-0.3462559	
0.0724	-0.07	0	-0.01564891	-0.552046	-0.05	1	0.07170095	-0.3462063	
0.0728	-0.07	0	-0.0152646	-0.5520568	-0.05	1	0.07194196	-0.3461563	
0.07319999	-0.07	0	-0.01487821	-0.5520673	-0.05	1	0.07218421	-0.3461058	
0.0736	-0.07	0	-0.01448976	-0.5520777	-0.034	1	0.07242773	-0.346055	
0.074	-0.07	0	-0.01409923	-0.5520878	-0.034	1	0.07267249	-0.3460036	
0.0744	-0.07	0	-0.01370664	-0.5520977	-0.034	1	0.07291852	-0.3459519	
0.0748	-0.07	0	-0.01331199	-0.5521073	-0.034	1	0.0731658	-0.3458997	
0.0752	-0.07	0	-0.01291528	-0.5521168	-0.034	1	0.07341432	-0.345847	
0.0756	-0.07	0	-0.0125165	-0.5521259	-0.0212	1	0.07366409	-0.3457939	
0.076	-0.07	0	-0.01211567	-0.5521349	-0.0212	1	0.07391511	-0.3457403	
0.0764	-0.07	0	-0.01171277	-0.5521435	-0.0212	1	0.07416737	-0.3456863	
0.0768	-0.07	0	-0.01130783	-0.552152	-0.0212	1	0.07442088	-0.3456318	
0.0772	-0.07	0	-0.01090084	-0.5521602	-0.0212	1	0.07467563	-0.3455769	
0.07759999	-0.07	0	-0.01049178	-0.5521681	-0.01096	1	0.07493161	-0.3455214	
0.078	-0.07	0	-0.01008068	-0.5521757	-0.01096	1	0.07518884	-0.3454655	
0.0784	-0.07	0	-0.009667531	-0.5521831	-0.01096	1	0.0754473	-0.3454092	
0.0788	-0.07	0	-0.009252332	-0.5521902	-0.01096	1	0.075707	-0.3453524	
0.0792	-0.07	0	-0.008835094	-0.5521971	-0.01096	1	0.07596793	-0.345295	
0.0796	-0.07	0	-0.008415815	-0.5522036	-0.002768002	1	0.07623008	-0.3452373	
0.08	-0.07	0	-0.007994488	-0.5522099	-0.002768002	1	0.07649347	-0.345179	
0.0804	-0.07	0	-0.007571124	-0.5522158	-0.002768002	1	0.07675809	-0.3451203	
0.0808	-0.07	0	-0.007145728	-0.5522215	-0.002768002	1	0.07702392	-0.345061	
0.0812	-0.07	0	-0.006718294	-0.5522268	-0.002768002	1	0.07729098	-0.3450013	
0.0816	-0.07	0	-0.006288833	-0.5522319	0.003785595	1	0.07755926	-0.344941	
0.08199999	-0.07	0	-0.005857339	-0.5522367	0.003785595	1	0.07782876	-0.3448803	
0.0824	-0.07	0	-0.005423809	-0.552241	0.003785595	1	0.07809948	-0.3448191	
0.0828	-0.07	0	-0.004988256	-0.5522451	0.003785595	1	0.07837142	-0.3447574	
0.0832	-0.07	0	-0.004550686	-0.5522489	0.003785595	1	0.07864457	-0.3446952	
0.0836	-0.07	0	-0.004111089	-0.5522524	0.009028472	1	0.07891893	-0.3446325	
0.084	-0.07	0	-0.003669468	-0.5522555	0.009028472	1	0.07919449	-0.3445693	
0.0844	-0.07	0	-0.003225827	-0.5522583	0.009028472	1	0.07947126	-0.3445055	
0.0848	-0.07	0	-0.00278017	-0.5522606	0.009028472	1	0.07974924	-0.3444413	
0.0852	-0.07	0	-0.002332502	-0.5522627	0.009028472	1	0.08002842	-0.3443765	
0.0856	-0.07	0	-0.001882818	-0.5522645	0.01322278	1	0.08030881	-0.3443112	
0.086	-0.07	0	-0.001431126	-0.5522658	0.01322278	1	0.08059039	-0.3442454	
0.08639999	-0.07	0	-0.000977432	-0.5522668	0.01322278	1	0.08087317	-0.3441791	
0.08679999	-0.07	0	-0.0005217236	-0.5522674	0.01322278	1	0.08115714	-0.3441122	
0.0872	-0.07	0	-6.400869E-05	-0.5522677	0.01322278	1	0.08144231	-0.3440449	
0.0876	-0.07	0	0.0003957071	-0.5522675	0.01657822	1	0.08172867	-0.3439769	
0.088	-0.07	0	0.0008574192	-0.552267	0.01657822	1	0.08201621	-0.3439085	
0.0884	-0.07	0	0.001321128	-0.5522661	0.01657822	1	0.08230495	-0.3438395	
0.0888	-0.07	0	0.001786831	-0.5522648	0.01657822	1	0.08259486	-0.34377	
0.0892	-0.07	0	0.002254531	-0.552263	0.01657822	1	0.08288597	-0.3436999	
0.0896	-0.07	0	0.002724215	-0.5522609	0.01926257	1	0.08317824	-0.3436293	
0.09	-0.07	0	0.00319589	-0.5522584	0.01926257	1	0.08347171	-0.3435581	
0.0904	-0.07	0	0.00366956	-0.5522555	0.01926257	1	0.08376634	-0.3434864	
0.09079999	-0.07	0	0.004145205	-0.5522521	0.01926257	1	0.08406215	-0.3434141	
0.09119999	-0.07	0	0.004622836	-0.5522482	0.01926257	1	0.08435913	-0.3433413	
0.0916	-0.07	0	0.005102449	-0.5522441	0.02141006	1	0.08465728	-0.3432679	
0.092	-0.07	0	0.005584033	-0.5522394	0.02141006	1	0.0849566	-0.3431939	
0.0924	-0.07	0	0.006067591	-0.5522343	0.02141006	1	0.08525708	-0.3431194	
0.0928	-0.07	0	0.006553117	-0.5522287	0.02141006	1	0.08555872	-0.3430443	
0.0932	-0.07	0	0.007040623	-0.5522227	0.02141006	1	0.08586153	-0.3429686	
0.0936	-0.07	0	0.007530092	-0.5522162	0.02312804	1	0.08616549	-0.3428924	
0.094	-0.07	0	0.008021525	-0.5522093	0.02312804	1	0.0864706	-0.3428156	
0.0944	-0.07	0	0.008514917	-0.5522019	0.02312804	1	0.08677687	-0.3427382	
0.0948	-0.07	0	0.009010269	-0.5521941	0.02312804	1	0.08708429	-0.3426602	
0.09519999	-0.07	0	0.009507581	-0.5521857	0.02312804	1	0.08739287	-0.3425816	
0.09559999	-0.07	0	0.01000684	-0.5521769	0.02450243	1	0.08770258	-0.3425024	
0.096	-0.07	0	0.01050806	-0.5521676	0.02450243	1	0.08801344	-0.3424227	
0.0964	-0.07	0	0.01101123	-0.5521578	0.02450243	1	0.08832544	-0.3423423	
0.0968	-0.07	0	0.01151634	-0.5521474	0.02450243	1	0.08863858	-0.3422614	
0.0972	-0.07	0	0.0120234	-0.5521366	0.02450243	1	0.08895286	-0.3421798	
0.0976	-0.07	0	0.0125324	-0.5521253	0.02560195	1	0.08926827	-0.3420977	
0.098	-0.07	0	0.01304334	-0.5521135	0.02560195	1	0.08958482	-0.3420149	
0.0984	-0.07	0	0.01355622	-0.5521011	0.02560195	1	0.0899025	-0.3419316	
0.0988	-0.07	0	0.01407104	-0.5520882	0.02560195	1	0.0902213	-0.3418475	
0.0992	-0.07	0	0.01458776	-0.5520748	0.02560195	1	0.09054122	-0.341763	
0.09959999	-0.07	0	0.01510643	-0.5520608	0.02648155	1	0.09086227	-0.3416778	
0.09999999	-0.07	0	0.01562704	-0.5520464	0.02648155	1	0.09118444	-0.3415919	
0.1004	-0.07	0	0.01614956	-0.5520313	0.02648155	1	0.09150773	-0.3415054	
0.1008	-0.07	0	0.016674	-0.5520157	0.02648155	1	0.09183212	-0.3414183	
0.1012	-0.07	0	0.01720036	-0.5519996	0.02648155	1	0.09215764	-0.3413306	
0.1016	-0.07	0	0.01772862	-0.5519828	0.02718525	1	0.09248426	-0.3412423	
0.102	-0.07	0	0.01825881	-0.5519655	0.02718525	1	0.09281199	-0.3411532	
0.1024	-0.07	0	0.01879092	-0.5519477	0.02718525	1	0.09314083	-0.3410636	
0.1028	-0.07	0	0.01932492	-0.5519292	0.02718525	1	0.09347077	-0.3409733	
0.1032	-0.07	0	0.01986082	-0.5519102	0.02718525	1	0.0938018	-0.3408824	
0.1036	-0.07	0	0.02039861	-0.5518906	0.0277482	1	0.09413393	-0.3407908	
0.104	-0.07	0	0.02093831	-0.5518703	0.0277482	1	0.09446715	-0.3406986	
0.1044	-0.07	0	0.0214799	-0.5518495	0.0277482	1	0.09480147	-0.3406057	
0.1048	-0.07	0	0.02202339	-0.5518281	0.0277482	1	0.09513687	-0.3405122	
0.1052	-0.07	0	0.02256876	-0.5518061	0.0277482	1	0.09547336	-0.340418	
0.1056	-0.07	0	0.02311603	-0.5517834	0.02819856	1	0.09581094	-0.3403232	
0.106	-0.07	0	0.02366518	-0.5517601	0.02819856	1	0.09614959	-0.3402276	
0.1064	-0.07	0	0.02421621	-0.5517362	0.02819856	1	0.09648933	-0.3401314	
0.1068	-0.07	0	0.02476911	-0.5517117	0.02819856	1	0.09683014	-0.3400345	
0.1072	-0.07	0	0.02532388	-0.5516865	0.02819856	1	0.09717202	-0.339937	
0.1076	-0.07	0	0.02588053	-0.5516607	0.02855884	1	0.09751497	-0.3398387	
0.108	-0.07	0	0.02643904	-0.5516341	0.02855884	1	0.09785899	-0.3397399	
0.1084	-0.07	0	0.02699942	-0.551607	0.02855884	1	0.09820408	-0.3396403	
0.1088	-0.07	0	0.02756166	-0.5515792	0.02855884	1	0.09855022	-0.33954	
0.1092	-0.07	0	0.02812576	-0.5515507	0.02855884	1	0.09889743	-0.339439	
0.1096	-0.07	0	0.02869171	-0.5515215	0.02884708	1	0.09924569	-0.3393373	
0.11	-0.07	0	0.02925952	-0.5514917	0.02884708	1	0.099595	-0.3392349	
0.1104	-0.07	0	0.02982918	-0.5514612	0.02884708	1	0.09994537	-0.3391319	
0.1108	-0.07	0	0.03040068	-0.5514299	0.02884708	1	0.1002968	-0.3390281	
0.1112	-0.07	0	0.03097402	-0.551398	0.02884708	1	0.1006492	-0.3389237	
