Time	BoxContact	BoxSensor	BoxSensorX	BoxSensorY	CylinderContact	CylinderSensor	CylinderSensorX	CylinderSensorY	
0.0404	-0.07	0	-0.04335509	-0.350885	-0.07	0	0.05662693	-0.348989	
0.0408	-0.07	0	-0.0432185	-0.3509019	-0.07	0	0.05676278	-0.348967	
0.0412	-0.07	0	-0.04308053	-0.3509188	-0.07	0	0.05689998	-0.3489446	
0.0416	-0.07	0	-0.04294117	-0.3509359	-0.07	0	0.05703855	-0.348922	
0.042	-0.07	0	-0.04280044	-0.3509531	-0.07	0	0.05717847	-0.3488991	
0.0424	-0.07	0	-0.04265833	-0.3509704	-0.07	0	0.05731974	-0.3488759	
0.0428	-0.07	0	-0.04251483	-0.3509878	-0.07	0	0.05746237	-0.3488525	
0.0432	-0.07	0	-0.04236996	-0.3510053	-0.07	0	0.05760635	-0.3488287	
0.0436	-0.07	0	-0.0422237	-0.3510229	-0.07	0	0.05775169	-0.3488047	
0.044	-0.07	0	-0.04207608	-0.3510407	-0.07	0	0.05789838	-0.3487803	
0.0444	-0.07	0	-0.04192707	-0.3510585	-0.07	0	0.05804641	-0.3487557	
0.0448	-0.07	0	-0.04177668	-0.3510764	-0.07	0	0.05819581	-0.3487308	
0.0452	-0.07	0	-0.04162492	-0.3510945	-0.07	0	0.05834654	-0.3487056	
0.0456	-0.07	0	-0.04147179	-0.3511126	-0.07	0	0.05849863	-0.3486801	
0.046	-0.07	0	-0.04131727	-0.3511308	-0.07	0	0.05865206	-0.3486544	
0.0464	-0.07	0	-0.04116138	-0.3511491	-0.07	0	0.05880684	-0.3486283	
0.0468	-0.07	0	-0.04100412	-0.3511675	-0.07	0	0.05896297	-0.3486019	
0.0472	-0.07	0	-0.04084548	-0.351186	-0.07	0	0.05912044	-0.3485753	
0.0476	-0.07	0	-0.04068547	-0.3512045	-0.07	0	0.05927924	-0.3485483	
0.048	-0.07	0	-0.04052408	-0.3512232	-0.07	0	0.0594394	-0.348521	
0.0484	-0.07	0	-0.04036133	-0.3512419	-0.07	0	0.0596009	-0.3484934	
0.0488	-0.07	0	-0.04019719	-0.3512608	-0.07	0	0.05976374	-0.3484655	
0.0492	-0.07	0	-0.04003169	-0.3512796	-0.07	0	0.05992791	-0.3484373	
0.0496	-0.07	0	-0.03986482	-0.3512986	-0.07	0	0.06009342	-0.3484088	
0.05	-0.07	0	-0.03969657	-0.3513177	-0.07	0	0.06026027	-0.34838	
0.0504	-0.07	0	-0.03952695	-0.3513368	-0.07	0	0.06042846	-0.3483509	
0.0508	-0.07	0	-0.03935596	-0.351356	-0.07	0	0.06059798	-0.3483214	
0.0512	-0.07	0	-0.03918361	-0.3513753	-0.07	0	0.06076884	-0.3482916	
0.0516	-0.07	0	-0.03900988	-0.3513946	-0.07	0	0.06094103	-0.3482616	
0.052	-0.07	0	-0.03883479	-0.351414	-0.07	0	0.06111455	-0.3482312	
0.0524	-0.07	0	-0.03865833	-0.3514334	-0.07	0	0.0612894	-0.3482004	
0.0528	-0.07	0	-0.0384805	-0.3514529	-0.07	0	0.06146558	-0.3481694	
0.0532	-0.07	0	-0.0383013	-0.3514725	-0.07	0	0.06164309	-0.3481379	
0.0536	-0.07	0	-0.03812074	-0.3514921	-0.07	0	0.06182193	-0.3481062	
0.054	-0.07	0	-0.03793881	-0.3515118	-0.07	0	0.06200209	-0.3480742	
0.0544	-0.07	0	-0.03775552	-0.3515316	-0.07	0	0.06218357	-0.3480418	
0.0548	-0.07	0	-0.03757086	-0.3515513	-0.07	0	0.06236639	-0.3480091	
0.0552	-0.07	0	-0.03738484	-0.3515712	-0.07	0	0.06255051	-0.3479761	
0.0556	-0.07	0	-0.03719745	-0.351591	-0.07	0	0.06273597	-0.3479427	
0.056	-0.07	0	-0.03700871	-0.351611	-0.07	0	0.06292275	-0.3479089	
0.0564	-0.07	0	-0.0368186	-0.3516309	-0.07	0	0.06311084	-0.3478749	
0.0568	-0.07	0	-0.03662712	-0.3516509	-0.07	0	0.06330025	-0.3478405	
0.0572	-0.07	0	-0.03643429	-0.3516709	-0.07	0	0.06349098	-0.3478057	
0.0576	-0.07	0	-0.0362401	-0.351691	-0.07	0	0.06368303	-0.3477706	
0.058	-0.07	0	-0.03604455	-0.3517111	-0.07	0	0.06387638	-0.3477351	
0.0584	-0.07	0	-0.03584763	-0.3517312	-0.07	0	0.06407105	-0.3476993	
0.0588	-0.07	0	-0.03564937	-0.3517514	-0.07	0	0.06426703	-0.3476631	
0.0592	-0.07	0	-0.03544974	-0.3517715	-0.07	0	0.06446432	-0.3476266	
0.0596	-0.07	0	-0.03524875	-0.3517917	-0.07	0	0.06466293	-0.3475897	
0.06	-0.07	0	-0.03504641	-0.3518119	-0.07	0	0.06486284	-0.3475524	
0.0604	-0.07	0	-0.03484271	-0.3518322	-0.07	0	0.06506405	-0.3475148	
0.0608	-0.07	0	-0.03463766	-0.3518524	-0.07	0	0.06526657	-0.3474768	
0.0612	-0.07	0	-0.03443125	-0.3518727	-0.07	0	0.06547039	-0.3474385	
0.0616	-0.07	0	-0.03422349	-0.3518929	-0.07	0	0.06567552	-0.3473998	
0.062	-0.07	0	-0.03401438	-0.3519132	-0.07	0	0.06588195	-0.3473607	
0.0624	-0.07	0	-0.03380391	-0.3519334	-0.07	0	0.06608967	-0.3473212	
0.0628	-0.07	0	-0.03359209	-0.3519537	-0.07	0	0.06629869	-0.3472814	
0.0632	-0.07	0	-0.03337893	-0.351974	-0.07	0	0.06650902	-0.3472412	
0.0636	-0.07	0	-0.03316441	-0.3519943	-0.07	0	0.06672063	-0.3472006	
0.064	-0.07	0	-0.03294853	-0.3520146	-0.07	0	0.06693354	-0.3471596	
