Time	BoxContact	CylinderContact	CylinderSensor	CylinderSensorX	CylinderSensorY	
0.272	-0.07	-0.06982507	0	0.2818565	-0.2134418	
0.2724	-0.07	-0.06982507	0	0.2822699	-0.2128948	
0.2728	-0.07	-0.06982507	0	0.2826825	-0.2123467	
0.2732	-0.07	-0.06982507	0	0.2830941	-0.2117976	
0.2736	-0.07	-0.06986006	0	0.2835049	-0.2112474	
0.274	-0.07	-0.06986006	0	0.2839148	-0.2106963	
0.2744	-0.07	-0.06986006	0	0.2843237	-0.2101441	
0.2748	-0.07	-0.06986006	0	0.2847318	-0.2095909	
0.2752	-0.07	-0.06986006	0	0.2851389	-0.2090367	
0.2756	-0.07	-0.06988804	0	0.2855451	-0.2084815	
0.276	-0.07	-0.06988804	0	0.2859504	-0.2079252	
0.2764	-0.07	-0.06988804	0	0.2863548	-0.207368	
0.2768	-0.07	-0.06988804	0	0.2867583	-0.2068097	
0.2772	-0.07	-0.06988804	0	0.2871608	-0.2062505	
0.2776	-0.07	-0.06991044	0	0.2875623	-0.2056903	
0.278	-0.07	-0.06991044	0	0.2879629	-0.2051291	
0.2784	-0.07	-0.06991044	0	0.2883626	-0.2045669	
0.2788	-0.07	-0.06991044	0	0.2887613	-0.2040037	
0.2792	-0.07	-0.06991044	0	0.2891591	-0.2034395	
0.2796	-0.07	-0.06992835	0	0.2895559	-0.2028743	
0.28	-0.07	-0.06992835	0	0.2899517	-0.2023082	
0.2804	-0.07	-0.06992835	0	0.2903466	-0.2017411	
0.2808	-0.07	-0.06992835	0	0.2907405	-0.2011731	
0.2812	-0.07	-0.06992835	0	0.2911334	-0.2006041	
0.2816	-0.07	-0.06994268	0	0.2915253	-0.2000341	
0.282	-0.07	-0.06994268	0	0.2919163	-0.1994632	
0.2824	-0.07	-0.06994268	0	0.2923062	-0.1988913	
0.2828	-0.07	-0.06994268	0	0.2926952	-0.1983185	
0.2832	-0.07	-0.06994268	0	0.2930831	-0.1977447	
0.2836	-0.07	-0.06995414	0	0.2934701	-0.19717	
0.284	-0.07	-0.06995414	0	0.293856	-0.1965943	
0.2844	-0.07	-0.06995414	0	0.294241	-0.1960178	
0.2848	-0.07	-0.06995414	0	0.2946249	-0.1954402	
0.2852	-0.07	-0.06995414	0	0.2950078	-0.1948618	
0.2856	-0.07	-0.06996331	0	0.2953896	-0.1942825	
0.286	-0.07	-0.06996331	0	0.2957705	-0.1937022	
0.2864	-0.07	-0.06996331	0	0.2961503	-0.193121	
0.2868	-0.07	-0.06996331	0	0.2965291	-0.1925389	
0.2872	-0.07	-0.06996331	0	0.2969068	-0.191956	
0.2876	-0.07	-0.06997065	0	0.2972835	-0.1913721	
0.288	-0.07	-0.06997065	0	0.2976592	-0.1907873	
0.2884	-0.07	-0.06997065	0	0.2980337	-0.1902016	
0.2888	-0.07	-0.06997065	0	0.2984073	-0.189615	
0.2892	-0.07	-0.06997065	0	0.2987798	-0.1890276	
0.2896	-0.07	-0.06997652	0	0.2991512	-0.1884392	
0.29	-0.07	-0.06997652	0	0.2995215	-0.18785	
0.2904	-0.07	-0.06997652	0	0.2998908	-0.1872599	
0.2908	-0.07	-0.06997652	0	0.3002591	-0.186669	
0.2912	-0.07	-0.06997652	0	0.3006262	-0.1860772	
0.2916	-0.07	-0.06998122	0	0.3009922	-0.1854845	
0.292	-0.07	-0.06998122	0	0.3013572	-0.184891	
0.2924	-0.07	-0.06998122	0	0.3017211	-0.1842966	
0.2928	-0.07	-0.06998122	0	0.3020838	-0.1837013	
0.2932	-0.07	-0.06998122	0	0.3024455	-0.1831053	
0.2936	-0.07	-0.06998497	0	0.3028061	-0.1825083	
0.294	-0.07	-0.06998497	0	0.3031656	-0.1819106	
0.2944	-0.07	-0.06998497	0	0.303524	-0.181312	
0.2948	-0.07	-0.06998497	0	0.3038812	-0.1807126	
0.2952	-0.07	-0.06998497	0	0.3042374	-0.1801124	
0.2956	-0.07	-0.06998798	0	0.3045924	-0.1795114	
0.296	-0.07	-0.06998798	0	0.3049463	-0.1789095	
0.2964	-0.07	-0.06998798	0	0.3052991	-0.1783068	
0.2968	-0.07	-0.06998798	0	0.3056508	-0.1777034	
0.2972	-0.07	-0.06998798	0	0.3060013	-0.1770991	
0.2976	-0.07	-0.06999038	0	0.3063507	-0.176494	
0.298	-0.07	-0.06999038	0	0.3066989	-0.1758882	
0.2984	-0.07	-0.06999038	0	0.3070461	-0.1752815	
0.2988	-0.07	-0.06999038	0	0.307392	-0.1746741	
0.2992	-0.07	-0.06999038	0	0.3077368	-0.1740659	
0.2996	-0.07	-0.0699923	0	0.3080805	-0.1734569	
0.3	-0.07	-0.0699923	0	0.308423	-0.1728472	
0.3004	-0.07	-0.0699923	0	0.3087644	-0.1722367	
0.3008	-0.07	-0.0699923	0	0.3091046	-0.1716254	
0.3012	-0.07	-0.0699923	0	0.3094436	-0.1710134	
0.3016	-0.07	-0.06999385	0	0.3097815	-0.1704006	
0.302	-0.07	-0.06999385	0	0.3101182	-0.1697871	
0.3024	-0.07	-0.06999385	0	0.3104537	-0.1691728	
0.3028	-0.07	-0.06999385	0	0.310788	-0.1685578	
0.3032	-0.07	-0.06999385	0	0.3111212	-0.1679421	
0.3036	-0.07	-0.06999508	0	0.3114532	-0.1673256	
0.304	-0.07	-0.06999508	0	0.311784	-0.1667084	
0.3044	-0.07	-0.06999508	0	0.3121136	-0.1660905	
0.3048	-0.07	-0.06999508	0	0.312442	-0.1654719	
0.3052	-0.07	-0.06999508	0	0.3127692	-0.1648526	
0.3056	-0.07	-0.06999606	0	0.3130952	-0.1642326	
0.306	-0.07	-0.06999606	0	0.3134201	-0.1636118	
0.3064	-0.07	-0.06999606	0	0.3137437	-0.1629904	
0.3068	-0.07	-0.06999606	0	0.3140661	-0.1623683	
0.3072	-0.07	-0.06999606	0	0.3143873	-0.1617455	
0.3076	-0.07	-0.06999685	0	0.3147073	-0.161122	
0.308	-0.07	-0.06999685	0	0.315026	-0.1604979	
0.3084	-0.07	-0.06999685	0	0.3153436	-0.1598731	
0.3088	-0.07	-0.06999685	0	0.31566	-0.1592476	
0.3092	-0.07	-0.06999685	0	0.315975	-0.1586214	
0.3096	-0.07	-0.06999748	0	0.3162889	-0.1579946	
0.31	-0.07	-0.06999748	0	0.3166016	-0.1573672	
0.3104	-0.07	-0.06999748	0	0.316913	-0.156739	
0.3108	-0.07	-0.06999748	0	0.3172233	-0.1561103	
0.3112	-0.07	-0.06999748	0	0.3175322	-0.1554809	
0.3116	-0.07	-0.06999798	0	0.3178399	-0.1548509	
0.312	-0.07	-0.06999798	0	0.3181464	-0.1542203	
0.3124	-0.07	-0.06999798	0	0.3184516	-0.153589	
0.3128	-0.07	-0.06999798	0	0.3187556	-0.1529571	
0.3132	-0.07	-0.06999798	0	0.3190584	-0.1523246	
0.3136	-0.07	-0.06999838	0	0.3193598	-0.1516915	
0.314	-0.07	-0.06999838	0	0.3196601	-0.1510578	
