Time	LO	LOS	LeftOdor	OS	RO	ROS	RightOdor	
0.122	0.6040714	276.4913	276.4913	0	0.6852561	328.521	328.521	
0.123	0.6085846	276.411	276.411	0	0.6912643	328.4813	328.4813	
0.124	0.6085846	276.3307	276.3307	0	0.6912643	328.4412	328.4412	
0.125	0.6129977	276.2569	276.2569	0	0.6971478	328.3969	328.3969	
0.126	0.6129977	276.183	276.183	0	0.6971478	328.3521	328.3521	
0.127	0.6173131	276.1154	276.1154	0	0.7029087	328.303	328.303	
0.128	0.6173131	276.0479	276.0479	0	0.7029087	328.2536	328.2536	
0.129	0.6215338	275.9867	275.9867	0	0.7085487	328.1998	328.1998	
0.13	0.6215338	275.9254	275.9254	0	0.7085487	328.1458	328.1458	
0.131	0.6256623	275.8705	275.8705	0	0.7140697	328.0874	328.0874	
0.132	0.6256623	275.8155	275.8155	0	0.7140697	328.0287	328.0287	
0.133	0.6297013	275.7668	275.7668	0	0.7194736	327.9657	327.9657	
0.134	0.6297013	275.7181	275.7181	0	0.7194736	327.9025	327.9025	
0.135	0.6336533	275.6757	275.6757	0	0.7247621	327.835	327.835	
0.136	0.6336533	275.6331	275.6331	0	0.7247621	327.7673	327.7673	
0.137	0.6375207	275.597	275.597	0	0.729937	327.6953	327.6953	
0.138	0.6375207	275.5605	275.5605	0	0.729937	327.6231	327.6231	
0.139	0.6413061	275.5305	275.5305	0	0.7349999	327.5466	327.5466	
0.14	0.6413061	275.5003	275.5003	0	0.7349999	327.47	327.47	
0.141	0.6450118	275.4763	275.4763	0	0.7399527	327.3891	327.3891	
0.142	0.6450118	275.4522	275.4522	0	0.7399527	327.3081	327.3081	
0.143	0.6486402	275.4344	275.4344	0	0.744797	327.2227	327.2227	
0.144	0.6486402	275.4164	275.4164	0	0.744797	327.1374	327.1374	
0.145	0.6521934	275.4045	275.4045	0	0.7495344	327.0477	327.0477	
0.146	0.6521934	275.3925	275.3925	0	0.7495344	326.9579	326.9579	
0.147	0.6556738	275.3867	275.3867	0	0.7541666	326.864	326.864	
0.148	0.6556738	275.3808	275.3808	0	0.7541666	326.7699	326.7699	
0.149	0.6590836	275.3809	275.3809	0	0.7586951	326.6717	326.6717	
0.15	0.6590836	275.381	275.381	0	0.7586951	326.5735	326.5735	
0.151	0.6624248	275.387	275.387	0	0.7631215	326.471	326.471	
0.152	0.6624248	275.3929	275.3929	0	0.7631215	326.3684	326.3684	
0.153	0.6656995	275.4048	275.4048	0	0.7674474	326.2618	326.2618	
0.154	0.6656995	275.4167	275.4167	0	0.7674474	326.155	326.155	
0.155	0.6689098	275.4345	275.4345	0	0.7716742	326.0442	326.0442	
0.156	0.6689098	275.4521	275.4521	0	0.7716742	325.9333	325.9333	
0.157	0.6720577	275.4757	275.4757	0	0.7758033	325.8185	325.8185	
0.158	0.6720577	275.4991	275.4991	0	0.7758033	325.7033	325.7033	
0.159	0.6751451	275.5285	275.5285	0	0.7798364	325.5844	325.5844	
0.16	0.6751451	275.5577	275.5577	0	0.7798364	325.4652	325.4652	
0.161	0.6781739	275.5927	275.5927	0	0.7837747	325.3422	325.3422	
0.162	0.6781739	275.6277	275.6277	0	0.7837747	325.2191	325.2191	
0.163	0.681146	275.6684	275.6684	0	0.7876197	325.0919	325.0919	
0.164	0.681146	275.709	275.709	0	0.7876197	324.9648	324.9648	
0.165	0.6840632	275.7553	275.7553	0	0.7913729	324.8337	324.8337	
0.166	0.6840632	275.8016	275.8016	0	0.7913729	324.7027	324.7027	
0.167	0.6869273	275.8534	275.8534	0	0.7950354	324.5677	324.5677	
0.168	0.6869273	275.9053	275.9053	0	0.7950354	324.4326	324.4326	
0.169	0.6897399	275.9626	275.9626	0	0.7986088	324.2937	324.2937	
0.17	0.6897399	276.02	276.02	0	0.7986088	324.1548	324.1548	
0.171	0.6925029	276.0829	276.0829	0	0.8020943	324.012	324.012	
0.172	0.6925029	276.1458	276.1458	0	0.8020943	323.8693	323.8693	
0.173	0.6952178	276.2141	276.2141	0	0.8054931	323.7227	323.7227	
0.174	0.6952178	276.2824	276.2824	0	0.8054931	323.5762	323.5762	
0.175	0.6978863	276.3561	276.3561	0	0.8088065	323.4259	323.4259	
0.176	0.6978863	276.4298	276.4298	0	0.8088065	323.2756	323.2756	
0.177	0.70051	276.5088	276.5088	0	0.812036	323.1216	323.1216	
0.178	0.70051	276.5877	276.5877	0	0.812036	322.9675	322.9675	
0.179	0.7030904	276.672	276.672	0	0.8151826	322.8098	322.8098	
0.18	0.7030904	276.7563	276.7563	0	0.8151826	322.6521	322.6521	
0.181	0.7056289	276.8458	276.8458	0	0.8182476	322.4908	322.4908	
0.182	0.7056289	276.9354	276.9354	0	0.8182476	322.3295	322.3295	
0.183	0.708127	277.03	277.03	0	0.8212321	322.1645	322.1645	
0.184	0.708127	277.1247	277.1247	0	0.8212321	321.9996	321.9996	
0.185	0.7105863	277.2246	277.2246	0	0.8241373	321.8311	321.8311	
0.186	0.7105863	277.3244	277.3244	0	0.8241373	321.6627	321.6627	
0.187	0.713008	277.4292	277.4292	0	0.8269644	321.4907	321.4907	
0.188	0.713008	277.5341	277.5341	0	0.8269644	321.3188	321.3188	
0.189	0.7153937	277.644	277.644	0	0.8297145	321.1434	321.1434	
0.19	0.7153937	277.7539	277.7539	0	0.8297145	320.968	320.968	
0.191	0.7177444	277.8687	277.8687	0	0.8323889	320.7892	320.7892	
0.192	0.7177444	277.9836	277.9836	0	0.8323889	320.6104	320.6104	
0.193	0.7200616	278.1033	278.1033	0	0.8349884	320.4284	320.4284	
0.194	0.7200616	278.223	278.223	0	0.8349884	320.2462	320.2462	
0.195	0.7223465	278.3476	278.3476	0	0.8375144	320.0609	320.0609	
0.196	0.7223465	278.4722	278.4722	0	0.8375144	319.8755	319.8755	
0.197	0.7246005	278.6015	278.6015	0	0.8399677	319.6868	319.6868	
0.198	0.7246005	278.7309	278.7309	0	0.8399677	319.4982	319.4982	
0.199	0.7268245	278.8649	278.8649	0	0.8423496	319.3064	319.3064	
0.2	0.7268245	278.9991	278.9991	0	0.8423496	319.1146	319.1146	
0.201	0.7290199	279.1377	279.1377	0	0.844661	318.9197	318.9197	
0.202	0.7290199	279.2765	279.2765	0	0.844661	318.7248	318.7248	
0.203	0.7311878	279.4198	279.4198	0	0.846903	318.5268	318.5268	
0.204	0.7311878	279.563	279.563	0	0.846903	318.3287	318.3287	
0.205	0.7333293	279.7109	279.7109	0	0.8490765	318.1277	318.1277	
0.206	0.7333293	279.8587	279.8587	0	0.8490765	317.9268	317.9268	
0.207	0.7354453	280.011	280.011	0	0.8511826	317.7228	317.7228	
0.208	0.7354453	280.1633	280.1633	0	0.8511826	317.5188	317.5188	
0.209	0.7375371	280.32	280.32	0	0.8532224	317.312	317.312	
0.21	0.7375371	280.4767	280.4767	0	0.8532224	317.1051	317.1051	
0.211	0.7396055	280.6377	280.6377	0	0.8551967	316.8954	316.8954	
0.212	0.7396055	280.7988	280.7988	0	0.8551967	316.6858	316.6858	
0.213	0.7416517	280.964	280.964	0	0.8571064	316.4733	316.4733	
0.214	0.7416517	281.1293	281.1293	0	0.8571064	316.2609	316.2609	
0.215	0.7436765	281.2988	281.2988	0	0.8589527	316.0457	316.0457	
0.216	0.7436765	281.4683	281.4683	0	0.8589527	315.8306	315.8306	
0.217	0.7456809	281.6418	281.6418	0	0.8607364	315.6128	315.6128	
0.218	0.7456809	281.8155	281.8155	0	0.8607364	315.395	315.395	
0.219	0.7476658	281.9931	281.9931	0	0.8624584	315.1747	315.1747	
0.22	0.7476658	282.1708	282.1708	0	0.8624584	314.9543	314.9543	
0.221	0.7496321	282.3524	282.3524	0	0.8641198	314.7314	314.7314	
0.222	0.7496321	282.534	282.534	0	0.8641198	314.5086	314.5086	
0.223	0.7515806	282.7195	282.7195	0	0.8657212	314.2833	314.2833	
0.224	0.7515806	282.9051	282.9051	0	0.8657212	314.0579	314.0579	
0.225	0.7535121	283.0944	283.0944	0	0.8672638	313.8302	313.8302	
0.226	0.7535121	283.2838	283.2838	0	0.8672638	313.6026	313.6026	
0.227	0.7554275	283.4768	283.4768	0	0.8687484	313.3725	313.3725	
0.228	0.7554275	283.67	283.67	0	0.8687484	313.1426	313.1426	
0.229	0.7573276	283.8669	283.8669	0	0.8701757	312.9105	312.9105	
0.23	0.7573276	284.0638	284.0638	0	0.8701757	312.6783	312.6783	
0.231	0.759213	284.2644	284.2644	0	0.8715469	312.4438	312.4438	
0.232	0.759213	284.4652	284.4652	0	0.8715469	312.2094	312.2094	
0.233	0.7610846	284.6698	284.6698	0	0.8728626	311.9727	311.9727	
0.234	0.7610846	284.8745	284.8745	0	0.8728626	311.7362	311.7362	
0.235	0.7629431	285.0831	285.0831	0	0.8741236	311.4975	311.4975	
0.236	0.7629431	285.2918	285.2918	0	0.8741236	311.2589	311.2589	
0.237	0.7647892	285.5045	285.5045	0	0.875331	311.0182	311.0182	
0.238	0.7647892	285.7171	285.7171	0	0.875331	310.7774	310.7774	
0.239	0.7666237	285.9337	285.9337	0	0.8764855	310.5346	310.5346	
0.24	0.7666237	286.1505	286.1505	0	0.8764855	310.292	310.292	
0.241	0.7684472	286.3712	286.3712	0	0.8775879	310.0473	310.0473	
0.242	0.7684472	286.592	286.592	0	0.8775879	309.8026	309.8026	
0.243	0.7702606	286.8168	286.8168	0	0.8786389	309.556	309.556	
0.244	0.7702606	287.0418	287.0418	0	0.8786389	309.3094	309.3094	
0.245	0.7720643	287.2707	287.2707	0	0.8796395	309.061	309.061	
0.246	0.7720643	287.4998	287.4998	0	0.8796395	308.8127	308.8127	
0.247	0.7738593	287.733	287.733	0	0.8805904	308.5624	308.5624	
0.248	0.7738593	287.9662	287.9662	0	0.8805904	308.3123	308.3123	
0.249	0.775646	288.2036	288.2036	0	0.8814924	308.0603	308.0603	
0.25	0.775646	288.441	288.441	0	0.8814924	307.8084	307.8084	
0.251	0.7774253	288.6825	288.6825	0	0.8823461	307.5548	307.5548	
0.252	0.7774253	288.9242	288.9242	0	0.8823461	307.3013	307.3013	
0.253	0.7791978	289.1699	289.1699	0	0.8831525	307.0461	307.0461	
0.254	0.7791978	289.4159	289.4159	0	0.8831525	306.7909	306.7909	
0.255	0.780964	289.6659	289.6659	0	0.8839122	306.5343	306.5343	
0.256	0.780964	289.916	289.916	0	0.8839122	306.2776	306.2776	
0.257	0.7827246	290.1702	290.1702	0	0.884626	306.0194	306.0194	
0.258	0.7827246	290.4246	290.4246	0	0.884626	305.7613	305.7613	
0.259	0.7844803	290.6831	290.6831	0	0.8852947	305.5017	305.5017	
0.26	0.7844803	290.9416	290.9416	0	0.8852947	305.2421	305.2421	
0.261	0.7862318	291.2043	291.2043	0	0.8859189	304.9811	304.9811	
0.262	0.7862318	291.4672	291.4672	0	0.8859189	304.7203	304.7203	
0.263	0.7879794	291.7341	291.7341	0	0.8864993	304.4581	304.4581	
0.264	0.7879794	292.0011	292.0011	0	0.8864993	304.1959	304.1959	
0.265	0.7897239	292.2722	292.2722	0	0.8870369	303.9324	303.9324	
0.266	0.7897239	292.5435	292.5435	0	0.8870369	303.669	303.669	
0.267	0.7914657	292.8187	292.8187	0	0.8875321	303.4044	303.4044	
0.268	0.7914657	293.0941	293.0941	0	0.8875321	303.14	303.14	
0.269	0.7932055	293.3733	293.3733	0	0.8879857	302.8743	302.8743	
0.27	0.7932055	293.6525	293.6525	0	0.8879857	302.6088	302.6088	
0.271	0.7949438	293.9355	293.9355	0	0.8883984	302.3423	302.3423	
0.272	0.7949438	294.2187	294.2187	0	0.8883984	302.0758	302.0758	
0.273	0.796681	294.5053	294.5053	0	0.8887711	301.8084	301.8084	
0.274	0.796681	294.7921	294.7921	0	0.8887711	301.541	301.541	
0.275	0.7984178	295.0823	295.0823	0	0.8891041	301.2728	301.2728	
0.276	0.7984178	295.3727	295.3727	0	0.8891041	301.0048	301.0048	
0.277	0.8001543	295.6663	295.6663	0	0.8893985	300.7359	300.7359	
0.278	0.8001543	295.9601	295.9601	0	0.8893985	300.4671	300.4671	
0.279	0.8018912	296.257	296.257	0	0.8896546	300.1977	300.1977	
0.28	0.8018912	296.554	296.554	0	0.8896546	299.9283	299.9283	
0.281	0.8036289	296.8541	296.8541	0	0.8898734	299.6585	299.6585	
0.282	0.8036289	297.1543	297.1543	0	0.8898734	299.3886	299.3886	
0.283	0.8053675	297.4573	297.4573	0	0.8900554	299.1183	299.1183	
0.284	0.8053675	297.7605	297.7605	0	0.8900554	298.8481	298.8481	
0.285	0.8071076	298.0663	298.0663	0	0.8902013	298.5775	298.5775	
0.286	0.8071076	298.3724	298.3724	0	0.8902013	298.307	298.307	
0.287	0.8088494	298.6811	298.6811	0	0.890312	298.0362	298.0362	
0.288	0.8088494	298.9898	298.9898	0	0.890312	297.7654	297.7654	
0.289	0.8105933	299.301	299.301	0	0.8903879	297.4946	297.4946	
0.29	0.8105933	299.6124	299.6124	0	0.8903879	297.2236	297.2236	
0.291	0.8123395	299.9261	299.9261	0	0.8904299	296.9527	296.9527	
0.292	0.8123395	300.2398	300.2398	0	0.8904299	296.6818	296.6818	
0.293	0.8140883	300.5558	300.5558	0	0.8904384	296.4109	296.4109	
0.294	0.8140883	300.8719	300.8719	0	0.8904384	296.1401	296.1401	
0.295	0.8158398	301.1901	301.1901	0	0.8904142	295.8694	295.8694	
0.296	0.8158398	301.5083	301.5083	0	0.8904142	295.5988	295.5988	
0.297	0.8175945	301.8285	301.8285	0	0.8903582	295.3284	295.3284	
0.298	0.8175945	302.1488	302.1488	0	0.8903582	295.058	295.058	
0.299	0.8193523	302.4709	302.4709	0	0.8902707	294.7878	294.7878	
0.3	0.8193523	302.7932	302.7932	0	0.8902707	294.5179	294.5179	
0.301	0.8211135	303.1169	303.1169	0	0.8901525	294.2482	294.2482	
0.302	0.8211135	303.4408	303.4408	0	0.8901525	293.9786	293.9786	
0.303	0.8228782	303.7663	303.7663	0	0.8900043	293.7095	293.7095	
0.304	0.8228782	304.0919	304.0919	0	0.8900043	293.4404	293.4404	
0.305	0.8246466	304.4186	304.4186	0	0.8898268	293.172	293.172	
0.306	0.8246466	304.7457	304.7457	0	0.8898268	292.9035	292.9035	
0.307	0.8264188	305.0739	305.0739	0	0.8896205	292.6358	292.6358	
0.308	0.8264188	305.4022	305.4022	0	0.8896205	292.3681	292.3681	
0.309	0.8281949	305.7318	305.7318	0	0.8893863	292.1012	292.1012	
