Time	A4	A4Ia	
0.702	0.06966347	1.435263E-08	
0.7040001	0.06974073	1.435263E-08	
0.706	0.06981645	1.435263E-08	
0.708	0.06989064	1.435263E-08	
0.71	0.06996336	1.435263E-08	
0.712	0.07003462	1.435263E-08	
0.714	0.07010446	1.435263E-08	
0.716	0.0701729	1.435263E-08	
0.7180001	0.07023997	1.435263E-08	
0.72	0.0703057	1.435263E-08	
0.7220001	0.07037012	1.435263E-08	
0.724	0.07043324	1.435263E-08	
0.726	0.07049509	1.435264E-08	
0.728	0.07055572	1.435264E-08	
0.73	0.07061514	1.435264E-08	
0.7320001	0.07067335	1.435264E-08	
0.734	0.07073041	1.435264E-08	
0.7360001	0.07078633	1.435264E-08	
0.738	0.07084114	1.435264E-08	
0.74	0.07089484	1.435264E-08	
0.742	0.07094748	1.435264E-08	
0.744	0.07099905	1.435264E-08	
0.7460001	0.07104959	1.435264E-08	
0.748	0.07109912	1.435264E-08	
0.7500001	0.07114767	1.435264E-08	
0.752	0.07119525	1.435264E-08	
0.754	0.07124188	1.435264E-08	
0.756	0.07128756	1.435264E-08	
0.758	0.07133234	1.435264E-08	
0.7600001	0.07137623	1.435264E-08	
0.762	0.07141923	1.435264E-08	
0.7640001	0.07146137	1.435264E-08	
0.766	0.07150268	1.435264E-08	
0.768	0.07154315	1.435264E-08	
0.77	0.07158282	1.435264E-08	
0.772	0.07162169	1.435264E-08	
0.774	0.07165978	1.435264E-08	
0.776	0.07169711	1.435264E-08	
0.7780001	0.07173369	1.435264E-08	
0.78	0.07176954	1.435264E-08	
0.7820001	0.07180468	1.435264E-08	
0.784	0.07183912	1.435264E-08	
0.786	0.07187287	1.435264E-08	
0.788	0.07190593	1.435264E-08	
0.79	0.07193834	1.435264E-08	
0.7920001	0.0719701	1.435264E-08	
0.794	0.07200123	1.435264E-08	
0.7960001	0.07203173	1.435264E-08	
0.798	0.07206162	1.435264E-08	
0.8	0.07209092	1.435264E-08	
0.802	0.07211963	1.435264E-08	
0.804	0.07214776	1.435264E-08	
0.8060001	0.07217533	1.435264E-08	
0.808	0.07220235	1.435264E-08	
0.8100001	0.07222883	1.435264E-08	
0.812	0.07225478	1.435264E-08	
0.814	0.07228022	1.435264E-08	
0.816	0.07230515	1.435264E-08	
0.818	0.07232957	1.435264E-08	
0.8200001	0.0723535	1.435264E-08	
0.822	0.07237696	1.435264E-08	
0.8240001	0.07239995	1.435264E-08	
0.826	0.07242248	1.435264E-08	
0.8280001	0.07244457	1.435264E-08	
0.83	0.0724662	1.435264E-08	
0.832	0.07248741	1.435264E-08	
0.8340001	0.07250819	1.435264E-08	
