Time	Body_X	Body_Y	Body_Z	Joint_1	
0.23	-4.186087E-05	-0.09840795	-0.1632105	-40.99953	
0.231	-4.190053E-05	-0.09846311	-0.1631625	-41.02746	
0.232	-4.194396E-05	-0.09852345	-0.16311	-41.05801	
0.233	-4.199113E-05	-0.09858894	-0.1630529	-41.0912	
0.234	-4.204205E-05	-0.0986596	-0.1629913	-41.12701	
0.235	-4.209674E-05	-0.0987354	-0.1629251	-41.16545	
0.236	-4.215518E-05	-0.09881633	-0.1628543	-41.20652	
0.237	-4.221738E-05	-0.09890237	-0.162779	-41.25021	
0.238	-4.228335E-05	-0.09899352	-0.162699	-41.29653	
0.239	-4.235308E-05	-0.09908975	-0.1626144	-41.34547	
0.24	-4.242658E-05	-0.09919106	-0.1625253	-41.39703	
0.241	-4.250385E-05	-0.09929743	-0.1624314	-41.45121	
0.242	-4.258489E-05	-0.09940883	-0.162333	-41.508	
0.243	-4.266971E-05	-0.09952525	-0.1622299	-41.5674	
0.244	-4.275831E-05	-0.09964668	-0.1621222	-41.62942	
0.245	-4.285069E-05	-0.09977309	-0.1620097	-41.69403	
0.246	-4.294686E-05	-0.09990446	-0.1618926	-41.76126	
0.247	-4.304682E-05	-0.1000408	-0.1617709	-41.83109	
0.248	-4.315057E-05	-0.100182	-0.1616443	-41.90351	
0.249	-4.325812E-05	-0.1003281	-0.1615131	-41.97854	
0.25	-4.336947E-05	-0.1004791	-0.1613771	-42.05616	
0.251	-4.348462E-05	-0.100635	-0.1612364	-42.13637	
0.252	-4.360358E-05	-0.1007956	-0.1610909	-42.21916	
0.253	-4.372635E-05	-0.1009611	-0.1609406	-42.30453	
0.254	-4.385294E-05	-0.1011313	-0.1607856	-42.3925	
0.255	-4.398334E-05	-0.1013063	-0.1606257	-42.48304	
0.256	-4.411757E-05	-0.1014859	-0.160461	-42.57615	
0.257	-4.425562E-05	-0.1016703	-0.1602914	-42.67183	
0.258	-4.439751E-05	-0.1018593	-0.160117	-42.77007	
0.259	-4.454322E-05	-0.1020529	-0.1599377	-42.87087	
0.26	-4.469278E-05	-0.1022511	-0.1597535	-42.97424	
0.261	-4.484618E-05	-0.1024538	-0.1595643	-43.08016	
0.262	-4.500342E-05	-0.1026611	-0.1593702	-43.18862	
0.263	-4.516452E-05	-0.1028728	-0.1591712	-43.29962	
0.264	-4.532947E-05	-0.103089	-0.1589672	-43.41316	
0.265	-4.549828E-05	-0.1033095	-0.1587582	-43.52924	
0.266	-4.567095E-05	-0.1035345	-0.1585442	-43.64784	
0.267	-4.584749E-05	-0.1037638	-0.1583251	-43.76898	
0.268	-4.602791E-05	-0.1039974	-0.158101	-43.89263	
0.269	-4.621219E-05	-0.1042352	-0.1578718	-44.0188	
0.27	-4.640035E-05	-0.1044772	-0.1576375	-44.14748	
0.271	-4.659239E-05	-0.1047234	-0.1573981	-44.27866	
0.272	-4.678832E-05	-0.1049738	-0.1571536	-44.41234	
0.273	-4.698814E-05	-0.1052282	-0.1569039	-44.54851	
0.274	-4.719185E-05	-0.1054866	-0.156649	-44.68716	
0.275	-4.739945E-05	-0.105749	-0.1563889	-44.8283	
0.276	-4.761095E-05	-0.1060154	-0.1561236	-44.97191	
0.277	-4.782636E-05	-0.1062857	-0.1558531	-45.11798	
0.278	-4.782693E-05	-0.1062854	-0.1558519	-44.53368	
0.279	-4.775706E-05	-0.1062066	-0.1559432	-44.6079	
0.28	-4.769201E-05	-0.1061288	-0.1560191	-44.65936	
0.281	-4.763416E-05	-0.1060575	-0.1560877	-44.69579	
0.282	-4.758278E-05	-0.105993	-0.1561499	-44.72089	
0.283	-4.753709E-05	-0.1059348	-0.1562063	-44.73741	
0.284	-4.749655E-05	-0.1058825	-0.156257	-44.74759	
0.285	-4.746073E-05	-0.1058359	-0.1563024	-44.75318	
0.286	-4.742932E-05	-0.1057948	-0.1563425	-44.7556	
0.287	-4.740209E-05	-0.1057591	-0.1563775	-44.75596	
0.288	-4.73789E-05	-0.1057285	-0.1564075	-44.75518	
0.289	-4.735962E-05	-0.1057029	-0.1564325	-44.75397	
0.29	-4.734416E-05	-0.1056823	-0.1564527	-44.75293	
0.291	-4.733247E-05	-0.1056666	-0.1564682	-44.75251	
0.292	-4.73245E-05	-0.1056557	-0.1564789	-44.75307	
0.293	-4.732023E-05	-0.1056496	-0.1564848	-44.75493	
0.294	-4.731963E-05	-0.1056482	-0.1564861	-44.75832	
0.295	-4.732269E-05	-0.1056516	-0.1564827	-44.76342	
0.296	-4.732941E-05	-0.1056597	-0.1564747	-44.77039	
0.297	-4.733977E-05	-0.1056724	-0.156462	-44.77934	
0.298	-4.735378E-05	-0.1056898	-0.1564447	-44.79038	
0.299	-4.737142E-05	-0.1057118	-0.1564229	-44.80359	
0.3	-4.739271E-05	-0.1057385	-0.1563964	-44.81903	
0.301	-4.741763E-05	-0.1057697	-0.1563653	-44.83673	
0.302	-4.74462E-05	-0.1058056	-0.1563296	-44.85676	
0.303	-4.747841E-05	-0.1058461	-0.1562893	-44.87912	
0.304	-4.751426E-05	-0.1058912	-0.1562444	-44.90385	
0.305	-4.755375E-05	-0.1059408	-0.1561949	-44.93098	
0.306	-4.759689E-05	-0.105995	-0.1561408	-44.96051	
0.307	-4.764368E-05	-0.1060537	-0.1560822	-44.99245	
0.308	-4.769411E-05	-0.106117	-0.1560189	-45.02682	
0.309	-4.769437E-05	-0.1061167	-0.1560184	-44.88935	
0.31	-4.768093E-05	-0.1061017	-0.1560364	-44.90883	
0.311	-4.767131E-05	-0.1060905	-0.1560473	-44.92484	
0.312	-4.766609E-05	-0.1060843	-0.1560531	-44.93917	
0.313	-4.766513E-05	-0.1060832	-0.1560539	-44.95269	
0.314	-4.766825E-05	-0.106087	-0.1560497	-44.96608	
0.315	-4.767536E-05	-0.1060957	-0.1560408	-44.97984	
0.316	-4.768634E-05	-0.1061093	-0.1560271	-44.9944	
0.317	-4.770114E-05	-0.1061276	-0.1560086	-45.01009	
0.318	-4.769494E-05	-0.106119	-0.1560164	-44.94733	
0.319	-4.768461E-05	-0.1061065	-0.1560302	-44.95683	
0.32	-4.767801E-05	-0.1060983	-0.1560383	-44.96541	
0.321	-4.76754E-05	-0.106095	-0.1560414	-44.97402	
0.322	-4.767671E-05	-0.1060965	-0.1560397	-44.98318	
0.323	-4.768188E-05	-0.1061028	-0.1560333	-44.99326	
0.324	-4.769084E-05	-0.1061139	-0.1560221	-45.00458	
0.325	-4.768512E-05	-0.106106	-0.1560292	-44.95932	
0.326	-4.767748E-05	-0.1060967	-0.1560395	-44.96675	
0.327	-4.767354E-05	-0.1060918	-0.1560444	-44.97407	
0.328	-4.767347E-05	-0.1060917	-0.1560444	-44.98199	
0.329	-4.767725E-05	-0.1060964	-0.1560396	-44.99089	
0.33	-4.768482E-05	-0.1061058	-0.1560302	-45.00108	
0.331	-4.767931E-05	-0.1060982	-0.1560369	-44.96033	
0.332	-4.767245E-05	-0.1060899	-0.1560462	-44.96724	
0.333	-4.766927E-05	-0.106086	-0.1560501	-44.97426	
0.334	-4.766995E-05	-0.1060869	-0.1560491	-44.98204	
0.335	-4.767445E-05	-0.1060925	-0.1560435	-44.99092	
0.336	-4.768273E-05	-0.1061028	-0.1560331	-45.00119	
0.337	-4.767769E-05	-0.1060959	-0.1560392	-44.96012	
0.338	-4.767124E-05	-0.1060882	-0.1560479	-44.96713	
0.339	-4.766849E-05	-0.1060848	-0.1560512	-44.97429	
0.34	-4.766959E-05	-0.1060862	-0.1560497	-44.98224	
0.341	-4.767452E-05	-0.1060924	-0.1560435	-44.99132	
0.342	-4.768322E-05	-0.1061033	-0.1560325	-45.0018	
0.343	-4.767827E-05	-0.1060965	-0.1560386	-44.95988	
0.344	-4.76718E-05	-0.1060888	-0.1560473	-44.967	
0.345	-4.766903E-05	-0.1060854	-0.1560506	-44.97425	
0.346	-4.767012E-05	-0.1060869	-0.1560491	-44.98227	
0.347	-4.767503E-05	-0.106093	-0.1560429	-44.99141	
0.348	-4.768373E-05	-0.1061039	-0.156032	-45.00195	
0.349	-4.767871E-05	-0.1060971	-0.156038	-44.95983	
0.35	-4.767217E-05	-0.1060892	-0.1560469	-44.96697	
0.351	-4.766931E-05	-0.1060858	-0.1560503	-44.97423	
0.352	-4.767032E-05	-0.1060871	-0.1560489	-44.98223	
0.353	-4.767516E-05	-0.1060932	-0.1560427	-44.99136	
0.354	-4.768377E-05	-0.106104	-0.1560319	-45.00187	
0.355	-4.767873E-05	-0.1060971	-0.156038	-44.95984	
0.356	-4.767216E-05	-0.1060892	-0.1560469	-44.96696	
0.357	-4.766928E-05	-0.1060857	-0.1560503	-44.9742	
0.358	-4.767027E-05	-0.106087	-0.1560489	-44.98219	
0.359	-4.767509E-05	-0.1060931	-0.1560428	-44.9913	
0.36	-4.768369E-05	-0.1061039	-0.156032	-45.00179	
0.361	-4.767864E-05	-0.106097	-0.1560382	-44.95982	
0.362	-4.767207E-05	-0.1060891	-0.156047	-44.96695	
0.363	-4.76692E-05	-0.1060856	-0.1560504	-44.97417	
0.364	-4.767019E-05	-0.1060869	-0.1560491	-44.98217	
0.365	-4.767501E-05	-0.106093	-0.1560429	-44.99128	
0.366	-4.768361E-05	-0.1061038	-0.1560321	-45.00177	
0.367	-4.767857E-05	-0.1060969	-0.1560382	-44.95981	
0.368	-4.767202E-05	-0.106089	-0.156047	-44.96694	
0.369	-4.766915E-05	-0.1060856	-0.1560505	-44.97417	
0.37	-4.767015E-05	-0.1060869	-0.1560491	-44.98216	
0.371	-4.767498E-05	-0.106093	-0.156043	-44.99126	
0.372	-4.76836E-05	-0.1061038	-0.1560321	-45.00177	
0.373	-4.767855E-05	-0.1060969	-0.1560382	-44.95978	
0.374	-4.7672E-05	-0.106089	-0.1560471	-44.96691	
0.375	-4.766913E-05	-0.1060855	-0.1560505	-44.97414	
0.376	-4.767014E-05	-0.1060869	-0.1560491	-44.98214	
0.377	-4.767496E-05	-0.1060929	-0.156043	-44.99125	
0.378	-4.768357E-05	-0.1061037	-0.1560322	-45.00175	
0.379	-4.767853E-05	-0.1060968	-0.1560383	-44.95976	
0.38	-4.767198E-05	-0.106089	-0.1560471	-44.96689	
0.381	-4.766911E-05	-0.1060855	-0.1560505	-44.97413	
0.382	-4.767011E-05	-0.1060868	-0.1560491	-44.98213	
0.383	-4.767494E-05	-0.1060929	-0.156043	-44.99123	
0.384	-4.768355E-05	-0.1061037	-0.1560322	-45.00173	
