Time	FF_1	FF_2	Vm_2	Vm_1	Ie_1	Ii_2	
0.52	0.5355759	0	-0.006178235	0.03570506	4E-09	5E-09	
0.522	0.5484607	0	-0.01100986	0.03656405	4E-09	5E-09	
0.524	0.5587686	0	-0.01526171	0.03725124	4E-09	5E-09	
0.526	0.5670149	0	-0.01897243	0.03780099	4E-09	5E-09	
0.528	0.5736119	0	-0.02218839	0.03824079	4E-09	5E-09	
0.53	0.5788895	0	-0.02495907	0.03859263	4E-09	5E-09	
0.532	0.5831116	0	-0.02733394	0.0388741	4E-09	5E-09	
0.534	0.5864893	0	-0.0293605	0.03909928	4E-09	5E-09	
0.536	0.5891914	0	-0.03108307	0.03927943	4E-09	5E-09	
0.538	0.5913531	0	-0.0325422	0.03942354	4E-09	5E-09	
0.54	0.5930824	0	-0.03377435	0.03953883	4E-09	5E-09	
0.5420001	0.594466	0	-0.03481195	0.03963106	4E-09	5E-09	
0.544	0.5955728	0	-0.03568354	0.03970485	4E-09	5E-09	
0.546	0.5964583	0	-0.03641402	0.03976388	4E-09	5E-09	
0.548	0.5971665	0	-0.03702496	0.0398111	4E-09	5E-09	
0.55	0.5977333	0	-0.03753496	0.03984888	4E-09	5E-09	
0.552	0.5981866	0	-0.03795997	0.03987911	4E-09	5E-09	
0.554	0.5985492	0	-0.03831357	0.03990328	4E-09	5E-09	
0.5560001	0.5988394	0	-0.03860733	0.03992262	4E-09	5E-09	
0.558	0.5990715	0	-0.03885105	0.0399381	4E-09	5E-09	
0.56	0.5992572	0	-0.03905298	0.03995048	4E-09	5E-09	
0.562	0.5994058	0	-0.0392201	0.03996038	4E-09	5E-09	
0.564	0.5995246	0	-0.03935825	0.03996831	4E-09	5E-09	
0.566	0.5996197	0	-0.03947234	0.03997464	4E-09	5E-09	
0.568	0.5996957	0	-0.03956646	0.03997971	4E-09	5E-09	
0.5700001	0.5997566	0	-0.03964404	0.03998377	4E-09	5E-09	
0.572	0.5998052	0	-0.03970793	0.03998702	4E-09	5E-09	
0.574	0.5998442	0	-0.0397605	0.03998961	4E-09	5E-09	
0.576	0.5998754	0	-0.03980373	0.03999169	4E-09	5E-09	
0.578	0.5999003	0	-0.03983924	0.03999335	4E-09	5E-09	
0.58	0.5999203	0	-0.0398684	0.03999468	4E-09	5E-09	
0.582	0.5999362	0	-0.03989233	0.03999574	4E-09	5E-09	
0.5840001	0.5999489	0	-0.03991195	0.03999659	4E-09	5E-09	
0.586	0.5999591	0	-0.03992803	0.03999728	4E-09	5E-09	
0.588	0.5999673	0	-0.0399412	0.03999782	4E-09	5E-09	
0.59	0.5999739	0	-0.03995198	0.03999826	4E-09	5E-09	
0.592	0.599979	0	-0.03996079	0.0399986	4E-09	5E-09	
0.594	0.5999832	0	-0.03996801	0.03999888	4E-09	5E-09	
0.596	0.5999866	0	-0.0399739	0.03999911	4E-09	5E-09	
0.598	0.5999892	0	-0.03997872	0.03999928	4E-09	5E-09	
0.6	0.5999914	0	-0.03998265	0.03999943	0	5E-09	
