Time	Eat	Energy	Food_Near	Mouth	OdorSensor	
0.1336	0.3813817	10117.51	0.7364148	0.001906908	6103.423	
0.134	0.3884824	10117.31	0.7416866	0.001906908	6102.437	
0.1344	0.3884824	10117.11	0.7416866	0.001942412	6101.441	
0.1348	0.3884824	10116.91	0.7416866	0.001942412	6100.438	
0.1352	0.3884824	10116.71	0.7416866	0.001942412	6099.427	
0.1356	0.3884824	10116.51	0.7416866	0.001942412	6098.406	
0.136	0.3955464	10116.31	0.7468528	0.001942412	6097.378	
0.1364	0.3955464	10116.11	0.7468528	0.001977732	6096.34	
0.1368	0.3955464	10115.91	0.7468528	0.001977732	6095.294	
0.1372	0.3955464	10115.71	0.7468528	0.001977732	6094.24	
0.1376	0.3955464	10115.51	0.7468528	0.001977732	6093.175	
0.138	0.4025726	10115.31	0.7519158	0.001977732	6092.105	
0.1384	0.4025726	10115.11	0.7519158	0.002012863	6091.023	
0.1388	0.4025726	10114.91	0.7519158	0.002012863	6089.933	
0.1392	0.4025726	10114.71	0.7519158	0.002012863	6088.834	
0.1396	0.4025726	10114.51	0.7519158	0.002012863	6087.727	
0.14	0.4095594	10114.31	0.7568775	0.002012863	6086.611	
0.1404	0.4095594	10114.11	0.7568775	0.002047797	6085.484	
0.1408	0.4095594	10113.91	0.7568775	0.002047797	6084.35	
0.1412	0.4095594	10113.71	0.7568775	0.002047797	6083.208	
0.1416	0.4095594	10113.51	0.7568775	0.002047797	6082.053	
0.142	0.4165058	10113.31	0.76174	0.002047797	6080.893	
0.1424	0.4165058	10113.11	0.76174	0.002082529	6079.721	
0.1428	0.4165058	10112.91	0.76174	0.002082529	6078.54	
0.1432	0.4165058	10112.71	0.76174	0.002082529	6077.351	
0.1436	0.4165058	10112.51	0.76174	0.002082529	6076.152	
0.144	0.4234105	10112.31	0.7665051	0.002082529	6074.944	
0.1444	0.4234105	10112.11	0.7665051	0.002117052	6073.727	
0.1448	0.4234105	10111.91	0.7665051	0.002117052	6072.5	
0.1452	0.4234105	10111.71	0.7665051	0.002117052	6071.264	
0.1456	0.4234105	10111.5	0.7665051	0.002117052	6070.016	
0.146	0.4302724	10111.3	0.771175	0.002117052	6068.762	
0.1464	0.4302724	10111.1	0.771175	0.002151362	6067.496	
0.1468	0.4302724	10110.9	0.771175	0.002151362	6066.222	
0.1472	0.4302724	10110.7	0.771175	0.002151362	6064.936	
0.1476	0.4302724	10110.5	0.771175	0.002151362	6063.644	
0.148	0.4370904	10110.3	0.7757515	0.002151362	6062.34	
0.1484	0.4370904	10110.1	0.7757515	0.002185452	6061.027	
0.1488	0.4370904	10109.9	0.7757515	0.002185452	6059.703	
