Time	Eat	Energy	Food_Near	Mouth	OdorSensor	
0.0756	0.1688734	10051.32	0.5264511	0.0008088655	8881.414	
0.076	0.1688734	10052.1	0.5264511	0.0008443669	8881.253	
0.0764	0.1688734	10052.93	0.5264511	0.0008443669	8881.09	
0.0768	0.1688734	10053.75	0.5264511	0.0008443669	8880.923	
0.0772	0.1688734	10054.58	0.5264511	0.0008443669	8880.754	
0.07759999	0.1760249	10055.41	0.5359221	0.0008443669	8880.581	
0.078	0.1760249	10056.23	0.5359221	0.0008801247	8880.408	
0.0784	0.1760249	10057.09	0.5359221	0.0008801247	8880.23	
0.0788	0.1760249	10057.95	0.5359221	0.0008801247	8880.05	
0.0792	0.1760249	10058.81	0.5359221	0.0008801247	8879.866	
0.0796	0.1832229	10059.67	0.5452036	0.0008801247	8879.682	
0.08	0.1832229	10060.53	0.5452036	0.0009161144	8879.492	
0.0804	0.1832229	10061.43	0.5452036	0.0009161144	8879.301	
0.0808	0.1832229	10062.33	0.5452036	0.0009161144	8879.107	
0.0812	0.1832229	10063.22	0.5452036	0.0009161144	8878.91	
0.0816	0.1904625	10064.12	0.5542996	0.0009161144	8878.71	
0.08199999	0.1904625	10065.01	0.5542996	0.0009523125	8878.507	
0.0824	0.1904625	10065.95	0.5542996	0.0009523125	8878.301	
0.0828	0.1904625	10066.88	0.5542996	0.0009523125	8878.091	
0.0832	0.1904625	10067.81	0.5542996	0.0009523125	8877.878	
0.0836	0.1977392	10068.75	0.5632136	0.0009523125	8877.663	
0.084	0.1977392	10069.68	0.5632136	0.0009886962	8877.446	
0.0844	0.1977392	10070.65	0.5632136	0.0009886962	8877.224	
0.0848	0.1977392	10071.62	0.5632136	0.0009886962	8876.999	
0.0852	0.1977392	10072.58	0.5632136	0.0009886962	8876.771	
0.0856	0.2050487	10073.55	0.5719494	0.0009886962	8876.541	
0.086	0.2050487	10074.52	0.5719494	0.001025244	8876.306	
0.08639999	0.2050487	10075.53	0.5719494	0.001025244	8876.067	
0.08679999	0.2050487	10076.53	0.5719494	0.001025244	8875.827	
0.0872	0.2050487	10077.54	0.5719494	0.001025244	8875.582	
0.0876	0.2123868	10078.54	0.5805104	0.001025244	8875.334	
0.088	0.2123868	10079.55	0.5805104	0.001061934	8875.085	
0.0884	0.2123868	10080.59	0.5805104	0.001061934	8874.829	
0.0888	0.2123868	10081.63	0.5805104	0.001061934	8874.57	
0.0892	0.2123868	10082.68	0.5805104	0.001061934	8874.31	
0.0896	0.2197492	10083.72	0.5889001	0.001061934	8874.041	
0.09	0.2197492	10084.76	0.5889001	0.001098746	8873.773	
0.0904	0.2197492	10085.84	0.5889001	0.001098746	8873.502	
0.09079999	0.2197492	10086.92	0.5889001	0.001098746	8873.226	
0.09119999	0.2197492	10088	0.5889001	0.001098746	8872.945	
0.0916	0.2271323	10089.08	0.5971222	0.001098746	8872.662	
0.092	0.2271323	10090.16	0.5971222	0.001135661	8872.376	
0.0924	0.2271323	10091.27	0.5971222	0.001135661	8872.086	
0.0928	0.2271323	10092.39	0.5971222	0.001135661	8871.791	
0.0932	0.2271323	10093.5	0.5971222	0.001135661	8871.492	
0.0936	0.2345321	10094.62	0.6051797	0.001135661	8871.191	
0.094	0.2345321	10095.74	0.6051797	0.00117266	8870.884	
0.0944	0.2345321	10096.89	0.6051797	0.00117266	8870.574	
0.0948	0.2345321	10098.04	0.6051797	0.00117266	8870.26	
0.09519999	0.2345321	10099.2	0.6051797	0.00117266	8869.941	
0.09559999	0.241945	10100.35	0.6130762	0.00117266	8869.619	
0.096	0.241945	10101.5	0.6130762	0.001209725	8869.294	
0.0964	0.241945	10102.69	0.6130762	0.001209725	8868.963	
0.0968	0.241945	10103.88	0.6130762	0.001209725	8868.63	
0.0972	0.241945	10105.08	0.6130762	0.001209725	8868.29	
0.0976	0.2493676	10106.27	0.6208146	0.001209725	8867.949	
0.098	0.2493676	10107.46	0.6208146	0.001246838	8867.602	
0.0984	0.2493676	10108.68	0.6208146	0.001246838	8867.251	
0.0988	0.2493676	10109.91	0.6208146	0.001246838	8866.895	
0.0992	0.2493676	10111.14	0.6208146	0.001246838	8866.536	
0.09959999	0.2567966	10112.37	0.6283983	0.001246838	8866.172	
0.09999999	0.2567966	10113.59	0.6283983	0.001283983	8865.804	
0.1004	0.2567966	10114.86	0.6283983	0.001283983	8865.432	
0.1008	0.2567966	10116.12	0.6283983	0.001283983	8865.054	
0.1012	0.2567966	10117.39	0.6283983	0.001283983	8864.673	
0.1016	0.2642286	10118.65	0.6358303	0.001283983	8864.287	
0.102	0.2642286	10119.92	0.6358303	0.001321143	8863.896	
0.1024	0.2642286	10121.22	0.6358303	0.001321143	8863.502	
0.1028	0.2642286	10122.52	0.6358303	0.001321143	8863.103	
0.1032	0.2642286	10123.82	0.6358303	0.001321143	8862.697	
0.1036	0.2716606	10125.12	0.6431137	0.001321143	8862.29	
0.104	0.2716606	10126.43	0.6431137	0.001358303	8861.875	
0.1044	0.2716606	10127.76	0.6431137	0.001358303	8861.456	
0.1048	0.2716606	10129.1	0.6431137	0.001358303	8861.034	
0.1052	0.2716606	10130.44	0.6431137	0.001358303	8860.604	
0.1056	0.2790897	10131.78	0.6502514	0.001358303	8860.172	
0.106	0.2790897	10133.12	0.6502514	0.001395448	8859.734	
0.1064	0.2790897	10134.5	0.6502514	0.001395448	8859.292	
0.1068	0.2790897	10135.87	0.6502514	0.001395448	8858.844	
0.1072	0.2790897	10137.25	0.6502514	0.001395448	8858.391	
0.1076	0.2865129	10138.62	0.6572464	0.001395448	8857.934	
0.108	0.2865129	10140	0.6572464	0.001432565	8857.469	
0.1084	0.2865129	10141.41	0.6572464	0.001432565	8857.001	
0.1088	0.2865129	10142.83	0.6572464	0.001432565	8856.527	
