Time	A	B	BVth	AVth	
0.6336	0.6173383	0.643146	0.1261415	0.1299149	
0.636	0.6133471	0.6390324	0.1267428	0.1304802	
0.6384	0.6113597	0.6369829	0.1270413	0.1307608	
0.6408	0.6093782	0.6349384	0.1273383	0.13104	
0.6432	0.6074023	0.6328988	0.1276339	0.1313178	
0.6456	0.605432	0.6308643	0.1279282	0.1315942	
0.648	0.6015086	0.6268104	0.1285124	0.132143	
0.6504	0.5995555	0.6247914	0.1288023	0.1324154	
0.6528	0.5976084	0.6227775	0.1290909	0.1326864	
0.6552	0.595667	0.6207689	0.1293781	0.1329561	
0.6576	0.5937318	0.6187657	0.1296638	0.1332244	
0.66	0.5898786	0.6147754	0.1302312	0.133757	
0.6624	0.5879612	0.6127884	0.1305128	0.1340213	
0.6648	0.5860496	0.6108071	0.130793	0.1342843	
0.6672	0.5841441	0.6088312	0.1310719	0.134546	
0.6696	0.5822445	0.606861	0.1313494	0.1348063	
0.672	0.5784638	0.6029373	0.1319002	0.135323	
0.6744	0.5765827	0.6009842	0.1321736	0.1355795	
0.6768	0.5747077	0.5990369	0.1324456	0.1358346	
0.6792	0.5728389	0.597095	0.1327163	0.1360884	
0.6816	0.5709763	0.5951593	0.1329856	0.136341	
0.684	0.5672698	0.5913049	0.1335203	0.1368422	
0.6864	0.5654259	0.5893865	0.1337856	0.1370909	
0.6888	0.5635885	0.5874742	0.1340496	0.1373383	
0.6912	0.5617572	0.5855678	0.1343123	0.1375844	
0.6936	0.5599321	0.5836673	0.1345736	0.1378293	
0.696	0.5563016	0.5798845	0.1350924	0.1383153	
0.6984	0.5544956	0.5780021	0.1353498	0.1385565	
0.7008	0.5526962	0.5761259	0.1356059	0.1387964	
0.7032	0.5509031	0.5742557	0.1358608	0.139035	
0.7056	0.5491163	0.5723917	0.1361143	0.1392724	
0.708	0.5455623	0.5686822	0.1366175	0.1397436	
0.7104	0.5437948	0.5668367	0.1368672	0.1399773	
0.7128	0.5420337	0.5649977	0.1371156	0.1402098	
0.7152	0.5402793	0.5631646	0.1373628	0.1404411	
0.7176	0.5385314	0.5613381	0.1376086	0.1406713	
0.72	0.5350552	0.5577033	0.1380966	0.1411279	
0.7224	0.5333264	0.5558954	0.1383387	0.1413544	
0.7248	0.5316043	0.5540941	0.1385796	0.1415797	
0.7272	0.5298889	0.5522988	0.1388192	0.1418039	
0.7296	0.52818	0.5505099	0.1390576	0.1420268	
0.732	0.5247816	0.5469515	0.1395307	0.1424693	
0.7344	0.5230925	0.5451816	0.1397655	0.1426887	
0.7368	0.5214096	0.5434182	0.139999	0.142907	
0.7392	0.5197334	0.5416614	0.1402312	0.1431241	
0.7416	0.5180638	0.539911	0.1404623	0.1433401	
0.744	0.5147442	0.5364292	0.1409208	0.1437687	
0.7464	0.5130939	0.534698	0.1411483	0.1439813	
0.7488	0.5114504	0.5329735	0.1413746	0.1441927	
0.7512	0.5098134	0.5312554	0.1415997	0.144403	
0.7536	0.5081829	0.5295435	0.1418236	0.1446122	
0.756	0.5049419	0.5261395	0.142268	0.1450273	
0.7584	0.5033311	0.5244472	0.1424884	0.1452331	
0.7608	0.5017269	0.5227613	0.1427076	0.1454379	
0.7632	0.5001292	0.5210819	0.1429257	0.1456416	
0.7656	0.498538	0.5194092	0.1431427	0.1458441	
0.768	0.4953752	0.516083	0.1435731	0.146246	
0.7704	0.4938036	0.5144299	0.1437866	0.1464453	
0.7728	0.4922386	0.5127832	0.143999	0.1466436	
0.7752	0.4906802	0.5111431	0.1442102	0.1468408	
0.7776	0.4891284	0.5095094	0.1444203	0.1470369	
0.78	0.4860438	0.5062616	0.1448372	0.1474259	
0.7824	0.4845114	0.5046474	0.145044	0.1476188	
0.7848	0.4829856	0.5030398	0.1452497	0.1478107	
0.7872	0.4814661	0.5014387	0.1454542	0.1480016	
0.7896	0.4799532	0.4998441	0.1456577	0.1481914	
0.792	0.4769466	0.4966744	0.1460614	0.1485679	
0.7944	0.475453	0.4950993	0.1462616	0.1487547	
0.7968	0.4739659	0.4935308	0.1464608	0.1489404	
0.7992	0.4724853	0.4919686	0.1466589	0.1491251	
0.8016	0.471011	0.4904131	0.1468558	0.1493087	
0.804	0.468082	0.4873213	0.1472467	0.1496731	
0.8064	0.466627	0.4857852	0.1474405	0.1498538	
0.8088	0.4651785	0.4842557	0.1476333	0.1500335	
0.8112	0.4637363	0.4827324	0.147825	0.1502122	
0.8136	0.4623007	0.4812157	0.1480157	0.1503899	
0.816	0.4594483	0.4782016	0.1483939	0.1507424	
0.8184	0.4580315	0.4767042	0.1485815	0.1509172	
0.8208	0.4566214	0.4752132	0.1487681	0.151091	
0.8232	0.4552174	0.4737287	0.1489537	0.1512638	
0.8256	0.4538198	0.4722506	0.1491382	0.1514358	
0.8279999	0.4510434	0.4693137	0.1495043	0.1517767	
0.8304	0.4496646	0.467855	0.1496858	0.1519458	
0.8328	0.448292	0.4664025	0.1498663	0.1521139	
0.8352	0.4469258	0.4649564	0.1500459	0.1522811	
0.8376	0.4455659	0.4635166	0.1502244	0.1524474	
0.84	0.4428649	0.4606564	0.1505786	0.1527771	
0.8424	0.4415237	0.4592359	0.1507542	0.1529406	
0.8448	0.4401885	0.4578215	0.1509289	0.1531032	
0.8472	0.4388595	0.4564135	0.1511026	0.1532649	
0.8496	0.4375366	0.4550117	0.1512753	0.1534256	
0.852	0.4349093	0.4522272	0.1516179	0.1537445	
0.8544	0.4336048	0.4508444	0.1517878	0.1539026	
0.8568	0.4323066	0.4494678	0.1519567	0.1540598	
0.8592	0.4310145	0.4480975	0.1521247	0.1542161	
0.8616	0.4297284	0.4467332	0.1522918	0.1543715	
0.864	0.4271741	0.4440237	0.1526231	0.1546798	
0.8664	0.4259061	0.4426781	0.1527874	0.1548326	
0.8688	0.4246439	0.4413389	0.1529508	0.1549846	
0.8712	0.4233879	0.4400057	0.1531133	0.1551357	
0.8736	0.422138	0.4386787	0.1532748	0.155286	
0.876	0.4196559	0.436043	0.1535953	0.1555839	
0.8784	0.4184235	0.4347343	0.1537541	0.1557316	
0.8807999	0.4171972	0.433432	0.1539121	0.1558785	
0.8832	0.4159769	0.4321356	0.1540692	0.1560246	
0.8856	0.4147624	0.4308454	0.1542254	0.1561698	
0.888	0.4123511	0.4282826	0.1545352	0.1564578	
0.8904	0.411154	0.4270103	0.1546888	0.1566006	
0.8928	0.409963	0.4257441	0.1548415	0.1567425	
0.8952	0.4087776	0.4244838	0.1549934	0.1568837	
0.8976	0.407598	0.4232295	0.1551444	0.157024	
0.9	0.4052563	0.4207388	0.1554439	0.1573023	
0.9024	0.4040939	0.4195023	0.1555923	0.1574402	
0.9048	0.4029373	0.4182717	0.15574	0.1575774	
0.9072	0.4017863	0.4170471	0.1558868	0.1577138	
0.9096	0.400641	0.4158285	0.1560327	0.1578494	
0.912	0.3983674	0.4134085	0.1563222	0.1581183	
0.9144	0.3972391	0.4122072	0.1564656	0.1582516	
0.9168	0.3961164	0.4110118	0.1566083	0.1583841	
0.9192	0.3949993	0.4098221	0.1567502	0.1585158	
0.9216	0.3938878	0.4086385	0.1568912	0.1586468	
0.924	0.3916811	0.4062879	0.157171	0.1589066	
0.9264	0.390586	0.4051212	0.1573096	0.1590353	
0.9288	0.3894963	0.4039605	0.1574475	0.1591634	
0.9312	0.3884124	0.4028052	0.1575846	0.1592906	
0.9335999	0.3873336	0.4016557	0.1577209	0.1594172	
0.936	0.3851928	0.3993737	0.1579912	0.1596681	
0.9384	0.3841304	0.3982409	0.1581251	0.1597924	
0.9408	0.3830732	0.397114	0.1582583	0.1599161	
0.9432	0.3820215	0.3959926	0.1583908	0.160039	
0.9456	0.3809751	0.3948767	0.1585225	0.1601612	
0.948	0.3788987	0.3926617	0.1587836	0.1604035	
0.9504	0.3778683	0.3915623	0.158913	0.1605237	
0.9528	0.3768432	0.3904687	0.1590417	0.1606431	
0.9552	0.3758233	0.3893805	0.1591696	0.1607618	
0.9576	0.3748085	0.3882976	0.1592968	0.1608798	
0.96	0.3727947	0.3861482	0.159549	0.1611138	
0.9624	0.3717955	0.3850818	0.159674	0.1612298	
0.9648	0.3708016	0.3840204	0.1597984	0.1613451	
0.9672	0.3698127	0.3829647	0.1599219	0.1614597	
0.9696	0.3688291	0.3819144	0.1600448	0.1615737	
0.972	0.3668767	0.3798295	0.1602884	0.1617996	
0.9744	0.3659081	0.378795	0.1604091	0.1619116	
0.9768	0.3649446	0.3777657	0.1605292	0.1620229	
0.9791999	0.3639863	0.3767415	0.1606485	0.1621336	
0.9816	0.3630327	0.375723	0.1607672	0.1622436	
0.984	0.3611406	0.3737009	0.1610024	0.1624617	
0.9863999	0.3602021	0.3726977	0.161119	0.1625698	
0.9888	0.3592683	0.3716996	0.1612349	0.1626773	
0.9912	0.3583395	0.3707067	0.1613501	0.1627841	
0.9936	0.3574154	0.369719	0.1614647	0.1628904	
0.996	0.3555822	0.3677588	0.1616918	0.1631009	
0.9984	0.3546728	0.3667861	0.1618044	0.1632053	
1.0008	0.3537683	0.3658185	0.1619163	0.163309	
1.0032	0.3528686	0.3648561	0.1620276	0.1634121	
