Time	Rotation	
0.9272	-1.927542E-11	
0.9276	-1.927562E-11	
0.928	-1.927562E-11	
0.9284	-1.927562E-11	
0.9288	-1.927583E-11	
0.9292	-1.927562E-11	
0.9296	-1.927562E-11	
0.9299999	-1.927562E-11	
0.9304	-1.927562E-11	
0.9308	-1.927583E-11	
0.9312	-1.927583E-11	
0.9316	-1.927583E-11	
0.932	-1.927583E-11	
0.9324	-1.927583E-11	
0.9328	-1.927583E-11	
0.9332	-1.927583E-11	
0.9335999	-1.927583E-11	
0.934	-1.927603E-11	
0.9344	-1.927603E-11	
0.9348	-1.927603E-11	
0.9352	-1.927603E-11	
0.9356	-1.927603E-11	
0.936	-1.927623E-11	
0.9364	-1.927623E-11	
0.9368	-1.927623E-11	
0.9372	-1.927623E-11	
0.9376	-1.927623E-11	
0.938	-1.927623E-11	
0.9384	-1.927623E-11	
0.9388	-1.927644E-11	
0.9392	-1.927664E-11	
0.9396	-1.927664E-11	
0.94	-1.927664E-11	
0.9404	-1.927664E-11	
0.9408	-1.927644E-11	
0.9412	-1.927664E-11	
0.9416	-1.927664E-11	
0.942	-1.927664E-11	
0.9424	-1.927664E-11	
0.9428	-1.927684E-11	
0.9432	-1.927684E-11	
0.9436	-1.927684E-11	
0.944	-1.927684E-11	
0.9444	-1.927684E-11	
0.9448	-1.927684E-11	
0.9452	-1.927705E-11	
0.9456	-1.927705E-11	
0.946	-1.927705E-11	
0.9464	-1.927705E-11	
0.9468	-1.927705E-11	
0.9472	-1.927705E-11	
0.9475999	-1.927705E-11	
0.948	-1.927705E-11	
0.9484	-1.927684E-11	
0.9488	-1.927684E-11	
0.9492	-1.927684E-11	
0.9496	-1.927684E-11	
0.95	-1.927705E-11	
0.9504	-1.927725E-11	
0.9508	-1.927725E-11	
0.9511999	-1.927725E-11	
0.9516	-1.927725E-11	
0.952	-1.927725E-11	
0.9524	-1.927725E-11	
0.9528	-1.927725E-11	
0.9532	-1.927725E-11	
0.9536	-1.927725E-11	
0.954	-1.927745E-11	
0.9544	-1.927745E-11	
0.9548	-1.927745E-11	
0.9552	-1.927745E-11	
0.9556	-1.927745E-11	
0.956	-1.927745E-11	
0.9564	-1.927765E-11	
0.9568	-1.927745E-11	
0.9572	-1.927745E-11	
0.9576	-1.927745E-11	
0.958	-1.927745E-11	
0.9584	-1.927745E-11	
0.9588	-1.927745E-11	
0.9592	-1.927745E-11	
0.9596	-1.927745E-11	
0.96	-1.927745E-11	
0.9604	-1.927745E-11	
0.9608	-1.927745E-11	
0.9612	-1.927745E-11	
0.9615999	-1.927745E-11	
0.962	-1.927745E-11	
0.9624	-1.927745E-11	
0.9628	-1.927745E-11	
0.9632	-1.927745E-11	
0.9636	-1.927745E-11	
0.964	-1.927745E-11	
0.9644	-1.927745E-11	
0.9648	-1.927745E-11	
0.9651999	-1.927745E-11	
0.9656	-1.927745E-11	
0.966	-1.927745E-11	
0.9664	-1.927745E-11	
0.9668	-1.927745E-11	
0.9672	-1.927745E-11	
0.9676	-1.927765E-11	
0.968	-1.927765E-11	
0.9684	-1.927765E-11	
0.9687999	-1.927765E-11	
0.9692	-1.927765E-11	
0.9696	-1.927765E-11	
0.97	-1.927765E-11	
0.9704	-1.927765E-11	
0.9708	-1.927765E-11	
0.9712	-1.927765E-11	
0.9716	-1.927765E-11	
0.972	-1.927765E-11	
0.9724	-1.927765E-11	
0.9728	-1.927765E-11	
0.9732	-1.927765E-11	
0.9736	-1.927765E-11	
0.974	-1.927765E-11	
0.9744	-1.927765E-11	
0.9748	-1.927765E-11	
0.9752	-1.927765E-11	
0.9756	-1.927765E-11	
0.976	-1.927765E-11	
0.9764	-1.927765E-11	
0.9768	-1.927765E-11	
0.9772	-1.927756E-11	
0.9776	-1.927746E-11	
0.978	-1.927746E-11	
0.9784	-1.927756E-11	
0.9788	-1.927756E-11	
0.9791999	-1.927765E-11	
0.9796	-1.927775E-11	
0.98	-1.927775E-11	
0.9804	-1.927775E-11	
0.9808	-1.927775E-11	
0.9812	-1.927775E-11	
0.9816	-1.927775E-11	
0.982	-1.927785E-11	
0.9824	-1.927795E-11	
0.9827999	-1.927805E-11	
0.9832	-1.927805E-11	
0.9836	-1.927805E-11	
0.984	-1.927815E-11	
0.9844	-1.927805E-11	
