Time	Vm	
0.1482	-0.06988282	
0.1484	-0.07162704	
0.1486	-0.0709032	
0.1488	-0.0724475	
0.149	-0.07291727	
0.1492	-0.07453077	
0.1494	-0.07606375	
0.1496	-0.07476189	
0.1498	-0.07468175	
0.15	-0.07235815	
0.1502	-0.07207487	
0.1504	-0.0723801	
0.1506	-0.07002742	
0.1508	-0.06980043	
0.151	-0.06888713	
0.1512	-0.06981878	
0.1514	-0.07003699	
0.1516	-0.07173215	
0.1518	-0.07185078	
0.152	-0.07076247	
0.1522	-0.07233624	
0.1524	-0.0710934	
0.1526	-0.0686259	
0.1528	-0.0663777	
0.153	-0.06402583	
0.1532	-0.06490762	
0.1534	-0.06433845	
0.1536	-0.06347696	
0.1538	-0.06217713	
0.154	-0.06005346	
0.1542	-0.06131683	
0.1544	-0.06360354	
0.1546	-0.06604612	
0.1548	-0.06490999	
0.155	-0.06691315	
0.1552	-0.06874651	
0.1554	-0.07028229	
0.1556	-0.06868906	
0.1558	-0.07104056	
0.156	-0.07072929	
0.1562	-0.06967779	
0.1564	-0.06928186	
0.1566	-0.07081939	
0.1568	-0.06860648	
0.157	-0.06988896	
0.1572	-0.07022162	
0.1574	-0.06845468	
0.1576	-0.06856968	
0.1578	-0.06783891	
0.158	-0.06709301	
0.1582	-0.06567566	
0.1584	-0.06519449	
0.1586	-0.06630618	
0.1588	-0.06830005	
0.159	-0.06682927	
0.1592	-0.06768444	
0.1594	-0.06584868	
0.1596	-0.06533585	
0.1598	-0.06459104	
0.16	-0.06270827	
0.1602	-0.06150998	
0.1604	-0.06388663	
0.1606	-0.06225044	
0.1608	-0.06469891	
0.161	-0.06581889	
0.1612	-0.06641429	
0.1614	-0.06480809	
0.1616	-0.06643344	
0.1618	-0.06504881	
0.162	-0.06514446	
0.1622	-0.06497832	
0.1624	-0.06488262	
0.1626	-0.0670521	
0.1628	-0.06729915	
0.163	-0.06613006	
0.1632	-0.06770252	
0.1634	-0.0667543	
0.1636	-0.06818447	
0.1638	-0.06985689	
0.164	-0.0712788	
0.1642	-0.06947377	
0.1644	-0.06871595	
0.1646	-0.06714325	
0.1648	-0.06552326	
0.165	-0.06363796	
0.1652	-0.06173503	
0.1654	-0.06028026	
0.1656	-0.05915978	
0.1658	-0.06100997	
0.166	-0.06045875	
0.1662	-0.06164442	
0.1664	-0.0634358	
0.1666	-0.06599604	
0.1668	-0.06494472	
0.167	-0.06646752	
0.1672	-0.06562143	
0.1674	-0.06766886	
0.1676	-0.06835148	
0.1678	-0.06952889	
0.168	-0.06779674	
0.1682	-0.06818946	
0.1684	-0.06811983	
0.1686	-0.06639381	
0.1688	-0.06457005	
0.169	-0.06566838	
0.1692	-0.06423532	
0.1694	-0.06202361	
0.1696	-0.06369346	
0.1698	-0.06161423	
0.17	-0.06033983	
0.1702	-0.05974225	
0.1704	-0.06195169	
0.1706	-0.06141588	
0.1708	-0.06184013	
0.171	-0.06447957	
0.1712	-0.06645199	
0.1714	-0.06516384	
0.1716	-0.06561203	
0.1718	-0.06563981	
0.172	-0.0649809	
0.1722	-0.06431304	
0.1724	-0.06309075	
0.1726	-0.0637298	
0.1728	-0.06316546	
0.173	-0.06573371	
0.1732	-0.06484345	
0.1734	-0.06431877	
0.1736	-0.06260185	
0.1738	-0.06254853	
0.174	-0.06463237	
0.1742	-0.0638181	
0.1744	-0.06582271	
0.1746	-0.06496772	
0.1748	-0.06603535	
0.175	-0.06756146	
0.1752	-0.06999777	
0.1754	-0.0675743	
0.1756	-0.06673059	
0.1758	-0.06876826	
0.176	-0.06749289	
0.1762	-0.06906394	
0.1764	-0.06985056	
0.1766	-0.0675908	
0.1768	-0.0671052	
0.177	-0.06504571	
0.1772	-0.06294734	
0.1774	-0.06402995	
0.1776	-0.06530876	
0.1778	-0.06334107	
0.178	-0.0626687	
0.1782	-0.06493703	
0.1784	-0.06742452	
0.1786	-0.06939606	
0.1788	-0.07160723	
0.179	-0.07183803	
0.1792	-0.07019388	
0.1794	-0.06957019	
0.1796	-0.0699039	
0.1798	-0.06936864	
0.18	-0.06993303	
0.1802	-0.07158557	
0.1804	-0.07237021	
0.1806	-0.07311294	
0.1808	-0.0732026	
0.181	-0.07483161	
0.1812	-0.07296539	
0.1814	-0.07055802	
0.1816	-0.07070224	
0.1818	-0.07285167	
0.182	-0.07313347	
0.1822	-0.07492542	
0.1824	-0.07437804	
0.1826	-0.074403	
0.1828	-0.07303501	
0.183	-0.07355484	
0.1832	-0.07564017	
0.1834	-0.07315905	
0.1836	-0.0724142	
0.1838	-0.07191951	
0.184	-0.07123899	
0.1842	-0.07302022	
0.1844	-0.0753963	
0.1846	-0.07739662	
0.1848	-0.07659212	
0.185	-0.07555778	
0.1852	-0.07763904	
0.1854	-0.07628609	
0.1856	-0.0756109	
0.1858	-0.07586721	
0.186	-0.07589526	
0.1862	-0.07486277	
0.1864	-0.0754034	
0.1866	-0.07346822	
0.1868	-0.07116457	
0.187	-0.0686769	
0.1872	-0.06989253	
0.1874	-0.06762104	
0.1876	-0.06880788	
0.1878	-0.0676863	
0.188	-0.06775253	
0.1882	-0.06886981	
0.1884	-0.06818008	
0.1886	-0.06722578	
0.1888	-0.06498167	
0.189	-0.06517485	
0.1892	-0.06768475	
0.1894	-0.06859914	
0.1896	-0.06903808	
0.1898	-0.06895762	
0.19	-0.06855696	
0.1902	-0.06663235	
0.1904	-0.06560584	
0.1906	-0.06359309	
0.1908	-0.06546675	
0.191	-0.06591512	
0.1912	-0.06602257	
0.1914	-0.06504773	
0.1916	-0.06524047	
0.1918	-0.06389225	
0.192	-0.06216779	
0.1922	-0.06399494	
0.1924	-0.06481704	
0.1926	-0.06478886	
0.1928	-0.06417888	
0.193	-0.06616186	
0.1932	-0.06857844	
0.1934	-0.07019756	
0.1936	-0.0689336	
0.1938	-0.06955901	
0.194	-0.07023237	
0.1942	-0.07243776	
0.1944	-0.07010188	
0.1946	-0.06920636	
0.1948	-0.07000143	
0.195	-0.06806307	
0.1952	-0.06721957	
0.1954	-0.06810918	
0.1956	-0.06656013	
0.1958	-0.06790804	
0.196	-0.0680588	
0.1962	-0.07003707	
0.1964	-0.06761465	
0.1966	-0.06819884	
0.1968	-0.06775042	
0.197	-0.06865477	
0.1972	-0.06740934	
0.1974	-0.0696038	
0.1976	-0.06869668	
0.1978	-0.0680972	
0.198	-0.06600964	
0.1982	-0.06585246	
0.1984	-0.0637661	
0.1986	-0.06613073	
0.1988	-0.06383189	
0.199	-0.06619989	
0.1992	-0.06821822	
0.1994	-0.06632353	
0.1996	-0.06408457	
0.1998	-0.0667619	
0.2	-0.06824335	
