Time	External_1b	External_3	Synaptic_2	External_6b	FF_3	FF_2	FF_1b	FF_6b	External_1a	Synaptic_4	External_5	FF_4	FF_5	FF_1a	
0.679	0	5E-09	5.394278E-13	0	0.9999987	0.0004727745	9.709715E-05	0	0	7.716588E-19	5E-09	1.908366E-06	0.9999987	9.709715E-05	
0.68	0	5E-09	4.854851E-13	0	0.9999989	0.0004303519	8.738744E-05	0	0	6.076813E-19	5E-09	1.717536E-06	0.9999989	8.738744E-05	
0.6810001	0	5E-09	4.369367E-13	0	0.999999	0.0003916861	7.864869E-05	0	0	4.687827E-19	5E-09	1.545787E-06	0.999999	7.864869E-05	
0.682	0	5E-09	3.932431E-13	0	0.999999	0.0003564499	7.078382E-05	0	0	3.984653E-19	5E-09	1.391212E-06	0.999999	7.078382E-05	
0.683	0	5E-09	3.539188E-13	0	0.9999991	0.0003243441	6.370544E-05	0	0	3.375236E-19	5E-09	1.252094E-06	0.9999991	6.370544E-05	
0.684	0	5E-09	3.185269E-13	0	0.9999992	0.0002950949	5.733489E-05	0	0	2.847855E-19	5E-09	1.126888E-06	0.9999992	5.733489E-05	
0.6850001	0	5E-09	2.866742E-13	0	0.9999993	0.0002684522	5.16014E-05	0	0	2.392198E-19	5E-09	1.014201E-06	0.9999993	5.16014E-05	
0.686	0	5E-09	2.580068E-13	0	0.9999993	0.000244187	4.644126E-05	0	0	1.84541E-19	5E-09	0	0.9999993	4.644126E-05	
0.687	0	5E-09	2.322061E-13	0	0.9999994	0.0002220904	4.179714E-05	0	0	1.522463E-19	5E-09	0	0.9999994	4.179714E-05	
0.688	0	5E-09	2.089856E-13	0	0.9999995	0.0002019712	3.761742E-05	0	0	1.245652E-19	5E-09	0	0.9999995	3.761742E-05	
0.689	0	5E-09	1.88087E-13	0	0.9999996	0.0001836549	3.385568E-05	0	0	8.968692E-20	5E-09	0	0.9999996	3.385568E-05	
0.6900001	0	5E-09	1.692783E-13	0	0.9999996	0.0001669822	3.047011E-05	0	0	7.062845E-20	5E-09	0	0.9999996	3.047011E-05	
