Time	Length	Velocity	
5.395	0.3360808	5.960465E-05	
5.396	0.3360809	5.960465E-05	
5.397	0.3360809	0	
5.398	0.3360809	2.980232E-05	
5.399	0.336081	5.960465E-05	
5.4	0.336081	0	
5.401	0.336081	2.980232E-05	
5.402	0.3360811	5.960465E-05	
5.403	0.3360811	2.980232E-05	
5.404	0.3360811	5.960465E-05	
5.405	0.3360812	5.960465E-05	
5.406	0.3360812	2.980232E-05	
5.407	0.3360813	5.960465E-05	
5.408	0.3360814	5.960465E-05	
5.409	0.3360814	0	
5.41	0.3360814	8.940697E-05	
5.411	0.3360815	2.980232E-05	
5.412	0.3360815	2.980232E-05	
5.413	0.3360816	8.940697E-05	
5.414	0.3360817	5.960465E-05	
5.415	0.3360817	5.960465E-05	
5.416	0.3360818	0.0001192093	
5.417	0.3360819	2.980232E-05	
5.418	0.336082	8.940697E-05	
5.419	0.336082	5.960465E-05	
5.42	0.3360821	8.940697E-05	
5.421	0.3360822	8.940697E-05	
5.422	0.3360822	5.960465E-05	
5.423	0.3360824	0.0001192093	
5.424	0.3360824	5.960465E-05	
5.425	0.3360825	0.0001192093	
5.426	0.3360826	8.940697E-05	
5.427	0.3360827	8.940697E-05	
5.428	0.3360828	8.940697E-05	
5.429	0.336083	0.0001490116	
5.43	0.3360831	8.940697E-05	
5.431	0.3360831	8.940697E-05	
5.432	0.3360833	0.0001490116	
5.433	0.3360834	8.940697E-05	
5.434	0.3360835	0.0001192093	
5.435	0.3360836	0.0001192093	
5.436	0.3360837	0.0001192093	
5.437	0.3360839	0.0001192093	
5.438	0.336084	0.0001490116	
5.439	0.3360842	0.0001490116	
5.44	0.3360843	0.0001490116	
5.441	0.3360845	0.0001490116	
5.442	0.3360846	0.0001192093	
5.443	0.3360847	0.0001490116	
5.444	0.3360849	0.0001490116	
5.445	0.336085	0.0001490116	
5.446	0.3360852	0.0001490116	
5.447	0.3360853	0.0001490116	
5.448	0.3360855	0.0001788139	
5.449	0.3360856	0.0001490116	
5.45	0.3360858	0.0001788139	
5.451	0.336086	0.0001788139	
5.452	0.3360862	0.0001788139	
5.453	0.3360864	0.0001788139	
5.454	0.3360865	0.0001490116	
5.455	0.3360867	0.0001788139	
5.456	0.3360869	0.0001788139	
5.457	0.3360871	0.0002086163	
5.458	0.3360873	0.0001788139	
5.459	0.3360875	0.0002384186	
5.46	0.3360877	0.0001788139	
5.461	0.3360879	0.0002086163	
5.462	0.3360881	0.0001788139	
5.463	0.3360883	0.0002086163	
5.464	0.3360885	0.0002086163	
5.465	0.3360887	0.0002086163	
5.466	0.3360889	0.0002086163	
5.467	0.3360891	0.0002086163	
5.468	0.3360893	0.0002384186	
5.469	0.3360896	0.0002086163	
5.47	0.3360898	0.0002384186	
5.471	0.33609	0.0002384186	
5.472	0.3360902	0.0002086163	
5.473	0.3360904	0.0002086163	
5.474	0.3360907	0.0002384186	
5.475	0.3360909	0.0002384186	
5.476	0.3360912	0.0002384186	
5.477	0.3360914	0.0002086163	
5.478	0.3360916	0.0002682209	
5.479	0.3360919	0.0002384186	
5.48	0.3360921	0.0002384186	
5.481	0.3360923	0.0002086163	
5.482	0.3360926	0.0002384186	
5.483	0.3360928	0.0002384186	
5.484	0.336093	0.0002384186	
5.485	0.3360933	0.0002682209	
5.486	0.3360935	0.0002086163	
5.487	0.3360938	0.0002384186	
5.488	0.336094	0.0002682209	
5.489	0.3360943	0.0002384186	
5.49	0.3360945	0.0002384186	
5.491	0.3360948	0.0002980233	
5.492	0.336095	0.0002384186	
5.493	0.3360952	0.0002086163	
5.494	0.3360955	0.0002980233	
5.495	0.3360958	0.0002384186	
5.496	0.336096	0.0002384186	
5.497	0.3360963	0.0002682209	
5.498	0.3360965	0.0002384186	
5.499	0.3360968	0.0002384186	
5.5	0.336097	0.0002384186	
5.501	0.3360972	0.0002384186	
5.502	0.3360975	0.0002682209	
5.503	0.3360978	0.0002682209	
5.504	0.336098	0.0002384186	
5.505	0.3360983	0.0002682209	
5.506	0.3360985	0.0002384186	
5.507	0.3360988	0.0002384186	
5.508	0.336099	0.0002682209	
5.509	0.3360993	0.0002384186	
5.51	0.3360995	0.0002682209	
5.511	0.3360998	0.0002384186	
5.512	0.3361	0.0002384186	
5.513	0.3361003	0.0002682209	
5.514	0.3361005	0.0002682209	
5.515	0.3361008	0.0002384186	
5.516	0.336101	0.0002384186	
5.517	0.3361012	0.0002086163	
5.518	0.3361015	0.0002682209	
5.519	0.3361017	0.0002384186	
5.52	0.336102	0.0002384186	
5.521	0.3361022	0.0002384186	
5.522	0.3361024	0.0002086163	
5.523	0.3361026	0.0002086163	
5.524	0.3361029	0.0002384186	
5.525	0.3361031	0.0002086163	
5.526	0.3361033	0.0002682209	
5.527	0.3361035	0.0001788139	
5.528	0.3361038	0.0002384186	
5.529	0.336104	0.0002086163	
5.53	0.3361042	0.0002384186	
5.531	0.3361044	0.0001788139	
5.532	0.3361046	0.0001788139	
5.533	0.3361048	0.0002384186	
5.534	0.336105	0.0002086163	
5.535	0.3361052	0.0001788139	
5.536	0.3361054	0.0002086163	
5.537	0.3361056	0.0001788139	
5.538	0.3361058	0.0001788139	
5.539	0.336106	0.0002086163	
5.54	0.3361062	0.0001788139	
5.541	0.3361063	0.0001192093	
5.542	0.3361065	0.0002384186	
5.543	0.3361066	0.0001192093	
5.544	0.3361068	0.0001788139	
5.545	0.336107	0.0001490116	
5.546	0.3361071	0.0001490116	
5.547	0.3361073	0.0001490116	
5.548	0.3361074	0.0001490116	
5.549	0.3361076	0.0001788139	
5.55	0.3361077	0.0001192093	
5.551	0.3361079	0.0001490116	
5.552	0.336108	0.0001490116	
5.553	0.3361081	0.0001490116	
5.554	0.3361082	8.940697E-05	
5.555	0.3361084	0.0001490116	
5.556	0.3361085	0.0001192093	
5.557	0.3361086	0.0001192093	
5.558	0.3361087	0.0001192093	
5.559	0.3361089	0.0001490116	
5.56	0.336109	8.940697E-05	
5.561	0.3361091	0.0001192093	
5.562	0.3361092	0.0001192093	
5.563	0.3361093	0.0001192093	
5.564	0.3361094	8.940697E-05	
5.565	0.3361095	0.0001192093	
5.566	0.3361096	5.960465E-05	
5.567	0.3361097	0.0001192093	
5.568	0.3361098	0.0001192093	
5.569	0.33611	0.0001192093	
5.57	0.3361101	0.0001192093	
5.571	0.3361102	8.940697E-05	
5.572	0.3361103	8.940697E-05	
5.573	0.3361103	5.960465E-05	
5.574	0.3361104	0.0001192093	
5.575	0.3361106	0.0001192093	
5.576	0.3361107	8.940697E-05	
5.577	0.3361108	0.0001192093	
5.578	0.3361109	8.940697E-05	
5.579	0.3361109	5.960465E-05	
5.58	0.336111	0.0001192093	
5.581	0.3361112	0.0001192093	
5.582	0.3361113	0.0001192093	
5.583	0.3361114	8.940697E-05	
5.584	0.3361115	8.940697E-05	
5.585	0.3361116	0.0001192093	
5.586	0.3361117	8.940697E-05	
5.587	0.3361118	8.940697E-05	
5.588	0.3361119	0.0001192093	
5.589	0.336112	0.0001192093	
5.59	0.3361121	5.960465E-05	
5.591	0.3361122	0.0001490116	
5.592	0.3361123	5.960465E-05	
5.593	0.3361124	0.0001192093	
5.594	0.3361125	0.0001192093	
5.595	0.3361126	0.0001192093	
5.596	0.3361127	8.940697E-05	
5.597	0.3361128	0.0001192093	
5.598	0.3361129	0.0001192093	
5.599	0.3361131	0.0001192093	
5.6	0.3361132	8.940697E-05	
5.601	0.3361133	0.0001490116	
5.602	0.3361134	8.940697E-05	
5.603	0.3361135	0.0001490116	
5.604	0.3361136	5.960465E-05	
5.605	0.3361138	0.0001788139	
5.606	0.3361139	0.0001192093	
5.607	0.336114	8.940697E-05	
5.608	0.3361141	0.0001490116	
5.609	0.3361143	0.0001192093	
5.61	0.3361143	8.940697E-05	
5.611	0.3361145	0.0001490116	
5.612	0.3361146	8.940697E-05	
5.613	0.3361147	0.0001490116	
5.614	0.3361149	0.0001192093	
5.615	0.336115	0.0001490116	
5.616	0.3361152	0.0001490116	
5.617	0.3361152	8.940697E-05	
5.618	0.3361154	0.0001490116	
5.619	0.3361155	0.0001490116	
5.62	0.3361156	8.940697E-05	
5.621	0.3361158	0.0001490116	
5.622	0.3361159	0.0001490116	
5.623	0.336116	0.0001192093	
5.624	0.3361162	0.0001490116	
5.625	0.3361163	0.0001490116	
5.626	0.3361165	0.0001490116	
5.627	0.3361166	0.0001192093	
5.628	0.3361168	0.0001490116	
5.629	0.3361169	0.0001192093	
5.63	0.336117	0.0001192093	
5.631	0.3361171	0.0001490116	
5.632	0.3361173	0.0001192093	
5.633	0.3361174	0.0001490116	
5.634	0.3361176	0.0001490116	
5.635	0.3361177	0.0001490116	
5.636	0.3361178	0.0001192093	
5.637	0.336118	0.0001490116	
5.638	0.3361181	0.0001490116	
5.639	0.3361183	0.0001490116	
5.64	0.3361184	8.940697E-05	
5.641	0.3361185	0.0001490116	
5.642	0.3361187	0.0001490116	
5.643	0.3361188	0.0001192093	
5.644	0.336119	0.0001788139	
5.645	0.3361191	0.0001490116	
5.646	0.3361193	0.0001490116	
5.647	0.3361194	0.0001192093	
5.648	0.3361195	0.0001192093	
5.649	0.3361196	0.0001192093	
5.65	0.3361198	0.0001490116	
5.651	0.3361199	0.0001490116	
5.652	0.33612	0.0001192093	
5.653	0.3361202	0.0001490116	
5.654	0.3361203	0.0001192093	
5.655	0.3361205	0.0001490116	
5.656	0.3361205	8.940697E-05	
5.657	0.3361207	0.0001490116	
5.658	0.3361208	0.0001192093	
5.659	0.336121	0.0001490116	
5.66	0.3361211	8.940697E-05	
5.661	0.3361212	0.0001192093	
5.662	0.3361213	0.0001490116	
5.663	0.3361214	8.940697E-05	
5.664	0.3361216	0.0001490116	
5.665	0.3361216	8.940697E-05	
5.666	0.3361218	0.0001192093	
5.667	0.3361219	0.0001192093	
5.668	0.336122	0.0001192093	
5.669	0.3361221	0.0001192093	
5.67	0.3361222	0.0001192093	
5.671	0.3361224	0.0001192093	
5.672	0.3361225	0.0001192093	
5.673	0.3361226	8.940697E-05	
5.674	0.3361227	8.940697E-05	
5.675	0.3361228	8.940697E-05	
5.676	0.3361228	8.940697E-05	
5.677	0.3361229	8.940697E-05	
5.678	0.336123	5.960465E-05	
5.679	0.3361231	0.0001192093	
5.68	0.3361232	8.940697E-05	
5.681	0.3361233	8.940697E-05	
5.682	0.3361233	5.960465E-05	
5.683	0.3361234	8.940697E-05	
5.684	0.3361235	5.960465E-05	
5.685	0.3361236	5.960465E-05	
5.686	0.3361236	5.960465E-05	
5.687	0.3361237	5.960465E-05	
5.688	0.3361237	5.960465E-05	
5.689	0.3361238	5.960465E-05	
5.69	0.3361239	5.960465E-05	
5.691	0.3361239	5.960465E-05	
5.692	0.3361239	0	
5.693	0.3361239	2.980232E-05	
5.694	0.336124	5.960465E-05	
5.695	0.336124	2.980232E-05	
5.696	0.336124	0	
5.697	0.3361241	5.960465E-05	
5.698	0.3361241	0	
5.699	0.3361241	2.980232E-05	
5.7	0.3361242	2.980232E-05	
5.701	0.3361242	0	
5.702	0.3361242	0	
5.703	0.3361242	0	
5.704	0.3361242	0	
5.705	0.3361242	0	
5.706	0.3361242	0	
5.707	0.3361241	-2.980232E-05	
5.708	0.3361241	-2.980232E-05	
5.709	0.3361241	-2.980232E-05	
5.71	0.336124	-2.980232E-05	
5.711	0.336124	-2.980232E-05	
5.712	0.3361239	-5.960465E-05	
5.713	0.3361239	-2.980232E-05	
5.714	0.3361239	-5.960465E-05	
5.715	0.3361238	-5.960465E-05	
5.716	0.3361238	-2.980232E-05	
5.717	0.3361237	-8.940697E-05	
5.718	0.3361236	-5.960465E-05	
5.719	0.3361235	-8.940697E-05	
5.72	0.3361234	-8.940697E-05	
5.721	0.3361233	-0.0001192093	
5.722	0.3361232	-8.940697E-05	
5.723	0.3361231	-8.940697E-05	
5.724	0.336123	-0.0001490116	
5.725	0.3361229	-8.940697E-05	
5.726	0.3361228	-0.0001192093	
5.727	0.3361227	-0.0001192093	
5.728	0.3361225	-0.0001490116	
5.729	0.3361224	-0.0001490116	
5.73	0.3361222	-0.0001192093	
5.731	0.336122	-0.0002086163	
5.732	0.3361219	-0.0001490116	
5.733	0.3361218	-0.0001192093	
5.734	0.3361216	-0.0001192093	
5.735	0.3361214	-0.0002384186	
5.736	0.3361213	-0.0001192093	
5.737	0.3361211	-0.0001788139	
5.738	0.3361209	-0.0001788139	
5.739	0.3361208	-0.0001788139	
5.74	0.3361206	-0.0001788139	
5.741	0.3361204	-0.0002086163	
5.742	0.3361202	-0.0001788139	
5.743	0.33612	-0.0002086163	
5.744	0.3361199	-0.0001192093	
5.745	0.3361196	-0.0002384186	
5.746	0.3361194	-0.0002086163	
5.747	0.3361192	-0.0001788139	
5.748	0.336119	-0.0002086163	
5.749	0.3361188	-0.0001788139	
5.75	0.3361186	-0.0002086163	
5.751	0.3361184	-0.0002086163	
5.752	0.3361182	-0.0002086163	
5.753	0.336118	-0.0002086163	
5.754	0.3361178	-0.0002086163	
5.755	0.3361176	-0.0002086163	
5.756	0.3361174	-0.0001788139	
5.757	0.3361172	-0.0002086163	
5.758	0.336117	-0.0002086163	
5.759	0.3361168	-0.0002086163	
