Time	1	2	3	
0.081	-0.03600319	-0.06	-0.03053046	
0.0815	-0.03557099	-0.06	-0.030118	
0.08199999	-0.03516002	-0.06	0	
0.0825	-0.03477103	-0.06	-0.03204528	
0.083	-0.03440432	-0.06	-0.03280926	
0.0835	-0.03405984	-0.06	-0.03278394	
0.084	-0.03373727	-0.06	-0.03239951	
0.0845	-0.03343607	-0.06	-0.03186673	
0.085	0	-0.06	0	
0.08549999	-0.03624484	-0.06	-0.0248526	
0.086	-0.03831207	-0.06	-0.02251431	
0.0865	-0.0396576	-0.06	-0.02138711	
0.087	-0.04048443	-0.06	-0.02067471	
0.0875	-0.04093346	-0.06	0	
0.088	-0.04110492	-0.06	-0.02277641	
0.0885	-0.04107172	-0.06	-0.02312462	
0.08899999	-0.04088787	-0.06	-0.02280106	
0.0895	-0.04059411	-0.06	-0.02230638	
0.09	-0.04022152	-0.06	0	
0.0905	-0.0397941	-0.06	-0.02445704	
0.091	-0.03933051	-0.06	-0.02490697	
0.0915	-0.0388453	-0.06	-0.02462434	
0.092	-0.03834984	-0.06	-0.02412026	
0.0925	-0.03785301	-0.06	0	
0.09299999	-0.03736165	-0.06	-0.02620983	
0.0935	-0.036881	-0.06	-0.02675042	
0.094	-0.03641501	-0.06	-0.02652092	
0.0945	-0.03596656	-0.06	-0.02602527	
0.095	-0.0355377	-0.06	0	
0.0955	-0.03512975	-0.06	-0.02805076	
0.096	-0.03474351	-0.06	-0.02867244	
0.09649999	-0.0343793	-0.06	-0.02850387	
0.097	-0.03403709	-0.06	-0.0280311	
0.0975	-0.03371659	-0.06	0	
0.098	-0.03341727	-0.06	-0.02998806	
0.0985	-0.03313846	-0.06	-0.03067676	
0.099	0	-0.06	-0.0305711	
0.0995	-0.03601335	-0.06	-0.0213424	
0.09999999	-0.03811535	-0.06	0	
0.1005	-0.03948846	-0.06	-0.02068459	
0.101	-0.04033755	-0.06	-0.0206469	
0.1015	-0.04080483	-0.06	-0.02020274	
0.102	-0.04099148	-0.06	-0.01971086	
0.1025	-0.04097107	-0.06	0	
0.103	-0.04079815	-0.06	-0.02182139	
0.1035	-0.04051379	-0.06	-0.02204261	
0.104	-0.04014937	-0.06	-0.02166134	
0.1045	-0.03972912	-0.06	-0.02115607	
0.105	-0.03927185	-0.06	0	
0.1055	-0.03879225	-0.06	-0.02327492	
0.106	-0.0383018	-0.06	-0.02361268	
0.1065	-0.03780945	-0.06	-0.02327242	
