Time	MV	Tension	Length	A	
2.5266	-0.06581015	6.215067	0.4999917	11.09479	
2.5268	-0.06590523	6.227836	0.4999917	10.32661	
2.527	-0.06600019	6.227836	0.4999917	10.32661	
2.5272	-0.06609503	6.227836	0.4999917	10.32661	
2.5274	-0.06618973	6.227836	0.4999917	10.32661	
2.5276	-0.06628428	6.227836	0.4999917	10.32661	
2.5278	-0.06637869	6.236951	0.4999917	9.611964	
2.528	-0.06647295	6.236951	0.4999917	9.611964	
2.5282	-0.06656703	6.236951	0.4999917	9.611964	
2.5284	-0.06666095	6.236951	0.4999917	9.611964	
2.5286	-0.06675469	6.236951	0.4999917	9.611964	
2.5288	-0.06684825	6.242697	0.4999917	8.949251	
2.529	-0.06694163	6.242697	0.4999917	8.949251	
2.5292	-0.06703482	6.242697	0.4999917	8.949251	
2.5294	-0.06712782	6.242697	0.4999917	8.949251	
2.5296	-0.06722061	6.242697	0.4999917	8.949251	
2.5298	-0.0673132	6.245339	0.4999916	8.33593	
2.53	-0.06740559	6.245339	0.4999916	8.33593	
2.5302	-0.06749776	6.245339	0.4999916	8.33593	
2.5304	-0.06758972	6.245339	0.4999916	8.33593	
2.5306	-0.06768148	6.245339	0.4999916	8.33593	
2.5308	-0.06777301	6.245131	0.4999916	7.768973	
2.531	-0.06786433	6.245131	0.4999916	7.768973	
2.5312	-0.06795541	6.245131	0.4999916	7.768973	
2.5314	-0.06804629	6.245131	0.4999916	7.768973	
2.5316	-0.06813693	6.245131	0.4999916	7.768973	
2.5318	-0.06822736	6.242305	0.4999916	7.245258	
2.532	-0.06831755	6.242305	0.4999916	7.245258	
2.5322	-0.06840751	6.242305	0.4999916	7.245258	
2.5324	-0.06849726	6.242305	0.4999916	7.245258	
2.5326	-0.06858676	6.242305	0.4999916	7.245258	
2.5328	-0.06867603	6.237093	0.4999916	6.761579	
2.533	-0.06876507	6.237093	0.4999916	6.761579	
2.5332	-0.06885388	6.237093	0.4999916	6.761579	
2.5334	-0.06894246	6.237093	0.4999916	6.761579	
2.5336	-0.0690308	6.237093	0.4999916	6.761579	
2.5338	-0.0691189	6.22968	0.4999916	6.314813	
2.534	-0.06920677	6.22968	0.4999916	6.314813	
2.5342	-0.0692944	6.22968	0.4999916	6.314813	
2.5344	-0.0693818	6.22968	0.4999916	6.314813	
2.5346	-0.06946895	6.22968	0.4999916	6.314813	
2.5348	-0.06955588	6.22025	0.4999916	5.902039	
2.535	-0.06964257	6.22025	0.4999916	5.902039	
2.5352	-0.06972902	6.22025	0.4999916	5.902039	
2.5354	-0.06981523	6.22025	0.4999916	5.902039	
2.5356	-0.06990121	6.22025	0.4999916	5.902039	
2.5358	-0.06998695	6.208971	0.4999916	5.52051	
2.536	-0.07007245	6.208971	0.4999916	5.52051	
2.5362	-0.07015771	6.208971	0.4999916	5.52051	
2.5364	-0.07024276	6.208971	0.4999916	5.52051	
2.5366	-0.07032754	6.208971	0.4999916	5.52051	
2.5368	-0.07041211	6.195997	0.4999916	5.167645	
2.537	-0.07049644	6.195997	0.4999916	5.167645	
2.5372	-0.07058053	6.195997	0.4999916	5.167645	
2.5374	-0.07066438	6.195997	0.4999916	5.167645	
2.5376	-0.07074801	6.195997	0.4999916	5.167645	
2.5378	-0.0708314	6.181472	0.4999916	4.841096	
2.538	-0.07091455	6.181472	0.4999916	4.841096	
2.5382	-0.07099748	6.181472	0.4999916	4.841096	
2.5384	-0.07108016	6.181472	0.4999916	4.841096	
2.5386	-0.07116262	6.181472	0.4999916	4.841096	
2.5388	-0.07124484	6.165526	0.4999916	4.538671	
2.539	-0.07132684	6.165526	0.4999916	4.538671	
2.5392	-0.0714086	6.165526	0.4999916	4.538671	
2.5394	-0.07149014	6.165526	0.4999916	4.538671	
2.5396	-0.07157144	6.165526	0.4999916	4.538671	
2.5398	-0.07165251	6.148279	0.4999916	4.258399	
2.54	-0.07173336	6.148279	0.4999916	4.258399	
2.5402	-0.07181396	6.148279	0.4999916	4.258399	
2.5404	-0.07189435	6.148279	0.4999916	4.258399	
2.5406	-0.07197451	6.148279	0.4999916	4.258399	
2.5408	-0.07205445	6.129839	0.4999916	3.998451	
2.541	-0.07213414	6.129839	0.4999916	3.998451	
2.5412	-0.07221363	6.129839	0.4999916	3.998451	
2.5414	-0.07229289	6.129839	0.4999916	3.998451	
2.5416	-0.07237191	6.129839	0.4999916	3.998451	
2.5418	-0.07245072	6.110308	0.4999916	3.757181	
2.542	-0.0725293	6.110308	0.4999916	3.757181	
2.5422	-0.07260767	6.110308	0.4999916	3.757181	
2.5424	-0.07268581	6.110308	0.4999916	3.757181	
2.5426	-0.07276372	6.110308	0.4999916	3.757181	
2.5428	-0.07284141	6.089779	0.4999916	3.533058	
2.543	-0.07291889	6.089779	0.4999916	3.533058	
2.5432	-0.07299615	6.089779	0.4999916	3.533058	
2.5434	-0.07307318	6.089779	0.4999916	3.533058	
2.5436	-0.07314999	6.089779	0.4999916	3.533058	
2.5438	-0.07322659	6.068336	0.4999916	3.324703	
2.544	-0.07330297	6.068336	0.4999916	3.324703	
2.5442	-0.07337914	6.068336	0.4999916	3.324703	
2.5444	-0.07345508	6.068336	0.4999916	3.324703	
2.5446	-0.07353081	6.068336	0.4999916	3.324703	
2.5448	-0.07360632	6.046058	0.4999916	3.130857	
2.545	-0.07368162	6.046058	0.4999916	3.130857	
2.5452	-0.0737567	6.046058	0.4999916	3.130857	
2.5454	-0.07383157	6.046058	0.4999916	3.130857	
2.5456	-0.07390622	6.046058	0.4999916	3.130857	
2.5458	-0.07398066	6.023016	0.4999916	2.950367	
2.546	-0.0740549	6.023016	0.4999916	2.950367	
2.5462	-0.07412891	6.023016	0.4999916	2.950367	
2.5464	-0.07420272	6.023016	0.4999916	2.950367	
2.5466	-0.07427632	6.023016	0.4999916	2.950367	
2.5468	-0.07434971	5.999278	0.4999916	2.782191	
2.547	-0.07442289	5.999278	0.4999916	2.782191	
2.5472	-0.07449586	5.999278	0.4999916	2.782191	
2.5474	-0.07456862	5.999278	0.4999916	2.782191	
2.5476	-0.07464118	5.999278	0.4999916	2.782191	
2.5478	-0.07471352	5.974904	0.4999916	2.625359	
