Time	Ax	Fx	Px	Vx	
0.2015	-0.9810001	0	0.1835499	1.807364	
0.202	-0.9810001	0	0.1844534	1.806874	
0.2025	-0.9810001	0	0.1853566	1.806383	
0.203	-0.9810001	0	0.1862595	1.805893	
0.2035	-0.9810001	0	0.1871622	1.805403	
0.204	-0.9810001	0	0.1880647	1.804912	
0.2045	-0.9810001	0	0.1889669	1.804422	
0.205	-0.9810001	0	0.1898689	1.803931	
0.2055	-0.9810001	0	0.1907706	1.80344	
0.206	-0.9810001	0	0.191672	1.80295	
0.2065	-0.9810001	0	0.1925733	1.802459	
0.207	-0.9810001	0	0.1934742	1.801969	
0.2075	-0.9810001	0	0.194375	1.801479	
0.208	-0.9810001	0	0.1952755	1.800988	
0.2085	-0.9810001	0	0.1961757	1.800498	
0.209	-0.9810001	0	0.1970757	1.800007	
0.2095	-0.9810001	0	0.1979755	1.799517	
0.21	-0.9810001	0	0.198875	1.799026	
0.2105	-0.9810001	0	0.1997743	1.798535	
0.211	-0.9810001	0	0.2006733	1.798045	
0.2115	-0.9810001	0	0.2015721	1.797554	
0.212	-0.9810001	0	0.2024706	1.797064	
0.2125	-0.9810001	0	0.2033689	1.796574	
0.213	-0.9810001	0	0.2042669	1.796083	
0.2135	-0.9810001	0	0.2051647	1.795593	
0.214	-0.9810001	0	0.2060623	1.795102	
0.2145	-0.9810001	0	0.2069596	1.794611	
0.215	-0.9810001	0	0.2078567	1.794121	
0.2155	-0.9810001	0	0.2087535	1.79363	
0.216	-0.9810001	0	0.20965	1.79314	
0.2165	-0.9810001	0	0.2105464	1.79265	
0.217	-0.9810001	0	0.2114424	1.792159	
0.2175	-0.9810001	0	0.2123383	1.791669	
0.218	-0.9810001	0	0.2132339	1.791178	
0.2185	-0.9810001	0	0.2141292	1.790687	
0.219	-0.9810001	0	0.2150243	1.790197	
0.2195	-0.9810001	0	0.2159192	1.789706	
0.22	-0.9810001	0	0.2168138	1.789216	
0.2205	-0.9810001	0	0.2177081	1.788725	
0.221	-0.9810001	0	0.2186023	1.788235	
0.2215	-0.9810001	0	0.2194961	1.787745	
0.222	-0.9810001	0	0.2203898	1.787254	
0.2225	-0.9810001	0	0.2212831	1.786764	
0.223	-0.9810001	0	0.2221763	1.786273	
0.2235	-0.9810001	0	0.2230692	1.785782	
0.224	-0.9810001	0	0.2239618	1.785292	
0.2245	-0.9810001	0	0.2248542	1.784801	
0.225	-0.9810001	0	0.2257464	1.784311	
0.2255	-0.9810001	0	0.2266383	1.783821	
0.226	-0.9810001	0	0.2275299	1.78333	
0.2265	-0.9810001	0	0.2284214	1.78284	
0.227	-0.9810001	0	0.2293125	1.782349	
0.2275	-0.9810001	0	0.2302035	1.781858	
0.228	-0.9810001	0	0.2310942	1.781368	
0.2285	-0.9810001	0	0.2319846	1.780877	
0.229	-0.9810001	0	0.2328748	1.780387	
0.2295	-0.9810001	0	0.2337647	1.779896	
0.23	-0.9810001	0	0.2346544	1.779406	
0.2305	-0.9810001	0	0.2355439	1.778916	
0.231	-0.9810001	0	0.2364331	1.778425	
0.2315	-0.9810001	0	0.2373221	1.777935	
0.232	-0.9810001	0	0.2382108	1.777444	
0.2325	-0.9810001	0	0.2390993	1.776953	
0.233	-0.9810001	0	0.2399875	1.776463	
0.2335	-0.9810001	0	0.2408755	1.775972	
0.234	-0.9810001	0	0.2417632	1.775482	
0.2345	-0.9810001	0	0.2426507	1.774992	
0.235	-0.9810001	0	0.243538	1.774501	
0.2355	-0.9810001	0	0.244425	1.774011	
0.236	-0.9810001	0	0.2453117	1.77352	
0.2365	-0.9810001	0	0.2461983	1.773029	
0.237	-0.9810001	0	0.2470845	1.772539	
0.2375	-0.9810001	0	0.2479706	1.772048	
0.238	-0.9810001	0	0.2488563	1.771558	
0.2385	-0.9810001	0	0.2497419	1.771068	
0.239	-0.9810001	0	0.2506272	1.770577	
0.2395	-0.9810001	0	0.2515122	1.770087	
0.24	-0.9810001	0	0.252397	1.769596	
0.2405	-0.9810001	0	0.2532815	1.769106	
0.241	-0.9810001	0	0.2541659	1.768615	
0.2415	-0.9810001	0	0.2550499	1.768124	
0.242	-0.9810001	0	0.2559337	1.767634	
0.2425	-0.9810001	0	0.2568173	1.767143	
0.243	-0.9810001	0	0.2577006	1.766653	
0.2435	-0.9810001	0	0.2585837	1.766163	
0.244	-0.9810001	0	0.2594665	1.765672	
0.2445	-0.9810001	0	0.2603491	1.765182	
0.245	-0.9810001	0	0.2612315	1.764691	
0.2455	-0.9810001	0	0.2621136	1.7642	
0.246	-0.9810001	0	0.2629954	1.76371	
0.2465	-0.9810001	0	0.263877	1.763219	
0.247	-0.9810001	0	0.2647584	1.762729	
0.2475	-0.9810001	0	0.2656395	1.762239	
0.248	-0.9810001	0	0.2665204	1.761748	
0.2485	-0.9810001	0	0.267401	1.761258	
0.249	-0.9810001	0	0.2682814	1.760767	
0.2495	-0.9810001	0	0.2691616	1.760277	
0.25	-0.9810001	0	0.2700414	1.759786	
