Time	OdorSensor	Mouth	Eat	Food_Near	Energy	
0.1288	8825.405	0.001799376	0.3598751	0.7199454	10222.51	
0.1292	8824.616	0.001799376	0.3598751	0.7199454	10224.29	
0.1296	8823.815	0.001799376	0.3670765	0.7255465	10226.07	
0.13	8823.009	0.001835383	0.3670765	0.7255465	10227.85	
0.1304	8822.195	0.001835383	0.3670765	0.7255465	10229.67	
0.1308	8821.373	0.001835383	0.3670765	0.7255465	10231.48	
0.1312	8820.545	0.001835383	0.3670765	0.7255465	10233.3	
0.1316	8819.711	0.001835383	0.3742459	0.7310356	10235.11	
0.132	8818.869	0.001871229	0.3742459	0.7310356	10236.93	
0.1324	8818.019	0.001871229	0.3742459	0.7310356	10238.78	
0.1328	8817.159	0.001871229	0.3742459	0.7310356	10240.63	
0.1332	8816.295	0.001871229	0.3742459	0.7310356	10242.48	
0.1336	8815.422	0.001871229	0.3813817	0.7364149	10244.33	
0.134	8814.542	0.001906908	0.3813817	0.7364149	10246.19	
0.1344	8813.655	0.001906908	0.3813817	0.7364149	10248.07	
0.1348	8812.759	0.001906908	0.3813817	0.7364149	10249.96	
0.1352	8811.854	0.001906908	0.3813817	0.7364149	10251.85	
0.1356	8810.945	0.001906908	0.3884824	0.7416867	10253.74	
0.136	8810.024	0.001942412	0.3884824	0.7416867	10255.63	
0.1364	8809.097	0.001942412	0.3884824	0.7416867	10257.55	
0.1368	8808.164	0.001942412	0.3884824	0.7416867	10259.47	
0.1372	8807.221	0.001942412	0.3884824	0.7416867	10261.39	
0.1376	8806.271	0.001942412	0.3955464	0.7468529	10263.32	
0.138	8805.31	0.001977732	0.3955464	0.7468529	10265.24	
0.1384	8804.343	0.001977732	0.3955464	0.7468529	10267.2	
0.1388	8803.368	0.001977732	0.3955464	0.7468529	10269.16	
0.1392	8802.388	0.001977732	0.3955464	0.7468529	10271.11	
0.1396	8801.397	0.001977732	0.4025726	0.7519159	10273.07	
0.14	8800.398	0.002012863	0.4025726	0.7519159	10275.03	
0.1404	8799.392	0.002012863	0.4025726	0.7519159	10277.02	
0.1408	8798.375	0.002012863	0.4025726	0.7519159	10279.02	
0.1412	8797.351	0.002012863	0.4025726	0.7519159	10281.01	
0.1416	8796.32	0.002012863	0.4095594	0.7568776	10283	
0.142	8795.278	0.002047797	0.4095594	0.7568776	10285	
0.1424	8794.229	0.002047797	0.4095594	0.7568776	10287.02	
0.1428	8793.171	0.002047797	0.4095594	0.7568776	10289.05	
0.1432	8792.104	0.002047797	0.4095594	0.7568776	10291.08	
0.1436	8791.029	0.002047797	0.4165058	0.7617401	10293.11	
0.144	8789.947	0.002082529	0.4165058	0.7617401	10295.14	
0.1444	8788.856	0.002082529	0.4165058	0.7617401	10297.2	
0.1448	8787.754	0.002082529	0.4165058	0.7617401	10299.26	
0.1452	8786.645	0.002082529	0.4165058	0.7617401	10301.33	
0.1456	8785.526	0.002082529	0.4234105	0.7665052	10303.39	
0.146	8784.401	0.002117052	0.4234105	0.7665052	10305.45	
0.1464	8783.265	0.002117052	0.4234105	0.7665052	10307.55	
0.1468	8782.121	0.002117052	0.4234105	0.7665052	10309.65	
0.1472	8780.967	0.002117052	0.4234105	0.7665052	10311.75	
0.1476	8779.805	0.002117052	0.4302724	0.7711751	10313.84	
0.148	8778.636	0.002151362	0.4302724	0.7711751	10315.94	
0.1484	8777.454	0.002151362	0.4302724	0.7711751	10318.07	
0.1488	8776.267	0.002151362	0.4302724	0.7711751	10320.21	
0.1492	8775.067	0.002151362	0.4302724	0.7711751	10322.34	
0.1496	8773.862	0.002151362	0.4370904	0.7757516	10324.47	
0.15	8772.644	0.002185452	0.4370904	0.7757516	10326.6	
0.1504	8771.42	0.002185452	0.4370904	0.7757516	10328.77	
0.1508	8770.183	0.002185452	0.4370904	0.7757516	10330.93	
0.1512	8768.938	0.002185452	0.4370904	0.7757516	10333.1	
0.1516	8767.686	0.002185452	0.4438636	0.7802366	10335.27	
0.152	8766.424	0.002219318	0.4438636	0.7802366	10337.43	
0.1524	8765.151	0.002219318	0.4438636	0.7802366	10339.63	
0.1528	8763.868	0.002219318	0.4438636	0.7802366	10341.83	
0.1532	8762.576	0.002219318	0.4438636	0.7802366	10344.03	
0.1536	8761.278	0.002219318	0.4505911	0.7846318	10346.23	
0.154	8759.967	0.002252955	0.4505911	0.7846318	10348.43	
0.1544	8758.649	0.002252955	0.4505911	0.7846318	10350.67	
0.1548	8757.318	0.002252955	0.4505911	0.7846318	10352.9	
0.1552	8755.981	0.002252955	0.4505911	0.7846318	10355.13	
0.1556	8754.633	0.002252955	0.4572719	0.7889391	10357.37	
0.156	8753.273	0.00228636	0.4572719	0.7889391	10359.6	
0.1564	8751.906	0.00228636	0.4572719	0.7889391	10361.87	
0.1568	8750.528	0.00228636	0.4572719	0.7889391	10364.13	
0.1572	8749.141	0.00228636	0.4572719	0.7889391	10366.4	
0.1576	8747.744	0.00228636	0.4639053	0.7931603	10368.67	
0.158	8746.334	0.002319526	0.4639053	0.7931603	10370.93	
0.1584	8744.918	0.002319526	0.4639053	0.7931603	10373.23	
0.1588	8743.489	0.002319526	0.4639053	0.7931603	10375.53	
0.1592	8742.051	0.002319526	0.4639053	0.7931603	10377.83	
0.1596	8740.606	0.002319526	0.4704903	0.7972971	10380.13	
0.16	8739.147	0.002352452	0.4704903	0.7972971	10382.43	
0.1604	8737.678	0.002352452	0.4704903	0.7972971	10384.76	
0.1608	8736.199	0.002352452	0.4704903	0.7972971	10387.1	
0.1612	8734.711	0.002352452	0.4704903	0.7972971	10389.43	
0.1616	8733.211	0.002352452	0.4770265	0.8013512	10391.76	
0.162	8731.702	0.002385132	0.4770265	0.8013512	10394.1	
0.1624	8730.184	0.002385132	0.4770265	0.8013512	10396.46	
0.1628	8728.653	0.002385132	0.4770265	0.8013512	10398.83	
0.1632	8727.115	0.002385132	0.4770265	0.8013512	10401.19	
0.1636	8725.564	0.002385132	0.4835129	0.8053242	10403.56	
