Time	MV	Muscle2	Len	
0.0694	-0.07015156	4.589246	-0.04568831	
0.0696	-0.07023662	4.589246	-0.04567743	
0.0698	-0.07032146	4.61638	-0.04566697	
0.07	-0.07040605	4.61638	-0.04565586	
0.0702	-0.07049041	4.61638	-0.04564519	
0.0704	-0.07057453	4.61638	-0.04563493	
0.0706	-0.07065842	4.61638	-0.04562508	
0.0708	-0.07074206	4.639869	-0.04561561	
0.07099999	-0.07082549	4.639869	-0.04560559	
0.0712	-0.07090867	4.639869	-0.04559597	
0.0714	-0.07099161	4.639869	-0.04558672	
0.0716	-0.07107434	4.639869	-0.04557784	
0.0718	-0.07115681	4.659992	-0.0455693	
0.072	-0.07123907	4.659992	-0.04556031	
0.0722	-0.07132109	4.659992	-0.04555167	
0.0724	-0.07140287	4.659992	-0.04554337	
0.0726	-0.07148443	4.659992	-0.0455354	
0.0728	-0.07156575	4.677004	-0.04552774	
0.073	-0.07164684	4.677004	-0.04551971	
0.07319999	-0.07172771	4.677004	-0.04551199	
0.0734	-0.07180835	4.677004	-0.04550458	
0.0736	-0.07188874	4.677004	-0.04549746	
0.0738	-0.07196893	4.691141	-0.04549062	
0.074	-0.07204887	4.691141	-0.0454835	
0.0742	-0.0721286	4.691141	-0.04547665	
0.0744	-0.0722081	4.691141	-0.04547007	
0.0746	-0.07228737	4.691141	-0.04546375	
0.0748	-0.07236642	4.702617	-0.04545768	
0.075	-0.07244524	4.702617	-0.04545139	
0.0752	-0.07252384	4.702617	-0.04544535	
0.07539999	-0.07260222	4.702617	-0.04543955	
0.0756	-0.07268038	4.702617	-0.04543398	
0.0758	-0.07275831	4.711632	-0.04542862	
0.076	-0.07283602	4.711632	-0.04542312	
0.0762	-0.07291351	4.711632	-0.04541783	
0.0764	-0.07299078	4.711632	-0.04541276	
0.0766	-0.07306784	4.711632	-0.04540788	
0.0768	-0.07314467	4.718384	-0.04540319	
0.077	-0.07322128	4.718384	-0.04539842	
0.0772	-0.07329768	4.718384	-0.04539384	
0.0774	-0.07337385	4.718384	-0.04538944	
0.07759999	-0.07344981	4.718384	-0.04538522	
0.0778	-0.07352556	4.723025	-0.04538115	
0.078	-0.07360109	4.723025	-0.04537707	
0.0782	-0.0736764	4.723025	-0.04537314	
0.0784	-0.07375149	4.723025	-0.04536937	
0.0786	-0.07382638	4.723025	-0.04536575	
0.0788	-0.07390105	4.725712	-0.04536227	
0.079	-0.07397551	4.725712	-0.04535882	
0.0792	-0.07404976	4.725712	-0.0453555	
0.0794	-0.07412379	4.725712	-0.04535232	
0.0796	-0.07419762	4.725712	-0.04534926	
