Time	MV	Muscle2	
5.6164	-0.06849726	13.763	
5.6166	-0.06858676	13.763	
5.6168	-0.06867603	13.75222	
5.617	-0.06876507	13.75222	
5.6172	-0.06885388	13.75222	
5.6174	-0.06894246	13.75222	
5.6176	-0.0690308	13.75222	
5.6178	-0.0691189	13.73686	
5.618	-0.06920677	13.73686	
5.6182	-0.0692944	13.73686	
5.6184	-0.0693818	13.73686	
5.6186	-0.06946895	13.73686	
5.6188	-0.06955588	13.7173	
5.619	-0.06964257	13.7173	
5.6192	-0.06972902	13.7173	
5.6194	-0.06981523	13.7173	
5.6196	-0.06990121	13.7173	
5.6198	-0.06998695	13.69389	
5.62	-0.07007245	13.69389	
5.6202	-0.07015771	13.69389	
5.6204	-0.07024276	13.69389	
5.6206	-0.07032754	13.69389	
5.6208	-0.07041211	13.66695	
5.621	-0.07049644	13.66695	
5.6212	-0.07058053	13.66695	
5.6214	-0.07066438	13.66695	
5.6216	-0.07074801	13.66695	
5.6218	-0.0708314	13.63678	
5.622	-0.07091455	13.63678	
5.6222	-0.07099748	13.63678	
5.6224	-0.07108016	13.63678	
5.6226	-0.07116262	13.63678	
5.6228	-0.07124484	13.6036	
5.623	-0.07132684	13.6036	
5.6232	-0.0714086	13.6036	
5.6234	-0.07149014	13.6036	
5.6236	-0.07157144	13.6036	
5.6238	-0.07165251	13.56774	
5.624	-0.07173336	13.56774	
5.6242	-0.07181396	13.56774	
5.6244	-0.07189435	13.56774	
5.6246	-0.07197451	13.56774	
5.6248	-0.07205445	13.52939	
5.625	-0.07213414	13.52939	
5.6252	-0.07221363	13.52939	
5.6254	-0.07229289	13.52939	
5.6256	-0.07237191	13.52939	
5.6258	-0.07245072	13.48876	
5.626	-0.0725293	13.48876	
5.6262	-0.07260767	13.48876	
5.6264	-0.07268581	13.48876	
5.6266	-0.07276372	13.48876	
5.6268	-0.07284141	13.44606	
5.627	-0.07291889	13.44606	
5.6272	-0.07299615	13.44606	
5.6274	-0.07307318	13.44606	
5.6276	-0.07314999	13.44606	
5.6278	-0.07322659	13.40142	
5.628	-0.07330297	13.40142	
5.6282	-0.07337914	13.40142	
5.6284	-0.07345508	13.40142	
5.6286	-0.07353081	13.40142	
5.6288	-0.07360632	13.35503	
5.629	-0.07368162	13.35503	
5.6292	-0.0737567	13.35503	
5.6294	-0.07383157	13.35503	
5.6296	-0.07390622	13.35503	
5.6298	-0.07398066	13.30704	
5.63	-0.0740549	13.30704	
5.6302	-0.07412891	13.30704	
5.6304	-0.07420272	13.30704	
5.6306	-0.07427632	13.30704	
5.6308	-0.07434971	13.25759	
5.631	-0.07442289	13.25759	
5.6312	-0.07449586	13.25759	
5.6314	-0.07456862	13.25759	
5.6316	-0.07464118	13.25759	
5.6318	-0.07471352	13.20678	
5.632	-0.07478566	13.20678	
5.6322	-0.07485761	13.20678	
5.6324	-0.07492933	13.20678	
5.6326	-0.07500086	13.20678	
5.6328	-0.07507219	13.15478	
5.633	-0.07514331	13.15478	
5.6332	-0.07521422	13.15478	
5.6334	-0.07528494	13.15478	
5.6336	-0.07535546	13.15478	
5.6338	-0.07542577	13.10178	
5.634	-0.07549588	13.10178	
5.6342	-0.07556579	13.10178	
5.6344	-0.0756355	13.10178	
5.6346	-0.07570501	13.10178	
5.6348	-0.07577432	13.04766	
5.635	-0.07584344	13.04766	
5.6352	-0.07591236	13.04766	
5.6354	-0.07598108	13.04766	
5.6356	-0.0760496	13.04766	
5.6358	-0.07611793	12.99263	
5.636	-0.07618608	12.99263	
5.6362	-0.07625401	12.99263	
5.6364	-0.07632177	12.99263	
5.6366	-0.07638932	12.99263	
5.6368	-0.07645668	12.93676	
5.637	-0.07652385	12.93676	
5.6372	-0.07659083	12.93676	
5.6374	-0.07665762	12.93676	
5.6376	-0.07672422	12.93676	
5.6378	-0.07679062	12.88024	
5.638	-0.07685684	12.88024	
5.6382	-0.07692287	12.88024	
5.6384	-0.07698872	12.88024	
5.6386	-0.07705437	12.88024	
5.6388	-0.07711983	12.82297	
5.639	-0.07718511	12.82297	
5.6392	-0.0772502	12.82297	
5.6394	-0.07731511	12.82297	
5.6396	-0.07737983	12.82297	
5.6398	-0.07744437	12.7651	
5.64	-0.07750872	12.7651	
5.6402	-0.07757289	12.7651	
5.6404	-0.07763688	12.7651	
5.6406	-0.07770068	12.7651	
5.6408	-0.0777643	12.70668	
5.641	-0.07782774	12.70668	
5.6412	-0.07789101	12.70668	
5.6414	-0.07795408	12.70668	
5.6416	-0.07801698	12.70668	
5.6418	-0.07807971	12.64774	
5.642	-0.07814224	12.64774	
5.6422	-0.0782046	12.64774	
5.6424	-0.07826679	12.64774	
5.6426	-0.0783288	12.64774	
5.6428	-0.07839063	12.58839	
5.643	-0.07845228	12.58839	
5.6432	-0.07683094	12.58839	
5.6434	-0.07535875	12.58839	
5.6436	-0.07402056	12.58839	
5.6438	-0.07280304	12.52867	
5.644	-0.07169444	12.52867	
5.6442	-0.0706844	12.52867	
5.6444	-0.06976368	12.52867	
5.6446	-0.06892408	12.52867	
5.6448	-0.06815831	12.48356	
