Time	MV	Tension	Muscle2	Length	A	
4.3668	-0.06153056	12.41237	0.01934589	0.9471916	38.71833	
4.367	-0.06157206	12.41237	0.01934589	0.9471916	38.71833	
4.3672	-0.06161779	12.41237	0.01934589	0.9471916	38.71833	
4.3674	-0.06166745	12.41237	0.01934589	0.9471916	38.71833	
4.3676	-0.06172077	12.41237	0.01934589	0.9471916	38.71833	
4.3678	-0.0617775	12.52555	0.01928503	0.9471915	38.14082	
4.368	-0.0618374	12.52555	0.01928503	0.9471915	38.14082	
4.3682	-0.06190025	12.52555	0.01928503	0.9471915	38.14082	
4.3684	-0.06196582	12.52555	0.01928503	0.9471915	38.14082	
4.3686	-0.06203395	12.52555	0.01928503	0.9471915	38.14082	
4.3688	-0.06210443	12.63198	0.01934383	0.9471916	36.9062	
4.369	-0.06217711	12.63198	0.01934383	0.9471916	36.9062	
4.3692	-0.06225181	12.63198	0.01934383	0.9471916	36.9062	
4.3694	-0.06232839	12.63198	0.01934383	0.9471916	36.9062	
4.3696	-0.06240673	12.63198	0.01934383	0.9471916	36.9062	
4.3698	-0.06248667	12.72948	0.01934266	0.9471916	35.26677	
4.37	-0.06256812	12.72948	0.01934266	0.9471916	35.26677	
4.3702	-0.06265094	12.72948	0.01934266	0.9471916	35.26677	
4.3704	-0.06273504	12.72948	0.01934266	0.9471916	35.26677	
4.3706	-0.06282031	12.72948	0.01934266	0.9471916	35.26677	
4.3708	-0.06290666	12.81701	0.01928182	0.9471915	33.40638	
4.371	-0.06299401	12.81701	0.01928182	0.9471915	33.40638	
4.3712	-0.06308228	12.81701	0.01928182	0.9471915	33.40638	
4.3714	-0.06317137	12.81701	0.01928182	0.9471915	33.40638	
4.3716	-0.06326124	12.81701	0.01928182	0.9471915	33.40638	
4.3718	-0.06335181	12.89426	0.01925113	0.9471914	31.4528	
4.372	-0.06344301	12.89426	0.01925113	0.9471914	31.4528	
4.3722	-0.0635348	12.89426	0.01925113	0.9471914	31.4528	
4.3724	-0.06362712	12.89426	0.01925113	0.9471914	31.4528	
4.3726	-0.0637199	12.89426	0.01925113	0.9471914	31.4528	
4.3728	-0.06381311	12.96122	0.01922059	0.9471914	29.49138	
4.373	-0.0639067	12.96122	0.01922059	0.9471914	29.49138	
4.3732	-0.06400064	12.96122	0.01922059	0.9471914	29.49138	
4.3734	-0.06409486	12.96122	0.01922059	0.9471914	29.49138	
4.3736	-0.06418936	12.96122	0.01922059	0.9471914	29.49138	
4.3738	-0.06428409	13.01818	0.0191902	0.9471913	27.57656	
4.374	-0.06437901	13.01818	0.0191902	0.9471913	27.57656	
4.3742	-0.06447411	13.01818	0.0191902	0.9471913	27.57656	
4.3744	-0.06456934	13.01818	0.0191902	0.9471913	27.57656	
4.3746	-0.06466468	13.01818	0.0191902	0.9471913	27.57656	
4.3748	-0.06476012	13.06562	0.01915997	0.9471912	25.74133	
4.375	-0.06485561	13.06562	0.01915997	0.9471912	25.74133	
4.3752	-0.06495116	13.06562	0.01915997	0.9471912	25.74133	
4.3754	-0.06504672	13.06562	0.01915997	0.9471912	25.74133	
4.3756	-0.0651423	13.06562	0.01915997	0.9471912	25.74133	
4.3758	-0.06523786	13.1041	0.01915972	0.9471912	24.00396	
4.376	-0.0653334	13.1041	0.01915972	0.9471912	24.00396	
4.3762	-0.06542888	13.1041	0.01915972	0.9471912	24.00396	
4.3764	-0.06552432	13.1041	0.01915972	0.9471912	24.00396	
4.3766	-0.06561969	13.1041	0.01915972	0.9471912	24.00396	
4.3768	-0.06571496	13.13412	0.0190998	0.9471911	22.37296	
4.377	-0.06581015	13.13412	0.0190998	0.9471911	22.37296	
4.3772	-0.06590523	13.13412	0.0190998	0.9471911	22.37296	
4.3774	-0.06600019	13.13412	0.0190998	0.9471911	22.37296	
4.3776	-0.06609503	13.13412	0.0190998	0.9471911	22.37296	
4.3778	-0.06618973	13.1564	0.01909986	0.9471911	20.85051	
4.378	-0.06628428	13.1564	0.01909986	0.9471911	20.85051	
4.3782	-0.06637869	13.1564	0.01909986	0.9471911	20.85051	
4.3784	-0.06647295	13.1564	0.01909986	0.9471911	20.85051	
4.3786	-0.06656703	13.1564	0.01909986	0.9471911	20.85051	
4.3788	-0.06666095	13.17147	0.01909992	0.9471911	19.43491	
4.379	-0.06675469	13.17147	0.01909992	0.9471911	19.43491	
4.3792	-0.06684825	13.17147	0.01909992	0.9471911	19.43491	
4.3794	-0.06694163	13.17147	0.01909992	0.9471911	19.43491	
4.3796	-0.06703482	13.17147	0.01909992	0.9471911	19.43491	
4.3798	-0.06712782	13.17982	0.0190403	0.947191	18.12202	
4.38	-0.06722061	13.17982	0.0190403	0.947191	18.12202	
4.3802	-0.0673132	13.17982	0.0190403	0.947191	18.12202	
4.3804	-0.06740559	13.17982	0.0190403	0.947191	18.12202	
4.3806	-0.06749776	13.17982	0.0190403	0.947191	18.12202	
4.3808	-0.06758972	13.1821	0.01904066	0.947191	16.90629	
4.381	-0.06768148	13.1821	0.01904066	0.947191	16.90629	
4.3812	-0.06777301	13.1821	0.01904066	0.947191	16.90629	
4.3814	-0.06786433	13.1821	0.01904066	0.947191	16.90629	
4.3816	-0.06795541	13.1821	0.01904066	0.947191	16.90629	
4.3818	-0.06804629	13.17865	0.01895149	0.9471908	15.78159	
4.382	-0.06813693	13.17865	0.01895149	0.9471908	15.78159	
4.3822	-0.06822736	13.17865	0.01895149	0.9471908	15.78159	
4.3824	-0.06831755	13.17865	0.01895149	0.9471908	15.78159	
4.3826	-0.06840751	13.17865	0.01895149	0.9471908	15.78159	
4.3828	-0.06849726	13.17008	0.01892245	0.9471908	14.74164	
4.383	-0.06858676	13.17008	0.01892245	0.9471908	14.74164	
4.3832	-0.06867603	13.17008	0.01892245	0.9471908	14.74164	
4.3834	-0.06876507	13.17008	0.01892245	0.9471908	14.74164	
4.3836	-0.06885388	13.17008	0.01892245	0.9471908	14.74164	
4.3838	-0.06894246	13.15678	0.01892339	0.9471908	13.78012	
4.384	-0.0690308	13.15678	0.01892339	0.9471908	13.78012	
4.3842	-0.0691189	13.15678	0.01892339	0.9471908	13.78012	
4.3844	-0.06920677	13.15678	0.01892339	0.9471908	13.78012	
4.3846	-0.0692944	13.15678	0.01892339	0.9471908	13.78012	
4.3848	-0.0693818	13.13913	0.01892433	0.9471908	12.89098	
4.385	-0.06946895	13.13913	0.01892433	0.9471908	12.89098	
4.3852	-0.06955588	13.13913	0.01892433	0.9471908	12.89098	
4.3854	-0.06964257	13.13913	0.01892433	0.9471908	12.89098	
4.3856	-0.06972902	13.13913	0.01892433	0.9471908	12.89098	
4.3858	-0.06981523	13.11747	0.01892526	0.9471908	12.06856	
4.386	-0.06990121	13.11747	0.01892526	0.9471908	12.06856	
4.3862	-0.06998695	13.11747	0.01892526	0.9471908	12.06856	
4.3864	-0.07007245	13.11747	0.01892526	0.9471908	12.06856	
4.3866	-0.07015771	13.11747	0.01892526	0.9471908	12.06856	
4.3868	-0.07024276	13.09214	0.01892619	0.9471908	11.30747	
4.387	-0.07032754	13.09214	0.01892619	0.9471908	11.30747	
4.3872	-0.07041211	13.09214	0.01892619	0.9471908	11.30747	
4.3874	-0.07049644	13.09214	0.01892619	0.9471908	11.30747	
4.3876	-0.07058053	13.09214	0.01892619	0.9471908	11.30747	
4.3878	-0.07066438	13.06345	0.01892711	0.9471908	10.60279	
4.388	-0.07074801	13.06345	0.01892711	0.9471908	10.60279	
4.3882	-0.0708314	13.06345	0.01892711	0.9471908	10.60279	
4.3884	-0.07091455	13.06345	0.01892711	0.9471908	10.60279	
4.3886	-0.07099748	13.06345	0.01892711	0.9471908	10.60279	
4.3888	-0.07108016	13.03167	0.01892802	0.9471908	9.949882	
4.389	-0.07116262	13.03167	0.01892802	0.9471908	9.949882	
4.3892	-0.07124484	13.03167	0.01892802	0.9471908	9.949882	
4.3894	-0.07132684	13.03167	0.01892802	0.9471908	9.949882	
4.3896	-0.0714086	13.03167	0.01892802	0.9471908	9.949882	
4.3898	-0.07149014	12.99706	0.01892893	0.9471908	9.344561	
4.39	-0.07157144	12.99706	0.01892893	0.9471908	9.344561	
4.3902	-0.07165251	12.99706	0.01892893	0.9471908	9.344561	
4.3904	-0.07173336	12.99706	0.01892893	0.9471908	9.344561	
4.3906	-0.07181396	12.99706	0.01892893	0.9471908	9.344561	
4.3908	-0.07189435	12.95987	0.01892984	0.9471908	8.782982	
4.391	-0.07197451	12.95987	0.01892984	0.9471908	8.782982	
4.3912	-0.07205445	12.95987	0.01892984	0.9471908	8.782982	
4.3914	-0.07213414	12.95987	0.01892984	0.9471908	8.782982	
4.3916	-0.07221363	12.95987	0.01892984	0.9471908	8.782982	
4.3918	-0.07229289	12.9203	0.01893074	0.9471908	8.26159	
4.392	-0.07237191	12.9203	0.01893074	0.9471908	8.26159	
4.3922	-0.07245072	12.9203	0.01893074	0.9471908	8.26159	
4.3924	-0.0725293	12.9203	0.01893074	0.9471908	8.26159	
4.3926	-0.07260767	12.9203	0.01893074	0.9471908	8.26159	
4.3928	-0.07268581	12.87855	0.01893163	0.9471908	7.777162	
4.393	-0.07276372	12.87855	0.01893163	0.9471908	7.777162	
4.3932	-0.07284141	12.87855	0.01893163	0.9471908	7.777162	
4.3934	-0.07291889	12.87855	0.01893163	0.9471908	7.777162	
4.3936	-0.07299615	12.87855	0.01893163	0.9471908	7.777162	
4.3938	-0.07307318	12.83478	0.01890267	0.9471907	7.32673	
4.394	-0.07314999	12.83478	0.01890267	0.9471907	7.32673	
4.3942	-0.07322659	12.83478	0.01890267	0.9471907	7.32673	
4.3944	-0.07330297	12.83478	0.01890267	0.9471907	7.32673	
4.3946	-0.07337914	12.83478	0.01890267	0.9471907	7.32673	
4.3948	-0.07345508	12.78922	0.0189037	0.9471907	6.907597	
4.395	-0.07353081	12.78922	0.0189037	0.9471907	6.907597	
4.3952	-0.07360632	12.78922	0.0189037	0.9471907	6.907597	
4.3954	-0.07368162	12.78922	0.0189037	0.9471907	6.907597	
4.3956	-0.0737567	12.78922	0.0189037	0.9471907	6.907597	
4.3958	-0.07383157	12.74205	0.01896441	0.9471908	6.517304	
4.396	-0.07390622	12.74205	0.01896441	0.9471908	6.517304	
4.3962	-0.07398066	12.74205	0.01896441	0.9471908	6.517304	
4.3964	-0.0740549	12.74205	0.01896441	0.9471908	6.517304	
4.3966	-0.07412891	12.74205	0.01896441	0.9471908	6.517304	
4.3968	-0.07420272	12.6933	0.01896513	0.9471908	6.153596	
4.397	-0.07427632	12.6933	0.01896513	0.9471908	6.153596	
4.3972	-0.07434971	12.6933	0.01896513	0.9471908	6.153596	
4.3974	-0.07442289	12.6933	0.01896513	0.9471908	6.153596	
