Time	A5	A6	A4	A1	A3	A2	PointerY	PointerZ	
0.185	-0.06999984	-0.06999929	-0.07	-0.06999929	-0.07	-0.06999984	0.5528809	7.149333E-09	
0.186	-0.06999984	-0.06999929	-0.07	-0.06999929	-0.07	-0.06999984	0.5529045	7.329777E-09	
0.187	-0.06999984	-0.06999929	-0.07	-0.06999929	-0.07	-0.06999984	0.5529269	7.50149E-09	
0.188	-0.06999984	-0.06999929	-0.07	-0.06999929	-0.07	-0.06999984	0.5529479	7.772155E-09	
0.189	-0.06999984	-0.0699993	-0.07	-0.0699993	-0.07	-0.06999984	0.5529677	8.080656E-09	
0.19	-0.06999984	-0.0699993	-0.07	-0.0699993	-0.07	-0.06999984	0.5529862	8.403709E-09	
0.191	-0.06999984	-0.0699993	-0.07	-0.0699993	-0.07	-0.06999984	0.5530033	8.726761E-09	
0.192	-0.06999984	-0.0699993	-0.07	-0.0699993	-0.07	-0.06999984	0.553019	9.043993E-09	
0.193	-0.06999984	-0.0699993	-0.07	-0.0699993	-0.07	-0.06999984	0.5530332	9.358314E-09	
0.194	-0.06999984	-0.0699993	-0.07	-0.0699993	-0.07	-0.06999984	0.553046	9.55622E-09	
0.195	-0.06999984	-0.0699993	-0.07	-0.0699993	-0.07	-0.06999984	0.5530573	9.70756E-09	
0.196	-0.06999984	-0.0699993	-0.07	-0.0699993	-0.07	-0.06999984	0.5530671	9.93457E-09	
0.197	-0.06999984	-0.0699993	-0.07	-0.0699993	-0.07	-0.06999984	0.5530753	1.008882E-08	
0.198	-0.06999984	-0.0699993	-0.07	-0.0699993	-0.07	-0.06999984	0.553082	1.021106E-08	
0.199	-0.06999984	-0.0699993	-0.07	-0.0699993	-0.07	-0.06999984	0.5530872	1.04206E-08	
0.2	-0.06999984	-0.0699993	-0.07	-0.0699993	-0.07	-0.06999984	0.5530908	1.065926E-08	
0.201	-0.06999984	-0.06999931	-0.07	-0.06999931	-0.07	-0.06999984	0.5530927	1.080768E-08	
0.202	-0.06999984	-0.06999931	-0.07	-0.06999931	-0.07	-0.06999984	0.5530929	1.090955E-08	
0.203	-0.06999984	-0.06999931	-0.07	-0.06999931	-0.07	-0.06999984	0.5530916	1.098813E-08	
0.204	-0.06999984	-0.06999931	-0.07	-0.06999931	-0.07	-0.06999984	0.5530886	1.115984E-08	
0.205	-0.06999984	-0.06999931	-0.07	-0.06999931	-0.07	-0.06999984	0.5530839	1.136357E-08	
0.206	-0.06999984	-0.06999931	-0.07	-0.06999931	-0.07	-0.06999984	0.5530776	1.148289E-08	
0.207	-0.06999984	-0.06999931	-0.07	-0.06999931	-0.07	-0.06999984	0.5530695	1.166334E-08	
0.208	-0.06999984	-0.06999931	-0.07	-0.06999931	-0.07	-0.06999984	0.5530598	1.186997E-08	
0.209	-0.06999984	-0.06999931	-0.07	-0.06999931	-0.07	-0.06999984	0.5530484	1.197475E-08	
0.21	-0.06999984	-0.06999931	-0.07	-0.06999931	-0.07	-0.06999984	0.5530353	1.203587E-08	
0.211	-0.06999984	-0.06999931	-0.07	-0.06999931	-0.07	-0.06999984	0.5530205	1.207079E-08	
0.212	-0.06999984	-0.06999931	-0.07	-0.06999931	-0.07	-0.06999984	0.553004	1.209407E-08	
0.213	-0.06999984	-0.06999931	-0.07	-0.06999931	-0.07	-0.06999984	0.5529858	1.221631E-08	
0.214	-0.06999984	-0.06999931	-0.07	-0.06999931	-0.07	-0.06999984	0.5529658	1.23822E-08	
0.215	-0.06999984	-0.06999931	-0.07	-0.06999931	-0.07	-0.06999984	0.5529442	1.256265E-08	
0.216	-0.06999984	-0.06999931	-0.07	-0.06999931	-0.07	-0.06999984	0.5529209	1.275182E-08	
0.217	-0.06999984	-0.06999931	-0.07	-0.06999931	-0.07	-0.06999984	0.552896	1.28304E-08	
0.218	-0.06999984	-0.06999931	-0.07	-0.06999931	-0.07	-0.06999984	0.5528693	1.28595E-08	
0.219	-0.06999985	-0.06999931	-0.07	-0.06999931	-0.07	-0.06999985	0.5528409	1.296428E-08	
0.22	-0.06999985	-0.06999931	-0.07	-0.06999931	-0.07	-0.06999985	0.552811	1.29992E-08	
0.221	-0.06999985	-0.06999931	-0.07	-0.06999931	-0.07	-0.06999985	0.5527793	1.300211E-08	
0.222	-0.06999985	-0.06999931	-0.07	-0.06999931	-0.07	-0.06999985	0.552746	1.310107E-08	
0.223	-0.06999985	-0.06999931	-0.07	-0.06999931	-0.07	-0.06999985	0.5527111	1.323203E-08	
0.224	-0.06999985	-0.06999931	-0.07	-0.06999931	-0.07	-0.06999985	0.5526746	1.327569E-08	
0.225	-0.06999985	-0.06999932	-0.07	-0.06999932	-0.07	-0.06999985	0.5526364	1.338046E-08	
0.226	-0.06999985	-0.06999932	-0.07	-0.06999932	-0.07	-0.06999985	0.5525967	1.350852E-08	
0.227	-0.06999985	-0.06999932	-0.07	-0.06999932	-0.07	-0.06999985	0.5525554	1.353762E-08	
0.228	-0.06999985	-0.06999932	-0.07	-0.06999932	-0.07	-0.06999985	0.5525126	1.352889E-08	
0.229	-0.06999985	-0.06999932	-0.07	-0.06999932	-0.07	-0.06999985	0.5524682	1.360165E-08	
0.23	-0.06999985	-0.06999932	-0.07	-0.06999932	-0.07	-0.06999985	0.5524223	1.370934E-08	
0.231	-0.06999985	-0.06999932	-0.07	-0.06999932	-0.07	-0.06999985	0.552375	1.37268E-08	
0.232	-0.06999985	-0.06999932	-0.07	-0.06999932	-0.07	-0.06999985	0.5523261	1.370643E-08	
0.233	-0.06999985	-0.06999932	-0.07	-0.06999932	-0.07	-0.06999985	0.5522758	1.366277E-08	
0.234	-0.06999985	-0.06999932	-0.07	-0.06999932	-0.07	-0.06999985	0.5522241	1.371516E-08	
0.235	-0.06999985	-0.06999932	-0.07	-0.06999932	-0.07	-0.06999985	0.552171	1.380247E-08	
0.236	-0.06999985	-0.06999932	-0.07	-0.06999932	-0.07	-0.06999985	0.5521165	1.380829E-08	
0.237	-0.06999985	-0.06999932	-0.07	-0.06999932	-0.07	-0.06999985	0.5520607	1.377337E-08	
0.238	-0.06999985	-0.06999932	-0.07	-0.06999932	-0.07	-0.06999985	0.5520035	1.371516E-08	
0.239	-0.06999985	-0.06999932	-0.07	-0.06999932	-0.07	-0.06999985	0.551945	1.37559E-08	
0.24	-0.06999985	-0.06999932	-0.07	-0.06999932	-0.07	-0.06999985	0.5518852	1.383157E-08	
0.241	-0.06999985	-0.06999932	-0.07	-0.06999932	-0.07	-0.06999985	0.5518243	1.382575E-08	
