Time	Position	Length2	2	
0.58	1.901392	3.255977	0	
0.581	1.907023	3.250618	0	
0.582	1.91265	3.245265	0	
0.583	1.918271	3.239918	0	
0.5840001	1.923888	3.234576	0	
0.585	1.929499	3.22924	0	
0.586	1.935105	3.22391	0	
0.587	1.940706	3.218585	0	
0.588	1.946302	3.213267	0	
0.589	1.951893	3.207954	0	
0.59	1.957478	3.202648	0	
0.591	1.963057	3.197348	0	
0.592	1.968632	3.192054	0	
0.5930001	1.974201	3.186765	0	
0.594	1.979764	3.181484	0	
0.595	1.985322	3.176208	0	
0.596	1.990874	3.170939	0	
0.597	1.99642	3.165677	0	
0.598	2.001961	3.16042	0	
0.599	2.007496	3.15517	0	
0.6	2.013025	3.149926	0	
0.601	2.018548	3.144689	0	
0.6020001	2.024065	3.139459	0	
0.603	2.029577	3.134235	0	
0.604	2.035082	3.129018	0	
0.605	2.040582	3.123807	0	
0.606	2.046075	3.118603	0	
0.6070001	2.051562	3.113406	0	
0.608	2.057043	3.108217	0	
0.609	2.062518	3.103033	0	
0.61	2.067987	3.097857	0	
0.611	2.073449	3.092688	0	
0.612	2.078905	3.087526	0	
0.613	2.084354	3.08237	0	
0.614	2.089797	3.077222	0	
0.615	2.095234	3.072081	0	
0.6160001	2.100664	3.066947	0	
0.617	2.106088	3.061821	0	
0.618	2.111505	3.056701	0	
0.619	2.116915	3.051589	0	
0.62	2.122318	3.046485	0	
0.6210001	2.127715	3.041388	0	
0.622	2.133105	3.036298	0	
0.623	2.138488	3.031216	0	
0.624	2.143865	3.026141	0	
0.625	2.149234	3.021074	0	
0.626	2.154597	3.016014	0	
0.627	2.159952	3.010962	0	
0.628	2.165301	3.005918	0	
0.629	2.170642	3.000881	0	
0.6300001	2.175976	2.995853	0	
0.631	2.181303	2.990832	0	
0.632	2.186623	2.985819	0	
0.633	2.191936	2.980814	0	
0.634	2.197241	2.975816	0	
0.6350001	2.202539	2.970827	0	
0.636	2.207829	2.965846	0	
0.637	2.213112	2.960873	0	
0.638	2.218388	2.955907	0	
0.6390001	2.223656	2.950951	0	
0.64	2.228917	2.946002	0	
0.641	2.23417	2.941061	0	
0.642	2.239416	2.936129	0	
0.643	2.244653	2.931205	0	
0.6440001	2.249884	2.926289	0	
0.645	2.255106	2.921382	0	
0.646	2.260321	2.916483	0	
0.647	2.265527	2.911592	0	
0.648	2.270726	2.90671	0	
0.649	2.275918	2.901837	0	
0.65	2.281101	2.896972	0	
0.651	2.286276	2.892115	0	
0.652	2.291443	2.887268	0	
0.6530001	2.296602	2.882429	0	
0.654	2.301752	2.877599	0	
0.655	2.306895	2.872777	0	
0.656	2.31203	2.867965	0	
0.657	2.317156	2.86316	0	
0.6580001	2.322274	2.858365	0	
0.659	2.327384	2.853579	0	
0.66	2.332485	2.848802	0	
0.661	2.337578	2.844033	0	
0.6620001	2.342663	2.839274	0	
0.663	2.347739	2.834524	0	
0.664	2.352807	2.829782	0	
0.665	2.357866	2.825051	0	
0.666	2.362917	2.820327	0	
0.6670001	2.367959	2.815614	0	
0.668	2.372993	2.810909	0	
0.669	2.378017	2.806214	0	
0.67	2.383033	2.801528	0	
0.671	2.388041	2.796851	0	
0.6720001	2.393039	2.792184	0	
0.673	2.398029	2.787526	0	
0.674	2.403009	2.782877	0	
0.675	2.407981	2.778239	0	
0.6760001	2.412944	2.773609	0	
0.677	2.417898	2.768989	0	
0.678	2.422843	2.764378	0	
0.679	2.427779	2.759778	0	
0.68	2.432706	2.755186	0	
0.6810001	2.437624	2.750605	0	
0.682	2.442532	2.746032	0	
0.683	2.447431	2.741471	0	
0.684	2.452322	2.736918	0	
0.6850001	2.457202	2.732375	0	
0.686	2.462074	2.727843	0	
0.687	2.466936	2.723319	0	
0.688	2.471789	2.718807	0	
0.689	2.476633	2.714303	0	
0.6900001	2.481467	2.70981	0	
0.691	2.486291	2.705327	0	
0.692	2.491106	2.700853	0	
0.693	2.495912	2.69639	0	
0.694	2.500708	2.691937	0	
0.6950001	2.505494	2.687494	0	
0.696	2.510271	2.683061	0	
0.697	2.515038	2.678638	0	
0.698	2.519795	2.674226	0	
0.6990001	2.524543	2.669823	0	
0.7	2.529281	2.665431	0	
0.701	2.534009	2.661049	0	
0.702	2.538727	2.656678	0	
0.703	2.543435	2.652317	0	
0.7040001	2.548133	2.647966	0	
0.705	2.552822	2.643626	0	
0.706	2.5575	2.639295	0	
0.707	2.562169	2.634976	0	
0.708	2.566827	2.630667	0	
0.7090001	2.571476	2.626368	0	
0.71	2.576114	2.62208	0	
0.711	2.580742	2.617803	0	
0.712	2.58536	2.613535	0	
0.7130001	2.589968	2.60928	0	
0.714	2.594565	2.605034	0	
0.715	2.599152	2.600799	0	
0.716	2.603729	2.596575	0	
0.717	2.608296	2.592361	0	
0.7180001	2.612852	2.588159	0	
0.719	2.617398	2.583966	0	
0.72	2.621934	2.579785	0	
0.721	2.626459	2.575615	0	
0.7220001	2.630974	2.571455	0	
0.723	2.635478	2.567306	0	
0.724	2.639971	2.563169	0	
0.725	2.644454	2.559042	0	
0.726	2.648927	2.554926	0	
0.7270001	2.653389	2.550821	0	
0.728	2.65784	2.546727	0	
0.729	2.66228	2.542644	0	
0.73	2.66671	2.538572	0	
0.731	2.671129	2.534511	0	
0.7320001	2.675537	2.530462	0	
0.733	2.679935	2.526423	0	
0.734	2.684321	2.522396	0	
0.735	2.688697	2.518379	0	
0.7360001	2.693062	2.514374	0	
0.737	2.697416	2.51038	0	
0.738	2.701759	2.506397	0	
0.739	2.706091	2.502425	0	
0.74	2.710412	2.498465	0	
0.7410001	2.714722	2.494516	0	
0.742	2.719021	2.490579	0	
0.743	2.723309	2.486652	0	
0.744	2.727586	2.482737	0	
0.7450001	2.731851	2.478834	0	
0.7460001	2.736106	2.474942	0	
0.747	2.740349	2.471061	0	
0.748	2.744581	2.467191	0	
0.749	2.748802	2.463334	0	
0.7500001	2.753012	2.459487	0	
0.751	2.75721	2.455653	0	
0.752	2.761397	2.451829	0	
0.753	2.765573	2.448018	0	
0.754	2.769737	2.444218	0	
0.7550001	2.77389	2.44043	0	
0.756	2.778031	2.436653	0	
0.757	2.782161	2.432887	0	
0.758	2.786279	2.429134	0	
0.7590001	2.790386	2.425392	0	
0.7600001	2.794482	2.421662	0	
0.761	2.798566	2.417943	0	
0.762	2.802638	2.414236	0	
0.763	2.806699	2.410541	0	
0.7640001	2.810748	2.406857	0	
0.765	2.814785	2.403186	0	
0.766	2.818811	2.399526	0	
0.767	2.822825	2.395878	0	
0.768	2.826828	2.392242	0	
0.7690001	2.830818	2.388617	0	
0.77	2.834797	2.385005	0	
0.771	2.838764	2.381404	0	
0.772	2.84272	2.377815	0	
0.7730001	2.846663	2.374238	0	
0.774	2.850595	2.370673	0	
0.775	2.854515	2.36712	0	
0.776	2.858423	2.363579	0	
