Time	PendulumX	PendulumY	PendulumZ	Rotation	
0.244	-0.3230707	-0.620988	6.579435E-05	0.4797186	
0.245	-0.3243003	-0.6203467	6.604476E-05	0.4816996	
0.246	-0.3255285	-0.6197031	6.62949E-05	0.4836806	
0.247	-0.3267555	-0.619057	6.654478E-05	0.4856615	
0.248	-0.3279811	-0.6184086	6.679438E-05	0.4876424	
0.249	-0.3292054	-0.6177577	6.704371E-05	0.4896231	
0.25	-0.3304283	-0.6171044	6.729278E-05	0.4916039	
0.251	-0.3316499	-0.6164488	6.754155E-05	0.4935845	
0.252	-0.3328702	-0.6157907	6.779005E-05	0.495565	
0.253	-0.334089	-0.6151303	6.803828E-05	0.4975455	
0.254	-0.3353066	-0.6144675	6.828624E-05	0.4995258	
0.255	-0.3365228	-0.6138023	6.853391E-05	0.5015061	
0.256	-0.3377376	-0.6131347	6.878132E-05	0.5034863	
0.257	-0.3389511	-0.6124648	6.902844E-05	0.5054665	
0.258	-0.3401631	-0.6117923	6.927529E-05	0.5074466	
0.259	-0.3413739	-0.6111176	6.952186E-05	0.5094268	
0.26	-0.3425832	-0.6104405	6.976814E-05	0.5114068	
0.261	-0.3437911	-0.609761	7.001415E-05	0.5133866	
0.262	-0.3449977	-0.6090791	7.025986E-05	0.5153666	
0.263	-0.3462029	-0.6083949	7.05053E-05	0.5173463	
0.264	-0.3474066	-0.6077084	7.075044E-05	0.5193259	
0.265	-0.348609	-0.6070195	7.099531E-05	0.5213056	
0.266	-0.3498099	-0.6063282	7.123987E-05	0.523285	
0.267	-0.3510093	-0.6056346	7.148414E-05	0.5252644	
0.268	-0.3522074	-0.6049387	7.172814E-05	0.5272438	
0.269	-0.3534041	-0.6042404	7.197184E-05	0.529223	
0.27	-0.3545993	-0.6035396	7.221526E-05	0.5312024	
0.271	-0.3557932	-0.6028367	7.24584E-05	0.5331816	
0.272	-0.3569856	-0.6021314	7.270123E-05	0.5351607	
0.273	-0.3581764	-0.6014238	7.294376E-05	0.5371396	
0.274	-0.3593659	-0.6007138	7.318599E-05	0.5391186	
0.275	-0.360554	-0.6000015	7.342793E-05	0.5410975	
0.276	-0.3617406	-0.5992868	7.366958E-05	0.5430763	
0.277	-0.3629257	-0.5985699	7.391095E-05	0.545055	
0.278	-0.3641093	-0.5978506	7.4152E-05	0.5470337	
0.279	-0.3652915	-0.597129	7.439276E-05	0.5490123	
0.28	-0.3664722	-0.5964051	7.463322E-05	0.5509909	
0.281	-0.3676515	-0.5956789	7.487338E-05	0.5529693	
0.282	-0.3688293	-0.5949503	7.511325E-05	0.5549479	
0.283	-0.3700057	-0.5942195	7.535281E-05	0.5569262	
0.284	-0.3711804	-0.5934864	7.559207E-05	0.5589044	
0.285	-0.3723537	-0.5927509	7.583101E-05	0.5608826	
0.286	-0.3735256	-0.5920132	7.606966E-05	0.5628608	
0.287	-0.3746958	-0.5912732	7.630797E-05	0.5648389	
0.288	-0.3758646	-0.5905309	7.654601E-05	0.5668167	
0.289	-0.3770319	-0.5897863	7.678374E-05	0.5687947	
0.29	-0.3781977	-0.5890395	7.702116E-05	0.5707726	
0.291	-0.3793619	-0.5882904	7.725825E-05	0.5727502	
0.292	-0.3805246	-0.5875389	7.749502E-05	0.5747279	
0.293	-0.3816858	-0.5867853	7.773149E-05	0.5767054	
0.294	-0.3828454	-0.5860294	7.796767E-05	0.5786829	
0.295	-0.3840034	-0.5852712	7.820349E-05	0.5806603	
0.296	-0.3851599	-0.5845107	7.843903E-05	0.5826375	
0.297	-0.3863149	-0.583748	7.867422E-05	0.5846148	
0.298	-0.3874683	-0.5829831	7.890913E-05	0.5865921	
