Time	Vm	Activation	Inactivation	
5.0468	-0.04925468	0.3970462	0.06517609	
5.047	-0.0492578	0.3967084	0.06519536	
5.0472	-0.04926091	0.3963708	0.06521466	
5.0474	-0.04926402	0.3960333	0.06523398	
5.0476	-0.04926713	0.395696	0.06525335	
5.0478	-0.04927024	0.3953589	0.06527274	
5.048	-0.04927333	0.3950219	0.06529217	
5.0482	-0.04927643	0.3946851	0.06531163	
5.0484	-0.04927952	0.3943485	0.06533113	
5.0486	-0.04928261	0.394012	0.06535066	
5.0488	-0.04928569	0.3936757	0.06537022	
5.049	-0.04928877	0.3933396	0.06538982	
5.0492	-0.04929184	0.3930037	0.06540945	
5.0494	-0.04929492	0.3926679	0.06542911	
5.0496	-0.04929798	0.3923324	0.06544881	
5.0498	-0.04930105	0.391997	0.06546853	
5.05	-0.04930411	0.3916618	0.06548829	
5.0502	-0.04930716	0.3913267	0.06550809	
5.0504	-0.04931021	0.3909919	0.06552792	
5.0506	-0.04931326	0.3906572	0.06554778	
5.0508	-0.04931631	0.3903227	0.06556767	
5.051	-0.04931935	0.3899885	0.0655876	
5.0512	-0.04932239	0.3896543	0.06560756	
5.0514	-0.04932542	0.3893204	0.06562756	
5.0516	-0.04932845	0.3889867	0.06564759	
5.0518	-0.04933147	0.3886532	0.06566764	
5.052	-0.04933449	0.3883198	0.06568774	
5.0522	-0.04933751	0.3879867	0.06570786	
5.0524	-0.04934052	0.3876537	0.06572802	
5.0526	-0.04934353	0.3873209	0.06574821	
5.0528	-0.04934653	0.3869884	0.06576844	
5.053	-0.04934953	0.386656	0.0657887	
5.0532	-0.04935253	0.3863238	0.065809	
5.0534	-0.04935552	0.3859919	0.06582932	
5.0536	-0.04935851	0.3856601	0.06584968	
5.0538	-0.04936149	0.3853285	0.06587007	
5.054	-0.04936447	0.3849972	0.06589049	
5.0542	-0.04936745	0.384666	0.06591095	
5.0544	-0.04937042	0.384335	0.06593144	
5.0546	-0.04937338	0.3840043	0.06595197	
5.0548	-0.04937635	0.3836738	0.06597252	
5.055	-0.04937931	0.3833434	0.06599311	
5.0552	-0.04938227	0.3830133	0.06601373	
5.0554	-0.04938522	0.3826834	0.06603438	
5.0556	-0.04938816	0.3823537	0.06605507	
5.0558	-0.04939111	0.3820242	0.06607579	
5.056	-0.04939405	0.3816949	0.06609654	
5.0562	-0.04939698	0.3813658	0.06611733	
5.0564	-0.04939991	0.381037	0.06613815	
5.0566	-0.04940284	0.3807083	0.066159	
5.0568	-0.04940576	0.3803799	0.06617989	
5.057	-0.04940868	0.3800517	0.06620081	
5.0572	-0.04941159	0.3797237	0.06622176	
5.0574	-0.0494145	0.379396	0.06624274	
5.0576	-0.04941741	0.3790684	0.06626376	
5.0578	-0.04942031	0.3787411	0.06628481	
5.058	-0.04942321	0.378414	0.06630589	
5.0582	-0.0494261	0.3780872	0.06632701	
5.0584	-0.04942899	0.3777605	0.06634815	
5.0586	-0.04943188	0.3774341	0.06636933	
5.0588	-0.04943476	0.3771079	0.06639054	
5.059	-0.04943763	0.376782	0.06641179	
5.0592	-0.04944051	0.3764562	0.06643306	
5.0594	-0.04944338	0.3761307	0.06645437	
5.0596	-0.04944624	0.3758055	0.06647572	
5.0598	-0.0494491	0.3754804	0.06649709	
5.06	-0.04945196	0.3751557	0.0665185	
5.0602	-0.04945481	0.3748311	0.06653994	
5.0604	-0.04945766	0.3745067	0.06656142	
5.0606	-0.0494605	0.3741826	0.06658292	
5.0608	-0.04946334	0.3738588	0.06660446	
5.061	-0.04946617	0.3735352	0.06662603	
5.0612	-0.049469	0.3732118	0.06664763	
5.0614	-0.04947183	0.3728886	0.06666927	
5.0616	-0.04947465	0.3725657	0.06669094	
